time,open,high,low,close,volume
570,5.52,5.6,5.52,5.585,1108339
585,5.585,5.66,5.58,5.5824,2235637
600,5.585,5.61,5.52,5.54,994285
615,5.535,5.56,5.52,5.53,371418
630,5.54,5.545,5.51,5.51,396767
645,5.51,5.525,5.48,5.485,702791
660,5.49,5.53,5.48,5.51,399210
675,5.515,5.54,5.5,5.53,957101
690,5.535,5.565,5.52,5.56,669968
705,5.56,5.58,5.54,5.58,372657
720,5.58,5.62,5.565,5.62,661349
735,5.6163,5.65,5.6,5.61,700867
750,5.605,5.63,5.6,5.625,239157
765,5.63,5.64,5.61,5.64,359048
780,5.63,5.64,5.58,5.59,421533
795,5.59,5.6,5.57,5.59,438660
810,5.6,5.6,5.58,5.595,698728
825,5.595,5.62,5.59,5.62,1082294
840,5.615,5.625,5.6,5.605,286894
855,5.605,5.62,5.6,5.61,514980
870,5.605,5.62,5.6,5.605,725453
885,5.605,5.63,5.6,5.63,553147
900,5.62,5.63,5.6,5.6201,402537
915,5.63,5.66,5.623,5.66,566339
930,5.66,5.685,5.65,5.68,1223176
945,5.68,5.735,5.67,5.73,2581672
