time,open,high,low,close,volume
570,76.08,76.25,75.5,75.709,38716
585,75.7,75.85,75.17,75.3,29022
600,75.3,75.47,74.75,74.86,27165
615,74.8001,75.14,74.69,75.11,15495
632,75.2958,75.36,75.11,75.2999,28824
645,75.23,75.29,74.68,74.68,16386
660,74.7,74.7,74.05,74.1,27174
675,74.105,74.16,73.25,73.37,42398
690,73.36,73.47,73.06,73.22,20120
705,73.27,73.54,73.2,73.3,20547
720,73.3,73.34,72.73,72.87,30177
735,72.96,73.2,72.79,72.83,20799
750,72.83,73.2652,72.83,72.91,22707
765,72.91,73.09,72.76,72.79,25943
780,72.8,73.04,72.69,72.96,30048
795,73.0,73.45,73.0,73.45,63346
810,73.39,73.65,73.19,73.28,14229
825,73.32,73.48,73.24,73.45,9500
840,73.48,73.59,73.26,73.3,17768
855,73.28,73.49,73.21,73.35,28469
870,73.37,73.45,73.01,73.04,51976
885,73.01,73.29,72.95,72.9609,16643
900,72.961,73.35,72.95,73.08,66621
915,73.08,73.12,72.91,73.09,22868
930,73.08,73.08,71.59,71.865,139525
945,71.87,72.25,71.39,72.08,150452
