,SGEN.US
0,-0.0909861064046112
1,0.0169405387091315
2,1.474351841548907
3,-0.6974985293705731
4,-0.278089887640452
5,0.441859164382791
6,0.4232804232804339
7,0.493238749722892
8,-0.6021409455842908
9,-0.5127630362296621
10,-0.0560710981524541
11,-0.4817172798467461
12,0.7659622050765987
13,-0.2016806722689152
14,-0.3090755830289471
15,0.1066576849668787
16,-0.4256278715787668
17,0.0816763363938546
18,0.1237693389592117
19,0.0281214848144045
20,0.464647595588638
21,-0.3370218502499547
22,-0.0899533367065815
23,-0.5511744255066533
24,-0.3374929098128184
25,0.9362667434826548
26,0.280071813285448
27,-0.8802115405513119
28,0.1843951117217409
29,-0.1520857473928009
30,1.2267963804141602
31,0.5017793594306139
32,-0.0605348431435444
33,-0.7787267637981622
34,-0.2518347963735953
35,-0.1080458114240274
36,0.3013294113591523
37,-0.2516918646508143
38,0.0071989057663169
39,-0.0504177470469556
40,-0.2816901408450811
41,-0.4134029590948602
42,0.029002320185609
43,-0.0108770530437521
44,-0.039898440333701
45,0.397398843930644
46,-0.3334783239089517
47,-0.1742919389978279
48,-0.0217912399215523
49,-0.1673457508731008
50,-0.1263730922523529
51,-0.2445940810181304
52,-0.3903345724907072
53,-0.0913897774006232
54,0.286402395365487
55,0.142996425089372
56,-0.6641148951483536
57,0.0947836318472884
58,0.1142633280010521
59,-0.1143940384364043
60,0.1110022853411791
61,-0.0849562148738697
62,0.0848841005550084
63,0.1792406713377909
64,-0.0880683671472498
65,-0.0979495886117315
66,-0.0359277525557555
67,-0.2586940860567229
68,0.0523663022844881
69,0.3457273320287026
70,-0.0522125048949304
71,-0.078380143696933
72,-0.081712698153293
73,0.1599007962407026
74,-0.0326434680420522
75,0.5880771557228308
76,0.4749163879598715
77,-0.6734006734006733
78,-0.3310587122491785
79,-0.5571030640668477
80,-0.1837734821671727
81,0.5045203670470353
82,0.0676750245321925
83,-0.3293047256925483
84,-0.0407553321559586
85,0.1576778962716722
86,0.0322033898305177
87,0.1860937235662363
88,0.3204047217537904
89,0.0
90,0.4030903594222333
91,0.3481288076588406
92,0.0601499131205093
93,-0.2144964462920868
94,0.1372660618032157
95,-0.0200917523356669
96,-0.1307671673819696
97,-0.00335311672199
98,0.5455770244042231
99,-0.6261744966442905
100,-0.0794506554678998
101,0.5278161957718266
102,-0.1384963256076905
103,-0.3972758229285
104,0.2660327163638415
105,-0.5463547891411868
106,0.0511945392491487
107,-0.3252867659647444
108,-0.2689402609292737
109,0.1428489800582824
110,0.0114266125807062
111,-0.0457273506716276
112,-0.1201785509900306
113,0.1257430269775942
114,-0.1602931073963826
115,-0.1375831231369004
116,-0.2759255001149631
117,0.0976282088095029
118,-0.61066682228491
119,-0.0393630241900612
120,-0.0954640129599583
121,0.0809342120476276
122,-0.0231294090435943
123,0.0635654435134433
124,-0.243294908185145
125,0.3452492267855785
126,-0.0503742084052915
127,-0.0287935502447599
128,0.2083183679333528
129,-0.1510791366906532
130,-0.375505488157142
131,-0.5372440830550171
132,0.8922147071520944
133,0.2476224654584596
134,-0.2987545893024203
135,0.1653011355469238
136,-0.1511552580436043
137,-0.2236329533977797
138,0.151264135993667
139,0.1438538444939859
140,-0.1873603804856891
141,-0.6527888590701426
142,-0.342066957787481
143,-0.2773317763830064
144,0.1530277636085255
145,0.2833890422903755
146,0.1451168190393184
147,-0.0145137880986805
148,0.2389053789907942
149,1.102598983317815
150,-0.1220527045769757
151,0.6887052341597797
152,-0.0275558004960106
153,0.2748007694421544
154,0.955336000653234
155,0.1766016410367813
156,0.0570233795856245
157,-0.0733695652173863
158,0.2493765586034955
159,0.0677194788308909
160,-0.0135457303857854
161,0.4097252687658523
162,0.1108745452095444
163,0.4533991522240698
164,-0.7950243374797182
165,-0.8618808640628478
166,-0.0545791944110873
167,-0.0655379574003301
168,-0.1805547956447907
169,-0.1232572790271016
170,-0.0411026470104612
171,0.1791599994529546
172,0.5237810187200573
173,-0.3577182490920516
174,-0.1723289020187087
175,-1.051791672711438
176,0.8843195053562368
177,0.0574836530861421
178,0.3508520693111908
179,-0.6703668997332999
180,0.079227888216662
181,1.107941493851295
182,-0.0252921060130982
183,0.4044561129638779
184,-0.6786683811973261
185,0.3133456772539508
186,0.0427107061503433
187,0.4676208020405248
188,-0.0992907801418343
189,-0.359443396562152
190,0.1386026014642072
191,-0.3566588201726229
192,-0.0785265562535588
193,-0.1429796968830548
194,-0.3515316737212204
195,0.2361866590323593
196,0.2676755059067062
197,-0.0750053575255302
198,-0.1574014452314508
199,0.128617363344036
200,1.3995485327313713
201,0.4046762589928051
202,0.0954573530237609
203,0.4917025199754123
204,0.3341315364481786
205,-0.3969585150396844
206,-0.0727354109550852
207,-0.3875533587957749
208,-0.0112346927311435
209,-0.6371083084124355
210,0.1478930879738084
211,0.1915546916814577
212,0.266898915547561
213,0.0084276764896001
214,-0.264766357772598
215,-0.1438564820038336
216,-0.1921772552566151
217,0.1411074109612236
218,0.5651683438378718
219,0.0409537166900462
220,0.0560695262125003
221,0.1986514087462679
222,-0.514652117666922
223,0.1207831240695505
224,0.3387268350036493
225,-0.101501522522845
226,-0.178821879382886
227,0.0560695262125122
228,0.307434320849635
229,-0.301352582521555
230,-0.3692892062040627
231,-0.3352389018279302
232,0.28852920478536
233,-0.2539861718639659
234,0.1409046075806598
235,0.1371935132092681
236,0.0667932222456576
237,-0.0422029964127469
238,0.0210970464135029
239,-0.4201829031460746
240,0.1375176304654595
241,0.05286343612334
242,0.1688773176652774
243,-0.0880343686175082
244,-0.1587133636652366
245,-0.1377410468319511
246,-0.1627281731993701
247,0.0636357208513069
248,0.5414908579465414
249,0.1264222503160604
250,-0.4388302040560556
251,-0.3238993710691738
252,0.0125770343353101
253,0.2946893222145582
254,-0.2829476861167109
255,-0.4928598508783023
256,0.4309666865897023
257,0.0722997610964473
258,-0.1731901627987566
259,0.1132324725568564
260,0.3635337992415833
261,0.3653281708611803
262,-0.0124914121541326
263,-0.0281135788585986
264,-0.4928427925665473
265,-0.7909890527115104
266,0.5224726173989754
267,0.0880503144654002
268,-0.0031447529796505
269,-0.0629346423738911
