,SNPS.US
0,1.1159030692169412
1,-0.0793558626563081
2,0.1102024244533476
3,-0.8284923388826075
4,0.6738179142624826
5,-0.3263530051672683
6,-0.2180430635050431
7,0.306653210154499
8,0.4251700680272195
9,-0.3724394785847441
10,-0.3425724073497335
11,-0.4516570534754135
12,-0.1233311146783593
13,-0.3693952135811678
14,0.5432658485109101
15,-0.0841009994328085
16,-0.1900768145477401
17,0.3942694304563451
18,-0.0624975586891234
19,-0.4039532512353915
20,-0.0392341494036387
21,0.662561384363547
22,-0.2696471139942935
23,-0.0390945697642575
24,-0.2351189309925915
25,0.23000255558397
26,0.1312575199620654
27,0.2291742451800638
28,0.279319476185308
29,0.1774333719582883
30,0.224004624611586
31,0.1118770074704977
32,0.1135523873037608
33,-0.1263287072963728
34,0.3148274745439499
35,0.1150044923629804
36,0.1542988373762045
37,0.1719444046425054
38,-0.0752823086574785
39,0.0
40,-0.1615798922800677
41,0.0502440424920996
42,0.2363050483351325
43,0.0572532741716053
44,-0.1541052933376364
45,0.0895158980234889
46,0.0322153416616071
47,0.0
48,-0.0788106752642046
49,-0.4606470651743523
50,0.2619919090733989
51,-0.2394469547754236
52,0.238874975919863
53,-0.0713280512019749
54,-0.6304803290137347
55,0.2515577228220819
56,0.2393729971815777
57,0.2042074439392885
58,0.3910822500853954
59,0.0349127182044701
60,0.04555759738129
61,0.0157969403013701
62,0.1225443265806277
63,-0.1418929283632476
64,-0.0575572694831269
65,0.0345224395857211
66,0.1761372338796279
67,0.1261998546789491
68,0.0726077652094152
69,0.038200015279993
70,0.0610826906925345
71,0.0762951094834777
72,-0.0343445907269509
73,-0.1069641288153835
74,0.1068498378172217
75,-0.0159413910199994
76,-0.031452475309814
77,-0.0125825731362127
78,0.4103881457347835
79,-0.1820293129962602
80,0.194205168363353
81,0.0782472613458529
82,0.2092638285910659
83,0.0530686145969779
84,-0.0687242284143353
85,0.0390326156536401
86,-0.0312358462571718
87,0.1232295501341606
88,-0.0468179406348619
89,-0.2456156818572826
90,-0.0352120941806181
91,0.0930298008067837
92,0.2028460866308754
93,0.0561412263739027
94,0.1214915423195496
95,0.0342551071250665
96,0.009341429238665
97,0.0933271115259018
98,-0.0497992467863824
99,-0.0841069092268514
100,-0.2189970676663727
101,-0.0687157581948193
102,-0.072482622755845
103,0.0222973726262597
104,0.5120621129494584
105,0.344497255075348
106,0.0846708879399062
107,0.0367998822403852
108,0.1323042998897514
109,0.128463938337297
110,-0.3794856679684521
111,-0.3660836445660648
112,-0.196369025565035
113,-0.2767921829429156
114,-0.087386583370503
115,0.2540754066133796
116,-0.2509946826311721
117,-0.0893222672968882
118,-0.332337565347269
119,0.0205334976013166
120,-0.0504258180188222
121,0.1715265866209186
122,-0.2579535683576948
123,0.2944684657820052
124,-0.0783377476032303
125,-0.1751072961373359
126,-0.158189758932556
127,-0.0171974960445798
128,-0.0309650782728477
129,0.6256838074398389
130,-0.1061026114933094
131,0.1264784303001314
132,0.0170887590143048
133,0.006835036396582
134,0.1262884838555548
135,-0.0273130761352137
136,-0.1025290498974554
137,-0.0410284463894982
138,-0.0342020658047823
139,0.0888463641334031
140,0.1330921748626374
141,-0.0273084144051831
142,0.0614062020264069
143,-0.0068233768892162
144,-0.0922005190547871
145,-0.0991283541274871
146,0.0478321773890417
147,0.0409822068918426
148,0.0097664720429557
149,0.0925932243867586
150,0.368581823174093
151,-0.0377682403433523
152,-0.0927898824661426
153,-1.127773819660453
154,0.2132824692214354
155,-0.2747252747252818
156,0.3223681930049592
157,0.2679204189929571
158,0.0639143202625677
159,0.1930967897658709
160,-0.0862782992821645
161,-0.202299645543349
162,-0.133314865473178
163,-0.1248136462919993
164,-0.222384377497476
165,-0.0643243337215981
166,-0.0086932331872988
167,-0.1253394610403024
168,0.340041637751548
169,0.0346860908775659
170,0.0346740638002655
171,-0.0069352937096822
172,-0.0104040228888408
173,-0.0520471894517814
174,0.0416204217536086
175,0.1482488109209838
176,-0.2647673608422888
177,-0.0976411146585653
178,-0.1086079563085777
179,-0.2270394675458023
180,0.3671970624235013
181,0.0665778961384918
182,-0.3106265337185102
183,-0.4571482065124216
184,-0.1484421388168273
185,0.0671444855639278
186,-0.0890847711927882
187,-0.106389636397782
188,-0.1284581884262205
189,0.4149765990639576
190,-0.0686898963407104
191,-0.1344380178208378
192,-0.181664421962615
193,-0.1819950422040177
194,-0.1665828513955156
195,0.0596827391236053
196,-0.1352541519879236
197,0.208735502299218
198,0.1019096296760984
199,0.7469422053468542
200,-0.1562011871290355
201,-0.2447399696541142
202,0.1037071797278245
203,-0.0821885640483769
204,-0.3712214954923077
205,0.3620493952796631
206,-0.0744222483352909
207,0.1447178002894262
208,-0.1253181907186188
209,0.1798209608693983
210,-0.0391068006726347
211,-0.074358171571696
212,0.15629884338855
213,-0.2134116495349926
214,0.03131667025504
215,0.0997223417152224
216,-0.1684424945158284
217,-0.0901783963928601
218,0.0431102053613361
219,0.0039189559901206
220,0.1291585127201614
221,0.0195656427313681
222,-0.0704859615459947
223,-0.0352554058288951
224,-0.1137299501941221
225,-0.2665216208865973
226,0.5517390598799211
227,0.0108172426848297
228,-0.273883450389129
229,0.1516259172014194
230,0.1567948960558084
231,-0.0236599990536092
232,-0.027723682786964
233,0.0486618004866044
234,-0.0432736517552788
235,0.040552596717937
236,-0.0040554241297698
237,-0.0040555886010886
238,-0.0216344853696903
239,-0.0054089138900859
240,0.0054086213424148
241,0.0013521370526257
242,0.0337920034603011
243,0.0216222060055634
244,0.0108099343296391
245,-0.0784334938064487
246,0.075671585319705
247,0.0297192878177974
248,-0.0310798210883367
249,-0.3512150141028311
250,0.6434477848967808
251,-0.6337484845144966
252,0.2775258978374937
253,-0.3100839293835531
254,-0.3554436822305889
255,-0.7960074163913293
256,0.2697179084349327
257,-0.5184750405277037
258,-0.1525606393550349
259,-0.2427252574571397
260,-0.374605678233434
261,0.3718098017482044
262,-0.3731973862100013
263,0.1350135013501241
264,-0.0140658846034699
265,0.1937331536388133
266,-0.1518474776446826
267,-0.5684228387206218
268,-0.1586177595241473
269,0.1626016260162569
270,-0.2139598152294033
271,-0.0056681309338194
272,0.3276743594813616
273,0.0762109066275211
274,-0.3910456219892308
275,-0.1135542479611796
276,-0.4927641475180287
277,-0.3174107607451419
278,0.2077058884619457
279,0.1210151441809082
280,0.1725804224768742
281,-0.2144586648218625
282,-0.0761561894212224
283,0.2727241343597958
284,0.2204539974509959
285,0.1959570957095686
286,-0.0929080210591451
287,0.0154822727976326
288,0.2710631508517972
289,0.0428713516479747
290,-0.1029972190750889
291,0.1337173421106916
292,0.2803610503282252
293,-0.0821242814125407
294,-0.0308060927605791
295,-0.1439687382168303
296,0.0496788008565248
297,0.0085645769098928
298,0.0821523926884401
299,-0.2195540308747809
300,-0.3283555235696205
301,-0.1712174461566168
302,0.1574519771469633
303,-0.055513878469618
304,-0.4127998071592155
305,0.283932997821676
306,0.2502547503446731
307,-0.01198968886758
308,-0.2117657660363708
309,-0.1263176889878091
310,0.1186578148938033
311,-0.1142822772247437
312,-0.0758145550100894
313,-0.1395741346313227
314,-0.0346719729860133
315,-0.2236054873995313
316,0.1689291101055813
317,-0.1540832049306598
318,0.0498256103637159
319,0.1402207345757287
320,-0.0392168692871566
321,0.0316651336721054
322,0.097915160279582
323,0.1414001624597522
324,-0.012035504738969
325,0.3140282367077118
326,-0.0315509547919774
327,0.2532669943651752
328,0.1646965322762187
329,0.0055653797474012
330,-0.1225284601557794
331,0.1107220875602251
332,0.007480662487463
333,-0.0703677087076337
334,0.1186158729930962
335,0.2694625067112022
336,0.255861002023091
337,0.0713521227256537
338,-0.0475907198096445
339,-0.0059491938842232
340,-0.0223144553041426
341,-0.0729470612755328
342,-0.0357419431703117
343,0.1071109788753387
344,-0.0386939310057432
345,0.0208308534698229
346,0.1367013372956848
347,-0.1160334414328602
348,0.0490669838673596
349,-0.0371857801576677
350,-0.3436535463136923
351,-0.1146825523239007
352,0.5228799594371838
353,-0.1110370863868604
354,-0.050785589588944
355,-0.1143982967364751
356,0.0888973553036891
357,0.1679873217115603
358,0.0633512828634743
359,-0.1300390117035009
360,0.0317067757379644
361,0.0253589881763847
362,0.2592557463087651
363,-0.1805397187381202
364,-0.2826922466092949
365,-0.04130918334922
366,0.0952380952380988
367,0.1141552511415568
368,0.0507099391480629
369,-0.0681879450056215
370,0.0681414807302152
371,-0.0063391442155251
372,-0.0174356860942499
373,0.1408718224698449
374,-0.1204399226648903
375,-0.5204608661104498
376,-0.7565749969977128
377,0.4701382525200234
378,-0.5085695979497078
379,0.3690478565301567
380,0.0737551329585784
381,-0.0758059368017978
382,-0.2921051578568244
383,0.1837280824379949
384,0.2898869325470286
385,0.3846588711357019
386,-0.070467267458021
387,-0.1670179345448711
388,0.0675568272134746
389,-0.0656128839844883
390,0.1370026209197041
391,0.1110670368901234
392,-0.1211302845568843
393,0.2159784417848997
394,-0.1547926175828596
395,-0.003969199015635
396,-0.0873986969648811
397,-0.179090221673892
398,0.1033673915636269
399,0.07151086567876
400,-0.1708553791887137
401,-0.4498207637264536
402,-0.0706371191135721
403,-0.0083109399673027
404,-0.0817910861579028
405,-0.1715838483440931
406,0.8980513046350243
407,-0.2552463472178179
408,-0.2836428037745184
409,0.0096844260593982
410,-0.3431722330350446
411,0.0474551812177366
412,0.0748731316380684
413,-0.2976024920732027
414,0.0893121629605128
415,-0.1924993735556943
416,-0.0835957310446711
417,-0.1632778374757468
418,-0.0879962007989489
419,0.1116164857549396
420,-0.2685990878822583
421,-0.4525014052838711
422,-0.0295196727533471
423,0.0323206205559172
424,-0.3950227138060374
425,0.3864232776768391
426,-0.5363562565232418
427,-0.1975366023704412
428,-0.7168144182100087
429,0.078933520435006
430,-0.1991915167848165
431,0.5042114773687791
432,-0.4449778974794457
433,-0.1172367302675861
434,0.3126278267983384
435,0.3812905666967437
436,0.0756187650873952
437,-0.1281341914441299
438,-0.1253790529507834
439,-0.2001314732305901
440,-0.5685490979608634
441,-0.0999999999999926
442,0.2903310947535145
443,0.1610353106517571
444,0.027514825807734
445,0.1099383058974814
446,-0.1024410232394678
447,0.2743724460011668
448,-0.4603700554203589
449,1.0905188665564685
450,-0.0959999999999935
451,0.3772381913819661
452,0.1255881416492794
453,0.0707038568953896
454,0.3399862596226593
455,0.2056817382743957
456,0.2350135045073342
457,0.1820664542558169
458,0.2026625668262287
459,0.0541305069060153
460,-0.5636721219358074
461,-0.0491918482080064
462,-0.1160868188693991
463,-0.0844981163961585
464,0.2528533801580429
465,0.1927795303189664
466,-0.066640945599943
467,-0.1651208544126009
468,-0.0175691345444363
