,ATVI.US
0,0.5611734637181859
1,0.4755585047555926
2,-0.5672339005672395
3,-0.0278133170161778
4,0.0611518790304565
5,-0.3738630656771315
6,-0.262951773525791
7,0.3067655753248831
8,-0.139633601429848
9,-0.4995790064552267
10,0.1960784313725458
11,0.0447978497032212
12,0.1782013071076954
13,-0.116850411326877
14,-0.0503919372900355
15,0.0335833426620409
16,0.0503496503496522
17,0.2065654309959828
18,-0.1789709172259469
19,0.1396258028483663
20,0.078129359897308
21,0.1003512293025627
22,0.2057418557269997
23,-0.0889854104020436
24,-0.1449921927280946
25,0.5875077303648663
26,0.2672697368421105
27,0.2256410256410245
28,0.0717433637388471
29,-0.5876288659793745
30,0.0206143063285879
31,0.0
32,-0.0103082156478619
33,-0.2480107471323851
34,0.2268275079905133
35,0.1852423587527084
36,0.1746455722210824
37,-0.0513927433446368
38,0.1026799466064219
39,-0.0667865399434859
40,0.1077696807964733
41,-0.1336073997944601
42,0.0924119519457884
43,0.1502001814705296
44,-0.0990353037766892
45,0.0205212394828606
46,-0.2056343820686701
47,0.082186151633448
48,0.1333743716015137
49,0.3374233128834338
50,0.2302732575990117
51,0.509113124936361
52,-0.6662566625666169
53,-0.0102511532547464
54,-0.5359167267855262
55,-0.2997725863138374
56,0.2577585318074028
57,0.0206164312957532
58,0.0103071531642866
59,-0.1031778786628088
60,-0.0412881915772153
61,0.2060156571899493
62,-0.0773156022885447
63,0.344154509965079
64,0.5466155810983362
65,0.0255362614913234
66,0.0459441523303767
67,-0.3123719786972476
68,-0.1076536627877213
69,0.0614785593524281
70,0.0665574441941406
71,0.0511718350220009
72,0.0
73,-0.1434867274777089
74,-0.030756612671711
75,-0.7519694437813266
76,-0.2332954477478105
77,-0.414464199903891
78,0.0180169359197652
79,0.1259596928982773
80,0.3943123431712251
81,0.4934308305094896
82,0.4321060731620633
83,0.3656522764803046
84,0.0353731871241612
85,0.0471420153211456
86,-0.0235765648944901
87,0.2469426152398964
88,0.0
89,-0.0941619585687529
90,0.2816901408450811
91,-0.0234796900680864
92,0.005869577977338
93,0.1816264354347329
94,0.0819576162041835
95,0.0468110005851448
96,-0.205218411023157
97,-0.1585623678646994
98,-0.27677993051057
99,0.311142421040273
100,0.0606863069623663
101,-0.3876827647319387
102,0.0615482711134904
103,-0.3840426714079393
104,-0.6599552572706814
105,-0.8232773204014933
106,0.0225504566467426
107,-0.5897697629579176
108,-0.2843494085532302
109,0.2835431552682318
110,-0.068096697310183
111,-0.6741316270566766
112,0.2621082621082666
113,0.3010850423223321
114,0.0170396455753726
115,0.1474591651542598
