,ODFL.US
0,0.2044161276202645
1,0.3682705819644284
2,0.2995313783274576
3,0.2794238088355659
4,-0.1157574880624997
5,-0.0868935553946448
6,0.3511641331537376
7,-0.0770267668014618
8,0.0048139411736344
9,0.1538091804854706
10,0.0720461095100755
11,0.2897440195397707
12,0.0933014354066952
13,0.0
14,-0.0095702938080248
15,-0.0838102535858733
16,0.2245848763588574
17,0.0692388501575693
18,-0.3233610385877424
19,0.1220095693779882
20,-0.129353710535146
21,-0.1271196603746366
22,0.4583979945087778
23,-0.2369214569473051
24,0.0095716678631164
25,0.1533867467323816
26,-0.2765323821055821
27,-0.1606136095450403
28,-0.3123664222536378
29,0.5428562085091156
30,0.1045375845284352
31,-0.1144688644688719
32,-0.1408312317820086
33,-0.17059807749089
34,0.0131212071510646
35,-0.1182304837597338
36,0.1852125026634533
37,0.0769759900422593
38,-0.0327664733444813
39,-0.0852654707637788
40,0.3073201033118637
41,0.2283328440486638
42,0.1855831217034554
43,0.1203212903645424
44,-0.2706404069388236
45,0.1156219974921485
46,0.0488305093022046
47,0.0991902175680532
48,-0.3295484207778618
49,0.3900156006240212
50,0.5168096329053371
51,-0.0230930472163988
52,-0.3493885700025021
53,-0.5268439538384444
54,-0.4952367231536674
55,-0.408657758168633
56,0.0813037508130457
57,0.1587416119489132
58,-0.2985290658754097
59,-0.0090471537654377
60,-0.0978048250380286
61,0.2439156593853366
62,0.1641473357624676
63,0.0865083084021227
64,-0.1245105292599842
65,0.1351546168817126
66,0.0648321567497503
67,-0.1334439355141214
68,0.3522012578616417
69,-0.1007302946361019
70,0.0826743350107697
71,0.0808117087186936
72,-0.1384692849949614
73,-0.1404646137223278
74,-0.426809418743426
75,0.0657157215199721
76,-0.1529259180394439
77,0.0464369328405876
78,-0.4606772149438254
79,0.213360229653175
80,0.0836835003967246
81,-0.2120411730433161
82,0.0640490654659163
83,0.1840443256228315
84,0.007748634303219
85,-0.0310041468046509
86,0.042612535833274
87,0.0348526507377267
88,0.135354629128303
89,-0.0232090360513702
90,-0.0116058648303503
91,0.0038684719535748
92,0.0811719686134975
93,0.0849650484687086
94,-0.1043841336116839
95,-0.2830225254914194
96,-0.1047892571605921
97,0.1936783390145646
98,-0.0542593597395718
99,-0.0193820986936289
100,-1.054803944049522
101,0.3382238676356235
102,0.0593824228028482
103,0.1277372262773727
104,-0.2790612562331238
105,0.2600839569264433
106,0.1048361365604584
107,-0.8481003930221329
108,-0.2188234210162594
109,0.1977011494252905
110,-0.2720022128993608
111,0.0322610378836727
112,-0.6867749419953548
113,0.1852709587772143
114,0.3967521682967269
115,0.2025782688766104
116,-0.1013918333486952
117,0.1840095684975645
118,0.1401107104302119
119,-0.4870054932373202
120,-0.1317340359148566
121,-0.1249566122874049
122,-0.2994011976047819
123,0.1714550509731253
124,-0.074197736969034
125,-0.0122437985160544
126,0.6012072826404368
127,0.1021251762875105
128,0.2377255967397676
129,-0.1944390433599094
130,0.2811439650993759
131,0.0895948858270587
132,0.4315748866814455
133,0.5729353949418642
134,0.1842457886676968
135,0.3839052502963971
136,0.08321425169096
137,0.1806770635222496
138,0.1542880201286605
139,-0.0974149401254573
140,-0.064192482347063
141,-0.1261664444867714
142,0.1165085479230589
143,-0.0809080741498643
144,0.2255567690773514
145,-0.1093363757368272
146,-0.1952845915694332
147,0.1046771661036298
148,0.2231295100645646
149,0.2226327506987008
150,-0.6443208224773048
151,-0.3639704583200723
152,-0.2160209646575585
153,0.331780319073838
154,0.474233322794823
155,0.287225471995514
156,-0.1016830294530226
157,-0.0701754385964872
158,-0.0386113938713235
159,0.3428131668240872
160,0.052443885042996
161,-0.0279778974610002
162,-0.1155421728931004
163,0.0822123878325713
164,0.0681722835966973
165,0.1256983240223313
166,-0.0803718069678727
167,-0.0402020590445925
168,-0.1786058239506875
169,-0.2334316203313747
170,-0.0263338073418614
171,0.0298360770823754
172,-0.1476429852005339
173,0.1649470063872992
174,-0.0245726120686605
175,0.4667301255872627
176,0.5466316496671239
177,0.0312001812175027
178,-0.1719266055045928
179,0.2805562332276213
180,-0.0183004941133417
181,-0.054931640625002
182,0.2556921953001263
183,0.0486795667518635
184,0.0273747604708382
185,0.0030415475393852
186,-0.2760198246282799
187,-0.0076254384627046
188,0.1739229988806983
189,-0.1803373699783469
190,0.0487819750602228
191,-0.1465604103691546
192,0.2512677600621282
193,0.0015228117195576
194,0.0547911847071736
195,-0.0334947169696284
196,-0.0624609618988257
197,-0.0411497546255344
198,-0.1847525689768428
199,-0.5141348721568969
200,0.5977759219374909
201,0.4637528984556163
202,-0.2280201710151202
203,0.0131532795510352
204,-0.0307004078768569
205,0.5799250021801746
206,-0.0567165481436217
207,0.0523263419526466
208,0.1044997623817309
209,0.2823820693249974
210,-0.6338243650828292
211,-0.118161925601755
212,0.6089604175728602
213,0.1755936925217152
214,-0.1628321663114774
215,-0.2135634588563498
216,-0.2008909075028421
217,0.2091867863680023
218,-0.2052491375169216
219,-0.3022339027595259
220,0.0306520120856474
221,-0.1447114541308597
222,0.5494984736153594
223,0.1654475792406807
224,0.0261164794985645
225,0.4149377593360914
226,0.0973253550573277
227,-0.1299357539883107
228,-0.4131632357204937
229,0.640979474252781
230,-0.0684660012251802
231,-0.0612966034470382
232,0.2302323908194989
233,0.3727331374094917
234,-0.0645531487591474
235,0.0179282154254406
236,-0.0215184879675796
237,0.1754260346555954
238,-0.1075191742527458
239,-0.5731175431640323
240,0.1206055478551939
241,-0.1171424452133753
242,0.1547486234570147
243,-0.0648204832727166
244,0.1940840311972183
245,0.0071877807726798
246,0.0395171720074772
247,0.3080008595372873
248,-0.0698862109130185
249,0.2306289555547747
250,-0.7326892109500777
251,0.0764310712418028
252,0.1486182519280224
253,-0.104543626859678
254,-0.0442495675610383
255,-0.0684324933580291
256,0.0201231537006525
257,0.0201191051022096
258,-0.1369973406398595
259,-0.1735620585267434
260,0.1652159896840734
261,0.3233386218946465
262,-0.0040167901829611
263,-0.0180788236712128
264,-0.1166438741855007
265,0.0361867234932264
266,0.0040205853972301
267,0.0622802611752892
268,-0.050251256281407
269,0.104413477370383
270,-0.130687415807141
271,-0.1550543697140519
272,0.0040272240344693
273,0.1608298821921135
274,-0.1338688085676078
275,0.3253517509061293
276,-0.4616090372154406
277,-0.2500646718978896
278,0.0574531039039351
279,-0.1885136204688462
280,-0.1802035579390479
281,0.0172965493384076
282,-0.0144158689885859
283,-0.0173020358728883
284,-0.3269202950961943
285,0.074817408519242
286,-0.0560577354179049
287,-0.137585447804416
288,-0.0289737497827034
289,0.1070880727041198
290,-0.1478260869565191
291,-0.3461214042639823
292,0.0639479115193356
293,-0.1105776225811131
294,-0.134036539526204
295,0.4438384776050212
296,0.0912950860057668
297,0.0521414191156091
298,0.0333014797440156
299,-0.0434555883886601
300,0.7312164579606399
301,-0.8274524834847736
302,-0.5554547927813523
303,0.1231817111388963
304,0.0002264364562641
305,-0.5384055001593611
306,0.2135393003180367
307,0.8022354425815762
308,0.2607210284995111
