,PAYX.US
0,0.1266650322791543
1,-0.2293390122041126
2,-0.2545573985876188
3,-0.0246406570841898
4,-0.2635263114551537
5,-0.0741717488050135
6,0.0905722519555368
7,-0.181473232698176
8,-0.0165002887550616
9,0.0494763750309246
10,0.3287581162159987
11,0.1477226097660998
12,0.0287155925667726
13,-0.0287238407878627
14,-0.0985788219830693
15,-0.3214109114883802
16,-0.2892801057938743
17,0.0247892910262775
18,0.1402756002970556
19,0.1894251358919486
20,0.098732927431302
21,-0.0493908462298339
22,0.0740314222258692
23,-0.2057362158383806
24,0.2381383109941559
25,-0.2699201036493198
26,-0.4991319444444531
27,-0.381222089097042
28,0.1413965629758488
29,0.2819956616052116
30,0.0
31,0.0975186910824611
32,-0.2825165706834783
33,0.0486560926550968
34,0.0707618840894338
35,0.2921761714100163
36,0.0108201687946387
37,0.0540715907861978
38,0.3126347563605069
39,-0.1836051409439482
40,0.0323904124379196
41,-0.0107979699816489
42,-0.3249918752031168
43,0.0324886289798582
44,0.0919664592913105
45,0.0810810810810841
46,-0.0757329871253848
47,0.0810766985568224
48,-0.0919714347543754
49,-0.3038853917950956
50,-0.1312228327728996
51,0.1146882936020204
52,0.0491279783836913
53,0.4564349172711731
54,-0.3270913402567597
55,-0.1053525134392063
56,0.2968373801265118
57,0.0122409009303089
58,0.1629460648525245
59,-0.4008179959100162
60,0.1307082754676877
61,0.032666394446718
62,-0.0735534488394928
63,0.483916880159407
64,-0.0040666937779548
65,0.0569013168590417
66,0.0609285511190567
67,0.079306647228288
68,-0.1729549520247179
69,-0.0203326420235091
70,0.190762237194577
71,-0.0081182010066495
72,0.2833319841334042
73,-0.0810175808150322
74,0.2908150900718955
75,0.0634632819582893
76,-0.3000818405019535
77,-0.0281974549522971
78,-0.3642505020996774
79,0.0638627862421249
80,0.1821327747928265
81,-0.2190380578625619
82,-0.0913492280990173
83,0.1368363437329006
84,-0.0638977635782815
85,-0.1279590531030075
86,0.1186781084535417
87,-0.0365296803653025
88,0.0029222890290025
89,0.0244681822331729
90,0.0182565038795034
91,-0.0182598374874427
92,0.1003283473184963
93,0.0364697301240027
94,0.1229340254063569
95,0.1681818181818202
96,-0.0272801673183605
97,0.1634135270086308
98,0.018153762367247
99,-0.1545454545454561
100,0.4953850967304672
101,-0.31910441514962
102,0.0784067743453064
103,0.0470219435736694
104,-0.0313577924114154
105,0.0
106,0.0522356874216435
107,0.083507306889351
108,0.1042752867570474
109,-0.1357418815913226
110,0.0208790061593174
111,0.0834463335767166
112,-0.1514755810916795
113,-0.1936361733305296
114,-0.0733214622394546
115,-0.0209533787323164
116,-0.0733906479345852
117,-0.0419551080343948
118,0.0419375131054645
119,0.1047339757017265
120,0.0314103235263335
121,0.0104690117252836
122,0.0
123,0.1933023353011883
124,0.1304393196285088
125,0.4731234096692103
126,0.2696272799365497
127,0.3831417624521068
128,-0.0592838510789571
129,-0.1861017620273208
130,0.1482652960363744
131,0.0138361796331422
132,0.0
133,-0.4367505757166657
134,-0.1431411530815163
135,-0.3431216086817801
136,-0.1958824705176816
137,-0.0824184617354356
138,-0.1378205128205104
139,0.1919385796545178
140,-0.2163981726376614
141,-0.0320692696223779
142,-0.0401026628168087
143,0.0641231163834548
144,0.1760281645063201
145,0.135836995605275
146,-0.1200000000000045
147,0.0959079283887504
148,-0.1440691531935383
149,-0.4421577297210363
150,0.146298644299235
151,-0.2640328574222531
152,-0.1076847772883009
153,-0.0783775840109851
154,0.0350616713252419
155,-0.1429972538250376
156,-0.1571709233791715
157,-0.0589738549243191
158,0.0098280098280148
159,-0.1476377952755961
160,-0.2071210178518529
161,0.2066929133858206
162,-0.0541631788862008
163,0.0934671389216832
164,-0.1182033096926758
165,0.137713948455637
166,0.0589854502556058
167,-0.0885565285840828
168,0.0147572433469433
169,0.0245893577259817
170,0.0393274997541953
171,0.0
172,-0.0688705234159712
173,0.0786472670074698
174,0.019657951641435
175,0.1026430587631428
176,0.1196070055531828
177,0.0256235052955254
178,-0.0398176930688145
179,-0.1055512787614436
180,-0.1799485861182465
181,0.0142224842053288
182,0.0371702637889734
183,-0.1028806584362178
184,0.0214288775553985
185,-0.2362745940372933
186,-0.1979164962840085
187,-0.0345332414743329
188,-0.0775661466862047
189,-0.1251240453898226
190,0.0172555109788154
191,0.0862031808973702
192,-0.1986611962858905
193,0.120778156407713
194,-0.056107034959009
195,-0.2249329526775594
196,-0.0259605399792325
197,0.0346020761245605
198,-0.2819345044458803
199,-0.501307759372278
200,0.169673155920698
201,0.5506216696269897
202,-0.2225189141076991
203,-0.2408993576017095
204,0.435284711734916
205,0.5741035152799909
206,0.0441423148229868
207,0.3957087583538541
208,0.1930840793400025
209,-0.0263365815117207
210,0.2015069213246924
211,0.1312450783095683
212,-0.3512160856967299
213,0.122774708410068
214,0.2274914690699143
215,0.1834061135371124
216,0.0
217,0.3134250391781294
218,0.126081474718487
219,-0.1436781609195332
220,0.2432244614315506
221,0.3203740583600228
222,-0.2517361111111041
223,-0.1347298883045774
224,0.0564677265224548
225,0.1891312570924293
226,0.2808046940486117
227,-0.218413978494616
228,0.1258494840171083
229,0.0
230,-0.1680813513740674
231,-0.0672777731057087
232,-0.2782931354359911
233,0.0674195179504452
234,0.1665853371249789
235,0.0269156363024614
236,0.0924369747899154
237,-0.0504456028249556
238,0.1133739239974848
239,-0.0546172590538591
240,0.0168024867680383
241,0.0251973794725358
242,0.159329140461214
243,0.0293414930628298
244,-0.0650126879600701
245,0.0272559543777246
246,-0.1343634531407428
247,0.0503609199261392
248,-0.1344763825853056
249,0.1510574018126826
250,0.0928074245939622
251,0.1112450171502777
252,-0.0463735856056495
253,0.0185459940652913
254,0.314198848399749
255,-0.0415221713598727
256,0.1062355658198567
257,-0.0647069698650334
258,0.0831255195344871
259,0.0461595273264375
260,-0.0184672206832834
261,-0.0184706316956003
262,-0.0138548930864088
263,0.2947000046046813
264,-0.1568048701747798
265,0.078341013824879
266,0.0103215151984332
267,-0.0195409715181191
268,0.0506702289373133
269,0.0092119202247755
270,-0.0414708321813673
271,-0.1615359763696048
272,-0.1062650157087367
273,0.1844678103670935
274,0.0368799557440457
275,0.1120162932790218
276,0.0610624872786507
277,0.0965888871943458
278,0.2282410225197751
279,0.3638568829593687
280,0.1060124185976111
281,0.115974183138357
282,-0.1413855786709761
283,0.1109653989710475
284,0.0302541347317478
285,-0.2730306401051633
286,0.2823434506403157
287,0.1007353681877649
288,-0.0907441016333829
289,0.1007252215954817
290,0.0302084382237449
291,-0.0402941472751145
292,0.196048861408543
293,0.0050266411983466
294,0.0502411575562672
295,-0.0402090872537113
296,0.0301477238468507
297,0.0200944438862614
298,-0.0301507537688453
299,-0.2923092430198631
300,0.4103826818508317
301,0.1331967213114707
302,0.3166173016035157
303,-0.1939204158799794
304,0.3055498877779992
305,-0.2363253907140768
306,-0.1422427035330184
307,-0.0204855065041587
308,0.2452232553387239
309,0.254790052996331
310,-0.0304821791393808
311,-0.0001019471913582
312,-0.0612057533408163
313,0.2036037870304416
314,-0.1529363784665637
315,-0.0816326530612227
316,-0.010205122971737
317,0.4571312474603848
318,0.2027575020275779
319,0.0101368474404512
320,-0.0988304722554326
321,0.0784751089932041
322,0.2730030333670477
323,0.0606305578011197
324,-0.4466098254161568
325,-0.6224629245330827
326,-0.6162151150947135
327,0.0915844102981471
328,0.2385665702248611
329,0.0659429846809351
330,-0.0913891145410125
331,0.1470215462610859
332,0.0152068126520687
333,-0.0202798620969337
334,-0.2235772357723565
335,-0.0610128126906673
336,0.086360172720339
337,0.0253936008126009
338,0.0406132602294568
339,0.0203025073596693
340,0.030444489547393
341,0.1823338735818401
342,-0.3864144803742073
343,-0.1752098443484608
344,-0.0489196901752974
345,-0.0713921468638525
346,-0.0816576503011108
347,-0.1021763563911252
348,0.1224614756607718
349,0.0306059987757612
350,-0.1256402822073987
351,-0.2422011238132145
352,-0.320730877636309
353,-0.2924261623939928
354,-0.2149067109504726
355,-0.1516411485594102
356,0.1806640625000022
357,0.0975609756097505
358,0.1266686154145916
359,-0.0194912776532462
360,-0.1366253537620772
361,-0.0830199736289434
362,-0.1418231611893683
363,0.2049780380673577
364,-0.1172676634418103
365,-0.102714600146739
366,-0.0244618395303243
367,-0.0048926072704238
368,0.0146756677428828
369,-0.2255344185134239
370,-0.1571400510705272
371,0.068701540877424
372,0.2545276554087177
373,0.2733574148198781
374,-0.4018819839247312
375,-0.7526342197691921
376,-0.1910315704806072
377,-0.0603621730382173
378,-0.0603986309643671
379,-0.302907915993535
380,-0.4156950217986523
381,-0.172658947796061
382,0.4750833922975974
383,0.0505152556071905
384,-0.1517757765860626
385,0.0202326757713667
386,-0.0050584248065106
387,0.2069661786976257
388,-0.0302969097152102
389,0.141185962081485
390,-0.0403551251008797
391,0.1511030522816475
392,0.1709573612228496
393,0.0803858520900304
394,-0.0804505229283973
395,0.2157443178967471
396,-0.3676100312216687
397,-0.0302236550473515
398,-0.0604838709677442
399,0.0805801772763882
400,-0.2463329974246992
401,0.4312305455712956
402,-0.3993731811058794
403,0.0
404,0.4457321149988762
405,0.1446533882274503
406,-0.0668077051553304
407,-0.2679468572066641
408,-0.0670316165791398
409,-0.0782647584973249
410,0.3676061044892484
411,-0.268066569864844
412,0.0446578095344334
413,0.2561247216035679
414,0.0778902859686295
415,0.0055632823365735
416,0.0833796553640943
417,0.0888592691325095
418,-0.5135648096460957
419,0.0557911180540184
420,0.0
421,0.1837723450464911
422,-0.0836027198751564
423,-0.0669269380925689
424,-0.6285778426310498
425,0.2305612975035826
426,0.2438782591454383
427,-0.320245057087165
428,0.0198870416036842
429,-0.1114915983116991
430,0.1351996182599027
431,0.269670050761424
432,-0.0634920634920621
433,-0.0635324015247762
434,0.1031336771122534
435,-0.0079339892097674
436,-0.0317460317460367
437,-0.1669449081802955
438,-0.1034537641254254
439,0.0874612387691813
440,0.0158995150647986
441,-0.279017857142864
442,0.0239100980314028
443,-0.1796478901353302
444,-0.0119779605525837
445,-0.2481588216458551
446,0.0320102432778425
447,0.1837207444684112
448,-0.0319616460247639
449,-0.1200000000000045
450,-0.0090678273485719
451,0.4872766648619311
452,0.0450978623613343
453,0.0270513976555465
454,-0.1354401805869126
455,0.0811981234211506
456,0.1621329490181882
457,0.1977705861200996
458,-0.1801152737752059
459,0.0495071785408817
460,-0.0405222872579934
461,0.2873305198886661
462,0.0359034198007288
463,-0.0808480057491945
464,0.0
465,0.1524800430531901
466,0.0269010043041617
467,-0.0806783804376017
468,0.1097241209296062
469,0.0873264666368211
470,-0.0403207741588653
471,0.1610233931207162
472,-0.1343664621310444
473,0.0581915846016094
474,0.178731009830208
475,-0.0833642089662869
476,-0.3532255065997355
477,0.0464554492241913
478,0.0371505526144759
