,DDOG.US
0,-1.0655506200734273
1,-0.6538481418307824
2,-0.802375866201215
3,0.7344194465994247
4,-0.8712437395659366
5,-0.2956335190853662
6,0.3727258510139203
7,-0.1200417536534541
8,0.2187272159150171
9,-0.2846324585455103
10,-0.6148025537952169
11,0.3638743455497346
12,-0.317760445389842
13,-0.0709555345317036
14,0.298695173714836
15,0.1935146443514519
16,0.3336113427856624
17,-0.6030730505008158
18,-0.1199717528214346
19,0.461731427526195
20,-0.0863060989643226
21,-0.6475388260068535
22,-0.1265088819777453
23,0.0474183350895697
24,0.131544330439358
25,0.7089980189761157
26,-0.1357277093338854
27,-2.501428684561434
28,1.213024632625018
29,-0.0634719136781998
30,0.1267828843106228
31,-1.2245334474092404
32,0.6006165621345783
33,0.3759597564204437
34,0.2693282636248517
35,-0.073987950533778
36,0.1372176483006074
37,0.1370296194792976
38,-0.2324352879027985
39,-0.3392346019294046
40,-0.4044704630122356
41,-0.7290661520317432
42,0.2566570420276003
43,0.5688766016268771
44,0.1750346831914723
45,-0.6193527715475907
46,0.0213561131874108
47,0.2343666773196962
48,-0.6163245618736297
49,-0.0482573726541573
50,0.7227295646815062
51,0.8719315783627642
52,1.6925092815025085
53,-0.1312048983162088
54,-0.9547988299574977
55,0.5597936446956864
56,0.2681992337164645
57,0.1092401413232876
58,0.0875122910521158
59,0.4134479382004085
60,0.0543714658547163
61,0.0760621536455583
62,0.2492954693258226
63,-0.1193705914270205
64,-0.1195132551064748
65,0.2060067223246207
66,-0.2391044451690021
67,-0.3599476439790557
68,0.3369931514294902
69,0.0434640877974641
70,-0.2833169881224857
71,-0.1473236208872056
72,0.1035648097677955
73,-0.0763691904865889
74,0.7041490629400993
75,0.2111181501425266
76,0.4493496255419882
77,0.4056529704265928
78,0.5703478450489968
79,0.0801352054082161
80,-0.3286899358272155
81,0.4415125701225964
82,-0.5641454241537884
83,-0.0627221409157456
84,0.4113264157759446
85,0.5228873239436685
86,-0.551910861189213
87,0.0936329588015016
88,-0.2555410691003958
89,0.1458105504348285
90,-0.0521023289741021
91,-0.0938722294654533
92,0.2185564864442876
93,0.0883851512945907
94,0.0
95,0.2515234020484819
96,-0.0856431018374297
97,0.072614107883825
98,0.1010388870177948
99,0.1836048616498524
100,-2.886906335613655
101,0.8523109201168713
102,-0.8283351651227387
103,1.2558139534883757
104,-0.1708339804317505
105,0.5047643574555849
106,0.4716255703080881
107,0.3611251577049366
108,-0.4139098322818833
109,0.2685490677510962
110,-0.2178705080227669
111,0.0665983606557353
112,-0.5408189544166793
113,-0.4293399544796257
114,0.2785515320334367
115,0.385386156929243
116,-0.7663232019883075
117,0.1602564102564114
118,0.6037561339054088
119,0.069319640564822
120,0.0410614381768785
121,-0.0976161117961499
122,0.467899056531421
123,0.6174721756365317
124,-0.1068376068376108
125,1.530409402855566
126,0.5174630030432578
127,0.4457812499999991
128,-0.2813361547905084
129,-1.487556651029662
130,-1.0850345603600662
131,0.2245388933440265
132,-0.4915786928841964
133,0.4087502899293945
134,-0.0877982167242385
135,0.4159667226621952
136,-0.4015741707493374
137,1.1433108376339798
138,1.2079378774805805
139,0.398437500000004
140,-0.2113833868315947
141,0.3976918278228362
142,-0.1875000000000071
143,-0.1016657542816887
144,-0.1958940604920858
145,0.1408450704225294
146,0.0547430984593785
147,0.0390869293308295
148,0.0425866090510253
149,0.1758970358814216
150,0.5709321087253243
151,0.4448288644507767
152,-0.8599202392821685
153,0.0311468261384235
154,-1.5498481781376443
155,0.1768123263450373
156,0.4275653923541112
157,-0.811359026369169
158,0.265520293336715
159,-0.2281079711063323
160,0.4667003027245264
161,-0.2085571636225826
162,-0.018963337547409
163,0.0631711939355797
164,-1.0146129793886818
165,-0.4165064718697973
166,-0.3278688524590105
167,-0.4844961240310077
168,-0.1941747572815607
169,1.1516314779270704
170,0.331590358372645
171,-0.1916687963199482
172,0.1276161306789105
173,-0.0510725229826433
174,-0.2175303902750959
175,0.2110358180058117
176,0.6635253389748993
177,-0.6679574056147122
178,0.2125193199381751
179,0.1338044949435021
180,0.4239193083573471
181,0.8476997809315179
182,-0.888867534713878
183,0.3876711017517001
184,-1.281653546360572
185,0.0600716984788272
186,0.3668307751713578
187,0.0385988613335829
188,-0.0917564108755482
189,0.3273164861612548
190,-0.1784164336001565
191,-0.041293927862981
192,0.0653714506098495
193,-0.0820225803338878
194,-0.3874842584519921
195,0.0387334172557296
196,-0.0581339017537082
197,0.2319961333977855
198,0.0096655712352512
199,-0.1161215405457618
200,1.77439092223829
201,-0.5031305903398958
202,0.0447027268663458
203,-0.5619240278714317
204,-0.0112397437338486
