,CSCO.US
0,0.3526771401090074
1,0.3938684266553167
2,-0.0745712155108055
3,-0.0532935408228643
4,-0.0817124192209788
5,0.5480585614258551
6,0.2645222727753676
7,-0.5104753801978135
8,-0.2131514441010368
9,0.0958262350937003
10,-0.0106484932382122
11,0.2443169747185085
12,0.0318572793883414
13,0.0106179655977968
14,0.0742705570291704
15,0.1165748198389142
16,0.0847098686997017
17,0.1796850227248723
18,-0.1800084709868717
19,0.0317561130517636
20,0.0169337256313161
21,-0.2716756871484667
22,-0.0743415463041709
23,0.1166861143523914
24,0.2644942869234024
25,-0.2339071856287425
26,-0.1311598276185128
27,0.1403311815885543
28,0.2240268832259823
29,0.1491285301519347
30,-0.1400037334328968
31,0.0373203955961991
32,-0.0746965452847922
33,-0.0560538116591816
34,0.2423112767940269
35,0.0186358553857585
36,0.1302810348036484
37,-0.0093066542577858
38,0.009305788200252
39,0.0558035714285735
40,0.2327160974957949
41,-0.0471593018937943
42,0.1192412326168404
43,0.1536829280486127
44,0.0235098111810484
45,0.1222125462919284
46,0.0441692847902376
47,-0.0092412900841004
48,-0.1017576318223861
49,0.0739508227029141
50,0.425330812854445
51,-0.1704222685097449
52,0.0945894816496351
53,-0.199033266988905
54,0.1608629825889493
55,-0.1719454097021293
56,-0.1256569943682033
57,-0.2723639132089913
58,0.3319738214929417
59,-0.1025426786426426
60,0.0172773547040855
61,-0.0096838507547683
62,0.1422070534698575
63,-0.0569151963574295
64,0.0379290726341665
65,0.0094813691097042
66,0.0379110984740842
67,0.0378967314069086
68,0.1891252955082769
69,-0.1894836570345834
70,0.1324628630901698
71,-0.1231527093596016
72,0.028411781418696
73,0.0189376006059994
74,0.1418305597579479
75,-0.0377179681576948
76,0.4622205452315905
77,-0.3312511830399475
78,0.0094634238667598
79,0.5739555890101613
80,0.2253098009763376
81,-0.0375657400450714
82,-0.0563803796278916
83,0.1688555347091863
84,0.0749906261717402
85,0.0187441424554789
86,0.1684131736526877
87,0.009355412105908
88,-0.0655307994757605
89,0.1868809568305016
90,0.0
91,-0.0373901663862329
92,0.0280347631062528
93,-0.0186933358257876
94,0.0373726992432086
95,-0.0186898420708307
96,-0.0280426247896813
97,0.0
98,-0.0280504908835915
99,-0.2718919932495839
100,-0.0888415067519494
101,-0.4013914905004039
102,0.6117021276595724
103,0.397350993377486
104,-0.0795334040296954
