,AAPL.US
0,0.0283231853321349
1,-0.184852258699948
2,0.1503558718861328
3,-0.0411475018126163
4,-0.1028031682565786
5,0.1050913507422175
6,-0.1154254772267666
7,0.085604711683331
8,0.2765921120027325
9,0.1057443034520406
10,-0.0102343670044108
11,0.0978130101527783
12,-0.0637724653002608
13,0.0068201193520824
14,0.1056682751953462
15,0.0683548871361464
16,-0.119627824545857
17,0.0108369019001299
18,0.0742355610131239
19,0.0080358644717364
20,0.1093858947977039
21,-0.0542461755425315
22,0.2323702169558219
23,0.0235574138983413
24,-0.2652644476209957
25,0.2632838678793667
26,-0.0179543958345808
27,-0.6930215740629178
28,-0.1267121221263548
29,0.1625904593918472
30,-0.605999999999998
31,0.1573278470289186
32,0.5718053743929393
33,-0.3625384940522789
34,0.3010053578953705
35,0.0842105263157812
36,-0.2170716842918034
37,0.2405437732538039
38,-0.247106341933924
39,0.2345582486317524
40,-0.262308921518378
41,0.2166130148319656
42,-0.1236220538852331
43,-0.15670056314454
44,-0.2420008467912542
45,0.1328903654485043
46,0.0120794829981166
47,-0.1299021742285678
48,0.1357651890325015
49,-0.1754492104785652
50,0.2896387993895342
51,-0.0576896972987701
52,-0.2906482067618199
53,-0.6874100472894348
54,0.0034266525031665
55,-0.249946410610148
56,0.0541097301380217
57,0.0325376482556733
58,-0.0394176624090105
59,0.2055921052631462
60,-0.0311226217586891
61,-0.0754641387552157
62,-0.1130494505494554
63,0.0310343217627454
64,-0.0688446872101418
65,0.0370195104495973
66,0.0410548769143374
67,-0.1710336290489056
68,0.0755909840571836
69,0.076220035569343
70,0.0473575840768623
71,-0.0618089416935478
72,0.0385127356330584
73,-0.0385275736556462
74,0.0
75,0.3611495312740118
76,0.2376389421234206
77,0.1082001634105802
78,0.0284011746297202
79,-0.0523897058823505
80,0.2216278181123363
81,0.1644977782118228
82,0.1176649900929809
83,-0.0762660158633269
84,-0.2445716784620335
85,-0.0580611700052401
86,-0.1487780586838236
87,0.0470934172591594
88,-0.1468558282208517
89,-0.1920860545524395
90,0.0499174442268538
91,-0.1576801784478213
92,0.0730179470427722
93,0.1113243761996239
94,-0.2077242652715881
95,0.2531657226350485
96,0.0767579173376256
97,0.0421569003180982
98,-0.1496891072388064
99,-0.0460794101835513
100,-0.3674219228413927
101,-0.4552165354330765
102,0.6872957204386474
103,-0.7478303686834513
104,0.2045416853497776
105,0.0288609149524083
106,-0.2585729237209798
107,-0.741154215896048
108,-0.1304145319049886
109,-0.1586116812838187
110,0.4150148662041548
111,0.390318906465372
112,-0.2986570951172664
113,-0.4362035251808346
114,-0.0237488343176982
115,-0.2274355858802882
116,-0.3533016508254291
117,0.1498501498501555
118,0.1994017946161473
119,0.0124610591900375
120,-0.2655005466187796
121,0.0218599712697676
122,0.168350168350157
123,0.0373971578160074
124,0.8650519031141903
125,0.1656053603475467
126,0.4318879575011244
127,0.4327666151468284
128,-0.1134722508768255
129,-0.1067088912601983
130,-0.0551059066643596
131,-0.1691853573247263
132,-0.1000103601892486
133,0.0103591160221096
134,0.1826767311205227
135,0.0172306844027883
136,0.0723165398257445
137,-0.0654720882150233
138,0.1479544437945177
139,0.0996837618589373
140,-0.1514734232993657
141,0.1889839535442925
142,0.0159408320289812
143,0.1179054285910499
144,-0.1019499648258946
145,-0.0148412807475652
146,0.1440823327615835
147,-0.1305303654850217
148,0.1132269686052441
