,NXPI.US
0,0.0912251288246622
1,-0.0567396881783997
2,0.1576354679802922
3,0.1770259638080318
4,-0.1033718926901343
5,0.2308221196346129
6,0.0171859271807697
7,-0.0614160074681865
8,-0.0491569581674257
9,0.0736811081638695
10,0.0736268590781805
11,-0.0098178783564782
12,0.0196319018404868
13,-0.3052232560429304
14,-0.1429698284362019
15,0.1722525714848143
16,0.0639386189258289
17,0.1218266132201617
18,0.1089356690710928
19,0.434825092827836
20,0.1171188756587842
21,-0.3304854464001483
22,-0.0808506468051705
23,-0.1128280598479363
24,-0.0098120983172162
25,-0.1762287056980542
26,-0.2453626459907743
27,0.1225310003430868
28,0.2688434842115609
29,-0.0782702279620511
30,0.1233678193211233
31,0.1207788405231182
32,-0.0244057207009239
33,0.2288886724456992
34,0.4315569994666084
35,-0.0291021972158909
36,-0.0971015196387768
37,-0.1994551469157407
38,-0.1949697796841517
39,-0.0975800156127969
40,-0.053697827678796
41,0.0780449734159292
42,0.2384428223844326
43,-0.0681729645500517
44,0.0729891489465122
45,0.063217272904102
46,0.043746658241386
47,0.1746809646271112
48,0.0630394724081056
49,-0.0194005238141391
50,0.2371241582092383
51,-0.3951816407179986
52,0.3369080383410875
53,0.2886207712325456
54,-0.0473372781065061
55,0.1984220720933469
56,0.226255008248889
57,0.3616381739620429
58,-0.0799059929494653
59,0.1454989204918813
60,-0.4810413129598238
61,0.2915451895043753
62,-0.0329272308198848
63,0.1174591242247697
64,-0.2921496560173426
65,-0.1037735849056598
66,-0.1677337050249189
67,-0.049636002647262
68,0.2452136187871405
69,0.1083423618634838
70,0.1223241590214158
71,-0.0094104361737214
72,0.0752268559875859
73,-0.415466691846464
74,-0.1844669378488387
75,0.1941947084510733
76,0.4907724553959449
77,0.412381631198439
78,-0.1785076758300578
79,0.0458809135399691
80,0.1679474782431739
81,0.0203531267490927
82,0.0050880227943374
83,0.2942370129870193
84,-0.2339062341096349
85,-0.2089171974522275
86,-0.1722707841510907
87,0.1287181709275343
88,-0.1378289389723994
89,0.1198184877377174
90,-0.0178484918024409
91,-0.206959987735705
92,-0.1535390756947701
93,-0.0307172477345895
94,-0.0358496363822706
95,-0.061494311776163
96,-0.0205023065094782
97,-0.1745738344629304
98,-0.2677100494233843
99,-0.2063557573256323
100,1.3228346456692903
