,DLTR.US
0,-0.0218150087259991
1,-0.4272099901413085
2,0.0273777583091403
3,-0.1810202962150214
4,0.0657822607170135
5,-0.1152516327314524
6,-0.0054884742041818
7,0.1424969856406989
8,-0.1009458184291939
9,-0.0526951366780127
10,0.1753424657534209
11,-0.1646542261251434
12,-0.0878927708195982
13,-0.1141710718221753
14,-0.0728673637864712
15,-0.0220191566662953
16,-0.1543720366082264
17,0.0110253583241511
18,0.1211320339169688
19,-0.4925585044635654
20,-0.0441738167727682
21,0.1050652510506512
22,-0.055328095606946
23,0.0718748272239705
24,0.138030035335689
25,0.1788571966487788
26,-0.349518231626681
27,-0.4364326375711516
28,0.3780718336483851
29,-0.2178649237472804
30,0.1938076104939848
31,0.0708549834671597
32,0.1462195179472677
33,0.0754112268463951
34,-0.2598998204328432
35,-0.0851305334846797
36,-0.0378501135503331
37,-0.0662816021210182
38,0.0662376987131031
39,0.0236507260772825
40,-0.0189241614230931
41,-0.0425975009466127
42,0.1134644478063583
43,0.1814025570021195
44,-0.0681904042312139
45,0.1179189660865053
46,-0.0235893564823471
47,-0.0188750471876276
48,0.3760812335464514
49,0.0563803796278916
50,0.4353989469420887
51,-0.1521143900213017
52,-0.1218397806883993
53,0.0710227272727347
54,0.2731963978548983
55,0.0606734755789283
56,0.0606366851945449
57,0.0505050505050476
58,0.1109877913429517
59,0.0705787457148693
60,0.1107865847517367
61,0.1909931644551645
62,0.1906290759506348
63,-0.4484756865709321
64,-0.0352858151023254
65,0.1208337528949799
66,0.1930612519735728
67,0.0581558858979546
68,0.0200843542880056
69,-0.015065535077588
70,-0.4540180598294939
71,0.1309889666985839
72,-0.0554491380179522
73,-0.0857676202007908
74,-0.10606060606061
75,0.0
76,-0.2346397844790217
77,0.3377793175125589
78,-0.060663835687662
79,-0.1649305555555535
80,0.1560062402496036
81,-0.1648579174772783
82,-8.681309141706715e-05
83,-0.0086820628581271
84,-0.1565217391304407
85,0.2774887270204589
86,0.0520020800832052
87,-0.1041124414367433
88,0.1299714062906087
89,0.0606165569795699
90,-0.008660258075695
91,-0.2414232250705083
92,0.2235599826764823
93,-0.1127297953520722
94,0.0779828437743725
95,-0.1996874457370982
96,0.1992894896456024
97,0.1773126324438855
98,-0.0605824570513593
99,-0.1256499133448839
100,-0.3333333333333338
101,-0.1626573067374349
102,-0.1071260230535201
103,0.2179752163290648
104,-0.2571159122084995
105,-0.1889709671877674
106,0.0257621296693869
107,-0.1634268019955253
108,0.1245650960010274
109,-0.0472711645896062
110,-0.0946317962835507
111,0.1288770512930712
112,0.0515242593387739
113,-0.2065226744686422
114,-0.025822000344282
115,-0.1379072573694283
116,0.3178967265229011
117,0.0171806545829361
118,0.0944043940954337
119,-0.1547189272820978
120,0.0386647763887113
121,0.1843910806174864
122,0.3674271554302373
123,0.1365304206843558
124,-0.1110541602596919
125,-0.0766199649737383
126,-0.131521262604126
127,-0.241705119753899
128,-0.1209987900120992
129,-0.1818281999008122
130,-0.1379386448907525
131,0.0
132,0.1102292768959372
133,0.1925298421255263
134,0.225027442371019
135,-0.0494206798088929
136,-0.0714364215848026
137,-0.1210387323943655
138,0.1099142668718493
139,-0.3363661428177633
140,0.1101624896722759
141,0.0825536598789088
142,0.0605027226225255
143,-0.0825718374986269
144,-0.1543720366082264
145,-0.0662032439589565
146,-0.0551998233605621
147,-0.0497045341580623
148,-0.138259042141356
149,-0.1883865248226969
150,-0.2782931354360031
151,0.4758184788012327
152,0.3573576761136436
153,-0.3835908364411238
154,-0.0924312986597429
155,0.1668086314593875
156,0.2124946876328172
157,-0.1418640941977706
158,0.2829254491441546
159,0.0282845424975194
160,-0.088467390919707
161,-0.0814562969258964
162,0.0637077935867511
163,0.1660718702519241
164,-0.1238236750866644
165,-0.2056154282473202
166,0.0141783638168227
167,-0.0141803743618904
168,0.099164187561988
169,-0.063789070805871
170,-0.4199288256227781
171,0.007116931179269
172,0.530935862947756
173,0.1837196156020487
174,-0.0353431823001423
175,0.1372279945108807
176,-0.3590575967733952
177,0.0120982852893665
178,-0.4766516776201957
179,0.1628021706956014
180,0.088722397476344
181,-0.1184366363995307
182,-0.0898951881377806
183,0.1784833842816264
184,-0.3463289135167171
185,-0.1139234236465492
186,-0.0941993058998501
187,0.0990589400693497
188,-0.1090836969456559
189,-0.0893300248138991
190,0.0297678110736268
191,-0.1888855751068671
192,-0.0845729068205641
193,-0.0348362695331905
194,0.069624030236729
195,0.0596421471172843
196,0.0099393698439569
197,0.2330308889880504
198,0.2028698664027692
199,0.0197882655585198
200,-0.2048780487804817
201,0.2044591568493756
202,-0.1120912325161995
203,-0.2295818679171545
204,-0.0782166601486099
205,-0.3827657277456086
206,0.0
207,0.1078431372549014
208,0.1370667710984928
209,-0.2060237417835708
210,0.0637286141477501
211,0.0098034410077848
212,-0.0294189752390302
213,0.2591940532081382
214,-0.1469291801351664
215,0.1711240404830559
216,0.2681880241856891
217,-0.0390243902439085
218,0.2918287937743163
219,0.416545577835907
220,-0.4867127421395892
221,-0.4203323558162335
222,0.0878992089071231
223,-0.1859099804305261
224,0.1075163718111616
225,-0.088941595019274
226,1.0197344288753685
227,-0.17637980451239
228,0.6208004674262302
229,0.1312910284463944
230,0.2691496326471263
231,-0.3320804291501022
232,0.4974582425562835
233,-0.5036128749726281
234,0.0802217036172795
235,-0.5057538664516585
236,0.1207950510633566
237,-0.8416079140673924
238,0.2026081190598815
239,0.1765095241597478
240,-0.6849568662297838
241,0.2032219923145179
242,-0.3262158956109117
243,0.1258793039615075
244,-0.2114792416428783
245,-0.2417435287116845
246,-0.3433348260934528
247,-0.3370029206919708
248,0.3247116784234705
249,-1.037031450335621
250,0.0168157427573993
251,0.098883412131571
252,-0.1107754279959712
253,0.2110340669279549
254,-0.0251294164949547
255,-0.1963944002417093
256,0.1088550899312025
257,-0.0988922457200459
258,-0.262520193861057
259,0.1411574914297243
260,-0.0807265388496594
261,-0.0959547497601119
262,-0.126415857605178
263,0.2018570851836928
264,-0.1111447913509138
265,0.1311806256306715
266,0.0496221855546984
267,0.1216883247708297
268,-0.1311276982045546
269,0.1611278952668646
270,0.0302023557837522
271,0.0
272,0.0201308505284308
273,0.0352165819791827
274,-0.1158456734159455
275,-0.26687753286547
276,0.0987459267305167
277,0.40812312533806
278,0.0245796873463685
279,-0.3651075587132329
280,-0.0888888888888922
281,0.0493583415597207
282,0.0986193293885685
283,-0.0493339911198928
284,-0.1729676303434615
285,0.1726689689195828
286,0.1379446250862159
287,-0.0059122620314534
288,-0.0088691796008872
289,-0.0492975104757181
290,-0.0246548323471316
291,-0.1382579498321159
292,0.0937299590548062
293,-0.0740521327014246
294,-0.178041543026713
295,-0.0791922391605605
296,0.0741876452841414
297,0.1530864197530875
298,0.0789499654593884
299,-0.1383535922521994
300,-0.8852258852258899
301,0.1219512195121997
302,0.2483653504992552
303,0.0050684237202328
304,0.0101358199878277
305,0.0405268490374936
306,-0.0304043782304663
307,0.1618941616917905
308,0.1010815728292818
309,-0.1161764586824723
310,0.0352048558421749
311,-0.0101173613921397
312,0.1212611156022537
313,-0.0202142712755164
314,0.2017349203147093
315,0.0554463430616388
316,-0.1312269721899717
317,-0.0656565656565633
318,0.0807428340734742
319,-0.1718734202810653
320,-0.1620253164556927
321,0.0607225989272363
322,-0.1723438767234405
323,-0.0710155219640939
324,0.1923855812069784
325,0.1269319793922317
326,-0.2207505518763916
327,-0.1198726353249646
328,-0.3646890743664825
329,-0.0714850069603814
330,0.6615338615637546
331,0.2163049153427254
332,0.3345227475468458
333,0.003716781267419
334,0.2114086492099967
335,0.4357459379615978
336,0.0073849789528032
337,0.0590449479666488
338,0.3677473580797449
339,0.1027694115918482
340,0.0844067672208221
341,0.1063127795292776
342,0.0366461448255726
343,-0.2130003672420066
344,-0.0146918386836187
345,0.0734052704984176
346,-0.088163985012105
347,0.0954198473282409
348,-0.0587544065805027
349,0.1759530791788922
350,-0.2328406560032435
351,0.020242914979753
352,-0.1419014798297188
353,0.0101347927434935
354,-0.0517141727253388
355,0.0516874429917927
356,0.0
357,-0.0101358199878422
358,0.1113698491444764
359,0.0
360,-0.0709219858155959
361,0.0151952590791678
362,0.0050648298217133
363,-0.1318592149305157
364,-0.1116978066612504
365,0.0608889790947861
366,-0.0355311913100967
367,0.0050756268399245
368,0.0608704473977762
369,-0.1829454212826431
370,-0.0508440105755513
371,-0.1374675423858307
372,-0.0560366785532273
373,0.0503058063491135
374,-0.2034693877550991
375,0.1617632190880564
376,-0.0708215297450355
377,-0.0708717221828565
378,0.1415428167020529
379,-0.2026137169486403
