,PANW.US
0,-0.5151062239777962
1,0.1412542309639862
2,0.6355500742962519
3,0.1797827063892882
4,-0.3980997372541733
5,-0.7190321520897811
6,-0.1258196611621128
7,0.1723331774764496
8,-0.1377889554794484
9,0.1602735334971745
10,-0.1262410133516017
11,-0.1079025931429543
12,-0.0254425667532679
13,0.0133890317052301
14,-0.1689868833990492
15,-0.2163949409282151
16,-0.1076411781326885
17,0.2695316515180916
18,0.1208116656837997
19,-0.1610911238790803
20,-0.5860271678954222
21,0.0836481381543449
22,0.3656307129798787
23,-0.0699488835082031
24,0.002690269295954
25,-0.4087597006378217
26,1.5323243318077395
27,0.6201739130434705
28,-1.224473828338939
29,1.473351513341103
30,-1.2014237651762578
31,0.1353667562619174
32,-0.3204501934424922
33,-0.268411669050361
34,-0.3815367671642373
35,-0.3869617579119931
36,-0.6918076456672602
37,-0.0447489583436851
38,0.3201696998532986
39,0.5441854962735105
40,-0.3839560636616181
41,-0.2361075290149732
42,-0.1231551556323629
43,-0.1571701416520811
44,-0.3253428075287909
45,-0.2621572943766264
46,0.358923230309075
47,0.524650646143467
48,-0.1808300297077842
49,-0.4842155707753462
50,0.4639558491321387
51,0.4129171887458837
52,0.2669696109059919
53,-0.2905320724621279
54,-0.6421281963077655
55,0.140582959833813
56,0.4045331432644356
57,-0.0784649404379705
58,-0.8967641639797355
59,-0.5703697269753112
60,0.4539362759932526
61,-0.2846985374877036
62,0.9192703112918412
63,0.2399794303345356
64,0.1226958854077517
65,-0.1257071024512878
66,0.0799314872966113
67,-0.0428387833785617
68,-0.1859799713876902
69,0.0257444434909393
70,0.0943072702332078
71,0.136986301369852
72,0.0484924551444835
73,0.2730919124967939
74,0.1136589662717114
75,-0.3505787126543483
76,-0.6191267900078592
77,0.3790599726105229
78,-0.1306580768683446
79,-0.3101398873634199
80,0.4431238292099929
81,-0.0581695966907874
82,0.0232624260125552
83,0.1032817785122347
84,0.1289357642022744
85,0.1390569876136182
86,-0.4176202112666975
87,-0.0944739226090208
88,0.1653789503604709
89,-0.1475078929662008
90,0.2539726626396909
91,-0.1509487616979546
92,-0.1320183272501335
93,0.0439867522252162
94,-0.1866445458316122
95,0.0683895301846543
96,-0.1515151515151523
97,0.1528378623422985
98,-0.1790626459749825
99,0.3001293661060866
100,0.0087989994280713
101,0.0806970719836737
102,0.4143214509068131
103,0.6215040397762585
104,0.1644277603697989
105,0.2568387176630897
106,0.2838805233275608
107,-0.6290870475137743
108,0.1413909646212574
109,0.213798843444182
110,0.4217888282958904
111,0.0981873809208735
112,0.0280017231829676
113,-0.3861242393352485
114,-0.122164318740637
115,0.3805034353144202
116,-0.0061623786781641
117,0.1599655458824197
118,-0.0661833741207538
119,-0.0200129314326172
120,0.22578910989938
121,-0.053788228062073
122,0.0184382778648481
123,0.0552842532018643
124,-0.6678415731379179
125,0.1111248302259463
126,0.0562167498491857
127,0.5752924175913943
128,-0.172065330201561
129,-0.0355181552416588
130,0.7780307959227946
131,-0.0244041324330852
132,-0.177923859453741
133,-0.171480753448663
134,-0.0584823981050309
135,0.1875101907712369
