,FISV.US
0,-0.145072082691084
1,-0.3731343283582188
2,-0.1458257382427967
3,-0.292504570383906
4,-0.0320029259818139
5,-0.0503156161375835
6,0.2099689611101004
7,0.2095290152136191
8,0.0136630687252362
9,-0.0227769679300213
10,0.0091099571831929
11,0.1268317359570783
12,-0.1178721078520713
13,0.1455339275968679
14,0.3444525018129038
15,-0.0090653612546377
16,-0.0725755239045616
17,0.1811102055600858
18,0.3249390739236388
19,-0.1717902350813851
20,0.1850097017282726
21,-0.1129382002168413
22,-0.3172301277984306
23,-0.0634863050970371
24,-0.0272158214642122
25,-0.2283730702475564
26,-0.4219796348958753
27,-0.1746002573056533
28,-0.526558891454959
29,0.303923374470435
30,-0.1337206621478268
31,-0.1477718771646239
32,0.1889749262536857
33,0.1202460901606299
34,-0.2127698837423968
35,-0.2034023668639042
36,0.120048019207692
37,0.0
38,0.16594450078362
39,0.1014918005308574
40,0.0366415024857297
41,0.0919793966151529
42,0.1286055484108034
43,-0.1564081332229291
44,0.0643618977565349
45,-0.0091954022988552
46,-0.0690131124913759
47,0.2524093620927083
48,0.0
49,0.1557917888563065
50,-0.2252463632097692
51,0.1967028849756537
52,-0.2159016239556969
53,0.1686814731515252
54,0.2010755202244596
55,0.0981033355134111
56,-0.1403443113772508
57,0.0
58,0.009355412105908
59,0.0
60,-0.093641726753436
61,0.0300499615716221
62,0.0448208103303064
63,0.1494907969728081
64,0.0186828584773433
65,-0.0701098387473735
66,-0.267129065516915
67,-0.0421960710769391
68,0.0592269385108258
69,0.0765989324843161
70,-0.018731853516915
71,0.0234093356430597
72,0.1449275362318851
73,-0.1123279977534442
74,0.0467814371257458
75,0.1865301424772786
76,-0.1828953123136288
77,-0.221953911688638
78,-0.1808383233532946
79,-0.0879015502637041
80,0.1037758441765749
81,-0.2240179214337156
82,0.008000000000004
83,0.1637314803721882
84,-0.0359539789070004
85,0.0718562874251524
86,-0.0479271507308908
87,-0.0879437160217456
88,0.0
89,0.0239788985692599
90,-0.0960076806144528
91,0.0159987201023999
92,0.0319872051179464
93,-0.0319974402047772
94,-0.0400128040973202
95,0.0599832047026855
96,-0.0360028802304197
97,0.0279944011197846
98,0.1796407185628697
99,-0.1199040767386136
100,-0.3922087079146901
101,0.1761390530722359
102,0.0262116281115265
103,-0.4683633792859678
104,0.1411930815390016
105,0.0176460208223135
106,-0.0264760391845389
107,-0.017653808809247
108,-0.4076929894531667
109,0.1371863521706431
110,0.3835302415799702
111,-0.1059135039717604
112,0.0088253463948505
113,0.0617392838243016
114,-0.1236312257152954
115,-0.0426709732250664
116,0.077948446327687
117,-0.0176584849019918
118,0.1322634688299016
119,-0.079421108365693
120,0.0441033783187892
121,-0.2298647334453232
122,-0.0221072644471023
123,0.1633265648450624
124,-0.1946041574524536
125,-0.0675553954242504
126,0.7065557642429177
127,-0.2330793366203542
128,-0.2967092249595381
129,-0.0359776938298183
130,-0.0539956803455743
131,0.0269905533063438
132,0.2244165170556553
133,-0.0179565451607202
134,0.0672917320891865
135,-0.0224356097998667
136,0.1523297491039314
137,0.1342281879194681
138,0.087172265808352
139,0.006705109293288
140,-0.0313003040601062
141,0.1874497902347656
142,-0.1072290233223166
143,-0.0357557879681702
144,0.0803858520900225
145,0.0535618639528675
146,0.0847344244748685
147,-0.1026785714285668
148,-0.2326830141399724
149,0.0715435521373621
150,0.2176475922735058
151,-0.145309236218324
152,-0.1956412939624217
153,-0.0774064292869445
154,0.0182099608485805
155,0.3899873027389867
156,-0.2545917439534471
157,0.1180637544273866
158,0.3980099502487542
159,-0.0271444082519011
160,0.0135703623286746
161,0.10393131495708
162,0.0180717448269594
163,-0.171976828385226
164,-0.0498075616934632
165,-0.0045281651874619
166,-0.054367524465388
167,-0.2088440933442331
168,-0.0863361657654372
169,0.3035245084715121
170,0.1492739856154087
171,-0.1494971459635698
172,-0.0952251394368149
173,-0.0453658757882295
174,-0.0771815127576572
175,-0.4537917793873776
176,0.2958322457147858
177,-0.0958021250653315
178,-0.0348492768774978
179,0.3991669559180785
180,-0.0216985635550852
181,0.0997138645625551
182,-0.2670774837684307
183,0.0323309577611668
184,0.467128027681654
185,-0.25149596739224
186,0.095304106740599
187,0.1384322547153457
188,0.3663635188138417
189,0.0258542681087612
190,-0.1078422914330083
191,0.0646635340776849
192,-0.0043110881186372
193,-0.0431294746829959
194,-0.008626639061426
195,0.0258732212160423
196,0.05171967933799
197,-0.0690071594927959
198,0.0431108811864089
199,-0.1467921595717137
200,0.7282483710233856
201,0.3437738731856373
202,-0.0860173946286948
203,-0.5767567047966878
204,-0.0096135358584936
205,0.1760019346777609
206,-0.132993801950708
207,0.1103858706085708
208,-0.0384098329172328
209,-0.1153624303018693
210,-0.1347708894878711
211,0.182569424425865
212,-0.096181590843507
213,0.0644001653258045
214,-0.0259590423997702
215,0.0
216,0.1919201612129245
217,0.1437332311230411
218,0.2628183686147137
219,-0.0238982888825214
220,-0.0095602294455115
221,-0.2107683464265174
222,-0.0527198658039708
223,-0.1391821846803571
224,-0.4144578313253077
225,-0.1480628444517618
226,-0.0576131687242742
227,0.2299228116275259
228,-0.222203933832603
229,0.1479168378667044
230,0.0492813141683796
231,-0.0822030415125312
232,0.0575090371344012
233,0.1804165983270451
234,0.0655630224553338
235,-0.2505853838885861
236,0.0861927433918812
237,0.253827888315731
238,0.0409232280242358
239,0.1144538914322975
240,-0.1473718683477915
241,0.2205702148517245
242,-0.171849427168571
243,-0.1639344262295105
244,0.3227256015360072
245,0.2648305084745786
246,-0.171414578401758
247,-0.0163278634990695
248,0.1060185940303455
249,-0.6236665025439071
250,0.3006833712984039
251,0.8313002620403015
252,-0.2627287552092827
253,-0.1360791073210482
254,-0.0226849961435558
255,0.5908352877503168
256,-0.2350813743218853
257,-0.0090424088977221
258,-0.072391638765721
259,0.0542642669801827
260,0.0361630955609856
261,0.0542152344808911
262,0.1533742331288359
263,0.0631142367685449
264,-0.1263880111943672
265,0.0270758122743692
266,0.0604327707974485
267,0.0658013340544378
268,-0.1534711564503039
269,-0.0451589595375696
270,0.0947439657117112
271,0.1036596358391877
272,0.1664791901012394
273,0.0224921277552907
274,0.1437427005659838
275,-0.2244103503549389
276,-0.1421757475692544
277,-0.064249655805409
278,-0.06429096252756
279,0.0871759577884825
280,0.0871000275052708
281,0.1830328543973669
282,0.0365931753727986
283,0.1370363603142622
284,-0.0548446069469726
285,-0.0823346445887873
286,-0.0732399523940293
287,0.022882247952031
288,-0.1925810445228976
289,0.0504124656278575
290,0.1281581838154527
291,0.0594666300718283
292,0.1598465473145754
293,-0.022840436709155
294,0.0045678786771381
295,-0.0182748538011659
296,0.0639211030956144
297,-0.1646391658282327
298,-0.1465604103691459
299,-0.0366535324841988
300,0.1007617588972633
301,0.2572864321607985
302,-0.0764402961055671
303,-0.0724696030276217
304,-0.4529644908193822
305,0.1292511511430736
306,0.4743527898375858
307,0.048216007714563
308,0.1924927815207002
309,-0.1687153530971382
310,-0.0884528787391439
311,-0.0321750321750372
312,0.0562746201463199
313,0.0
314,0.1924899241674796
315,0.264164532650438
316,-0.1201826776700516
317,0.1040499439731034
318,-0.2286310216196675
319,-0.1244979919678724
320,-0.1447876447876503
321,-0.1490312965722705
322,0.1166720308979691
323,0.0120680638802852
324,-0.1167942005638308
325,-0.9173381987735048
326,0.809370601246725
327,-0.3835284618490063
328,-0.0100938730190825
329,-0.4513059075345034
330,0.0355767281573078
331,-0.0304167089120968
332,-0.2082804165608314
333,0.0355474304285969
334,0.1622388967755128
335,0.303275374039625
336,-0.1620089104900735
337,-0.4117736769864278
338,0.1978691019786841
339,-0.0456829602558263
340,0.1874556692674053
341,0.1315523173446624
342,0.0404612583451408
343,-0.2331947683260711
344,-0.0556935777899178
345,0.1063032022699641
346,-0.0811359026369295
347,-0.1421897217144024
348,0.1014610389610476
349,-0.0710732054015711
350,-0.1379944802207833
351,-0.0460193281178068
352,0.0
353,-0.2630000461403689
354,-0.0207674735214654
355,0.2462940797348294
356,0.0092064076597358
357,-0.1013731453322269
358,-0.0737803190998785
359,-0.1200369344413755
360,0.036920804873552
361,0.0461297167635364
362,-0.064623338257023
363,0.009231053263182
364,-0.0184655156495208
365,-0.0461851099205589
366,0.1751959428307955
367,0.0184382778648437
368,0.0276497695852545
369,0.0736783938110133
370,0.1563218390804613
371,0.1377410468319611
372,-0.1563505932125464
373,-0.1197053406998247
374,-0.0460617227084266
375,-0.0951063461870996
376,-0.043248853905369
377,-0.2688638334778858
378,0.2595155709342536
379,-0.6880933716575142
380,0.1131024882547376
381,0.2949340735600307
382,0.0866701334720006
383,-0.2476215300403984
384,-0.1871518105849612
385,0.1260595522712542
386,-0.0739516269357995
387,-0.0522284122562693
388,-0.0609702987544579
389,0.0696318217425348
390,-0.0522511538796501
391,0.1266355644154079
392,-0.0266214276393117
393,0.0
394,-0.0043500957021014
395,0.0586918244462278
396,-0.0587262919784195
397,-0.1874046633253462
398,-0.2928577672873448
399,0.0262191924488735
400,-0.4101957214383327
401,0.2180034517213271
402,-0.1637703575652869
403,0.1635025887909953
404,-0.0818181818181849
405,-0.3741217264348906
406,-0.0182531714885554
407,-0.1370864558581534
408,0.0432092506163875
409,-0.3504606499518731
410,0.1748781298014898
411,0.0127184554854119
412,0.1553078750228279
413,0.063909431206069
414,0.1185482400145864
415,-0.0547445255474473
416,-0.022815423226093
417,0.2185493785002002
418,0.1227830832196499
419,0.0090942160785657
420,0.0545355389929124
421,-0.0136357438298264
422,-0.0773289665211005
423,-0.0364033491081236
424,0.1544752385279434
425,-0.0463306152705681
426,-0.2415010217350967
427,-0.0557620817843887
428,-0.2422209800633416
429,0.3064920590693771
430,0.34532515264741
431,-0.076972952945537
432,-0.1484230055658595
433,0.0278215709913763
434,0.2036094400740387
435,0.1201700868922256
436,-0.3338898163606136
437,0.2497918401332317
438,0.1201256699316165
439,0.046180844185829
440,-0.1665278934221413
441,-0.1389660922734905
442,0.1849454410948796
443,0.1292944218692284
444,0.0092344630159803
445,-0.0107131246859959
446,-0.0863335952303947
447,0.0969618616677476
448,0.2670841775649217
449,0.0276217659515708
450,0.1477618426770984
451,-0.0434782608695627
452,0.0608325367167751
453,0.2081345937039364
454,0.0779896013864847
455,-0.1823074919697959
456,0.1603466955579651
457,0.0
458,0.0043335066735963
459,-0.0867453157529444
460,0.0173460537727632
461,0.1472243872867426
462,0.1038152089281119
463,-0.2254400416197044
464,0.1298926220990696
465,0.086520159197088
466,0.0345960906417628
467,0.0302624183995474
468,-0.043250724449632
469,0.0907441016333849
470,0.0431928127159738
471,-0.0172801105927166
472,0.0561288372695582
473,0.0302140883977871
474,0.0172622130157051
475,-0.1073156903638554
476,0.1394371881568944
477,-0.2268968871595313
478,0.4358353510895933
479,-0.0201816347124162
480,0.0524447313216053
481,0.1168553813917846
482,-0.5306651543384808
483,0.2744613584746456
484,0.0648364957609964
485,0.2577112023838345
486,0.0322035262861219
487,-0.1128395260739909
488,-0.0645213323655119
489,0.0241896468311571
490,0.0080625655083488
491,0.0443244550106722
492,0.0684545381332108
493,0.0322035262861219
494,0.0080502334567743
495,-0.0322113061684587
496,-0.0564015792442247
497,-0.0161173341929212
498,0.1207340631036634
499,-0.0805542129853345
500,-0.2034174125305126
501,0.0040681827427651
502,-0.1670741646291754
503,-0.4091653027823241
504,-0.2296587926509196
505,-0.0730520146760665
506,-0.2146911244550546
507,0.07397665625514
508,-0.1152073732718898
509,-0.1524704330984483
510,0.0123609394313972
511,0.098789824648065
512,0.0740375123395882
513,0.0821962847279256
514,-0.2595904239976906
515,0.0617690660517236
516,0.0164690382081653
517,-0.1980198019801938
518,0.3371433270290244
519,0.1887721602101149
520,0.1433431490744112
521,0.1106017191977146
522,0.0081859855926579
523,0.063973455106513
524,0.017830852282021
525,-0.3107734806629829
526,0.2497201412210385
527,-0.7154936906465361
528,0.3758424053913842
529,-0.4643895664250654
530,0.1733027165200839
531,0.3497107330973155
532,-0.0777739370895293
533,0.6524725274725318
534,0.271752624630336
535,0.1219428766889016
536,0.1067782855678469
537,-0.01281503630927
538,-0.025636643308837
539,-0.2055146429183035
540,-0.421360392123136
541,-0.1765947366154219
542,0.1505246860485217
543,0.1888736263736254
544,-0.0979667600501902
545,0.1407362910838423
546,0.1884368308351167
547,-0.1415276407771208
548,0.0814192663695689
549,0.0941861460741497
550,0.2305291094274794
551,-1.3878145144520555
552,-0.3024298675565817
553,0.2444733420026002
554,-0.8656873032528887
555,0.2616431187859759
556,-0.2202643171806101
557,-0.0419727177334798
558,0.1466890192791288
559,-0.3839074414935523
560,0.1208110095598223
561,-0.0210150257434023
562,0.2010241008706821
563,0.3743209360635184
564,0.1772864740848907
565,0.3935850518703356
566,0.2688327994662738
567,0.3011774426771207
568,-0.383618455158103
569,0.4643962848297243
570,-0.4457344252099169
571,-0.2598212429848264
572,0.3830624288228642
573,0.0487390453562869
574,0.0443731899048438
575,0.4509479109147754
576,0.1378549765646592
577,0.2658111824014592
578,-0.064202513069791
579,-0.1653651814423581
580,0.3296401428440614
581,-0.1834694064764596
582,-0.2436893650282776
583,0.0597371565113479
584,-0.0551724137931055
585,-0.3691739732348922
586,-0.1571454982436564
587,-0.0092447074050153
588,-0.157407407407409
589,0.1386962552011148
590,0.2122162760656853
591,-0.1247170770012387
592,-0.032344515294345
593,0.1292108906322109
594,0.0046144617230489
595,-0.0600240096038394
596,-0.0831792975970456
597,-0.1017670459802011
598,0.1478060046189344
599,-0.2129235326791372
600,-0.0274499039253242
601,0.455414882958375
602,0.0364199216971611
603,0.1227663347428773
604,0.1316864953228553
605,-0.236686390532549
606,-0.0455373406193052
607,0.1273421866472626
608,0.0908760450745261
609,0.1361285053090039
610,0.2444323737099366
611,-0.1950201823211839
612,-0.1135125317835089
613,-0.0227076615650171
614,0.2220409642921919
615,-0.0634805477464472
616,-0.0136048251779969
617,-0.1862789641072224
618,-0.2276867030965391
619,-0.2007665632414663
620,-0.1370739285387841
621,0.0776149385928811
622,-0.0091320031048857
623,-0.2838957827739386
624,0.0503432494279238
625,-0.1429168020045571
626,0.032470544577429
627,0.037095427988493
628,-0.0742459396751724
629,-0.2232350479025159
630,-0.0372196892156008
631,0.079029333829211
632,-0.1443202979515839
633,-0.0838691641040009
634,0.0046591809159907
635,0.2834045716409652
636,-0.1023160636219881
637,-0.0465289410013133
638,0.083682008368204
639,0.0604005017887819
640,-0.074394383224065
641,0.0696961248954584
642,0.0464425041798227
643,0.120604879858994
644,0.0278241513633712
645,-0.0417536534446648
646,-0.055702548391591
647,-0.0789742636811371
648,-0.0743840074383991
649,-0.1489896638420677
650,-0.5490929797445677
651,-0.0325494344535814
652,-0.874204801970037
653,-0.0657111174996905
654,-0.2222679563696318
655,0.5444571802849241
656,-0.0245680124477939
657,0.1798414125725487
658,0.073517399117794
659,-0.4430587463078489
660,-0.0410407945497801
661,-0.2551020408163284
662,-0.1153402537485587
663,0.4755657592653315
664,-0.3951267698386481
665,0.0326696000730715
666,-0.0450335487588991
667,-0.004116581590655
668,0.0
669,0.1110243019861056
670,-0.1276350461133079
671,0.2955665024630537
672,0.1270960600221402
673,-0.1437017572672008
674,-0.1809805857189855
675,0.0871726017514712
676,-0.8610409297625102
677,0.5427681173987255
678,0.2356480320882421
679,-0.6713103169796003
680,0.1562263770599215
681,0.2362996480643533
682,0.3482051153585977
683,0.1828360186956833
684,0.1594767325743967
685,-0.3557648945232289
686,0.4191407614390516
687,0.2736863057324897
688,-0.2494263194652299
689,0.2686567164179065
690,0.1093330682834702
691,0.2280840936136493
692,-0.1688685805105808
693,0.1487800039674583
694,0.1979805979014084
695,-0.0891707123749026
696,-0.2084988085782446
697,0.2426583469519185
698,0.1631563334322081
699,0.1283823819869737
700,0.7348384240814504
701,0.449497620306708
702,-0.4204097889100273
703,0.1016799292661316
704,0.0795123244102866
705,-0.2080474525253414
706,0.1061242538138444
707,0.0927725746598374
708,-0.0928587220871138
709,0.1721550278096523
710,-0.0088292424509896
711,0.1146485580739002
712,-0.1147801518629661
713,0.0529474055771161
714,-0.203377840657874
715,0.0132620131736002
716,0.0971602702822059
717,0.1807441368365352
718,-0.07499889707505
719,0.1101709853692931
720,0.0176242509693428
721,0.0616468516072154
722,0.0176102844060896
723,0.4034026133473717
724,-0.4581094176724482
725,-0.3156686435814026
726,0.75944560470856
727,-0.1425991063789387
728,-0.1882995229173925
729,-0.1834923664122166
730,-0.1576910211688173
731,0.2431118314424592
732,0.3511318682571522
733,-0.0756797870317543
734,-0.0190186382655099
735,-0.3012088413092912
736,-0.1233825144439643
737,0.1953869614944703
738,0.2329672419531256
739,-0.329135661133384
740,0.0190766882869231
741,-0.0190803281816544
742,-0.3734559034759995
743,0.2816901408450585
744,-0.2153110047846835
745,-0.0095702938080248
746,0.0478285823608296
747,-0.0670048817842513
748,0.1147337221531738
749,0.076430686920797
750,0.1157407407407367
751,-0.3887920632792493
752,-0.013408420488067
753,0.0446747676912054
754,0.1516638415558941
755,0.160327781241643
756,-0.2948007861354281
757,0.1961483594864469
758,0.1868826199163548
759,-0.4738912732474974
760,0.1874163319946396
761,-0.0669792364367071
762,-0.1565295169946307
763,0.1741149158444639
764,0.493114171479336
765,0.0710290331172851
766,0.0576778029193821
767,-0.1395084327071713
768,0.2885781699518956
769,-0.0742152863982915
770,0.0265933871110727
771,0.3885209713024262
772,0.0794070937003735
773,0.0705342973020616
774,-0.300672090555362
775,-0.1357534824820555
776,-0.4409395404053218
777,-0.2550369803621621
778,0.0594732370433367
779,0.0467071461933613
780,-0.1701331291735686
781,0.1571258705622456
782,-0.1360775642115977
783,-0.6161218552113631
784,0.5700672168807979
785,-0.2174376465572333
786,-0.0255874450936083
787,-0.3122861054072631
788,-0.034234851078391
789,0.0342231348391444
790,0.0598546387345082
791,-0.3862660944206033
792,0.2226789996574212
793,0.3158883292068559
794,-0.2997088542558608
795,-0.0599777225601982
796,0.0556625990152103
797,-0.0342656444082805
798,0.1582278481012677
799,-0.5763440860215069
800,-0.066868758915837
801,-0.4297994269340882
802,0.2055222947010899
803,-0.0536432722396086
804,-0.1253245009399342
805,-0.1075365176090961
806,0.2146114638290216
807,-0.008942944017175
808,0.0178826895565184
809,0.1562290764629711
810,-0.0670001786671456
811,0.0981704596162422
812,0.0089237908263475
813,0.2314814814814734
814,0.0533902829685017
815,-0.2497769848349698
816,0.1425262782825679
817,-0.2769093345243432
818,0.4933114083818431
819,-0.1201388270890726
820,0.0800284545616123
821,0.1509366953742357
822,0.3627034677990187
823,-0.1589571559959818
824,0.1851950119394959
825,-0.2966817289698323
826,0.0593011586534054
827,0.2820232896652131
828,0.5113816355161314
829,0.1220394142108164
830,-0.0452202224835049
831,-0.0271394970146434
832,-0.1449537959775419
833,0.0271714518612454
834,-0.0317100792751951
835,-0.2133648084256396
836,0.0725821085102506
837,-0.1544752385279434
838,0.0907852927825769
839,0.018153762367247
840,-0.0431337828327539
841,-0.0658791458428033
842,-0.0090876045074435
843,-0.0818553888130999
844,-0.0546000546000566
845,-0.109319486198419
846,0.0091091273456049
847,-0.1550953380166058
848,-0.1599122766939253
849,0.1869755563662881
850,0.3432828870779983
851,-0.0792245316432041
852,-0.0559544903478525
853,0.2465230940974004
854,-0.2938981153200202
855,0.0
856,-0.29945723376381
857,0.1681614349775848
858,-0.0280347631062528
859,-0.4600075103267077
860,0.2901806608630556
861,-0.0421407501053534
862,-0.0850092272970517
863,-0.3416689394438078
864,-0.5399016641452326
865,-0.1989578398863173
866,-0.3422378553094395
867,0.084727087591856
868,-0.4668384387823234
869,0.1476964124064862
870,-0.2483641400391564
871,-0.2681863895407319
872,-0.0862771413507198
873,-0.4671096985456991
874,-0.0578201792425578
875,0.6469629974400681
876,-0.5569596555274725
877,-0.1781695423855942
878,0.3457620783104425
879,-0.1872483849826821
880,0.1262331104773396
881,0.5070239092008575
882,0.1764487369985252
883,0.1252144877799851
884,0.0278177013306144
885,-0.4377182770663551
886,0.0883967618870371
887,0.1718452463889297
888,0.1576628796661272
889,0.1620370370370344
890,0.3092260119075034
891,-0.277687786365527
892,0.1087352500078686
893,0.1176579239009922
894,0.2671087777470683
895,0.1104057410985413
896,0.1928374655647456
897,-0.2808600764307812
898,-0.0322402358142931
899,-0.3327171903881695
900,0.2140681125812745
901,0.3669475400924174
902,-0.2179242713157261
903,-0.2914124396685121
904,0.0273124544792435
905,0.1363760341849181
906,0.0545206724216286
907,0.271862256456726
908,0.154631386461749
909,-0.2457142857142834
910,0.0725097434967808
911,0.072457204963317
912,0.0090563303749367
913,-0.0770381112067865
914,0.1402841886143552
915,-0.081521739130425
916,-0.0045291906336425
917,0.2529929975152484
918,0.1578709968425775
919,-0.2713704206241494
920,0.1805869074492125
921,0.1082348696671818
922,0.1036176059827858
923,-0.1805298551247938
924,0.0225611406912784
925,-0.0543527493432396
926,0.0543232231779106
927,-0.5828248793370372
928,0.0455124704168916
929,-0.0643960750273498
930,0.2821980018165277
931,0.0453926463912949
932,0.2174109973729458
933,0.07241785100027
934,0.2257947976878613
935,-0.12651462604935
936,-0.0996650674391262
937,0.0271493212669693
