,ZS.US
0,-0.2558791408809609
1,0.5666650377987791
2,0.1714605767146182
3,-0.0397643061128632
4,-0.3646258503401344
5,-0.1908396946564802
6,0.3657962406287316
7,0.378842545821912
8,0.4847222720907565
9,-0.0395114942528784
10,-0.0143698807299768
11,-0.492788678496005
12,0.45282205171515
13,-0.0557353469974731
14,-0.1548600857132591
15,0.1725687578644477
16,0.0305497151688451
17,-0.0161759948236873
18,-0.0683453237410063
19,0.0814803180284257
20,0.0442967486976931
21,0.16140602582496
22,-0.0967218682615191
23,0.0930449442232604
24,-0.2481121898597618
25,-0.835698517817725
26,-0.3745713532049483
27,-0.3201989997089196
28,-0.2679898110804475
29,0.5436216815326971
30,0.0342944574880616
31,0.089612819904597
32,-0.0395507040025402
33,-1.0443864229765056
34,-0.6597296717442555
35,-0.3552589083862615
36,0.6098865824951778
37,0.1335684137415184
38,-0.1819836214740539
39,0.0909090909090842
40,-0.2036223341549648
41,-0.1287691812426274
42,0.2301803971950146
43,-0.54359526372443
44,0.026903416733916
45,0.6043427104503132
46,-0.3596156942729791
47,-0.1558972153531835
48,0.2520242372245154
49,0.427145069144099
50,0.7017833553500731
51,-0.6586191851405572
52,0.2135423145498969
53,0.016583060403806
54,-0.701373523149504
55,-1.178508067922612
56,0.2359882005899714
57,-0.4146919431279698
58,0.2132376227171943
59,0.1749283426066517
60,0.2312965221413781
61,0.1050243656528314
62,-0.1556780409811943
63,0.1952673903458137
64,0.1802443778425195
65,-0.817732324726367
66,0.4333922410165788
67,0.1197755783899626
68,-0.031529827216542
69,0.0336205085101845
70,-0.2105706464518846
71,0.1303835800807546
72,0.0399402997624598
73,-0.0736284079434462
74,-0.0252503997979977
75,-0.757924924463558
76,-0.9408115792194478
77,-0.933945528540119
78,1.1246388774246836
79,-0.785108927364421
80,0.8633798097987079
81,-0.5426051265042118
82,-0.6614846888204918
83,-0.0992167101827664
84,-0.3563567760192888
85,0.3030303030303095
86,-0.4144588426630251
87,-0.186591679587931
88,0.1469546277586801
89,-0.1221212952424108
90,0.0038883926225578
91,0.2986169321039361
92,-0.1599894214931559
93,0.0078178288472697
94,0.2146596858638725
95,0.0314037475138711
96,1.005181347150258
97,0.072486279382824
98,0.3251277287505928
99,-0.2535182119205345
100,-0.0723719920390767
101,0.0542495479204257
102,0.0036165057321582
103,0.0867208672086753
104,0.2630820239296591
105,0.1403534026703085
106,0.2512833399145596
107,-0.2637515782623772
108,-0.1251216260045358
109,0.0396253602305524
