,FANG.US
0,-0.0714860155482068
1,0.3428469655817312
2,0.983158451635654
3,0.3076652601969132
4,-0.2555741605710815
5,0.3250175685172211
6,-0.2200897966370279
7,-0.5132289177948839
8,-0.1417811253876923
9,0.0132902139724454
10,-0.1241960523397654
11,-0.6608027860874178
12,-0.1027978904085053
13,-0.0626118067978599
14,-0.6708387735806496
15,0.4258943781942027
16,-0.2787268476892666
17,-0.1170222342244985
18,-0.8167710318540754
19,0.6536536987783514
20,0.2920714599707474
21,0.0270513166172285
22,0.0538938291565636
23,-0.4239581454086224
24,-0.1264450867052028
25,-1.1898296716860015
26,1.6174470565377814
27,-0.497901005564767
28,0.4567541302235168
29,-0.1849868561970713
30,0.7632850241545954
31,-0.0773544768903483
32,0.5720328798730941
33,-0.2071290944123347
34,0.1827098759496083
35,0.6781279847182502
36,0.0858860578299488
37,0.0953379731146861
38,0.0381206518631528
39,-0.3394692804207544
40,-0.0861367660429759
41,-0.0622486113771286
42,0.3340650949699287
43,-0.4506232023010535
44,0.0191717791411004
45,0.6286911792722526
46,-0.0095265313899258
47,-0.1813323153273504
48,-0.2967359050445126
49,0.4004194870817062
50,1.393080376793738
51,0.9591071584270592
52,0.4254210800486274
53,-0.4053523950660362
54,-0.7066982705644868
55,-0.5916637230660559
56,-0.4390438600381305
57,0.1461340890975042
58,-0.3287719921805494
59,-0.8822490628008596
60,-0.2208247237444997
61,-0.0539325842696649
62,0.4117805030883482
63,0.0089509488005774
64,-0.1523980277902301
65,-0.5951844169898066
66,-0.2078438460148237
67,0.6553550588024095
68,0.1000882498547067
69,-0.2126454860018835
70,0.0763358778625898
71,0.978212538906188
72,-0.284488678420778
73,-0.529854760623986
74,0.214707461084268
75,0.1491609695463077
76,-1.3479465860418336
77,-0.2779181404749859
78,-0.2148365052417724
79,-0.9202759678037676
80,0.9240506329113974
81,-0.3174603174603174
82,0.6810442678774199
83,0.0756143667296636
84,1.0845175766641793
85,-0.3124917938079316
86,0.0373749999999972
87,0.01487278767283
88,-0.0023747031620947
89,0.4726956089065748
90,0.4704717097932344
91,-0.3603379721669881
92,0.1984126984126941
93,-0.6490264603095307
94,0.4720496894409881
95,0.0682763329402356
96,0.1982283342625244
97,0.2656616829358747
98,-0.2601585728444103
99,-0.8369768894440996
100,0.5799502899751474
101,-1.3944892473118249
102,0.700866364920976
103,0.4647957489206208
104,-0.6182121971595612
105,-0.050150451354064
106,0.6642311524410471
107,0.3969566655640125
108,-0.8086702792830336
109,-0.2088554720133667
110,0.6144138160079665
111,-0.1663339986693303
112,0.414112970018221
113,-0.2990529988370156
114,0.0664120869998325
115,-0.0166057788110229
116,0.1326699834162492
117,-0.3661784287616492
118,-0.8984801410697734
119,-0.0251973794725358
120,0.2513404825737241
121,-0.3868797308662688
122,-0.0841750841750913
123,-0.0505305709954541
124,-0.2532928064842935
125,0.7845178273404585
126,-0.2381909547738692
127,0.3096821204116982
128,1.4540885019298002
129,-0.650556193473842
130,-0.3443930740639943
131,-0.3730664240218349
132,-0.0728464760517323
133,0.6063897185265651
134,0.2617801047120475
135,0.0721630885801896
136,-0.0360945677675566
137,-0.2987603391803118
138,-0.0180139404363238
139,-0.0951388574276301
140,-0.0362565148425035
141,-0.3867151956323905
142,0.2993740361063216
143,0.5234184640375402
144,0.1880762537516137
145,-0.0349612542800458
146,0.1439625697318666
147,0.0449680726684028
148,-0.1170538447685894
149,0.1079330814894806
150,0.1113402061855712
151,-0.9743504330446384
152,0.3485477178423251
153,-0.570875342191358
154,0.0950554490119272
155,-1.1214165261382905
156,0.5200469719845702
157,-0.0503524672708981
158,-0.1344537815126021
159,-0.9158751696065116
160,-0.1188656817795895
161,-0.0679694137638048
162,-0.874185807336301
163,-0.5082263760875212
164,-0.7900677200902904
165,0.8095074061315861
166,1.0734367013119706
167,1.0286677908937596
168,0.7863476660532139
169,1.2474184221396043
170,-0.5064762537362998
