,ISRG.US
0,0.1386543114073034
1,0.3148294034167711
2,0.009952965130495
3,-0.3166506914966426
4,-0.3279927189050892
5,-0.0005724163985844
6,0.1874007290345418
7,-0.4026984236249731
8,-0.0327084301674979
9,-0.1068468126906513
10,0.1817681395428888
11,0.0194918363602961
12,0.3314058464562404
13,0.2257593724345546
14,-0.2904516866780976
15,0.1404542495974807
16,0.1116676114879541
17,-1.018470508255838
18,0.1972205132333275
19,-0.4128127850717712
20,0.67895358572362
21,0.1134124547495771
22,0.1098548999862722
23,0.0194496882329339
24,-0.2534868783262895
25,0.5708263809607415
26,0.2598540145985362
27,-0.0394316007769459
28,-0.5447710786761089
29,0.3919847886500019
30,0.280038505294472
31,0.0932591146212785
32,0.4005689239789833
33,-0.2108876187151754
34,0.0566893424036261
35,0.0610128126906591
36,-0.0232483798785225
37,0.1334997242940417
38,-1.8955524012301768
39,-0.7027992852888665
40,-0.4096522441168568
41,0.660913992069022
42,0.6301838897252126
43,-0.0649791771273377
44,-0.2227534097552665
45,-0.5409226190476177
46,0.0342144801630421
47,0.2196790904098229
48,-0.0698116570613789
49,-0.0416072277698485
50,-0.4220234768026805
51,-0.1791913988128531
52,0.0811302280039064
53,0.3554254651892212
54,0.2294534835210648
55,0.1028006223605258
56,-0.0444740938403449
57,0.0971925245064071
58,0.1469609582963544
59,0.2282378653534889
60,0.0691151873712729
61,-0.1356495259187354
62,-0.191382251376426
63,0.1329031385970754
64,-0.126137120035494
65,-0.0416192669459718
66,-0.1138888888888958
67,-0.0847940616355542
68,-0.1294435319989909
69,-0.0222748155366952
70,0.0806810594257791
71,0.1305604541581088
72,-0.1669588934346361
73,0.0027830346209481
74,-0.0083498009964019
75,0.2365189712529964
76,0.1252863095730872
77,0.1251295393909985
78,-0.0551535474761736
79,0.1277927114088135
80,0.1847371893556136
81,-0.1497731377472373
82,-0.0650173563281633
83,0.0407569782556018
84,0.2691509112680778
85,-0.0527594279998701
86,-0.0307858077426276
87,-0.1498321916891805
88,-0.0936074065909935
89,0.1265892454180297
90,-0.1046831955922915
91,-0.0496113775425881
92,-0.1656451880072884
93,-0.1632720511011294
94,0.0681006753694717
95,0.0949699077908343
96,0.0871637575302951
97,0.1217704654276587
98,-0.0882374027320581
99,-0.1352963265666787
100,0.5009744983392477
101,-0.2587037291867339
102,0.070131048802958
103,-0.0867075889785014
104,0.2772440296458937
105,0.2573650202606499
106,0.1223722440608418
107,0.3508413379658076
108,0.2582047971733338
109,0.0936812664620985
110,-0.1117411986306134
111,0.0288206758794945
112,0.1912279274147722
113,0.0853693239562577
114,-0.2683442142949371
115,-0.0095118388422801
116,-0.1435628070270864
117,0.1277503703401613
118,-0.2001797532478025
119,0.0551211644856341
120,-0.1178666812012875
121,-0.358285698657113
122,0.142018298511534
123,-0.1148388155196344
124,0.0737704918032737
125,0.2062463170300548
126,0.6079490213075038
127,0.0223022773272933
128,-0.3807868743531118
129,-0.28705068238611
130,-0.0153800802327524
131,0.230808084037153
132,0.2550906528407533
133,0.0420722495266924
134,-0.0197651139363146
135,-0.3583266147093162
136,0.3392554236229012
137,-0.3305237323205739
138,-0.1521209791106
139,0.0742751767237015
140,-0.0589426206401727
141,-0.0936269543023386
142,-0.1644377641602865
143,-0.0391977946421048
144,0.0006425826682596
145,0.3343067937288674
146,-0.0032022748960832
147,-0.0698583605716942
148,0.1165083348270258
149,-0.2863269262868539
150,-1.2607678703862215
151,-0.2975339016993659
152,-0.2150291006049485
153,-0.0659857700252519
154,-0.5248889657956951
155,-0.5130880946169178
156,0.1317217919953634
157,0.2800271366503473
158,0.4354574458911911
159,-0.1691511491481358
160,0.3135628489014622
161,0.4578342511445753
162,0.0364134858415792
163,0.1065279312013302
164,0.6072704587988542
165,-0.0808797445902873
166,0.092146299971644
167,0.1898430501553905
168,0.1593936739796809
169,0.1959789075938282
170,0.1801446786950731
171,0.0028146813780654
172,0.0927982902618151
173,0.1628344422920306
174,0.1373780419423598
175,-0.6742756125716678
176,-0.0304482718069227
177,-0.0792901697209962
178,-0.1690391889993646
179,-0.1168654834642764
180,0.2640666260410337
181,0.0522056904202523
182,0.1908143745220778
183,0.0127836523618339
184,0.1945113143957613
185,0.0808205207150613
186,-0.2362835016250342
187,0.1752173368890196
188,-0.0077024541944607
189,0.088499831657914
190,0.1781247449359296
191,0.3973946975783287
192,-0.1240106677902491
193,-0.2914821893337765
194,-0.1548642773321143
195,0.3183308723416653
196,-0.2267965942070891
197,-0.1164166754861152
198,0.1076415919422693
199,-0.1597951541638268
200,-0.7268250909869368
201,0.1651090842056285
202,-0.3426089753900649
203,0.0594788367868636
204,0.2336173807054438
205,0.1473304365464886
206,0.3341100860812277
207,-0.004256360598866
208,0.1413239825735884
209,0.1400649391990764
210,0.1054679011887668
211,-0.0907104057036176
212,0.0561982419493459
213,0.0466333873856624
214,0.0264892241836021
215,-0.0360383278215804
216,0.0444981247218823
217,-0.0058274749551087
218,0.0841626085115469
219,0.0941310854689088
220,-0.0137513751375132
221,0.187934201913125
222,0.0274435296601214
223,0.1286078724884597
224,-0.0506254350623344
225,-0.1785216178521579
226,-0.3232170591445165
227,-0.2440563854407755
228,-0.0035908435733233
229,-0.1340505920193216
230,-0.097008210550002
231,0.0618220648569738
232,0.1627202334193648
233,-0.0154327482918772
234,0.5178092898615504
235,0.0474317122848179
236,0.4195376750388949
237,-0.3107537520380176
238,-0.0292723724560965
239,0.1475377891601563
240,0.0027836543814694
241,-0.3169461470797645
242,-0.9685059350945956
243,0.4127590273487871
244,0.3525461667599303
245,0.4262669601315102
246,0.1113182868115596
247,-0.1337606242162355
248,0.3443583548557173
249,0.392796879754368
250,0.9093759799310128
251,0.0764545158298465
252,0.1107988156420373
253,0.8078236572493008
254,0.5434446983264346
255,0.5252326688576929
256,0.133127200893245
257,0.4732044182028001
258,0.1749317339574872
259,0.1010777568044726
260,0.2350911509746938
261,-0.531921390446181
262,-0.7171853856562973
263,0.0116851887158011
264,-0.2200416661530267
265,-0.0999506416584475
266,-0.2573238321456758
267,0.2542017325205392
268,0.076448828606659
269,-0.0098653381344696
270,-0.1717045693179976
271,0.1763342211699792
272,0.0086310000863021
273,-0.0258997064699838
274,0.1871137700962628
275,0.4148350677053236
276,0.368102481609552
277,-0.1661860248491048
278,0.1184127058713011
279,-0.5545941540224243
280,0.210408439912768
281,0.1059758610538683
282,0.3221849893485295
283,-0.0217184583416559
284,-0.1855374853348921
285,0.0561295858753367
286,0.3409011035355273
287,-0.3072837409885969
288,-0.2786811840120674
289,-0.3114638802371133
290,0.0124097339589436
291,0.0673217744602372
292,-0.099771102226538
293,0.1217900084723953
294,0.0321670562126728
295,-0.0283386468296149
296,-0.1057913369306306
297,0.0649691986935231
298,-0.2658975968542366
299,-0.2493439878415013
300,-0.2364100201754446
301,0.1544362473069161
302,-0.2148192574014532
303,0.1958970452195753
304,0.0723207343001434
305,-0.0288278487897727
306,0.0956386597545994
307,-0.0554576890454743
308,-0.087068196164641
309,-0.0402852632152
310,-0.1095433513725613
311,0.1028974618626004
312,0.1250625312656303
313,-0.0544045961002785
314,-0.0909382980924654
315,0.0364709212445753
316,-0.0326711970726557
317,-0.2018791126048978
318,0.0567122182111637
319,-0.0207260668470133
320,0.1023909083498856
321,0.0044023101231437
322,-0.0512412372033216
323,0.1969446378830024
324,0.0652429211430584
325,0.0275664913982434
326,0.5089084371127309
327,-0.37323640014833
328,0.058153397801032
329,0.2672764227642272
330,0.109128746542146
331,-0.04621072088725
332,0.0740853503831144
333,-0.0253781341995736
334,0.223840536406997
335,0.2198113159876166
336,-0.0053060719149622
337,0.1873820980742224
338,0.1581290413552817
339,-0.0130952021194076
340,0.1586932981222415
341,0.0002112017378813
342,0.0683423954009652
343,-0.1328408827880533
344,-0.0533660913869114
345,0.1096325799865254
346,-0.0946350008557475
347,-0.2695281742746925
348,0.047674662052227
349,0.1005453134292311
350,0.0166412610081941
351,0.3194866980071099
352,0.4554161162483475
353,-0.0290705356906931
354,0.110873524986145
355,-0.6509724731639889
356,-0.3105052039606126
357,0.0759028443592268
358,-0.0532935408228643
359,0.1257476663495319
360,-0.2708562660529001
361,0.1405673324184176
362,-0.0746696534527975
363,-0.1094573850363812
364,-0.2851329281679199
365,0.3215777324099607
366,-0.1269238991021713
367,0.2020013466756426
368,-0.0820678427500078
369,0.1758358865059344
370,-0.2026343669007492
371,-0.119726949321529
372,0.0152324959914527
373,-0.0013362017130093
374,-0.0588274617287172
375,-0.4136407783743326
376,0.2552224713796793
377,0.1840698581925812
378,0.3180397011405393
379,0.4544347571964311
380,-0.0536062378167596
381,0.1401541695865505
382,0.1467515428349279
383,0.0004859298997411
384,0.1614563674840059
385,-0.0251368453744336
386,-0.0232982565138051
387,0.0441501103752909
388,0.1409842737129664
389,0.1055056527799208
390,0.0744760080859868
391,0.044472373954639
392,0.1881694490012588
393,0.226735537786851
394,-0.5338095514644552
395,0.332822041501444
396,-0.056949806949799
397,-0.1788908765652863
398,-0.1108416706598691
399,0.2245660803801511
400,-0.0235397668539515
401,-0.0496628557678045
402,0.317954475859958
403,-0.2989414197669969
404,-0.1073552433684451
