,PCAR.US
0,-0.2536900369003677
1,-0.3007170946102303
2,-0.4531195538515169
3,0.0
4,-0.0348675034867351
5,0.3820771101076742
6,0.3576372865712993
7,0.1152339248674744
8,-0.312102647092817
9,-0.0462588180872051
10,-0.2550724637681146
11,-0.0580046403712264
12,0.1274475727030465
13,0.0694685654741256
14,-0.2320993385168885
15,0.0116036203295487
16,-0.1394376016732565
17,0.1160631383472543
18,0.1506547688028852
19,0.0579105860551275
20,0.2772002772002713
21,0.3625064733298783
22,-0.0748589197282019
23,0.0230282095567023
24,0.0345303867403328
25,-0.1482030381622879
26,-0.1855976243504153
27,-0.3850453359830928
28,0.1488279796601641
29,-0.1739346502671146
30,0.3096358682189745
31,-0.1426356589147223
32,-0.3422526446795341
33,-0.2745538499937587
34,-0.463891675025063
35,-0.0878403814782374
36,0.2003757044458317
37,-0.0250532381310234
38,0.0625938908362508
39,-0.4400855023261591
40,-0.0912437466570243
41,0.2542053728345475
42,0.0627273867770633
43,-0.0878955298844716
44,0.2130058889863447
45,-0.1128951329653831
46,0.0376175548589355
47,-0.1381215469613252
48,-0.277008310249306
49,-0.6463059181345902
50,-1.5883557474126984
51,-0.0387553980732992
52,-0.444889333778229
53,0.0944496916495449
54,0.1165371809100885
55,-0.4179437169127891
56,-0.3074343208496271
57,-0.1960235228227355
58,0.2402503072968926
59,0.1506276150627672
60,0.1504010695187222
61,-0.1562151305512168
62,0.0111569786901605
63,0.2004231154659913
64,-0.0557040998217437
65,0.2001334222815128
66,0.0111172873818845
67,-0.0928042231485306
68,-0.1466540368863943
69,-0.0948131622978179
70,-0.1118930472206537
71,-0.2685029671929262
72,-0.0223989248516026
73,0.1900290632684859
74,-0.1791713325867823
75,1.150323877596606
76,-0.5728406155228633
77,-0.2025886325267381
78,0.0674839725565203
79,-0.0675295441755793
80,-0.361459392296389
81,-0.1425274874440124
82,0.09718612272573
83,-0.2208505577892215
84,0.2767110910323069
85,-0.0225937641211141
86,0.2816266756787203
87,0.0900393922341005
88,-0.2029998872222765
89,-0.095953039453641
90,-0.3114030121163984
91,0.0
92,-0.0906721069930843
93,0.1471253961068305
94,-0.0906207521522409
95,-0.0453309156845039
96,-0.0340097494615136
97,0.0
98,-0.0113378684807153
99,-0.2272727272727305
100,0.060506050605068
101,-0.0880863245981199
102,-0.1323042998897357
103,0.0110241428728816
104,0.0
105,0.0
106,-0.1103630945811657
107,0.0441257584114795
108,-0.0331052747737818
109,-0.0994145587098237
110,0.0441647344595252
111,0.1873484681507623
112,-0.0827221088622827
113,0.0606261022927608
114,0.0110217127741707
115,0.0330542089026015
116,0.0990643918546936
117,-0.0110083663584223
118,0.0715032176447915
119,0.0054999450005449
120,0.1098780353807367
121,-0.1816280477736873
122,0.0275118300869436
123,-0.077092511013224
124,-0.0110144289018514
125,0.4975124378109447
126,-0.221034234604712
127,0.3993446651648583
128,0.4079135223332711
129,-0.1736643170906136
130,-0.6374010486275363
131,0.23589743589744
132,-0.1129479412670699
133,-0.2160938464704607
134,-0.0978523973837493
135,-0.0566834999484619
136,0.3491835267536237
137,-0.0410972978526726
138,-0.2859277195332458
139,0.2646182303977056
140,-0.2333043205076058
141,-0.0964016908959747
142,-0.2377015295576578
143,0.103241792277508
144,-0.248395777271781
145,-0.3010484791861375
146,-0.0467362517526112
147,0.1503681426941929
148,0.0103691414350797
149,0.1035840066293852
150,-0.313584947922485
151,0.2011847546663603
152,-0.1118943717130964
153,0.011188185276338
154,-0.022381378692923
155,-0.1064246905282012
156,0.1621742534392082
157,-0.2691488168666534
158,-0.179755083698457
159,-0.1462646264626571
160,-0.0675523530736346
161,0.0337647720877896
162,-0.0056277787157357
163,-0.0844880027036193
164,-0.0338066260987166
165,-0.0620172520719316
166,0.0732394366197157
167,-0.0676513699402438
168,0.1238738738738732
169,0.1574094895435131
170,0.112309074573235
171,-0.0168491996630166
172,0.0168463611859844
173,-0.2082043779190842
174,-0.0732064421669081
175,0.2764780944279084
176,0.4446326487401943
177,0.6311803071744252
178,0.215189209048442
179,0.1833612740989073
180,-0.1153886499527949
181,0.5995516396434001
182,-0.1932720434600943
183,0.436862908258791
184,-0.0728635370042754
185,0.0416189782540903
