,AMAT.US
0,0.3650846332558944
1,0.0552852720035298
2,0.0442086648983217
3,-0.1180289170846832
4,0.1895191632294462
5,-0.0128129602356264
6,-0.2066115702479347
7,-0.0812347684809199
8,0.298199757022421
9,0.0478363261701484
10,-0.2360578341693664
11,-0.3553449807521393
12,0.0099930788675942
13,0.0122122714825014
14,0.0221992008287499
15,-0.0814633785084686
16,-0.0592812152649222
17,0.2365639092186157
18,0.0295617470992476
19,0.044322966683905
20,0.0
21,0.029539915811234
22,0.0147677767112236
23,-0.2220084363205886
24,0.280422109069438
25,-0.2256375006537666
26,0.0872649203231827
27,0.1640333879862887
28,0.044696066746128
29,-0.141738157403952
30,-0.2580307393141609
31,0.2648068029240562
32,0.0231186283941546
33,0.2373335317312613
34,-0.1564082292040055
35,-0.0373462541930572
36,0.119127391854662
37,0.0595282387082253
38,-0.2835609282889303
39,-0.0672043010752713
40,0.0126925345498438
41,0.0283635006530938
42,0.1020044470359758
43,-0.0274473242588099
44,-0.1206002382134658
45,0.0869208386182213
46,-0.0074615728995604
47,-0.0597282365238259
48,0.0671491457136487
49,0.0074604595643023
50,0.0516528925619994
51,0.6378766771757286
52,0.2048730518767843
53,-0.0146359312111099
54,0.8633197910620994
55,0.0942233818946114
56,-0.2142727437806337
57,-0.1673396631379957
58,0.0182585158518172
59,0.0435541336435679
60,0.0218086653096838
61,0.0363345687086776
62,0.0072663856997463
63,-0.2622759726067417
64,0.420777713290781
65,-0.2472727272727297
66,-0.1092100473243579
67,-0.0582793035623108
68,-0.094793641534216
69,-0.0693202962530547
70,-0.3625045770779759
71,0.2082800453100424
72,-0.040210557098996
73,-0.1281065846784608
74,-0.1649802023757107
75,-0.4542413465262733
76,0.7027972027971996
77,0.6116207951070305
78,-0.6223507781307818
79,-0.6110256209994731
80,0.4331651954602808
81,0.0420168067226906
82,0.3280519299225231
83,0.3685674547983318
84,0.1527565615886674
85,0.0971143174250737
86,-0.2503477051460259
87,0.1562228779725702
88,-0.1634327839210054
89,0.0694975328375803
90,-0.1670727462582531
91,-0.3492839678658749
92,0.3133704735375965
93,-0.1813869122366338
94,-0.1782157458853097
95,-0.0314597315436352
96,-0.1610531475386806
97,0.0979363413780947
98,0.0349650349650429
99,0.041940444568714
100,-0.06486954014704
101,0.1798690553277214
102,0.2869646316091379
103,0.5478111100488324
104,-0.2519929473447138
105,-0.0182429532121861
106,-0.2079002079002022
107,0.0394138091654866
108,-0.2190462510772611
109,0.1577513265452451
110,-0.4936047558998395
111,-0.1118164766988898
112,-0.0360828462149176
113,-0.1155985839173445
114,0.0
115,0.1370851370851354
116,-0.0649772579597165
117,-0.1590859787403274
118,0.288413007426639
119,-0.0649350649350674
120,-0.0541418516513182
121,0.1549661236845923
122,-0.1805184489854863
123,0.1658016147635451
124,0.2086180850298482
125,0.3136730601120919
126,0.0668036998972227
127,-1.2381646030589926
128,0.7589447054571733
129,0.2626158599382033
130,-0.0102997219074991
131,0.0926116484873465
132,0.1027960526315731
133,-0.0926021195596289
134,-0.5483136768052981
135,-0.3092505344430396
136,-0.1371713602826465
137,-0.1561199000832698
138,-0.0624869818787776
139,-0.5550319405173328
140,-0.3889823380992329
141,0.073537136253801
142,-0.1751143926350884
143,0.540506594096718
144,0.0209292591042235
145,0.1880091915604685
146,0.2708333333333387
147,-0.3449357165255548
148,-0.1675217254737688
149,0.0627812074918782
150,0.300171526586612
151,-0.0858369098712275
152,-0.7204610951008645
153,-0.2890173410404665
154,-0.1084990958408721
155,-0.4212973051500055
156,0.0798374219770747
157,0.2533844928690323
158,0.0434184818004213
159,-0.0361951643260542
160,-0.2249147500543958
161,0.2099623515783319
162,0.2023121387283245
163,0.3312689039320236
164,0.0791537741958589
165,0.0215827338129504
166,0.0395526949768126
167,-0.14764133957509
168,-0.3468960034689526
169,-0.1012804745713772
170,-0.1013831559128006
