,JD.US
0,-0.2560663333739711
1,0.3039144176999757
2,0.0243072435585756
3,-0.4652071453863908
4,0.4267477203647405
5,0.036460865337872
6,-0.4222911123587322
7,0.3841945288753829
8,0.0971699259079294
9,0.0
10,-0.0364520048602687
11,-0.0972999270250526
12,-0.0425868467481859
13,-0.127923976608192
14,0.0487092060399491
15,-0.08531383302865
16,0.158189340472146
17,0.2427773731488087
18,0.1091305929428924
19,0.0363636363636377
20,-0.0242483026188118
21,-0.0363856882959383
22,-0.0121300339641013
23,0.0060646491600405
24,-0.0303324435816445
25,-0.7792109256449066
26,0.0
27,1.0510510510510402
28,0.2994011976047916
29,0.4047919011800826
30,-0.7511802575107209
31,-0.3121300182972836
32,0.3111587982832685
33,-0.1612036539494956
34,0.0080595330843912
35,-0.0618279569892522
36,0.0644745325596413
37,0.2892960462873631
38,-0.2039939875456278
39,0.2142704092564847
40,0.042835724994637
41,-0.4410024739163135
42,0.3643768084878399
43,-0.9302325581395342
44,-0.9224387315102875
45,-0.2352554984133969
46,-0.1424501424501374
47,-0.3960396039603953
48,-0.1652892561983533
49,-0.7326007326007288
50,0.3652300949598212
51,-0.3420473979965809
52,-0.1345565749235467
53,0.8610235265583238
54,-0.2187651920272151
55,0.0121521448535728
56,0.2847621932747645
57,-0.0060591371788774
58,0.4343629343629336
59,-0.5103129790247782
60,0.0676240683512148
61,0.6633279560831169
62,0.0649663137632363
63,-0.0722369371538674
64,0.5507662835248968
65,0.2508061626657207
66,-0.0477954355359138
67,0.1312649164677797
68,0.1191895113230137
69,-0.0238435860753579
70,0.1547434829187116
71,-0.3883611160901031
72,-0.2335609054976732
73,-0.2943119706889187
74,-0.0180223477111625
75,0.0137042620254969
76,-1.136521136521127
77,-0.2640355753196386
78,-0.4466778336124974
79,0.0
80,-0.0908138316451243
81,0.3688752783964373
82,0.1390047261606815
83,-0.1391982182627983
84,0.2152927286617141
85,0.0138879244496783
86,-0.1181868743047744
87,-0.2509060496236505
88,0.2364066193853451
89,-0.1113740776834168
90,-0.0836003901351571
91,-0.1395283940281768
92,0.0040461597061048
93,0.0935321996096966
94,0.0418001950675785
95,0.0835305582625675
96,-0.1073125862333257
97,-0.1158085670433911
98,-0.0069769064396782
99,0.1323857302118155
100,-1.0817329654466823
101,0.3756067961165133
102,0.3627569528415884
103,-0.6388804380894458
104,0.1215436037678491
105,0.1213960546282435
106,-0.1213914898336666
107,-0.0913929440389163
108,0.1669955973887952
109,0.1213040181956001
110,0.0984624706506062
111,-0.1316583798738577
112,-0.0883558524366166
113,0.2725208175624415
114,-0.0985072364931389
115,-0.2050113895216478
116,0.1667677380230434
117,-0.0682697413335166
118,0.060647411113626
119,0.0227376080036388
120,0.1815705855651453
121,-0.1515381118351395
122,-0.2278250303766577
123,0.3194501218755182
124,-0.2842228963406367
125,-0.1049042748491978
126,-0.3091088457744155
127,0.3604193971166336
128,0.2623505405832857
129,0.1817588726513645
130,-0.4324465993971934
131,-0.2259055924768145
132,0.3168368682901155
133,0.0130907186804622
134,0.0196322230220542
135,-0.085145402148281
136,-0.2757122347140023
137,-0.0658517350157735
138,0.0197122018529477
139,0.1138068591275956
140,0.0108938180863516
141,-0.249999999999997
142,-0.158144438587249
143,-0.0131804402266915
144,-0.0923482849604319
145,-0.019792834993733
146,-0.4440026507620858
147,-0.1725969198088285
148,0.2450168862989236
149,0.0463330685729557
150,-0.5833716123105139
151,0.2634291604627236
152,0.6486117432862918
153,-0.1938205449777696
154,-1.4340233607031283
155,-0.0694364078231712
156,0.2078761981753168
157,-0.2025111381125929
158,-0.3950043566657024
159,-0.9499794757520698
160,0.6003730473303808
161,-0.3274853801169604
162,0.2100840336134533
163,-0.0233481204763136
164,0.2096924510717693
165,0.0232937339855532
166,0.0698324022346395
167,0.2206480083613956
168,-0.1511979530123231
169,0.0733353400795548
170,0.2976825028968733
171,0.1446340757882557
172,-0.1100428587976356
173,0.0160984157537552
174,-0.0161010077609251
175,0.8573436401967666
176,0.3501400560224089
177,0.3628244487859209
178,-0.1957494407158844
179,-0.0769607500174807
180,0.0769015659955154
