,HON.US
0,-0.2771042604780059
1,0.0494584301894229
2,-0.064337325546865
3,-0.3974957766073792
4,0.5239224990114681
5,0.0888888888888922
6,-0.2624152101797302
7,-0.0792824934344168
8,0.0643755570961649
9,-0.0346757814434998
10,-0.1041356739065793
11,0.0049585957256859
12,0.0545148181187499
13,-0.0247856045208999
14,0.0346878097125974
15,0.044578730992112
16,-0.1315811009266207
17,0.0670598731165745
18,0.1978630787495081
19,0.059323709709316
20,0.0395335046451929
21,0.0148228667424145
22,-0.1484487109703513
23,-0.1883892717267341
24,0.2225959635931878
25,-0.1363098031328939
26,0.3717885925464214
27,-0.2320703351631232
28,0.0267701780216848
29,-0.1071954977890969
30,0.0290236877944346
31,0.0089295680321383
32,-0.006697624575811
33,0.2049728188218427
34,0.004455732299612
35,-0.0222836259916264
36,-0.0111430545341114
37,0.0200534759358359
38,-0.1271668563014508
39,-0.008924786362931
40,-0.0736837404546028
41,-0.0446767636152411
42,0.0044674767691167
43,-0.0312821200339604
44,-0.0558921505063828
45,-0.1137019844129884
46,0.151432665652953
47,0.0045588629659415
48,0.1160714285714245
49,0.1248439450686646
50,0.4581797771131742
51,-0.3376875790996153
52,-0.1539157990040758
53,-0.1133016088828461
54,-0.0045322697607049
55,0.0543576734915766
56,0.4172587229627676
57,-0.2056683089996892
58,0.1354218390285791
59,0.058648380402416
60,0.146406288713209
61,0.1147408207343392
62,-0.1013445037497568
63,0.2672835901352263
64,-0.0133434989529709
65,0.127745496152386
66,-0.1955671447196881
67,-0.0922488468894195
68,-0.1306688895397265
69,0.0607916422749542
70,-0.1036783267219571
71,0.13055417998469
72,-0.0765903766444348
73,0.1439625697318666
74,-0.2616147947677097
75,0.4071740184197786
76,0.5063901615625671
77,0.1781243982283865
78,0.165573656246025
79,0.0026433411832477
80,0.1918741305703485
81,-0.108045811424041
82,-0.3638729577329005
83,0.048171877258054
84,-0.0723100655611288
85,0.4749796094612143
86,0.1030458434182479
87,-0.1632221982189594
88,0.0026882933465637
89,-0.0050888142102651
90,0.0575760483638691
91,-0.0239957767432849
92,0.2067033969088374
93,0.0077579593310521
94,0.0010535389330465
95,0.1434583014537162
96,0.0047817147228952
97,-0.0071730865791484
98,-0.0454501961534775
99,-0.0670241286863341
100,0.384082890447048
101,0.2983346691602172
102,0.1911026176614276
103,0.1508764144663871
104,-0.1689114104102749
105,-0.0817665853152866
106,0.0572660782962381
107,-0.2433044478941123
108,0.1250389494769653
109,-0.1359513249682439
110,0.0200543696243092
111,-0.1338747824534709
112,-0.0033469815804416
113,0.2037498886612549
114,0.1289863452386338
115,0.013341634794984
116,0.0444523470839235
117,-0.062272039854112
118,0.102199511219737
119,-0.0355602969284849
120,-0.0667200427008298
121,0.0400160064025625
122,0.071088994535032
123,-0.0580155997501477
124,0.0491001999555662
125,-0.3272510908369677
126,0.5424598086596283
127,-0.1770562034881598
128,0.1890485934764895
129,0.0123255928610194
130,-0.1332938388625643
131,0.1331164028989844
132,0.0615900076371609
133,-0.2296409699244423
134,-0.2822900158478713
135,-0.4827071410798701
136,0.0582889700557949
137,0.2642857142857046
138,0.0743989717972923
139,-0.0496404661542264
140,-0.079408407365128
141,-0.0397199741820229
142,-0.0695583047647371
143,0.2527505203687138
144,0.1286873886359091
145,0.0741876452841414
146,0.1234933807547915
147,-0.029647198339758
148,-0.0741729713692358
149,-0.0445235975066802
150,0.1798587377534747
151,0.5370861377388004
152,-0.0340043525571221
153,-0.3686006825938577
154,-0.2417662622023543
155,0.0683776268405003
156,0.0455643140292497
157,-0.1094740683300684
158,0.0592633114515061
159,0.1729316464913058
160,0.145414886849038
161,-0.273398341383393
162,0.1228780776407326
163,-0.0911037215870216
164,0.0091095422455068
165,0.0591769847050234
166,-0.0188946837644645
167,-0.0950189126372814
168,0.0558863543923534
169,-0.11066526834161
170,0.0273510507362001
171,-0.1964008404129016
172,-0.0274122807017554
173,-0.0228487867294168
174,0.164241069391845
175,-0.3434334652001878
176,0.0347659814871202
177,0.0651437505428547
178,-0.1391667391493403
179,0.0608484005563346
180,-0.0391321361798353
181,-0.0260948984473545
182,-0.2747492368076735
183,0.0479490867878406
184,-0.0174390722413532
185,-0.0130810150867712
186,0.0653623251557826
187,0.0740224679961628
188,0.0239427116209245
189,0.0413384970192763
190,-0.0914634146341498
191,-0.0130679095700662
192,-0.0043561596096841
193,-0.0435805804933296
194,-0.1899355965505959
195,0.089429830301437
196,0.0871725580787242
197,0.0870966337151019
198,-0.0697258900945642
199,0.1218715995647447
200,0.2169856355509265
201,-0.1596521296151006
202,-0.0142155371038584
203,0.1129011246688917
204,0.0260473192967233
205,0.0564040263797272
206,0.1061870191786778
207,-0.1714930751530334
208,0.0477347682693912
209,-0.0738263777304848
210,-0.0304083405734238
211,0.1691313586885878
212,-0.015180759471708
213,0.0541876192127622
214,-0.0911181498676651
215,-0.0130185731643816
216,0.1386722135552059
217,0.0210564077768426
218,-0.0123927550047714
219,-0.0617852690911115
220,-0.0726775719182495
221,-0.0738167607468465
222,0.0347252365656672
223,-0.065152239065285
224,0.1041350284201887
225,-0.2155963302752288
226,0.2927186242224599
227,-0.1786941580755951
228,0.0801190339933667
229,-0.016026374834024
230,-0.0274813355928978
231,-0.2663605051664811
232,-0.0689338235294143
233,-0.2251380859209463
234,0.3025210084033676
235,-0.0114813198925374
236,0.1307159565197434
237,0.0527172293657929
238,-0.1727980191827451
239,0.0556702923493463
240,0.0320701193201218
241,-0.0228993621219806
242,0.0825805481312586
243,0.1556104930641395
244,-0.2938610588181343
245,0.2701712611044983
246,0.0457707799340874
247,0.1188625765749379
248,-0.1098398169336426
249,-0.0228885328450498
250,0.6110868616324705
251,0.1791247095275002
252,-0.0096833543139393
253,-0.1153648534672468
254,-0.1855089355089379
255,0.0884512205831891
256,0.1176185514550801
257,-0.3574728855600336
258,-0.0559624321759697
259,-0.0788962319744055
260,-0.3533551634817383
261,-0.0537897310513514
262,-0.0195637288467142
263,-0.0538292145828302
264,-0.0391638517648132
265,-0.0342801175318421
266,0.0929595381378725
267,-0.1224649750171451
268,-0.3687496927085894
269,0.0565096680671281
270,0.1631201324584584
271,0.1353656636640893
272,0.0177320597599843
273,-0.2233731804904452
274,-0.0368333169629646
275,0.2377854547085884
276,-0.143774992137302
277,-0.2567567567567537
278,-0.0180212650928059
279,0.0675341047228876
280,0.058495320374368
281,0.135704720906612
282,0.1113155886709414
283,0.1165657924232321
284,-0.2922661870503623
285,0.0359582883854657
286,0.1705106344790558
287,-0.0269299820466796
288,-0.0089774665589416
289,-0.0982200866817018
290,-0.0066053551906205
291,-0.0659622302158189
292,-0.0179888469149091
293,-0.1260806916426518
294,0.0450085516248061
295,-0.1036269430051895
296,-0.0405661227801203
297,-0.1082934753181161
298,-0.0045124317494656
299,-0.103893757340328
300,-0.3665885648576377
301,0.0596215328782533
302,0.1983442566402119
303,-0.3591674239473729
304,-0.2146620698627483
305,-0.197705744329544
306,0.1171824139577319
307,0.1083846353940865
308,-0.0715850669211878
309,-0.0781538327942195
310,-0.0238860418657199
311,-0.4449485255627211
312,-0.2580363000218689
313,0.3312845996251213
314,-0.0392464678178978
315,-0.2579460499278641
316,0.1702164804469338
317,0.1498710690439719
318,-0.0409382220865809
319,0.0
320,0.243552385508634
321,0.1303044781305576
322,0.086794254220378
323,0.0650533437418707
324,0.3758911211924718
325,-0.0492748034363858
326,0.2841273232215425
327,-0.2055058440724486
328,0.073157896988556
329,-0.0047062850297454
330,0.0491778742329359
331,-0.0235253860302009
332,-0.0342304565487074
333,0.0384944396920459
334,0.2091425156856804
335,-0.0469724143820929
336,-0.0512689054088714
337,0.0853752241099584
338,-0.0395016387842041
339,0.0012384144195897
340,0.1575850601176734
341,-0.110978316544302
342,0.0213374301199212
343,-0.0854226284542848
344,-0.0854956610951945
345,-0.0213784846930098
346,0.0683643821568948
347,-0.0256432173690068
348,-0.0470346773848656
349,0.1323768041677351
350,-0.3102189781021929
351,-0.559730507262368
352,-0.1515736273834048
353,-0.1841196777905664
354,-0.25380710659899
355,-0.1247516518042701
356,0.0323325635103894
357,0.1982206241644801
358,-0.0046099944680155
359,0.1197163643061144
360,0.1379437189626554
361,-0.0238699597706042
362,0.0767021301040916
363,0.1491372980910373
364,0.0825309491059178
365,0.0572803299347004
366,0.0892775386869303
367,0.0091558322651575
368,0.0823346445887873
369,-0.0549199084668213
370,-0.0939096177191472
371,0.1943123628383373
372,-0.0548947849954275
373,0.0411541451369534
374,-0.0594802342606128
375,-0.1981633639439326
376,0.1640609920864714
377,-0.1256160015460524
378,0.2938484512741527
379,-0.0578396876656887
380,-0.1786576533075831
381,0.0434383898836832
382,-0.0482881838814014
383,0.0386156296761037
384,-0.1474391511372046
385,-0.0265944586818852
386,0.2111002545265926
387,0.0545908650964267
388,-0.0148073120146606
389,-0.0162569230613427
390,0.0307195216049437
391,-0.0144696860078141
392,0.1204354947490124
393,0.0048171877258012
394,0.0288947748615469
395,-0.0192668946582496
396,0.0601728163284954
397,0.060136630424324
398,-0.0433171295182189
399,-0.1156459307088175
400,0.1671681711802045
401,0.2857551078725505
402,-0.2315201565744493
403,-0.0453698839486256
404,0.0
405,0.0286464550011946
406,-0.0955794504181546
407,0.3618875291652735
408,-0.0524059075750286
409,0.0095274390243815
410,-0.1550609508814564
411,0.1690878780662013
412,0.0142870749595204
413,0.0238061229348242
414,-0.0047614512903489
415,0.0428347056303857
416,0.0047591852274847
417,-0.030944276499011
418,-0.0476292538877351
419,0.071392874991065
420,-0.0452359411456591
421,0.0571075048779348
422,-0.0333238122441174
423,0.0333127111787908
424,-0.4301486402523566
425,-0.0770787166393663
426,-0.2382578109834283
427,-0.0080166127396585
428,0.4662564891367039
429,0.4450399578886954
430,0.0478308700435233
431,-0.0469919864785542
432,-0.8648518196737112
433,-0.1063007344414374
434,-0.1354751306367336
435,-0.0363011543767174
436,0.1618826713056963
437,0.0651937703730488
438,-0.2687391051714015
439,0.2993144733030685
440,-0.0966463709287661
441,0.3467206009823745
442,-0.2123347167261836
443,-0.1449835685289055
444,-0.0822249093107557
445,0.0241779497098701
446,-0.0145088745949611
447,-0.0096735187424475
448,-0.1016752202963145
449,-0.662832634759716
450,0.0946317962835507
451,0.030101053536883
452,-0.1004663463566604
453,-0.196929181402562
454,0.0732663879670678
455,-0.0258654136310739
456,0.0517040803136733
457,0.055981396951165
458,-0.2633737748801801
459,-0.1383544467984009
460,-0.0259481901137405
461,-0.2253911837371513
462,0.2076214369133568
463,-0.010814785975388
464,0.0670067439045483
465,-0.0216197518052419
466,0.0777705767984352
467,-0.0475490619866798
468,0.0043224551545238
469,-0.0821941512372372
470,-0.0757624954001268
471,0.1059551096310929
472,-0.0405388508858124
473,-0.1218513785709713
474,-0.0498396463551966
475,0.0
476,-0.2569953164404931
477,0.2897787144362438
478,-0.1246882793017412
479,0.0670947953608676
480,-0.3752164710409857
481,0.2973621103117527
482,-0.0335844168305873
483,0.086285412971577
484,0.1531613459053238
485,-0.1726039219446774
486,0.2272238034872847
487,-0.1221322860290222
488,0.0
489,-0.1775261491219674
490,-0.0768270431191763
491,0.0216029379995755
492,0.095920961128025
493,-0.0551849896828106
494,0.009596468499597
495,0.1676566392029097
496,-0.1295026140342375
497,0.0790779037166576
498,0.0119800651715572
499,-0.1487738158084188
500,-0.0089806915132511
501,0.3311851056211999
502,0.1206919672790712
503,-0.0687970183783845
504,-0.0832698363523776
505,0.151893075857135
506,0.0670061645671427
507,0.1872659176029907
508,-0.1294700656279262
509,-0.0759538915199785
510,-0.0446987305560496
511,0.0452593207170224
512,-0.0542244076888776
513,0.0670091579182513
514,0.0758860815998642
515,0.0089269773254694
516,0.0174938146869472
517,0.0137432510820702
518,0.1158800196104608
519,-0.0133725595078903
520,0.0826631796106964
521,-0.1139697685825063
522,-0.0222995272500273
523,-0.0848100700798989
524,0.0579942897930029
525,-0.0087058721107431
526,0.4959393611261549
527,0.114649130397156
528,0.3706896551724196
529,-0.0474362844452169
530,-0.0863222409253695
531,0.0280468598304233
532,-0.0129463804078114
533,0.0452918086529
534,0.1335401051089746
535,-0.0129249062944176
536,-0.1297186954966889
537,-0.0687675372328952
538,-0.0464709703276891
539,-0.0788381742738471
540,0.0777403472402083
541,-0.0864528399757882
542,0.1467541436464103
543,-0.0349742442756736
544,-0.0989756666810671
545,-0.0778580388425134
546,0.0172987934091562
547,-0.1125687318699358
548,-0.0476479251494348
549,-0.1170909406305608
550,0.3714859437750907
551,0.1353587005564797
552,-0.2764930625377093
553,-0.2267345190708866
554,0.2763541352627933
555,0.1404917210235831
556,-0.1406893779519652
557,0.0301386377335755
558,0.2330301435766243
559,0.0626032954374718
560,-0.2309121028060737
561,0.1403579126773277
562,0.0851447460683098
563,0.0700700700700774
564,-0.235789896152109
565,0.0461834470703035
566,0.0390476190476188
567,0.1001502253380013
568,-0.1805959666900698
569,0.1902663729220886
570,0.2671593718009521
571,0.0823271130625646
572,0.1444870708983212
573,-0.1172215987030869
574,-0.2024291497975714
575,0.2680385629674482
576,0.1122770652502443
577,0.181042286305451
578,-0.0646997929606649
579,0.2152018593440647
580,0.1074852745173911
