,MU.US
125,-0.0268132954404987
126,-0.1361049245236496
127,0.4189255791030106
128,0.8369478893029535
129,0.1768508354677351
130,0.0243872698451533
131,0.6962523460676742
132,0.8821411425828126
133,-0.4823926676314417
134,0.7005568528830535
135,-0.21000840033601
136,0.453948154342367
137,-0.6734816596512183
138,0.3833712711153626
139,-0.554150102397294
140,-0.0723327305605814
141,0.1684919966301607
142,0.2880115204608123
143,-0.0360144057623062
144,-0.1563063604665089
145,0.6704772642043391
146,-0.301270126102203
147,-0.1438339731286003
148,0.0390921976290488
149,-0.4340484775785762
150,-0.4189272714785971
151,-0.2547507573671196
152,0.0825536598789244
153,0.2607383010841193
154,0.4916018025399418
155,-0.1230516817063213
156,0.2114741796848367
157,0.2585561679254238
158,-0.0476514635806624
159,-0.2497713841156413
160,-0.3039222397152361
161,-0.2952080186736282
162,0.0686059275521366
163,-0.2889775698362374
164,-0.4284134881149838
165,0.3237137543907974
166,0.3363536518396547
167,0.0548847420417014
168,0.0
169,-0.0686530275985132
170,0.1028736026335681
171,0.1506539752105724
172,-0.1577503429355211
173,0.0549766178000789
174,-0.0412837745165333
175,-0.2743647858761827
176,0.1310459852275428
177,0.2139800285306786
178,0.3907637655417386
179,-0.1898208565666112
180,0.0474327048499846
181,-0.130610306340536
182,0.3608399881691887
183,-0.0059157595835419
184,0.2831524303917049
185,-0.3908563306881419
186,0.0236826524570704
187,0.0355113636363649
188,0.1005143972092399
189,-0.3143534994068809
190,-0.0177967609895005
191,-0.0771788173830417
192,-0.2440040468963855
193,0.0891901534070672
194,-0.0714030703320269
195,0.0059499018266144
196,0.0951078880104598
197,-0.1249851208189379
198,0.1485707493908599
199,0.2548903378778769
200,1.2348888600026031
201,0.1557430240103703
202,0.6409016467432652
203,0.1455060520216322
204,-0.5567784539686554
205,0.3869469882626043
206,-0.3624595469255678
207,-0.0064729108680114
208,0.0582222797257105
209,0.109854604200315
210,0.0968366688185963
211,-0.1134921188901058
212,-0.4051914341336849
213,-0.1950585175552555
214,0.0065015278590409
215,-0.1432384920893279
216,-0.169568903671813
217,-0.05873140172279
218,-0.1961553550412
219,0.3128666405944399
220,-0.2352018816150433
221,0.0652911987464052
222,-0.2034687829164777
223,0.3461989829182461
224,0.5575726141078926
225,0.2183559907022626
226,-0.5453257790368345
227,-0.6414825374197984
228,0.0996866989461594
229,0.5100595069424758
230,0.4513399153737762
231,0.2953171143299026
232,0.0562192550948787
233,-0.2395040856579341
234,-0.112834978843439
235,0.2181408767855902
236,0.0913948256467909
237,-0.140805406927638
238,0.4345997476517626
239,0.0070091820284509
240,-0.0474045317610354
241,-0.0297418630751869
242,-0.0777821146064785
243,0.1967350942338676
244,-0.1332959169355954
245,0.0911193663699414
246,0.2377456121949538
247,-0.2875175315567999
248,-0.2319533281788037
249,-0.2324926025081108
250,0.2920418593331821
251,0.7487922705313893
252,0.0965250965250944
253,-0.1896689074756545
254,-0.9926748870711828
255,-0.3184323331291989
256,-0.3317768493487469
257,-0.3328812723461916
258,0.4602074001349942
259,-0.4871130842273967
260,0.4114215535769036
261,-0.1044996311777646
262,-0.1724137931034489
263,0.0307787011388014
264,0.2148651288269494
265,0.2085325487311399
266,0.0122579063496017
267,0.1835311391166104
268,-0.1593137254902079
269,-0.0858579663927305
270,0.220291274017859
271,0.1710445937690905
272,0.3045066991473812
273,-0.1769263620279373
274,0.1401242841476725
275,0.5265861803236535
276,0.3392000000000007
277,0.1214523139861913
278,0.0366779256396599
279,0.0536462185163775
280,0.2983763132760326
281,-0.1211271197245937
282,0.4695431472081095
283,-0.286350620426337
284,-0.0318268618714267
285,0.038177653346909
286,0.1423270472220744
287,-0.0152516522623109
288,-0.0572264258917806
289,-0.0573865089534469
290,0.0637080366225845
291,-0.0890925289550813
292,-0.159347313404296
293,0.3014658969881389
294,0.2507606490872222
295,0.0443515174555037
296,-0.0316896945113521
297,-0.0253581843539952
298,-0.3831027504486526
299,0.2171704343408589
300,1.0238907849829435
301,-0.92572658772874
302,-0.2590114396719287
303,0.728519391472045
304,-0.2685573101299817
305,-0.5943375837475655
306,0.1730305370850564
307,-0.8380289350592788
308,0.1316658555238688
309,0.0638367169688471
310,-0.0325803649000881
311,-0.3487358326067929
312,-0.1418749317909087
313,-0.0436728900534906
314,-0.2298095863427533
315,0.1420609769424212
316,0.2180787264202253
317,0.2827008807219801
318,0.2279233804259239
319,0.5501132808285703
320,-0.194898480916058
321,-0.0390381687313897
322,-0.3746944481831938
323,-0.0254057868736715
324,0.3408353170309432
325,-0.4090267983074641
326,-0.4533862283933231
327,-1.7149445165009336
328,1.6164729668609623
329,0.6058342728297482
330,-0.2259887005649669
331,-0.0070626456670604
332,0.3589021815622736
333,0.5041310740792598
334,-0.0280151281692058
335,-0.1051672158732424
336,-0.0070116393212669
337,0.167996640067205
338,0.1956126868799585
339,-0.0489270986230468
340,-0.0027959123760996
341,0.1214744484780833
342,-0.2098782706030582
343,0.2538662617460233
344,-0.0235918196412264
345,-0.0418965156064536
346,0.041878969777345
347,0.0209351011863231
348,0.0418526785714301
349,0.0697058413495011
350,-0.0683093677206273
351,-0.4373149062191488
352,0.9412052316342696
353,-0.2819318460407011
354,0.4879238838741225
355,-0.6877916973716559
356,0.1471670345842587
357,0.6336826712161784
358,-0.1708984375000007
359,0.1158324696701808
360,0.3160133697964207
361,0.0607348921955629
362,0.1516070345664039
363,0.0969344480794841
364,0.1028868849482463
365,0.0181532131187227
366,0.1812031891761363
367,0.241021932995906
368,0.1263766022747665
369,-0.648092065414896
370,0.2416918429003055
371,-0.0120860526951959
372,-0.0241779497098597
373,-0.1816640426305022
374,-0.1576904415332307
375,0.2987093501662634
376,-0.6523712275924697
377,1.1550970057194136
378,0.3798458272818718
379,-0.4545199483755133
380,0.4580237948947065
381,-0.0279360822438324
382,0.3737237783841404
383,0.7011938978554014
384,0.396388460691477
385,0.4930426207954452
386,-0.6172410789978172
387,0.121008588416644
388,0.1978021978022053
389,0.0549148819330007
390,0.6649610787752465
391,0.19110360973485
392,-1.0063792344918523
393,0.3620806045781688
394,0.2237165819255362
395,-0.4282655246252683
396,-0.03844886301219
397,0.4592673592126863
398,0.3486978315353527
399,0.8106355382619975
400,-0.4020230839061111
401,0.3935944982025337
402,0.290185471406497
403,0.6144393241167485
404,-0.4694231882194188
405,-0.4846213491858361
406,0.0542481465216625
407,0.074986996661073
408,0.6792718882194744
409,0.0768541052901089
410,0.2045251182410978
411,-0.198270385474528
412,-0.1220825852782653
413,-0.47674268779797
414,-0.4660194174757274
415,0.796326189384621
416,0.4727760736196335
417,-0.1536098310291735
418,-0.7609957435831335
419,0.0386797318205275
420,0.1237507420537378
421,-0.3308785529715624
422,-0.064641241111844
423,0.0014220870808664
424,-0.3126702113863351
425,0.1409411764705858
426,-0.4016064257028153
427,0.4234297812279457
428,-0.5321035828307945
429,0.0590876861262247
430,-0.7500892963448146
431,0.0119047619047679
432,-0.3824091778202595
433,-0.2876318312560032
434,-0.3608371421698306
435,-0.43488765402271
436,0.060364602197268
437,-0.0845819236345978
438,0.4230456398384709
439,-0.1342165440565071
440,-0.1329472795270914
441,-0.151030024768924
442,0.0301968836816109
443,-0.3880198860191674
444,0.1078016933344621
445,-0.2172857489681986
446,0.0121373953149716
447,0.5312084993359867
448,-0.1571946795646861
449,0.0
450,-1.0533113223429231
451,-0.468409792301719
452,-0.689859397300804
453,-0.8752564102564064
454,0.5355776587605224
455,-0.055118351348867
456,0.2328165713463819
457,0.0639867701310175
458,-0.0825002673619843
459,-0.0639531180329824
460,-0.2856726722659933
461,0.0620531154238934
462,-0.1534526854219825
463,0.0628760421831776
464,0.00102236421725
465,-0.1678211034717636
466,0.1933047315581232
467,0.2291905672402806
468,-0.2171691364333184
469,-0.0767067246228615
470,0.2804691483936752
471,0.0764331210191111
472,-0.2426254629038408
473,0.0510529674537231
474,-0.1533938386808006
475,-0.793462813832309
476,0.306965761511222
477,0.4232306607100863
478,0.8277952664101594
479,-0.1751927119831715
480,-0.2342545472425116
481,0.0235252808988756
482,0.2801120448179378
483,0.1747640685075049
484,-0.1730824668511384
485,-0.0720626021957508
486,-0.216538889214025
487,-0.1465244402766381
488,0.0702823005739747
489,0.2919878533053024
490,0.1690666355739474
491,-0.2278836040668545
492,-0.0818713450292317
493,0.2684004801114114
494,-0.1052078468005517
495,-0.0233590282644195
496,-0.5047540791172753
497,-0.058726802912846
498,0.2810962754743439
499,-0.2701115678214795
500,0.411211184298957
501,0.938810839603167
502,0.1927166400850558
503,0.2651113467656453
504,-0.0397825222119097
505,-0.3059324288374431
506,-0.0809380291589905
507,-0.3194444444444591
508,0.0066769045870463
509,0.2663647865751996
510,0.1794735442701477
511,0.0664275275674201
512,0.0929121316697735
513,0.1524087204293882
514,0.1785950522555961
515,-0.1656397005234214
516,-0.139331210191088
517,0.2646903123345723
518,0.0859504132231375
519,-0.15229770891272
520,0.0926170944694273
521,0.1717078325188158
522,-0.1852587005425441
523,-0.2432793095855122
524,-0.2748071295557256
525,0.7159575932810078
526,-0.3592648887660507
527,-0.3049203049203033
528,-0.0832292967124459
529,0.2559667934970629
530,0.2553132762903506
531,-0.0690512360171207
532,-0.485706355814591
533,-0.1528839471855447
534,-0.3162156735895738
535,-0.1440938285395155
536,-0.1118255521386613
537,-0.1739110953038429
538,-0.2186359809149582
539,0.5859375000000023
540,-0.0279095729835476
541,0.0975881778893174
542,-0.3497481813094572
543,-0.2243409983174576
544,0.0700574471066433
545,0.2306563220800895
546,-0.1960921633167597
547,0.4947735191637685
548,0.3818118708781752
549,0.47671687163189
550,1.146595841160854
551,-0.9218096234309602
552,-0.3279548734094188
553,0.1963864886095725
554,-0.315208825847117
555,-0.2369668246445587
556,-0.0395100750691254
557,0.1052493093014054
558,0.3408941916874143
559,0.2730168360382364
560,0.1451886669277929
561,-0.1111038494216168
562,-0.0588543029034811
563,-0.2162658103414274
564,0.0327568134171796
565,0.0814325850787281
566,0.4727343800899173
567,0.0635467967466123
568,0.2936899506621546
569,-0.0909681611435908
570,0.0843991430240832
571,-0.2173120966062898
572,0.028619747625869
573,0.0065040650406444
574,0.2530167380303532
575,-1.4191993573436903
576,0.7177987504984796
577,-0.1397670549084911
578,0.2853729758428502
579,0.0663217933412881
580,0.0132625994695028
581,0.3304692663582286
582,0.3687607006453327
583,-0.0658935160780329
584,-0.0461467466543563
585,-0.4037595975641945
586,0.1190003966679746
587,-0.0529170525201641
588,0.0132275132275012
589,-0.1059322033898282
590,-0.2056657599681565
591,-0.2260788616264402
592,0.1261787754017971
593,-0.0332159702384982
594,0.0265657169422806
595,0.3375694996028721
596,-0.1192842942345969
