,ABNB.US
0,-0.7317903335602373
1,-0.5957679928781788
2,0.3888130968622054
3,0.4684635752596903
4,-0.3884950926935613
5,-0.150170648464163
6,-0.0922351655108741
7,0.3506263616557641
8,-0.0544959128065286
9,0.5285269006640473
10,0.2129889448595271
11,0.0371747211895764
12,0.0371609067261287
13,-0.2811843620841466
14,0.1722078452645619
15,-0.4515559179236358
16,0.0814663951120193
17,0.0502123848168495
18,-0.0033928438138247
19,-0.1828687967369174
20,-0.3000136369834977
21,-0.1542673461987308
22,-0.5170894174112141
23,-0.4348845225784168
24,-0.1307463865260852
25,-0.3464522347517272
26,-1.1667234913058195
27,0.1089844016075175
28,0.7168458781362022
29,-0.0474289901413982
30,0.1453231091443288
31,0.2762337881084891
32,-0.0438123483418695
33,-0.0674490759476748
34,0.9420725596311864
35,0.1334489891239187
36,-0.314591700133868
37,-0.1844090528080507
38,0.2308155482705551
39,-0.1272775991425493
40,0.0133958472873477
41,0.0200897341458522
42,0.0468540829986567
43,0.4796163069544356
44,-0.2244568504738102
45,0.1308840306147145
46,0.3983928808606849
47,-0.4000533404454079
48,-0.1870407481629934
49,-0.0300691590658431
50,0.1411142632287678
51,-1.3611063415750912
52,-1.0959625965437936
53,1.0757908723871774
54,0.8513296927642855
55,0.0404700400141868
56,0.2929144992677057
57,-0.2176333637007684
58,-0.1140077525271833
59,-0.3559533192646963
60,0.1750762310031607
61,0.3137840299564861
62,-0.5546227039128904
63,0.1600243846681387
64,0.2053231939163504
65,-0.0228188940442623
66,-0.048196438536857
67,1.1385294412679214
68,0.1602403605408078
69,-0.0400761446748743
70,0.1500600240095953
71,0.0424989375265658
72,-0.0775581686264704
73,-0.2005515166708476
74,-0.7985040683276817
75,-0.0026385920472811
76,-0.9643818099475197
77,-0.6947797628628232
78,0.3688261706222076
79,-1.436859513094402
80,-1.2079320063568435
81,-0.7206300953433717
82,-0.7377505567928826
83,-0.1226446649570737
84,-0.1048595334280835
85,0.8893252212389384
86,1.3477383095978603
87,-0.2872855618484805
88,-0.1095620258018664
89,0.414609530563825
90,-0.2159532010278335
91,-0.1189429024805011
92,-0.2456583171006049
93,-0.2846566593865469
94,0.6137817883511051
95,0.218281036834928
96,0.2232385930523775
97,0.2010541759495759
98,-0.5216441349173905
99,-0.8122246696035211
100,-0.0101496583494055
101,0.8025332900292315
102,0.4011127644432973
103,0.4764664219947261
104,-0.0193199381761985
105,-0.2971192352409301
106,0.0709998063641732
107,0.3601517782494065
108,0.2341920374707136
109,0.1601486179174273
110,-0.0096098404766393
111,-0.4440154440154425
112,0.0707350009645587
113,0.2469610956092365
114,-0.2024681835711516
115,-0.1029468536868002
116,-0.1159494975521633
117,-0.2194964493221455
118,0.0176857031099728
119,-0.1923300782513162
120,0.2745465016764983
121,-0.106979146491068
122,-0.1034059329153988
123,-0.0711421549605388
124,-0.285380723829289
125,-0.8968009637263996
126,-0.0884196988371427
127,0.0910161687546779
128,-1.1809317443120295
129,-0.2035554349301126
130,0.2679731485491579
131,-0.5525162624860436
132,-0.4428770606085471
133,-0.0793433652530835
134,0.1093194861984086
135,-0.6214937850621469
136,-0.0357624274435353
137,-0.628391097331409
138,0.284648627878786
139,0.3901124584123776
140,0.0851648351648357
141,-0.4803180036437943
142,0.4068292774120433
143,-0.0549595642845304
144,-0.6199833933019676
145,-0.2302549449329997
146,-0.0916310323763094
147,0.3624291049937757
148,-0.2246007098491576
149,-0.2111815049460906
150,0.3919843376878238
151,-0.3395117584911495
152,-0.4472143373895109
153,0.4766212334209539
154,-0.522982474680328
155,-0.1530982708756489
156,-0.3829760948792418
157,-0.2787413280475648
158,-0.0247831474597224
159,-0.2982848620432626
160,0.1427241700279355
161,0.3773482261418731
162,0.1848698013081562
163,0.4605985262566937
164,-0.1220085910283051
165,0.0728814153005415
166,0.9916646385982116
167,0.7967165620473161
168,-0.5156828247285047
169,-0.4142552543405463
170,-0.5205143906919745
171,1.424604611855599
172,1.3752455795677814
173,0.0889842707215532
174,0.0775037147102577
175,0.6174207643352401
176,-1.117307346284597
177,-1.2349528408906782
178,-0.2632263096321153
179,1.0132852961044736
180,-1.4456337292781645
181,0.911854103343463
182,0.3415828821861312
183,-0.4949616505112109
184,-1.0344534240748686
185,1.7203046628752143
186,-0.9019467878001372
187,0.2653549932043211
188,-0.2010376134889768
189,-0.3448949046658431
190,-1.472530375066026
191,0.4993429697766038
192,-0.4620462046204545
193,-0.0132030631106484
194,-0.2315886984715108
195,0.443993570656904
196,0.8918195469086541
197,0.3059099192918503
198,0.2920371211629678
199,-0.3124796562723714
200,0.6251075299650188
