,AEP.US
0,-0.3761948812827537
1,0.9286979898576294
2,-0.2634158294535521
3,0.3764262453556908
4,-0.0346764346764232
5,0.2192982456140261
6,0.2867000340152634
7,-0.0802431610942279
8,0.1456841082918593
9,0.133365664403491
10,-0.243072435585808
11,-0.1582471089470425
12,0.1215805471124551
13,-0.3171118429076779
14,-0.1098901098900967
15,-0.3553486092390715
16,-0.0245128079421448
17,0.0306316240886987
18,0.1529239050648397
19,-0.2268407822941426
20,-0.2150405505038232
21,-0.0705830851448444
22,-0.4851105893982297
23,0.0494010127207509
24,-0.8720568082720852
25,0.8888623754697902
26,-0.3772455089820332
27,-0.0239578342117824
28,0.1674240612293716
29,-0.2397506593143165
30,-0.240326844508535
31,-0.1203079884504262
32,0.3118253777884275
33,0.2273543137489502
34,0.0717445892622292
35,-0.0358851674641161
36,-0.0838022267448739
37,0.0239377618192651
38,-0.0359195402298864
39,0.0119717466778464
40,0.2031063321385922
41,-0.0239005736137619
42,-0.1675843907110372
43,-0.0479041916167739
44,0.0239463601532519
45,-0.0718907260963363
46,-0.0839429188151974
47,-0.138096667667361
48,-0.1623767139764314
49,-0.1445434834979578
50,-0.2383939774153045
51,0.281513919299336
52,-0.0062562562562505
53,0.3242703916188639
54,0.0249376558603441
55,0.1742593975603691
56,-0.5399926165551847
57,0.1435830019719126
58,0.2326393217803248
59,0.1866600298656118
60,0.0248818113958646
61,-0.0622432466077395
62,-0.3748594277146034
63,0.1434899245118159
64,-0.0312031952071785
65,0.3661035834377872
66,-0.223593194989719
67,0.2052238805970226
68,-0.0622277535781099
69,0.1305077372444273
70,0.049692527486187
71,0.0827936848403116
72,0.1280604971177144
73,0.4135802469135725
74,-0.2971768202080174
75,-0.0941176470588215
76,0.2464499471892897
77,0.1874194681972716
78,0.1053124268663576
79,-0.1288810779144691
80,-0.1642999647928653
81,0.1172195522213205
82,0.1463100602797448
83,-0.0526993793184233
84,0.0468219594990123
85,0.0
86,-0.0117068602200949
87,0.0585000585000551
88,0.0
89,-0.1875512835540928
90,0.1579963719351523
91,0.0760145012279405
92,-0.0702165008777089
93,0.0
94,0.105213935001173
95,-0.1229004506349903
96,0.0409500409500369
97,0.023394549070062
98,0.0409237065185744
99,0.1109553842560136
100,0.0241167249487642
101,0.0722978672129028
102,0.1804185710849238
103,0.1081340862669751
104,-0.0240355726475306
105,-0.0120192307692198
106,-0.0481000481000556
107,-0.0842459983150718
108,0.0300788064729489
109,0.0781437845636113
110,0.1798874113613338
111,0.0600863516430804
