,BIIB.US
0,1.185034704587782
1,-0.5318469982555418
2,0.0404040404040399
3,-0.7261277470762084
4,0.0107087018911591
5,-0.1866792549995718
6,0.1585329277175441
7,-0.3482672628772782
8,0.0859180341953727
9,-0.6094134935384866
10,-0.0389138706330004
11,0.3747576997630861
12,0.2239213309780705
13,0.0232033515952313
14,-0.0967741935483846
15,-0.0107538444994109
16,0.0236528619963044
17,0.4452626621569516
18,-0.0599751531508316
19,-0.0042841230400219
20,-0.2168172938625659
21,0.0107323774362521
22,-0.2668732782369165
23,0.2040421830365748
24,-0.1398029853314357
25,0.2269870093588608
26,0.0941980951051815
27,0.2217796608104555
28,0.0531974114536177
29,0.2827553905667243
30,-0.1318021952673606
31,0.06401888626581
32,-0.5656029606871044
33,-0.0419140761439065
34,0.4623996106108486
35,-0.3821522676112762
36,-0.4152794813387076
37,0.0035043453882782
38,-0.0666269242907731
39,-0.1228846288884287
40,0.115728563913724
41,-0.3766544635313972
42,0.0949534024969364
43,-0.0386996904024815
44,-0.070060308194948
45,-0.0038728303348322
46,0.1055112017725921
47,0.0281284061741995
48,-0.1620003521746914
49,0.2949541767618356
50,-0.4539826661163983
51,-0.4182051088840165
52,0.2067902395006998
53,0.5124560484775745
54,0.0486035817101178
55,-0.3244500290692256
56,-0.2236758016616019
57,0.1314011112779781
58,-0.2861445783132496
59,0.2160232929463656
60,0.5176409029750302
61,0.164179104477611
62,0.1054856252539353
63,0.1997619224759979
64,-0.6062874251497024
65,-0.407718467579798
66,-0.1185101580135431
67,-0.0583485478740535
68,-0.0655438823826249
69,0.3935914753114131
70,0.2470244778800902
71,0.0598488815740136
72,0.1456691442871711
73,-0.1796071094480891
74,-0.1987102579484
75,0.8954361640669993
76,-0.1301518438177717
77,-0.1158245258433654
78,0.2959220498015337
79,-0.3840023185045653
80,0.2096739209023151
81,0.2991530005406322
82,0.1942515917838845
83,0.054396811980095
84,0.0282869671483093
85,-0.0611400827189411
86,0.1544096523987384
87,-0.2736569206394897
88,-0.0792792792792891
89,0.2767096704639313
90,0.1542877646214592
91,-0.3817893675262939
92,-0.4631639889998453
93,-0.2830394077944806
94,0.0942575406032449
95,0.0833122034266737
96,-0.1432846649133878
97,0.3488288027761621
98,-0.0795890311844187
99,-0.2938935452269519
100,1.0583941605839415
101,-0.4929288187312971
102,-0.1233842538190411
103,0.1847344808374616
104,-0.2321890430284398
105,-0.5645375816510582
106,-0.1806230013028416
107,0.0680574049415479
108,-0.0592153960029574
109,0.0399544223626354
110,-0.1036929503606932
111,-0.1736162635405954
112,0.1481700992739665
113,0.4865821291654479
114,-0.3848431024274752
115,0.4039272341303784
116,-0.4531453619239514
117,0.2952988424285377
118,-0.2397655625610521
119,0.109402720283857
120,-0.2403159318674018
121,-0.1868392920774515
122,0.1097499480912421
123,0.1717449883035693
124,0.0296024392410001
125,0.7924937385518315
126,-0.5865764241398768
127,-0.423595372396145
128,0.1966459393254349
129,-0.1887861053426467
130,0.0716872924841524
131,0.2183570514268444
132,0.101545752002701
133,-0.056483802394751
134,-0.4042392413193642
135,-0.0964393094189041
136,-0.1306471768849272
137,0.4057014690413548
138,-0.1381146612281909
139,0.0396398437057659
140,-0.0509915014164271
141,-0.2840909090909091
142,0.158838211935563
143,0.2489814395654022
144,0.0716251366532203
145,0.2294268090868112
146,0.170275237625015
147,-0.1781012563003089
148,-0.1280506176559324
149,-0.0678374915203161
150,0.4893754024468711
151,0.0986362466763951
152,0.0728519391471984
153,-0.0707592683920458
154,-0.3960992831464129
155,-0.5476190476190418
156,0.1512859304084695
157,0.2436237414569984
158,-0.0409800707445426
159,0.0948112394414751
160,-0.1424194035647939
161,-0.1231500486118598
162,-0.0367424569897155
163,0.1079493933244095
164,-0.134036665513664
165,-0.1125443684529438
166,-0.034641032302768
167,-0.3258178026847387
168,0.2340397867637464
169,0.1601038511466917
