,REGN.US
0,0.6867331348737599
1,0.1509790044821949
2,0.2744667503136763
3,-0.1067638007913181
4,0.2786910912791743
5,0.0766595222077956
6,0.2356797253004511
7,-0.2762409321762151
8,0.1070948375598103
9,0.1654492102141389
10,-0.2817430503380845
11,0.068823124569864
12,-0.468303108401172
13,0.3148742852667017
14,-0.1679010795882579
15,-0.1524414200625524
16,-0.0251513007938329
17,0.1710501537882166
18,0.818677042801555
19,-0.2308820317618823
20,-0.0007800129482142
21,-0.3577411425798018
22,-0.6597973692260203
23,-0.2422236615535384
24,-0.410837219631362
25,0.7095516569200753
26,-0.3148282133010058
27,-0.0812172806888719
28,0.0107625775394693
29,-0.0215297893995061
30,0.5450439928365669
31,0.1030627126883758
32,0.819672131147541
33,-0.244569683026088
34,-1.325924164284203
35,0.1805666907839336
36,-0.1939655172413811
37,-0.0725447522694752
38,-0.1433339878264208
39,0.240926096409606
40,0.0821998238575234
41,-0.1028554635842635
42,-0.2071185974831668
43,-0.2377589185176801
44,-0.5066851265822795
45,0.1323404507476167
46,0.4405026449824013
47,-0.2582807570977922
48,0.2634994297400463
49,-0.5516559565002511
50,-0.5871387006289536
51,0.1443980514961599
52,0.1303101381287464
53,0.2841352067776815
54,0.4844827586206802
55,-0.1865542734747531
56,0.048342541436479
57,-0.0881300869204567
58,0.2999495202702794
59,0.2498775531247499
60,0.0060145724498158
61,0.1492819025721108
62,-0.0961819212338672
63,0.0403457718489546
64,-0.0798969072165003
65,0.0086246856370838
66,0.0977995949332303
67,0.0154450755950699
68,0.0077219414676766
69,0.0895800026574034
70,0.1929312719774712
71,-0.1096331571779716
72,-0.2128664005836675
73,0.0549031045990014
74,0.1379251263599674
75,-0.1398744541484607
76,0.0289899558329426
77,-0.2410256410256355
78,0.1024590163934465
79,0.1279099513942184
80,0.3560230777727786
81,0.4660013531799721
82,-0.123630328382478
83,0.0896785109983033
84,0.2876641837001613
85,0.0842542069787595
86,0.2019162019162011
87,-0.2859745912840911
88,-0.0134991478662978
89,-0.3547970415968672
90,-0.0940370860029153
91,-0.1323828920570218
92,-0.471493004339799
93,-0.1083987709115723
94,0.01962742035961
95,-0.2069419621860464
96,0.093122597180685
97,0.2216349842298107
98,0.3685962766680379
99,-0.4264610555764047
100,-0.3973959581436235
101,0.3224650662844867
102,-0.2684443202570619
103,-0.0159694982583347
104,0.2359899629585379
105,0.0716417910447788
106,0.0596658711217206
107,0.1330764494408834
108,0.4999999999999946
109,-0.0415192075762627
110,0.1697424257376802
111,-0.0375153022943564
112,-0.1433557100062218
113,-0.5127644562808759
114,0.1755813030711943
115,-0.1529993840284615
116,-0.0558461406022464
117,-0.0941263374447133
118,0.4070594763858333
119,-0.0793383184243364
120,-0.0262480366052069
121,-0.0849268282996681
122,0.0317605256366929
123,-0.1033283656234439
124,-0.0357803089033348
125,1.0722712371222312
126,0.2958074534161448
127,-0.2961071249638088
128,0.2317158439379144
129,0.2340722368625005
130,0.1918494909799809
131,0.4098613251155574
132,-0.07710100231303
133,0.1539645881447267
134,-0.2005553841406902
135,-0.1081081081081151
136,0.0493964372819687
137,0.1967348485665362
138,-0.1105832999167131
139,0.0847549042269512
140,-0.1806224527602752
141,-0.6072843053506202
142,-0.1244071223077627
143,0.1785934658541989
144,0.1347915730075831
145,-0.1894851285237287
146,-0.1376435731338394
147,-0.521395181589362
148,-0.4728095253055183
149,0.2756978602086517
150,0.2176690000510955
151,-0.1197077902146513
152,-0.3295112762659532
153,-0.515905362320336
154,0.1905213074910942
155,-0.4074120031434773
156,0.0248108175164381
157,-0.3548085901027153
158,-0.2339728591483388
159,-0.0613905479366565
160,-0.1625846795205779
161,-0.2120170866972305
162,0.5535936850851607
163,-0.1070942117138164
164,-0.088456895475172
165,0.2242804336088468
166,-0.2143555805290274
167,-0.104164496572988
168,0.4025313829235393
169,0.0104979122432692
170,-0.0977301518077891
171,-0.0228490714968129
172,0.0165316855922561
173,-0.2330654898205569
174,0.1579581826495388
175,-1.1615113793537009
176,0.621661303926778
177,-0.0124972662230201
178,1.4547637740728836
179,-1.0830493441015885
180,-0.5334626576139619
181,0.0437842064112545
182,0.2954497618472207
183,-0.1241024039962471
184,-0.6093730368136694
185,-0.4527885146328002
186,0.5124663522284025
187,0.2434747209043716
188,0.3557219751930862
189,-0.3051643192488334
190,0.0492714858872472
191,-0.0919327450597973
192,0.3840047411843685
193,0.21165668041396
194,-0.176327798209902
195,0.5351466186983457
196,0.0557785682281677
197,0.0062144528646827
198,0.2473449070137775
199,0.0664297852618492
200,-0.0849351892369035
201,0.1106313591401051
202,-0.0857632933104608
203,0.6710809912215289
204,0.328585089194437
205,0.194168367011134
206,0.1478755216719754
207,-0.1480945172118701
208,-0.1111943925079801
209,0.0831207308040483
