,LCID.US
0,-0.8512363194162841
1,-0.4049571640788856
2,0.6778989578869924
3,1.1539537299716385
4,-0.4293739967897244
5,-0.4437744610014661
6,-0.6629744588481096
7,0.3577926015767124
8,0.5827974276527315
9,0.2805611222444901
10,-0.3289341407902367
11,0.310275158745419
12,-0.425120772946856
13,0.0152955667007535
14,0.6247999999999934
15,-0.4217714400482041
16,0.1435974778186092
17,0.7922832959940065
18,0.1120911356581052
19,0.0011924446705645
20,0.500692109946608
21,0.0592885375494093
22,1.361061401764584
23,-0.7095066827912301
24,-0.1513965843357586
25,0.358919687277893
26,-1.4968440036068498
27,-0.3799775887444169
28,-1.4696914033798687
29,-2.9695479477964826
30,0.8067542213883672
31,-0.8133156799697366
32,0.8175470586690387
33,-0.1356286255297315
34,-2.960170666749196
35,2.538925541941561
36,0.5434955821064587
37,-0.66544247395131
38,-0.2597918637653665
39,0.6578947368421079
40,0.8541083112957253
41,0.5959614672100776
42,-0.1484230055658595
43,-0.372439478584722
44,-0.9140520468451736
45,0.3884233009054533
46,-0.5295475887142851
47,-0.4873113724896937
48,-0.4215723509305
49,0.7351555136663537
50,0.3702803283900294
51,-0.5126855606881451
52,-0.0394890864387977
53,0.4138557403757474
54,-0.0004681647940063
55,-0.234631628343504
56,0.0469043151970054
57,-0.1409112259276709
58,-0.1411100658513527
59,0.0944544433531766
60,0.6531279178338039
61,-0.3748828491096618
62,-0.5659781620083072
63,-0.7114380635975264
64,0.566304860783393
65,-0.189125295508287
66,-0.5667877589059822
67,-0.0038040893960919
68,0.0950118764845585
69,-0.1431976365253921
70,0.2377788324632201
71,-0.1425855513308039
72,-0.1904761904761864
73,-0.4784688995215379
74,0.523560209424098
75,-1.014490654228174
76,-1.1966772538480392
77,2.2263628111413745
78,-0.3884892086330911
79,-0.6211000275079365
80,0.2104502769082647
81,0.5893307672789813
82,0.2478510028653286
83,0.1906577693040951
84,0.5215742057847295
85,0.7066821719295195
86,0.2343823391263381
87,-0.4723948673660452
88,-0.545195729537377
89,0.0711237553342843
90,-0.620229007633583
91,0.8355175382984988
92,0.1341837939995169
93,0.7735583684950734
94,-0.2382597171899408
95,-0.563799621928162
96,0.5405405405405332
97,-1.0208926875593536
98,0.4490664145592173
99,0.1651722510618223
100,1.730952705465463
101,-1.7050180205156695
102,-0.0277315585135829
103,0.7705008255366018
