,INTC.US
0,-0.0870852564660877
1,-0.2006980802792355
2,0.1394214011850913
3,0.1218450826805923
4,0.1737619461337868
5,0.0347403161368822
6,-0.0173731758165358
7,-0.0347584289190182
8,-0.008690362388116
9,0.7161345987920729
10,-0.311580405054526
11,-0.0432937916702843
12,-0.1543638129596202
13,0.0433418283316838
14,0.0675675675675701
15,0.0
16,-0.0086632591180723
17,0.0086625086625007
18,-0.1996354483117819
19,0.1732952083874905
20,0.1384442329324189
21,-0.1733552916702684
22,0.1989619377162541
23,0.1468428781204126
24,0.5412371134020701
25,-0.8671553727874118
26,0.1428316372076384
27,0.3823921742996948
28,-0.0979170375645357
29,-0.4201305086260828
30,-0.0704885536607542
31,0.3110397717139264
32,0.0796582713620474
33,0.0628673196794291
34,0.557867705658381
35,0.0177069499778627
36,-0.1329787234042603
37,0.0988383833016358
38,-0.1078109761503686
39,0.0395268827114984
40,0.0756287637265382
41,0.1768033946251793
42,0.2117148906139687
43,-0.0300019413020895
44,0.0299929428369848
45,0.0705218617771494
46,0.0424713758787331
47,-0.2014833127317685
48,-0.0088300220750597
49,0.553213909378289
50,-0.737940964722816
51,0.0
52,0.0899118863513705
53,0.0539180445722522
54,-0.1079525008996082
55,-0.0990544799639796
56,-0.1804239963915226
57,-0.0090220137134526
58,-0.0722282412423242
59,0.0541418516513157
60,0.108166576527857
61,0.0324394463667832
62,-0.0865800865800898
63,-0.0180407721450442
64,0.1081275905568611
65,-0.1810805980173286
66,0.0095676505099835
67,0.0270709258256514
68,-0.0993586848523163
69,-0.378447874109415
70,0.0610728524827893
71,-0.0543970988213982
72,0.0887697240892036
73,0.0561289154445026
74,-0.6927985414767465
75,0.3365429559689627
76,-0.2718410198725084
77,-0.2820078962211049
78,-0.0188040616773185
79,0.0751597143930837
80,0.0469527655178863
81,-0.1222264009025906
82,-0.0658575595070027
83,0.0094073377234157
84,0.0376151965394078
85,0.0376010528294717
86,0.0244347123282619
87,-0.0620650742900155
88,-0.0654933076378825
89,-0.1981893302105788
90,0.0845972680169674
91,0.1129199209560462
92,-0.1791101055806916
93,0.1223990208078292
94,0.0
95,-0.0848096494534387
96,0.009422406482607
97,0.1974797818318675
98,0.075173839503851
99,-0.1505740636175386
100,-0.0505407864146337
101,-0.0202204023860178
102,-0.1565484014038747
103,0.1334851558439245
104,-0.2264250385145524
105,0.0079049941320652
106,-0.0143932145116062
107,-0.0685667917638693
108,-0.0202901491326065
109,0.303428744816437
110,-0.1925415484393977
111,0.1618777822743794
112,0.1212611156022537
113,0.1614205004035621
114,-0.0908815510451412
115,-0.0201999798000161
116,-0.0849119543901534
117,0.0040432629131758
118,0.1312335958005203
119,-0.1516530178950619
120,0.0
121,-0.1012043315453843
122,0.0404653515427334
123,0.0808652582634312
124,0.1312335958005203
125,0.1376651982378776
126,0.0183519911910536
127,0.2106034245948079
128,-0.0824780058650927
129,0.1615786767383371
130,-0.015190336749631
131,0.1826817683595203
132,0.2551020408163275
133,0.1273885350318476
134,-0.246282951746794
135,-0.4581691560524146
136,0.0210713402288625
137,0.0887871853546857
138,-0.0641143066495632
139,0.1189278199615729
140,-0.0366065708794785
141,-0.0549400238073457
142,-0.0491038546525799
143,-0.2170400293793639
144,-0.1747447806493127
145,-0.193512716549952
146,0.2109436925628999
147,-0.0638571954361312
148,-0.165898617511527
149,-0.1291989664082692
150,-0.2255910485471937
151,0.0450978623613343
152,-0.0631768953068658
153,0.1621913858352917
154,-0.0360555255092899
155,0.2338129496402923
156,0.161608906446393
157,0.1255380200860837
158,-0.1526717557251923
159,0.098690113045038
160,-0.0359001974510788
161,0.0001795006650431
162,0.0984488478436357
163,0.0806307113420564
164,-0.1076233183856543
165,0.1584927961890153
166,0.0724780328924899
167,0.0465074680261217
168,0.0714987934578588
169,0.0892936869363285
170,-0.0625446747676851
171,0.0269762805247275
172,-0.0092907080412775
173,0.0292928805797084
174,0.1492776886035318
175,-0.5024199553239014
176,0.2506731037043877
177,0.2223251505326624
178,0.147997410045321
179,-0.1667747614194316
180,0.0833179040918248
181,0.083248543150498
182,0.1846551564952477
183,0.1382998340401912
184,-0.0276676196624429
185,0.1657305957094122
186,-0.0368425900340851
187,0.1379690949227425
188,-0.1289371891692766
189,-0.0737327188940076
190,-0.0461041954817862
191,0.0210190941876707
192,-0.1503092973871334
193,-0.027705947543407
194,0.0612849157886201
195,0.1323624297170174
196,-0.115350897429982
197,-0.0138440239963087
198,-0.0461680517082152
199,-0.1479563528758984
200,0.9079327162337
201,0.0795624067628028
202,0.1291219705999301
203,-0.1093765536442414
204,0.2479666732791113
205,0.3459523574182154
206,0.4704461072601394
207,-0.353638068911044
208,-0.2472283309019653
209,-0.2581861480452446
210,-0.2187748607796329
211,-0.1992825827022746
212,-0.0099651220727504
213,0.0099641291351186
214,-0.0897576543333034
215,0.0797209765819614
216,0.0480088288435534
217,0.0117518175480468
218,-0.039852545581341
219,0.0937647440580831
220,0.0555113410266521
221,0.0695894224078013
222,-0.1792650134448828
223,-0.0498206456755651
224,-0.7428227263601634
225,-0.6776031434184728
226,0.2813281194900032
227,-0.0953034611236404
228,0.1175203212222157
229,-0.1471165162809
230,0.0686072723708785
231,0.1878264952749829
232,0.329563182527309
233,-0.2051783097215515
234,-0.0390968624767784
235,-0.0293312475557304
236,0.0037151533282868
237,-0.0232740074320303
238,0.0
239,-0.0880884799843431
240,-0.0587601606111078
241,-0.0686005488043837
242,0.1467853997455636
243,0.0195675569905058
244,0.0393153265226013
245,0.1072684642438382
246,-0.1565557729941258
247,0.1953125000000027
248,0.0878134452141567
249,-0.0683460261667576
250,-0.1353179972936406
251,0.643426486123117
252,0.1189402804688639
