,CTSH.US
0,-0.0207727461570427
1,-0.0138504155124527
2,0.0484529660137005
3,-0.2915654286705917
4,-0.0069425159678001
5,-0.0138869601444117
6,-0.2505916747877026
7,-0.3913347309573741
8,-0.0839278220730204
9,-0.2664796633941062
10,0.0280426247896747
11,-0.0140232786425338
12,-0.2389654202980063
13,0.1263512564930554
14,0.0701459034792328
15,0.1540832049306617
16,0.0559988800224083
17,0.0419815281276055
18,0.0419639110365102
19,-0.0279837694137344
20,0.069910514541383
21,-0.0069915402363077
22,-0.2031665966092139
23,-0.1122177023425421
24,-0.1545377915144695
25,-0.3745318352059947
26,-0.1334858886346351
27,-0.1782985226693843
28,0.0127339870113397
29,0.1144746883744637
30,-0.2166985340981538
31,0.0254874474321346
32,-0.0446229361891969
33,0.1718213058419128
34,0.0890132248219829
35,-0.0827235125676076
36,-0.0573029415510017
37,-0.0764623422964219
38,0.1018459579885401
39,-0.1528749803965585
40,-0.4676871837571232
41,0.1215455475946761
42,-0.1024590163934404
43,-0.2568053415511079
44,0.0513347022587349
45,0.3453126998337332
46,0.0127877237851727
47,-0.0639795265514998
48,0.1788223272448595
49,-0.3074951953875837
50,0.2257336343115031
51,-0.1507159005274935
52,-0.4161937192584163
53,0.3644131691379644
54,0.0878844946641649
55,-0.1257071024512992
56,0.6866416978776494
57,-0.0999750062484357
58,-0.2756892230576427
59,-0.1883239171374657
60,0.1379137412236703
61,0.2126861003377977
62,0.2558183066075975
63,0.0436572283896676
64,0.1245795440388617
65,0.093347439168589
66,-0.0311254980079752
67,-0.0997008973080736
68,-0.0374018202219188
69,0.1990792584297757
70,-0.0373412994772232
71,0.180157793377643
72,-0.1680149346608651
73,-0.1620543505360202
74,0.0373831775700948
75,0.2397778899545655
76,-0.3800354699771943
77,-0.0380179951843887
78,0.151841073010255
79,-0.0688820344511483
80,0.2077331311599703
81,0.3023431594860102
82,-0.0756429652042388
83,0.1887504718761868
84,0.0565930956423337
85,-0.0188679245283026
86,0.2071173037092904
87,0.194186920571269
88,-0.0062644866253153
89,0.1188837442122373
90,0.0750281355508344
91,-0.062562562562559
92,0.0250187640730498
93,0.062507813476681
94,0.0125000000000063
95,-0.0875766295508484
96,0.0874999999999914
97,0.0124984376952944
98,-0.3134403209628886
99,-0.5293672800605012
100,0.4901328517992976
101,0.308602288800302
102,-0.3328516874806424
103,0.0490006447453213
104,-0.0451525511191338
105,-0.0839251129761106
106,-0.297850297850303
107,-0.0259067357512901
108,-0.1816766156241896
109,0.2201217143597069
110,0.3097973409061506
111,-0.0258231116849529
