,INTU.US
0,0.239554399423893
1,0.411275686435229
2,-0.3200892726044789
3,-0.1131870231812876
4,-0.1663820012957176
5,-0.0441917331997693
6,-0.0191534188852703
7,-0.2377717391304367
8,-0.2353707459328278
9,0.1610948538322887
10,-0.1791504419537816
11,0.1537438095942164
12,-0.1361893624265499
13,-0.095571838165018
14,-0.2689150540430034
15,-0.1108086802611819
16,-0.0565518267728246
17,0.022318107424487
18,-0.0148809523809557
19,-0.0506208498347425
20,0.2500506056565235
21,-0.1552431950022398
22,-0.1034834463709972
23,-0.0663031169914849
24,-0.3618745700870232
25,0.2018046193183105
26,0.1529681087866919
27,-0.1045494867570659
28,-0.2392395147460452
29,0.0
30,0.204944010141565
31,0.0295708009462627
32,-0.1247752987205191
33,0.0855775427623528
34,-0.0983523340172116
35,-0.3076335553952657
36,-0.0636888586956425
37,-0.0084925690021274
38,-0.1445824119748271
39,-0.1042930421641889
40,0.006384880602739
41,0.1720950984766401
42,0.4231281866841559
43,0.0338388004145185
44,-0.0825501651003273
45,-0.0698989642244358
46,-0.1697396617937263
47,0.2222880853586272
48,-0.1080851965667035
49,0.0847008999470571
50,0.2368063809836821
51,0.038254661231573
52,0.5755533705844347
53,-0.2307525899574637
54,-0.1588944796205715
55,-0.0204678714617622
56,-0.3758489836366728
57,0.5121916029432971
58,0.069686411149817
59,0.0888312686065505
60,-0.127406908819917
61,-0.1733811736942296
62,-0.1809321625012062
63,0.0385839683611519
64,-0.1062186172267279
65,-0.2541203804545152
66,-0.3497267759562836
67,0.2181025081788385
68,0.1427741748136753
69,0.2209317767502417
70,-0.0954659706109778
71,-0.0205475312745463
72,0.0519461692720227
73,-0.0362546526804218
74,-0.3857818755307611
75,0.0
76,0.0919080102936948
77,0.16719680287089
78,0.0977756049865595
79,0.2478969398951458
80,-0.1893283931516066
81,-0.2653548610969268
82,0.03060849691874
83,0.0224411938715167
84,-0.1021095840055547
85,-0.1595450919429789
86,0.1809397843341572
87,0.0130246611138244
88,0.1671218358945196
89,-0.0122299225438243
90,0.0835013543512287
91,-0.046864175394274
92,-0.138747194450102
93,-0.0489935900053094
94,0.1549060372589766
95,-0.1653702456054393
96,-0.0031237577703525
97,0.0214941824862216
98,0.1080684297453315
99,-0.0101961743953691
100,0.2629123908065493
101,0.0275558004960034
102,0.2199615067363254
103,0.1499408683899264
104,0.0179474456561979
105,-0.0750132065504528
106,0.3568834286075215
107,0.090454904023141
108,-0.1337574251169041
109,-0.0284447066507919
110,-0.4030040194626675
111,0.0274940253368008
112,0.2005150069652557
113,0.2347887427747205
114,-0.0484552263174999
115,0.1062777532251605
116,-0.1749799721718684
117,-0.0421816341165032
118,-0.0210952662222525
119,-0.0274313688253034
120,-0.0042203886978072
121,0.3897053877715834
122,-0.1071049059938797
123,0.0389129611711754
124,-0.1601146083512389
125,0.4198491022046007
126,0.0197491471079025
127,0.3661434942975846
128,0.1817761688361626
129,-0.1264787993768507
130,0.1286267743947875
131,0.1054089405247455
132,-0.2282647253882841
133,0.0862959024856217
134,0.2444198487364004
135,-0.2203084318045186
136,0.1138759367834678
137,-0.0723789577430127
138,-0.0300385880323261
139,0.1607326616427594
140,0.0276603268807907
141,-0.1431958858128214
142,-0.1650241367078533
143,-0.1065308012968875
144,0.0169802874299408
145,-0.0478764478764394
146,-0.1546790409899458
147,-0.0773993808049535
148,-0.2402974064452284
149,-0.1665267804408031
150,0.1042447740448684
151,0.3526356553829439
152,-0.3098550353728406
153,-0.0924019944192846
154,-0.2071892848302598
155,0.0430694793174887
156,0.2130597390246735
157,0.0411319512997738
158,0.2061479522028633
159,0.0874906585494811
160,-0.1076563754470534
161,-0.007299270072986
162,-0.0419884257991526
163,-0.3462299406462933
164,-0.2203128442388275
165,-0.2143455102435008
166,-0.023003735806695
167,0.1433375599536859
168,0.0991353197114202
169,-0.1489244346387312
170,0.0771604938271738
171,-0.0625022978786043
172,0.02940419744918
173,-0.1758148697036996
174,0.1424737113023183
175,0.5626930568398602
176,0.1218337951227189
177,0.3173297290944358
178,0.0567736883320321
179,0.0547859434922072
180,-0.1273436122484919
181,0.228694292415953
182,0.0586051963273988
183,0.2873143413683998
184,-0.1550977408404461
185,-0.0917576122790885
186,0.0253592066219
187,-0.0175729766669983
188,-0.0253896332174515
189,0.292101573453809
190,-0.0272702481592555
191,0.1264517635157437
192,-0.1071122536418077
193,0.0778391842453446
194,-0.0097308448319394
195,0.0991562001788682
196,-0.0194461729931593
197,-0.0535055889019636
198,-0.0574298674246253
199,0.1690830644847834
200,-0.4827447124959088
201,-0.2970810209473753
202,0.4242195367573017
203,-0.2296298165484791
204,0.1838698302352429
205,0.3613913567233844
206,-0.2490754019171137
207,0.0980244307042644
208,-0.6756243832080812
209,0.123837444399517
210,0.3726457850740301
211,0.065421971717576
212,0.3660248696349727
213,0.3173809821316961
214,-0.2580677490478985
215,-0.1631239491053221
216,-0.0401697170545617
217,0.0112964566780926
218,0.3240335293381606
219,0.1952890877852017
220,-0.0867315695414816
221,-0.1664914125481857
222,0.1699575106223461
223,0.3735059760956175
224,-0.4301290387116203
225,0.2344796784278679
226,0.3246090779247278
227,-0.0287593583879865
228,-0.0649826867556043
229,0.0491769814612033
230,-0.2082752208275229
231,0.1383485454832458
232,0.0343432093264916
233,-0.0130335541611013
234,0.1372392694910675
235,-0.2751594251399071
236,0.1169916434540381
237,-0.0836353498745554
238,0.0278706800446099
239,-0.1097449824222079
240,0.0092995573410621
241,-0.033489618218343
242,-0.1490646195125714
243,0.1776298046072225
244,0.0213854021385419
245,0.1439116104173394
246,-0.1013048812223426
247,-0.0902333975199794
248,-0.1854613233923587
249,-0.6623262097303737
250,-0.3774227672888348
251,-0.4864601913410168
252,-0.2184825394532379
253,-0.3133547066601492
254,-0.0288079488196879
255,0.3374864572047517
256,0.2557544757033378
257,-0.1659751037344529
258,-0.3085442322134524
259,-0.2076344183516151
260,0.0072530780249802
261,-0.0199499437774336
262,0.0235716487461687
263,-0.0707649876614868
264,0.3237416577743147
265,-0.1448986614986061
266,0.030781487651184
267,-0.2432206773877224
268,-0.1326766143836023
269,-0.1910186630150524
270,-0.053018018838694
271,-0.1149131767109287
272,0.3276838294647892
273,0.2018669884152243
274,0.5871106221027752
275,-0.1016028729088074
276,0.0157634777735019
277,-0.1280230090668382
278,-0.2126537785588816
279,0.2043268176755787
280,-0.0640400028009683
281,-0.0614803758012112
282,0.1122629760213275
283,-0.014034841494016
284,0.2956095854469222
285,-0.013995311570631
286,0.1615593534132609
287,-0.0952797202797131
288,0.0
289,-0.1418092053432212
290,-0.043787438259712
291,-0.0911608989867282
292,0.2029462192519125
293,-0.1524416954320065
294,0.0087602494918975
295,-0.0648678974035317
296,-0.1826644419074319
297,-0.0817388400116072
298,-0.0207114615610725
299,-0.2074032312056186
300,-0.8849379820165695
301,-0.5835828231824454
302,-0.7990415105217749
303,-0.1009955273409222
304,0.2787619373055329
305,0.3441168563491482
306,-0.0807174887892458
307,-0.2959404880769232
308,-0.4127752587748555
309,-0.3116788982513414
310,0.2404280704291419
311,0.0253018145015723
312,0.4891734407596421
313,-0.129654973708837
314,-0.0450393644044895
315,0.0018015421200531
316,0.1448141252237333
317,0.0314714239470479
318,0.0889399969454958
319,0.1274079656895797
320,-0.2906505893998037
321,-0.0234014976958517
322,0.2746611614756257
323,-0.0448814574566188
324,-0.2214122432816734
325,0.4331917913826744
326,-0.4338421453678547
327,0.4818982387475605
328,0.2074942023678667
329,0.3745227267200128
330,-0.2474553544218898
331,-0.2309214866945221
332,-0.0048874660932134
333,-0.0366694372463641
334,-0.0489164995352904
335,0.1977201161910811
336,0.0853616896736661
337,0.0658071120427109
338,-0.5957926739567515
339,0.0955296999387596
340,-0.3145194977516703
341,-0.4452248102691848
342,0.2766250707622754
343,0.4239988235870696
344,-0.0956749993866953
345,-0.049088186927813
346,-0.23371383585908
347,0.0172180543598556
348,-0.0172210194843517
349,0.0933982205181132
350,-0.6934919269855403
351,-0.7800292968749983
352,0.0853762653982109
353,-0.4151816879156392
354,0.1772702821653926
355,-0.2352825841870585
356,-0.2382999631494829
357,-0.4778653717557606
358,0.1271848729137361
359,-0.2186561909350309
360,-0.3060642858913072
361,-0.3020171764501112
362,-0.2054948065857943
363,0.3054382915321483
364,-0.22399203583872
365,0.186312259346665
366,0.0322836992152566
367,-0.1691542288557231
368,0.2382370458606262
369,-0.1765071472964523
370,0.1960103215561781
371,-0.2038685296603831
372,0.011186655562865
373,0.202193113029671
374,-0.1988664611713263
375,0.5286879790046377
376,0.1481172024838063
377,-0.0493967892086997
378,-0.0456178365741022
379,0.1101217034688414
380,-0.0047468504647339
381,0.3075962066289349
382,0.0037856561488485
383,0.1634619927245257
384,-0.0387545607501233
385,0.1189577039274915
386,0.1837628987419352
387,-0.0235648977283438
388,0.2182050751490694
389,-0.0075248791316221
390,-0.230036768171967
391,-0.1264914665458527
392,0.0782878540639087
393,0.1140003768607533
394,-0.1245189042336582
395,-0.0339712376854169
396,0.045274476513867
397,0.0895255147717142
398,0.0762740592865969
399,-0.4825615502526481
400,0.3827794289831551
401,-0.0946585530764065
402,0.2473021582733864
403,0.2958845153770271
404,-0.1908954117726374
405,0.0493838245527458
406,0.0314161972937159
407,0.0134622719827688
408,0.1008651992648022
409,0.0951709157681438
410,-0.3877798759104449
411,0.1907155197558892
412,-0.1550561797752803
413,0.1055065436505325
414,-0.2046967788375078
415,-0.0472600427590816
416,0.1572856982361506
417,-0.1642960028808107
418,0.1511261425754397
419,-0.0320332696414486
420,0.0314613811546296
421,-0.0460896837798001
422,-0.0911382150411876
423,0.1247373211817471
424,0.1111285723907245
425,0.862527409998727
426,-0.1858365835111654
427,0.2215015603010396
428,-0.5599310854048676
429,0.2185711829858263
430,0.4753932076209547
431,0.0158846529814266
432,-0.0391159788773636
433,-0.0244534650560039
434,-0.0122282276406885
435,-0.144501591966685
436,0.1198659458401646
437,0.036680197583992
438,0.079410650800823
439,-0.0647921760391164
440,-0.0134492413405242
441,0.0134474327628378
442,-0.1334296311711243
443,-0.1213354250416718
444,-0.0318760267758613
445,0.0392166474668558
446,-0.0514983569571917
447,-0.0392522447377381
448,0.2666927650412212
449,0.0537989386936706
450,-0.15857043128843
451,-0.6736603928828465
452,0.5587582543833067
453,-0.3932507358477654
454,0.4293893129770961
455,-0.2596692633592971
456,-0.3806976026340205
457,-0.0222980737894711
458,0.2207769981173992
459,-0.003423016362015
460,0.187059577194111
461,0.2547412544515829
462,0.0085190485926454
463,-0.1159934497816508
464,0.0801077193161915
465,0.0136334975033533
466,-0.0537107293575925
467,0.2678343678258535
468,0.2019550607562376
469,0.0610583446404365
470,-0.1095160071652302
471,0.1110903817777806
472,-0.0882717411600912
473,0.0568350511091186
474,0.2090881386923126
475,-0.224448231431062
476,0.0394706774414686
477,0.1400284205831429
478,0.0777330956428008
479,-0.0062190343912663
480,0.1841582519450394
481,-0.0393301455215379
482,-0.1326562338066092
483,0.101461879322485
484,-0.0766728143067336
485,-0.0642806784721938
486,0.0269491490287931
487,0.1014744864148461
488,-0.0393627379891851
489,0.055905250952456
490,-0.0994859890565331
491,0.1428068795661977
492,-0.0144897536741861
493,0.0248334092131957
494,0.0124151630524634
495,-0.1180833212487815
496,0.0703860883966528
497,-0.0207060772336727
498,-0.0974133642845238
499,0.826310380267211
500,-0.2548054325507687
501,0.0692195495784956
502,-0.0643166357452049
503,0.1000852578122036
504,-0.90140634350687
505,-0.2976116043516313
506,-0.2532343797011452
507,-0.1468908111636965
508,-0.3085409163035596
509,0.115726181790746
510,-0.0377510444455715
511,-0.1499703839997909
512,0.0969455845692823
513,0.3187751004016019
514,-0.0125517760763033
515,-0.2403150517746929
516,0.0138382186438562
517,0.2659908157888139
518,-0.1734452767583323
519,0.1430758804186835
520,-0.0401777867061668
521,-0.1080945198592274
522,0.0552736043414829
523,-0.2682923757100925
524,0.1622233400402511
525,0.0251324690556484
526,-0.2035676810073509
527,0.1487814588964983
528,-0.0608068439151144
529,-0.3883597326737941
530,-0.5502936663315446
531,0.1574320611977525
532,0.1392757660167063
533,0.0274255817387809
534,0.1348361950911169
535,0.0989223775046361
536,-0.0357932413938342
537,-0.0252722026830664
538,0.1577021741873081
539,-0.149514603996879
540,0.0442030815862548
541,0.0757193336698665
542,-0.0589275191514379
543,0.0609948469870572
544,-0.32283929777177
545,-0.0422190323397763
546,0.3345185247522617
547,0.1512509715774154
548,0.1148816299552567
549,-0.6733348824436511
550,0.4505065086990075
551,0.7141798052686312
552,-0.5316506012123728
553,-0.0969835625295268
554,0.3987714866002907
555,-0.7964049432030952
556,-0.2716132827657083
557,-0.1190506027719907
558,0.2749381389187347
559,0.6481251552023873
560,0.1710503482981724
561,-0.3033543029067236
562,-0.5374731263436914
563,0.1946107784431211
564,-0.2601560936561988
565,-0.5103965001382779
566,0.160654667771164
567,1.0801549463647255
568,0.0471569333101679
569,0.4349222823535203
570,-0.2825068768121436
571,0.1756382347120612
572,0.1235360972476157
573,0.2218716102948371
574,-0.5253766851705007
575,0.5122521119165956
576,0.218949193325417
577,0.1663632836978916
578,0.293071899314186
579,-0.3171334124301374
580,0.3902243232395308
581,-0.1131070200765116
582,0.0773291694549922
583,-0.092285250733073
584,0.0862568968337662
585,-0.2325408064395834
586,0.1280314421402113
587,0.1026174895895212
588,-0.114646457126689
589,-0.0782291891730768
590,0.160670053631058
591,0.0156182599770959
592,-0.0640014288691021
593,0.1159609895337733
594,-0.0773671368208031
595,-0.117676850431228
596,-0.0387440952508666
597,-0.3686780685157951
598,0.2379886601014663
599,0.5313307014158817
600,0.5075739551114288
601,0.1148651324909858
602,-0.515576789091266
603,-0.0517835447828173
604,-0.0159359375311217
605,0.2622533924065708
606,-0.0735644981708295
607,-0.1074797977787436
608,-0.0687148334412243
609,-0.1585939993616374
610,0.279499089887311
611,0.1281465440168442
612,0.0278070192861626
613,-0.3128113169954273
614,0.045804871248485
615,-0.1955502344607439
616,-0.0618960146953123
617,0.2171617556233004
