,COST.US
0,0.0
1,-0.0484835425308427
2,-0.1645757453122929
3,0.2153721900659608
4,0.1183145553792782
5,-0.0376597175521146
6,0.0937922434620865
7,-0.0077942322681206
8,-0.0067196172505952
9,-0.0241964753800948
10,0.052398226521562
11,0.1957734391761473
12,-0.0160935572125965
13,0.1047664725852184
14,0.0773761713520715
15,-0.0455361208582262
16,-0.0348338692390127
17,0.0990443558101572
18,0.1363344739093218
19,0.1228173225823774
20,-0.139029998395818
21,-0.0053475935828828
22,-0.0749224017981303
23,-0.0455093026368668
24,0.0481631124073547
25,0.2756985315124833
26,0.0668086588589993
27,0.3242330531787854
28,-0.338847537644455
29,0.1121886290169294
30,0.7754570668477979
31,-0.1587391575486199
32,-0.3793842593470797
33,0.1080077310797078
34,0.3154454959294231
35,-0.0037779330928014
36,-0.2196013100353952
37,0.0983451536642991
38,0.1152334894967533
39,-0.250493667776889
40,0.1744366303690405
41,0.0056711847104808
42,-0.1685286877485299
43,0.1701323251417726
44,-0.3109639883639303
45,-0.0436514711740923
46,-0.0170575256038284
47,-0.0702717071411117
48,0.2509493461112407
49,-0.5283500247515284
50,0.0606552706552679
51,-0.105524341898869
52,-0.0285282286822876
53,0.1992996042479416
54,-0.2969816385390846
55,0.127197435517182
56,0.112241118992664
57,0.2330538581782151
58,-0.1480089943927471
59,0.1314695452575123
60,0.0589488636363584
61,0.0056814953695761
62,0.0652945351313039
63,-0.0937713116617367
64,0.0298274270293193
65,-0.098100545950856
66,0.1873190668104581
67,-0.1135135058340796
68,0.0992080388316541
69,-0.0340744526791051
70,-0.153598997127376
71,-0.0454946368111057
72,0.002845112097414
73,0.0369727823440731
74,-0.3310029961478171
75,-0.0569706315272954
76,-0.1108678567418992
77,0.0112258643915638
78,-0.2101398082193072
79,0.2880538418396102
80,-0.1460345989665352
81,-0.1687858669967272
82,-0.1352112676056389
83,-0.1043340946902418
84,0.0563650198686663
85,-0.0169123657580974
86,0.0666747979686134
87,-0.0512083421405016
88,-0.1199209932279942
89,0.0312543369623831
90,0.0843268228065682
91,0.171627933149517
92,0.0730994152046758
93,-0.1351351351351402
94,-0.1494346857642238
95,-0.1609714769839009
96,0.2408756039497855
97,0.1701541230734667
98,0.0173498973768961
99,0.0641562456091181
100,0.0087852232544904
101,-0.3814101150844433
102,0.1299073034326423
103,0.1077728412440085
104,-0.1652309929281135
105,0.2066615367703633
106,-0.3131685155371316
107,0.1695288419198551
108,-0.1411059176294175
109,0.3646588462721376
110,-0.1793554208250469
111,-0.0892070484581437
112,-0.1279167218031811
113,-0.1103947717036121
114,-0.1813758018137565
115,-0.0385461507176712
116,0.0097794101378512
117,0.1436083248641194
118,-0.2079788239742813
119,0.0728744939271175
120,0.1074704920239189
121,0.3092531394580212
122,-0.063049200421504
123,0.0415378936872391
124,-0.3921199920359349
125,-0.1773835920177451
126,-0.0798863838096874
127,-0.0414397347857101
128,0.0118385225523915
129,0.0591575958353018
