,SIRI.US
0,0.2399999999999949
1,-0.2405773857257366
2,-0.6456820016142056
3,0.0806451612903208
4,0.1610305958132011
5,-0.1612903225806417
6,0.4016064257028027
7,0.4000000000000056
8,0.1597444089456835
9,-0.0111833591615699
10,-0.3092948717948626
11,0.0
12,-0.4022526146420009
13,0.0
14,-0.1611603545527765
15,0.4012841091492833
16,0.1602564102564068
17,-0.2409638554216958
18,0.3202562049639785
19,0.2396166134185252
20,0.0798084596967261
21,-0.8045052292839874
22,-0.2419354838709626
23,-0.3236245954692631
24,0.0
25,0.080064051240991
26,0.0799999999999983
27,0.4777070063694307
28,0.0
29,0.3174603174603106
30,-0.0794281175536122
31,-0.3187250996015868
32,0.1591089896579123
33,0.0794912559618425
34,0.0
35,-0.0795544948289561
36,0.0794912559618425
37,0.0
38,-0.0795544948289561
39,0.0794912559618425
40,-0.1592356687898055
41,0.0795544948289561
42,0.0
43,0.1588562351072245
44,0.3167062549485425
45,0.0791139240506312
46,-0.2379064234734428
47,0.0634014899350205
48,0.0158478605388184
49,-0.0793021411578095
50,-0.0793021411578095
51,0.0
52,0.3162055335968452
53,0.2365930599369035
54,0.0709275750650196
55,0.0078802206461737
56,0.1573564122738107
57,0.2354788069073733
58,0.1567398119122223
59,0.078308535630382
60,-0.1568627450980358
61,0.0
62,0.0783699059561111
63,0.0
64,0.1564945226917024
65,0.0
66,-0.1033931760503762
67,0.02505873140172
68,0.0
69,0.1563721657544924
70,0.0
71,0.0
72,0.0
73,-0.2351097178683335
74,-0.0784313725490179
75,-0.8143322475570149
76,-0.0814995925020357
77,-0.1632653061224455
78,-0.3276003276003206
79,-0.0819672131147669
80,0.0
81,0.0
82,0.0819000819000946
83,0.081833060556463
84,-0.0819000819000801
85,0.1635322976287782
86,0.0
87,0.0
88,0.0
89,0.0
90,-0.2459016393442716
91,-0.164203612479471
92,0.082034454470876
93,-0.1643385373870137
94,0.3276003276003351
95,0.0
96,0.4078303425774791
97,-0.0816326530612227
98,-0.081699346405227
99,0.0
100,0.4942339373970386
101,-0.0824402308326445
102,0.0
103,-0.0825082508250954
104,0.0824402308326592
105,-0.0825082508250954
106,-0.3311258278145624
107,0.0
108,0.2477291494632482
109,0.1994363040002673
110,0.047775947281719
111,-0.0824402308326445
112,0.0
113,0.0
114,0.0
115,-0.0825082508250954
116,0.0824402308326592
117,-0.0825082508250954
118,0.0
119,0.1647446457990226
120,0.1644736842105228
121,-0.3300330033003377
122,0.1647446457990226
123,-0.1650165016501761
124,-0.082576383154416
125,0.2369668246445447
126,-0.3965107057890619
127,-0.1588562351072245
128,0.199759020863719
129,-0.1206349206349214
130,-0.3568242640499586
131,-0.0414342629481955
132,-0.4000000000000056
133,0.2394253790901785
134,-0.2399999999999949
135,0.2394253790901785
136,-0.0798722044728417
137,0.2390438247012042
138,-0.0797448165869343
139,-0.1597444089456835
140,0.0
141,0.3184713375796252
142,-0.0796812749003967
143,0.254331584803688
144,0.0635424940428841
145,0.0
146,-0.1591089896579123
147,0.0794912559618425
148,-0.0795544948289561
149,-0.0796178343949027
150,-0.0755857898715025
151,-0.1514004542013593
152,-0.2276176024279297
153,-0.1519756838905742
154,-0.3048780487804949
155,0.303951367781162
156,0.0759301442672724
157,0.1516300227445002
158,0.1514004542013728
159,0.0
160,0.2265861027190284
161,-0.227100681302039
162,0.151171579743005
163,-0.2272727272727359
164,0.226757369614521
165,0.0
166,-0.0756429652042343
167,0.2264150943396178
168,-0.151171579743005
169,-0.0756429652042343
170,-0.3796507213363759
171,-0.2283105022831001
172,-0.1524390243902542
173,0.0
174,0.0
175,0.0813008130081427
176,-0.3246276569713495
177,-0.0016313213703061
178,-0.6568144499178987
179,0.3273322422258668
180,-0.0819000819000801
181,0.1635322976287782
182,0.0
183,-0.3281378178835187
184,0.0
185,0.1638001638001748
186,0.0
187,-0.1640689089417666
188,0.0
189,-0.1643385373870137
190,0.0821018062397355
191,0.082034454470876
192,0.1638001638001748
193,0.081833060556463
194,0.0817661488143891
195,-0.081833060556463
196,0.2448979591836682
197,0.4065040650406561
198,0.0
199,0.0
200,0.3407155025553741
201,0.2548853016142681
202,0.2542372881356028
203,-0.0848176420695637
204,0.0847457627118776
205,-0.1697792869270063
206,0.0
207,0.0848176420695486
208,0.0
209,0.0847457627118776
210,0.1692047377326529
211,0.0845308537616211
212,-0.0846023688663264
213,0.0845308537616211
214,0.0
215,-0.0846023688663264
216,0.1689189189189153
217,-0.0845308537616211
218,0.0
219,0.0
220,0.1687763713080133
221,-0.1690617075232423
222,-0.1693480101608769
223,0.0846023688663264
224,0.0
225,0.2441008950366099
226,0.2435064935065027
227,0.5649717514124316
228,-0.405186385737445
229,0.1618122977346243
230,-0.1620745542949722
231,-0.1477056923501454
232,-0.0958570268074666
233,0.2431118314424583
234,-0.2437043054427242
235,-0.162733930024421
236,-0.0814332247556986
237,0.1626016260162711
238,-0.4901960784313766
239,0.0
240,0.0
241,0.2444987775061072
242,0.1627339300244066
243,-0.1629991850040715
244,0.2439024390243994
245,-0.0813669650122177
246,0.0
247,0.0
248,-0.326530612244891
249,-0.4098360655737763
250,-0.6153846153846159
251,-0.6191950464396291
252,-0.3105590062111735
253,0.0775795190069805
254,-0.389408099688479
255,0.0
256,-0.6269592476489034
257,-0.4724409448818937
258,0.3139717425431784
259,-0.3149606299212671
260,-0.0788022064617792
261,0.0787401574803133
262,0.0
263,0.0786782061369123
264,-0.0787401574803272
265,-0.0788022064617792
266,0.0
267,-0.2369668246445447
268,-0.0790513833992078
269,0.0
270,0.0
271,-0.0791139240506312
272,0.0790513833992078
273,0.0
274,-0.0791139240506312
275,-0.6230529595015583
276,-0.093545369504213
277,-0.0624024960998371
278,0.1557632398753861
279,0.1555209953343668
280,0.077700077700076
281,0.0776397515528071
282,0.054318305268873
283,-0.2879377431906678
284,0.2329192546583939
285,-0.0777000777000898
286,0.231011333509059
287,-0.0760279286268444
288,0.0
289,-0.1554001554001658
290,0.2325581395348925
291,0.0774593338497272
292,-0.075967814452491
293,-0.0015503875968956
294,-0.1552795031055867
295,-0.0777000777000898
296,0.0
297,-0.468384074941442
298,0.3888024883359171
299,-0.3120124804992133
300,-0.1603849238171577
301,0.478850758180357
302,0.2388535031847224
303,-0.4800000000000039
304,0.5568814638027071
305,0.0
306,-0.0796178343949027
307,0.0795544948289561
308,-0.0796178343949027
309,0.2382843526608368
310,-0.1591089896579123
311,0.0
312,0.0
313,0.0
314,-0.0796178343949027
315,0.0
316,0.158982511923685
317,-0.0795544948289561
318,0.0
319,0.3961965134706731
320,-0.2382843526608368
321,0.0
322,-0.0794912559618425
323,-0.1592356687898055
324,-0.4800000000000039
325,0.7377049180327858
326,0.0819000819000946
327,-0.4938271604938312
328,0.0822368421052614
329,0.0821692686935068
330,-0.3297609233305782
331,0.0
332,0.3286770747740275
333,-0.0822368421052614
334,0.3278688524590094
335,0.2452984464431818
336,0.0
337,-0.3281378178835187
338,-0.1643385373870137
339,0.0
340,0.0821018062397355
341,-0.0821692686935068
342,0.0
343,0.164068908941752
344,-0.3292181069958777
345,0.0
346,-0.4132231404958736
347,-0.1655629139072812
348,0.2477291494632482
349,0.4111842105263216
350,0.3790750568612505
351,0.0757575757575741
352,-0.1517450682852775
353,-0.2281368821292727
354,0.2276176024279162
355,-0.2281368821292727
356,-0.152322924600149
357,0.0
358,0.2279635258358613
359,0.2274450341167502
360,0.0
361,-0.0364044534781381
362,0.0363912054586768
363,-0.2279635258358613
364,-0.1522070015220667
365,0.0
366,-0.0761614623000745
367,-0.0762195121951338
368,0.0045729616023686
369,0.2993920972644418
370,-0.0760456273764242
371,-0.0761035007610333
372,0.0760456273764242
373,-0.152322924600149
374,0.0761035007610333
375,-0.7905073649754393
376,0.163398692810454
377,0.6493506493506499
378,-0.6535947712418306
379,0.0
380,0.0816326530612227
381,0.0
382,0.0
383,0.2442996742670957
384,0.0813669650122033
385,-0.4905968928863345
386,0.081699346405227
387,-0.0817661488143891
388,0.0
389,0.2430708494428932
390,0.0831295843520727
391,0.1627339300244066
392,0.2435064935065027
393,0.0
394,0.0811030008110282
395,-0.4071661237785074
396,0.0813669650122033
397,0.0
398,0.0
399,0.2435064935065027
400,0.7812500000000111
401,0.0780640124902403
402,-0.5494505494505517
403,-0.0785545954438318
404,0.1568627450980358
405,-0.1571091908876636
406,-0.2362204724409538
407,0.0786782061369123
408,0.3918495297805558
409,-0.0784313725490179
410,-0.1571091908876636
411,-0.3943217665615198
412,0.5490196078431395
413,-0.1571091908876636
414,-0.1573564122737968
415,-0.3157063930544666
416,-0.1581027667984156
417,0.0
418,0.0
419,0.0
420,-0.87719298245615
421,-0.1597444089456835
422,-0.1599999999999966
423,-0.2405773857257366
424,0.2399999999999949
425,-0.916730328495042
426,-0.9252120277563548
427,0.0770416024653296
428,-0.8547008547008641
429,1.0760953112990053
430,-0.9309542280837798
431,-0.5460218408736371
432,0.1557632398753861
433,0.2331002331002281
434,-0.5468749999999883
435,-1.10584518167457
436,0.2364066193853377
437,-0.395569620253156
438,0.0
439,0.1579778830963631
440,0.0789265982636131
441,-0.4758128469468715
442,0.0792393026941346
443,-0.2382843526608368
444,-0.4788507581803711
445,-0.2399999999999949
446,1.107594936708865
447,-0.5568814638027071
448,-0.0796178343949027
449,-0.3194888178913812
450,0.0838222967309286
451,-0.4208754208754118
452,0.1680672268907527
453,-0.3372681281618965
454,0.3361344537815203
455,0.0839630562552459
456,0.0838926174496626
457,0.0838222967309286
458,-0.2521008403361291
459,-0.1683501683501647
460,0.1680672268907527
461,-0.0841042893187534
462,-0.1010271089409029
463,0.0168350168350224
464,0.5025125628140596
465,-0.2518891687657377
466,-0.3369839932603279
467,0.0
468,-0.3381234150464847
469,0.3772695119075723
470,0.1278385197645088
471,-0.3375527426160415
472,0.0843170320404703
473,-0.1689189189189153
474,-0.680272108843538
475,-0.401284109149269
476,-0.0803212851405748
477,-0.1609010458567946
478,-0.6477732793522273
479,-0.4882017900732343
480,0.6370868637216309
481,-0.3961038961038958
482,-0.5714285714285737
483,-0.2454991816693892
484,-0.3284072249589567
485,1.056051990251834
486,-0.2442996742671102
487,-0.326797385620908
488,-0.0817661488143891
489,0.1632653061224455
490,0.3254678600488133
491,0.0
492,0.1624695369618306
493,-0.162733930024421
494,-0.2446982055464874
495,0.0814995925020357
496,0.0814332247556986
497,-0.2448979591836682
498,0.411362047379797
499,-0.8245901639344265
500,0.0
501,0.3055767761650049
502,-0.0764525993883775
503,0.0763941940412512
504,-0.1530221882172882
505,0.3051106025934336
506,0.0762195121951203
507,0.076161462300088
508,-0.0304738686576362
509,0.1065449010654575
510,0.0760456273764242
511,0.1518602885345449
512,0.0
513,0.0
514,0.0
515,-0.1520912547528484
516,-0.3051106025934472
517,0.1523229246001626
518,0.0
519,-0.3822629969419014
520,0.2288329519450752
521,0.0
522,0.0
523,-0.1527883880825024
524,0.1525553012967168
525,0.2499999999999946
526,-0.4184100418410101
527,0.2504173622704602
528,-0.251046025104612
529,0.0
530,-0.0837520938023432
531,-0.5016666105518304
532,0.080740117746011
533,-0.4222972972973033
534,0.0843881856540066
535,0.0843170320404703
536,0.0
537,-0.3384094754653058
538,0.0845308537616211
539,0.0
540,-0.1693480101608769
541,0.3375527426160266
542,-0.0844594594594576
543,0.0843881856540066
544,0.0843170320404703
545,-0.0843881856540066
546,0.0
547,0.3364171572750288
548,-0.2529510961214261
549,0.3361344537815203
550,-0.2491694352159562
551,0.4958677685950454
552,0.0
553,-0.2485501242750568
554,-0.332502078137996
555,0.0830564784053138
556,0.0
557,-0.1663893510815272
558,-0.4177109440267245
559,0.2499999999999946
560,0.0
561,-0.2506265664160347
562,-0.167364016736413
563,0.0836120401337923
564,0.2502085070892357
565,0.0
566,0.0833333333333315
567,-0.0834028356964119
568,0.0833333333333315
569,0.0832639467110723
570,0.0
571,0.0831946755407636
572,0.0
573,-0.2502085070892357
574,0.2495840266222908
575,0.3294892915980306
576,0.4101722723543801
577,0.1638001638001748
578,0.0
579,-0.0819672131147669
580,-0.4115226337448471
581,0.0
582,0.2463054187192065
583,-0.4122011541632229
584,0.0
585,-0.1651527663088468
586,-0.0826446280991718
587,0.0
588,0.082576383154416
589,0.0825082508250807
590,0.0824402308326592
591,-0.0825082508250954
592,0.2469135802469229
593,-0.4132231404958736
594,0.0
595,0.082576383154416
596,-0.0826446280991718
597,-0.0827129859387906
598,-0.0827814569536406
599,-0.0828500414250189
600,-0.3327787021630692
601,-0.0832639467110723
602,0.0
603,0.0
604,0.2491694352159415
605,0.0829875518672328
606,0.0
607,0.0
608,-0.2495840266223056
609,0.0831255195344953
610,0.0
611,0.0830564784053138
612,-0.0831255195344953
613,0.0
614,0.0
615,0.0
616,0.0830564784053138
617,0.0829875518672328
618,0.0
619,0.0
620,-0.0830564784053286
621,-0.2497918401332169
622,0.2491694352159415
623,-0.0831255195344953
624,0.0830564784053138
625,-0.0788643533123011
626,-0.2371541501976234
627,-0.3968253968254024
628,0.0
629,-0.158982511923685
630,0.1587301587301553
631,0.0
632,0.1584786053882692
633,0.0
634,0.3159557661927403
635,-0.0790513833992078
636,-0.0791139240506312
637,0.3468937243771579
638,-0.1895734597156329
639,-0.2375296912113963
640,0.0791139240506312
641,-0.1584786053882833
642,0.0
643,-0.1587301587301553
644,0.0
645,0.0
646,0.0793021411578095
647,-0.0793650793650776
648,0.0793021411578095
649,-0.0793650793650776
650,0.4950495049504845
651,0.0
652,-0.082576383154416
653,-0.3314001657000757
654,0.3105487462420249
655,-0.1455748552522732
656,-0.0827814569536406
657,0.1652892561983436
658,0.1485393629311824
659,0.0989282769991793
660,0.1646090534979388
661,0.0
662,0.0
663,-0.2475247524752569
664,-0.1652892561983436
665,0.3294892915980306
666,-0.3305785123967018
667,0.1650165016501615
668,-0.1652892561983436
669,-0.1655629139072812
670,-0.0828500414250189
671,-0.332502078137996
672,0.165975103734451
673,0.0
674,0.0
675,-0.1605136436597076
676,-0.4029008863819557
677,0.3212851405622421
678,-0.2415458937198016
679,0.2409638554216816
680,0.4796163069544404
681,0.0798722044728417
682,-0.079936051159071
683,-0.0799999999999983
684,0.1597444089456835
685,-0.3076528650173
686,0.0672538030424336
687,0.0
688,0.159872102318142
689,0.0
690,-0.1601281024819821
691,0.0
692,-0.3212851405622564
693,0.160384923817172
694,0.2399999999999949
695,-0.4016064257028169
696,0.160384923817172
697,0.2399999999999949
698,-0.2405773857257366
699,-0.4025764895330169
700,0.1915708812260504
701,-0.1903225806451618
702,0.0
703,-0.0807102502017739
704,0.1611603545527765
705,0.2411575562700913
706,-0.0804505229283973
707,0.4006410256410313
708,-0.0801924619085788
709,0.2399999999999949
710,0.3984063745019977
711,0.0796178343949027
712,-0.0796812749003967
713,0.1591089896579123
714,-0.3192338387869188
715,0.0
716,0.0
717,0.1593625498008075
718,0.1591089896579123
719,0.0794912559618425
720,-0.0795544948289561
721,0.1588562351072245
722,-0.2388535031847083
723,0.0
724,-0.1594896331738544
725,-0.3436426116838414
726,0.0858369098712428
727,0.2568493150684877
728,-0.8635578583765081
729,0.1724137931034446
730,0.1721170395869154
731,-0.0861326442721773
732,-0.2590673575129478
733,-0.5208333333333376
734,0.0
735,0.0867302688638316
736,0.3457216940363087
737,0.0863557858376492
738,0.3425188041102223
739,-0.2571182053494377
740,0.1722652885443546
741,0.2577319587628963
742,-0.4314063848145014
743,0.2581755593803732
744,0.171821305841936
745,-0.3448275862069045
746,-0.0862812769628972
747,-0.2595155709342505
748,0.1727115716752985
749,-0.3466204506065938
750,0.051948051948053
751,-0.3834355828220913
752,0.3058103975535239
753,0.4566210045662138
754,-0.4587155963302791
755,-0.3837298541826609
756,0.3060443764345901
757,-0.2300613496932602
758,-1.2422360248447075
759,0.3866976024748564
760,-0.4662004662004701
761,0.5409582689335416
762,-0.3878975950349025
763,0.1549186676994544
764,0.0
765,-0.3888024883359309
766,0.0
767,0.2327385570209552
768,0.3093580819798851
769,-0.1549186676994544
770,-0.310800310800318
771,0.0776397515528071
772,-0.0777000777000898
773,-0.311769290724857
774,-0.39123630672927
775,-0.234804329725229
776,0.3319502074688873
777,0.6595218466611712
778,0.0
779,-0.1651527663088468
780,0.0825082508250807
781,0.3289473684210602
782,-0.2473206924979337
783,0.0
784,-0.1651527663088468
785,0.0
786,0.0
787,-0.2483443708609218
788,-0.0828500414250189
789,-0.0829187396351557
790,-0.2493765586035007
791,0.0
792,0.0
793,-0.2499999999999946
794,-0.2506265664160347
795,-0.0836120401337774
796,0.1669449081802969
797,-0.1672240802675549
798,0.0
799,-0.3355704697986654
800,1.5209125475285252
801,-0.152322924600149
802,0.3037205770690899
803,0.3782148260211854
804,-0.2274450341167637
805,-0.2279635258358613
806,-0.4580152671755763
807,0.1524390243902406
808,-0.1526717557251876
809,-0.3062787136293962
810,-0.0766283524904198
811,0.0
812,0.2293577981651327
813,0.0
814,0.0763941940412512
815,0.0
816,0.0
817,-0.0764525993883775
818,0.0763941940412512
819,-0.0764525993883775
820,-0.1531393568146981
821,0.6088280060882806
822,0.2277904328018174
823,0.1516300227445002
824,0.0757575757575741
825,-0.3319502074688726
826,-0.1662510390690054
827,0.0697767145135563
828,-0.0698254364089772
829,0.0847162007275717
830,0.2468931234465602
831,0.0
832,0.2479338842975154
833,0.0
834,0.082576383154416
835,-0.1654259718775812
836,0.4938271604938312
837,-0.1648804616652891
838,0.1646090534979388
839,0.1643385373870137
840,0.164068908941752
841,0.1638001638001748
842,0.0
843,-0.4111842105263216
844,-0.3300330033003377
845,-0.082576383154416
846,0.4111842105263216
847,0.164203612479471
848,-0.5780346820809272
849,-0.2483443708609218
850,-0.2331002331002419
851,0.2325581395348925
852,-0.3891050583657643
853,0.1554001554001521
854,0.0
855,0.1551590380139748
856,0.0
857,-0.0776397515527933
858,0.0775795190069805
859,0.1549186676994544
860,-0.310800310800318
861,0.0776397515528071
862,0.0
863,0.0
864,0.0
865,0.0775795190069805
866,0.0775193798449595
867,-0.3110419906687475
868,-0.0778210116731501
869,0.0
870,-0.077881619937693
871,0.0778210116731501
872,-0.5461573371308662
873,0.0766223612196909
874,0.0781250000000122
875,-0.3810975609756152
876,0.1522070015220802
877,0.0760456273764242
878,-0.3051106025934472
879,-0.1527883880825024
880,-0.2297090352220471
881,-0.2302379125096019
882,-0.0768049155145913
883,0.0
884,-0.1538461538461505
885,-0.0769822940723617
886,0.3069838833461178
887,0.0766871165644155
888,0.2295332823259459
889,0.1527883880825024
890,-0.0764525993883775
891,-0.3837298541826609
892,0.0766871165644155
893,0.0
894,-0.0767459708365294
895,0.0
896,0.3822629969419014
897,0.0763941940412512
898,0.0
899,-0.1760159179612741
900,-0.0828500414250189
901,0.1654259718775812
902,0.1651527663088321
903,0.0825082508250807
904,-0.1652892561983436
905,-0.2485501242750568
906,-0.2491694352159562
907,0.0829875518672328
908,0.0
909,0.0
910,0.0829187396351557
911,-0.1661129568106424
912,0.1658374792703262
913,-0.0829875518672181
914,0.2483443708609218
915,-0.0828500414250189
916,0.0827814569536406
917,0.1652892561983436
918,-0.2485501242750568
919,0.0827814569536406
920,0.0827129859387906
921,0.2475247524752422
922,-0.1652892561983436
923,0.0
924,0.3294892915980306
925,-0.785062592828344
926,-0.9573556551542248
927,0.1020576131687203
928,0.4914004914004954
929,-0.4938271604938312
930,0.0822368421052614
931,-0.7456503728251852
932,-0.0829187396351557
933,-0.1494768310911865
934,-0.6015037593984893
935,0.4159733777038181
936,0.0
937,-0.3741064867392645
938,-0.2108786610878652
939,-0.1340707223060165
940,-0.3700588730025122
941,0.0
942,0.0840336134453763
943,0.2514668901927859
944,-0.1376578028471585
945,0.3046025104602398
946,-0.1676445934618572
947,-0.1679261125104918
948,-0.3369839932603279
949,-0.2533783783783729
950,-0.0536149471973909
951,0.6456820016142056
952,-0.1616814874696956
953,0.2419354838709769
954,-0.1615508885298834
955,-0.2429149797570942
956,0.2423263327948395
957,0.4134691185224449
958,0.6282973621103101
959,-0.0799999999999983
960,0.2394253790901785
961,0.0797448165869201
962,-0.3199999999999932
963,-0.2405773857257366
964,0.0801282051282034
965,0.2398081534772131
966,-0.401284109149269
967,0.2401921537229732
968,0.0
969,0.2396166134185252
970,-0.2401921537229732
971,0.0
972,-0.2407704654895615
973,0.3199999999999932
974,0.2394253790901785
975,-0.3246753246753177
976,0.1620745542949722
977,0.4838709677419395
978,-0.4048582995951474
979,-0.0810372771474861
980,-0.3252032520325134
981,0.1623376623376588
982,-0.081234768480908
983,-0.0813008130081283
984,0.1623376623376588
985,-0.1626016260162567
986,-0.1628664495114116
987,-0.0814995925020357
988,0.0814332247556986
989,0.0813669650122033
990,-0.326530612244891
