,MDLZ.US
0,0.435219283562111
1,-0.0670016750418746
2,-0.0418935902806965
3,0.1171646162858821
4,0.2087857023551027
5,0.0834445927903943
6,0.1582937598933581
7,-0.0750375187593825
8,0.0666555574070974
9,0.0832500832500903
10,-0.1000000000000038
11,-0.1502253380070162
12,-0.008346548702104
13,0.0500542254108636
14,-0.0751377525463378
15,-0.1588761602140628
16,-0.0167266036631347
17,0.0835631319461924
18,-0.0417990302624955
19,0.133578226749037
20,0.0166944908180267
21,0.0083465487021159
22,-0.0417501670006656
23,-0.2679169457468247
24,0.0334784064278592
25,0.1696580051790318
26,-0.1430743092193477
27,-0.0984604368063009
28,-0.1523980277902301
29,-0.1886114603915877
30,-0.0898957209636897
31,0.1705106344790558
32,-0.0070004002793008
33,0.16826449242899
34,-0.008960573476707
35,-0.0986635572697098
36,-0.1707097933513007
37,0.1614639397201352
38,-0.2157497303128452
39,-0.0809716599190186
40,0.0269832703723701
41,-0.0179920834832765
42,-0.063011972274726
43,-0.1081373344147107
44,0.1170117011701129
45,0.1348314606741624
46,0.0449236298292876
47,0.107700592353262
48,-0.2609556375416236
49,-0.1351594881960636
50,0.3245582401730972
51,0.1440403312927589
52,-0.036023054755036
53,-0.0180147721131419
54,0.4304932735426044
55,0.2058533965810471
56,-0.0806162665711245
57,0.0716075904045813
58,0.1965338574236187
59,0.2228362599162135
60,0.1530766629287455
61,-0.0730317064481596
62,-0.0178157847853162
63,0.2133333333333288
64,-0.0622609623765838
65,0.1243670604956794
66,-0.1156172180718565
67,-0.1068376068376109
68,-0.0445354947893445
69,-0.1695217701641664
70,-0.0714285714285699
71,-0.214745884037218
72,0.0625950102834598
73,-0.0248653425424536
74,0.1766071428571436
75,0.1512320967885434
76,-0.1157819736373311
77,0.0356125356125285
78,0.0178030977390156
79,-0.0623496927050925
80,-0.0089078923926517
81,0.0445196331582202
82,0.3106692703710228
83,0.0
84,-0.0621724842348282
85,0.1064679265371221
86,0.1240584847142229
87,0.1504158556007801
88,-0.061974324922526
89,-0.026567481402764
90,-0.0177147918511922
91,0.0
92,-0.0709094132246166
93,-0.1420202378838954
94,-0.0266358874189835
95,-0.1778884639331038
96,0.0711047906852709
97,-0.1067710650413778
98,-0.0356030262572374
99,0.080042689434368
100,-0.2067758867504415
101,-0.3191319610658939
102,-0.350192870284523
103,0.0299343684968712
104,-0.2728731942215116
105,-0.1768773114648648
106,-0.1933301111648098
107,0.2330627662139405
108,0.1764941837143994
109,-0.008023106546859
110,-0.3542673107890481
111,-0.008052178114184
112,-0.0644589477076773
113,-0.0887096774193543
114,-0.0080651665456932
115,-0.0403421010166186
116,-0.1211729541966164
117,-0.1861443832955681
118,-0.0728922005345455
119,-0.0080997894054796
120,-0.1135257865715217
121,-0.0162206001622027
122,0.1538586120333612
123,0.0970795243103345
124,-0.137718729747247
125,0.2045955303745712
126,-0.2366303833412187
127,0.0945626477541407
128,-0.1420454545454599
129,0.2675901149063461
130,-0.0472440944881907
131,-0.0945775535939506
132,-0.0157654106889453
133,0.0078820840230197
134,-0.0552050473186178
135,-0.047341013097682
136,-0.0236761108041994
137,0.014519239570609
138,0.0249289996844522
139,0.1103230890464937
140,0.0
141,-0.0394166338194807
142,-0.0710003155569495
143,0.0236611720167214
144,0.0178215729351792
145,-0.0493885601577935
146,-0.015781582892761
147,0.0788456989671168
148,-0.2207812527163011
149,0.1021471424060656
150,0.1316222441592601
151,-0.0493827160493845
152,-0.0329326527251821
153,-0.1236501525018477
154,-0.0247361477572568
155,0.0
156,0.0741534151767351
157,-0.0247239162683378
158,0.0164798945286717
159,-0.1568044895601202
160,-0.0579687167113404
161,0.0991585546939424
162,-0.0216182676011502
163,0.2101293547085625
164,-0.1558634339435864
165,0.0823994726433704
166,-0.1303608851339097
167,-0.0842279108175094
168,0.1154734411085455
169,-0.049513120977049
170,0.1812191103789117
171,-0.0906917305631127
172,0.016486687000244
173,0.0823655382587878
174,-0.123701138050463
175,0.2223137093454063
176,-0.0906543596505681
177,-0.0164853280580367
178,0.0494315373208125
179,-0.0494559841740869
180,0.2138509623293346
