,TXN.US
0,-0.6658211794546559
1,0.1582779360557048
2,0.2368545712932349
3,0.1314129520605551
4,-0.1105088670210008
5,-0.0394830354557598
6,0.1288117770767487
7,0.2150988930276611
8,0.1362183685230737
9,-0.0786493288590633
10,0.1622781762026918
11,-0.0471352257253605
12,0.1736791859977562
13,-0.1398916258736695
14,-0.096950005240542
15,-0.0970440894903885
16,0.1440469331098453
17,-0.0366799413120903
18,0.0628403854210329
19,0.1516339869281004
20,0.1409774436090279
21,-0.1411764705882406
22,-0.0837301794965705
23,0.0910782049123593
24,-0.1750379720316248
25,-0.4701608163701576
26,-0.1176785236694297
27,0.1708762748972187
28,-0.2247792346802333
29,-0.0803427959293013
30,-0.1770671245372023
31,-0.0751758578102426
32,0.0295246530853299
33,0.0616952789699619
34,-0.0107307651035573
35,-0.0107319167203164
36,0.1018493701420518
37,-0.0107221358494666
38,0.0401918490929978
39,-0.0643483390084865
40,0.3340281118058895
41,0.0400673130859783
42,0.0240346098381602
43,0.0373731980779613
44,0.1439462600629001
45,0.0532850215804307
46,-0.0533134296529265
47,0.0
48,-0.165545231229308
49,0.1493014823504325
50,0.2189096215990909
51,-0.2429530551999808
52,0.0548302872062609
53,-0.0836207797637695
54,0.0626762770291468
55,-0.1412207751451489
56,-0.1020969135317642
57,-0.0078542255733662
58,0.0837082766558525
59,-0.0575825786525599
60,-0.0104706559866029
61,-0.0812134866783689
62,-0.0078599874240129
63,0.1203747317736901
64,0.0313922461152107
65,0.028767947276202
66,0.0078451882845116
67,-0.0002615069600015
68,0.0107206359167442
69,0.0418191322530122
70,0.0731299623902979
71,-0.0313512383739169
72,-0.0365898280278047
73,0.067906393648138
74,-0.0104482290251855
75,-0.3673214192674329
76,0.0104193800468777
77,0.0832856176149211
78,0.0416254747905635
79,0.1807435415346649
80,-0.1498049414824504
81,-0.0520426749934917
82,-0.0173332146554656
83,0.1420552003742282
84,-0.0572082379862623
85,-0.046828659139395
86,-0.0416428088074457
87,-0.1694605938942133
88,0.1379848997656937
89,-0.1773512075530767
90,0.0833897951738138
91,-0.0208517958609143
92,-0.104367792099367
93,-0.0313201440726639
94,0.0808449602294959
95,-0.0469642810551326
96,0.1224787616615487
97,0.0156331422615951
98,0.0859084164215198
99,0.1273984712183477
100,-0.1468344225952238
101,0.6493135011441757
102,-0.6101070565212399
103,0.1264658542193601
104,-0.155449363809091
105,-0.1614670434231019
106,-0.118356860367763
107,0.0605850787605964
108,-0.1444585692823298
109,0.2018338042788733
110,-0.095240843891594
111,0.123947884238443
112,0.0403388463089916
113,0.1496058461361361
114,-0.0115094665362155
115,0.1040522905875696
116,0.1372064986509009
117,-0.6006352873231255
118,0.2393334155309786
119,0.1321096694381176
120,0.0086301133421637
121,0.0
122,-0.040290088638191
123,0.0460246231733886
124,-0.2826977441873771
125,0.1141734374170269
126,0.2013885208543089
127,-0.3403350172826303
128,-0.1277887226452314
129,0.1223144011912304
130,-0.1224641925350033
131,0.0133095535975753
132,0.0797936005532386
133,-0.0133007022770832
134,-0.2506800362686003
135,-0.0453563138656962
136,0.1465260017050328
137,0.0213083315576347
138,-0.1280136547898491
139,0.0909136448271454
140,0.0316445580949394
141,0.1598314987726746
142,-0.0747857561079485
143,0.0478825281974906
144,0.1858637353300379
145,-0.1116427432216948
146,-0.0691599723360086
147,-0.1171770972037277
148,0.0585542425210335
149,-0.2561639449247615
150,0.5278592375366602
151,-0.3708718431741893
152,0.2612805683586255
153,0.3831081476282395
154,-0.1171165895649052
155,-0.1627637579365681
156,0.279288764110658
157,0.0175438596491234
158,0.0233863423760477
159,-0.0029233782559098
160,0.3437727603787346
161,0.1396444884066034
162,-0.2712952158693135
163,0.1514621927065075
164,-0.2394160583941585
165,0.0291885580852372
166,-0.0525670229542686
167,0.0233576642335719
168,-0.0292056074766421
169,-0.0058414627022553
170,0.0642148277875152
171,-0.1461560947091493
172,0.0292226767971846
173,0.0934252014480886
174,0.0291868542408565
175,-0.199464595034379
176,-0.7722824649563499
177,0.3426462836056812
178,-0.285472615775001
179,0.1108940170037534
180,-0.1189563562346318
181,0.0185008986150737
182,-0.4246735322221103
183,-0.0212381862588892
184,-0.0531236719081992
185,-0.2989146361606823
186,-0.3523687306170419
187,0.1254973164935436
188,0.2636484687083912
189,-0.0692889883807672
190,-0.0266567148264708
191,-0.1388073247557476
192,-0.0801453301987634
193,0.3195568811248372
194,-0.1226470431397588
195,0.0426416502318706
196,-0.2672224894447116
197,-0.058823529411772
198,0.0427624545648987
199,-0.0374311534142674
200,-0.1152769391228017
201,0.3804976108162487
202,0.182423580786016
203,-0.2133362507521395
204,0.3814506021470157
205,0.1957905041605556
206,-0.0625833310658263
207,0.387596899224808
208,0.1839727287484462
209,0.0837996377693083
210,0.0
211,0.1161032508910267
212,-0.0324114088159044
213,0.0026468616593403
214,-0.0621047510945385
215,0.0756143667296866
216,-0.146040675032459
217,-0.0974553329723913
218,-0.189856251695142
219,0.1678760966099871
220,0.2377093462992964
221,0.2371456289748829
222,0.1668011837503375
223,-0.2373119033493327
224,-0.1999567661046284
225,0.532195173358621
226,0.0526648409521773
227,-0.0237047962704388
228,0.0815832412232228
229,0.1943685648245453
230,-0.1894736842105335
231,-0.0895538113048451
232,0.0973607346788273
233,0.1051441789554015
234,0.2072294213315199
235,-0.3267026090416817
236,0.0056315789473758
237,-0.0421229991575466
238,-0.2216358839050065
239,-0.0079161938939685
240,0.173853488923417
241,0.0500236954346789
242,-0.1159787020928878
243,0.0684859340427749
244,-0.0052684263210531
245,0.052656521510186
246,0.110456553755527
247,-0.084228258580752
248,-0.1317800853934953
249,0.7689088816821837
250,-0.1029124215292727
251,-0.3329977542011978
252,0.1005724895559302
253,0.2572148773085035
254,-0.0283016440682215
255,-0.3692800330544382
256,0.2627105547828728
257,-0.046846228414791
258,-0.2061041107209276
259,0.1804216712201777
260,0.1287067545304777
261,0.0823045267489694
262,-0.1055639949535325
263,-0.0747230095336159
264,-0.0154623234718076
265,-0.0508969360250823
266,-0.0238813668600914
267,0.1030529434496914
268,0.0900900900900959
269,0.0411670869140186
270,-0.0128663698824043
271,0.0180096737676219
272,0.1182093847972399
273,-0.0257042977585764
274,0.3636736157352761
275,-0.5598985844073538
276,0.1529455197510787
277,0.0579801813198319
278,-0.1689545934530059
279,0.0395830584509769
280,0.3445011308052391
281,-0.3059878659984089
282,0.0
283,-0.0079141055741761
284,0.0553680658088956
285,-0.0791598501240051
286,-0.0158344769344458
287,-0.2115730455939943
288,0.0819173955553212
289,-0.2569808721454001
290,-0.1538951390362938
291,0.0636402206194338
292,-0.0132601373750262
293,0.1377155115336693
294,0.0079444944653433
295,0.1850285472615745
296,0.0211416490486215
297,-0.2012498675987689
298,0.1216609362602582
299,-0.2917771883289184
300,0.7138509213657354
301,0.4681647940074875
302,0.2472391626833628
303,0.5953031130529784
304,-0.4112969564025226
305,-0.2721948805366938
306,0.1180864502663829
307,0.6547716483876341
308,0.1960463976474352
309,0.1250951811160764
310,0.1303639326452909
311,0.3572201775276015
312,-0.108365843086253
313,0.3186605455036475
314,0.242456896551718
315,-0.2213942437496606
316,-0.0756552283166637
317,-0.7458623693379816
318,0.4822018746275052
319,0.1298631026459656
320,0.3880773998814201
321,0.1184387617765808
322,0.3674202805267264
323,0.0455715204803817
324,0.9768528349968164
325,0.0137892995035883
326,0.1211987659762003
327,-0.5038480704279921
328,-0.3444635813100753
329,0.4259791989378081
330,-0.1052223514426525
331,-0.0387811634348992
332,-0.4116599910992485
333,0.0166861338227938
334,-0.089071981294882
335,0.1251007756248057
336,0.0833310185828203
337,0.102669404517455
338,0.2104447028853051
339,-0.3222401244513495
340,-0.3512488849241723
341,-0.245919964229838
342,0.0865559123272378
343,0.013958682300394
344,-0.1930015943609962
345,-0.3396014594442827
346,-0.1433429832204364
347,0.0280985697827884
348,0.2639897767016431
349,0.203602192639
350,-0.9392176743689736
351,-0.2460814208527146
352,-0.0588802055454521
353,0.0160556596200166
354,-0.1822958554501117
355,0.0
356,0.0482315112540211
357,0.2672367717797969
358,0.0240455261962734
359,0.0560747663551347
360,-0.0303429825442429
361,-0.0551606178844336
362,0.1760751253868232
363,-0.1283793060892771
364,-0.0693397487302782
365,0.03740914920906
366,-0.198125836680056
367,0.0053544656243258
368,-0.0160659776147384
369,-0.0777125706782334
370,0.0749765698219233
371,0.050851086607429
372,-0.1071696495552398
373,0.0803126840499039
374,0.0642088929316582
375,0.0678426051560356
376,0.0625847501825412
377,0.2497138695244978
378,-0.7178412365732275
379,0.1465493922725957
380,0.141013584117036
381,0.1356568924136444
382,0.0573603796214286
383,0.203215541175217
384,0.0517528347029947
385,0.1739401334406438
386,-0.0285654928845989
387,-0.286473253815294
388,0.1612064482579314
389,0.3265433058622274
390,0.0880372863801074
391,0.0879598489160324
392,-0.0569476082004626
393,0.0310526860573451
394,0.1486246535019801
395,0.0374005579088831
396,0.0051655560721064
397,-0.0568534215422853
398,-0.0620604054613033
399,0.4530477759472793
400,-0.3462622466782884
401,0.4462615573726727
402,0.1654039056664037
403,-0.0480435594939278
404,-0.1764705882353008
405,0.0053473076306031
406,0.2666524452029225
407,-0.1335042187333119
408,0.1226732092378357
409,-0.1228238812346567
410,-0.0320512820512832
411,-0.1176596427425387
412,0.1281914325392635
413,-0.176574455562102
414,-0.2359882005899692
415,0.0991239585286802
416,0.0562279104637561
417,0.0053547523426992
418,0.1817307178363372
419,-0.0855935376879027
420,0.117606135396135
421,0.1333511205976503
422,0.1288625455522083
423,-0.0222814498933875
424,0.1224511526380334
425,-0.3328274356311739
426,-0.3285782978041401
427,0.4547267650578477
428,0.1354365838113423
429,-0.3865532777052034
430,0.0666027280477408
431,-0.0373114439528773
432,-0.1762067492524628
433,0.1732363209935709
434,-0.0773498346313783
435,0.0
436,-0.1014577882202155
437,-0.0213640976339371
438,0.0693851409052219
439,0.2183522394418685
440,0.0851380833288972
441,-0.0878758021995688
442,0.0558897109703615
443,-0.1706211676886127
444,-0.1976706913131768
445,0.0640683395622021
446,-0.0427304775130928
447,-0.3752948745442787
448,0.058940148957823
449,0.2831801667022874
450,0.0761305384966785
451,0.096339113680153
452,0.1367157830776293
453,-0.2029529656502134
454,0.0355041590586291
455,0.0456273764258572
456,-0.0557979101146462
457,0.1645861291874595
458,0.01772151898734
459,-0.0912223798905366
460,-0.1675211939692289
461,-0.0711201422402919
462,0.1293726693894094
463,-0.0685383560948321
464,0.0
465,-0.0812966820791609
466,-0.0508362564180744
467,-0.0966822715245256
468,-0.0050887995521954
469,-0.1503452845093328
470,-0.0841622035195062
471,0.152788388082497
472,0.0101848551204411
473,-0.2808701869063483
474,-0.2457254018634124
475,0.1320624712907612
476,0.1394469826241729
477,-0.0706908423226974
478,0.3202928391672399
479,0.1655912750528133
480,-0.2117189288166654
481,-0.0973709834469256
482,0.0057273768613922
483,-0.0974602992604411
484,0.0916432785382877
485,-0.1606333543686542
486,-0.2098364425536859
487,-0.0258769407705506
488,0.1034007352941215
489,-0.1427817004713898
490,-0.04707913669064
491,-0.051825405965682
492,0.1380103507763134
493,0.0229964355524847
494,0.1205857019810554
495,-0.0632038611813454
496,-0.0459875833524856
497,-0.0747857101766067
498,0.1493480383709523
499,-0.247610272947142
500,0.3265972647479153
501,0.0
502,0.3458096013018605
503,0.0228792231232762
504,-0.231870763899512
505,-0.1505601347385548
506,-0.1098508072757017
507,-0.1150924576076085
508,-0.3361732703756934
509,-0.52626147972346
510,-0.1291522446660123
511,0.170190820010321
512,-0.0860461262983656
513,0.0344169246646013
514,0.0464180721027257
515,0.077303648732223
516,-0.1341727732480085
517,0.2547934628747932
518,-0.0334689253900405
519,0.1850233849000284
520,-0.0694319438372674
521,-0.1003912685337691
522,0.0360249086511209
523,-0.2709188017648454
524,-0.7093857187402605
525,0.4935887118407573
526,-0.2867796208913235
527,0.1278916682339662
528,-0.2019168640964893
529,-0.1861092380310176
530,-0.1593905338232048
531,0.0917678812415587
532,-0.0486066104990297
533,-0.0108026358431512
534,-0.0216099405726591
535,0.0
536,0.1671970228143046
537,0.1588540965509899
538,-0.0619645455035341
539,-0.1835357624831327
540,-0.007665904754906
541,0.1468398701512797
542,-0.1718235325881474
543,0.2101519560297525
544,0.0107758620689557
545,0.064613396510879
546,-0.0161559588561587
547,-0.0970298097137657
548,-0.2215018908697982
549,-0.7072905331882388
550,0.839239567075192
551,-0.3260088304754034
552,-0.1903194280129646
553,-0.1158688879161595
554,0.0951792972166498
555,-0.2243019568412108
556,-0.2558933002481413
557,-0.483091787439617
558,0.1400560224089689
559,-0.1532586954827584
560,-0.0753873349277374
561,0.2747964950484788
562,0.1139365062924019
563,-0.0388570836463575
564,0.0802402029300621
565,-0.0569771055630297
566,0.3561290322580633
567,0.3343621399176983
568,-0.097832243447813
569,0.0977366255144021
570,-0.0463177396943046
571,-0.0566426364572675
572,-0.1185750373769086
573,-0.3414205162692031
574,-0.1087519419989684
575,0.0415676959619912
576,-0.0594177064765266
577,0.3817810530054052
578,0.1743086740723327
579,-0.2725441403009882
580,0.3424657534246649
581,0.1532838108713541
582,-0.0353857041755144
583,0.2118644067796523
584,0.1909013480572216
585,-0.1676865144739918
586,-0.011768859597511
587,0.275805410480605
588,0.0469235732301088
589,0.2136314418658984
590,0.0614178755264495
591,0.2625284405810563
592,-0.0466935154380342
593,0.2242087179337803
594,0.1656976744186026
595,-0.0581733566026726
596,0.0
597,0.0407047740884998
598,-0.0698283386674451
599,0.3594828086043976
600,-0.0306388193841463
601,-0.1073509866066905
602,-0.0818581807019321
603,-0.297619047619054
604,0.2252713495801749
605,0.4282218597063639
606,0.2998729351969522
607,-0.1986147891627553
608,-0.2808845309228391
609,-0.2560032768419436
610,-0.1435676562580121
611,0.1689189189189253
612,-0.0864280323969363
613,0.0044569672131025
614,-0.0897320856300386
615,-0.2596134073617085
616,0.0513821806597442
617,-0.1698491945030688
618,-0.0772638302256133
619,-0.0515357658214771
620,0.0
621,0.0257612447833537
622,0.143541408352153
623,0.0724898462803923
624,-0.579140596721653
625,-0.0360267627380304
626,0.3896237055265
627,0.2505753004346761
628,-0.5812159242876371
629,-0.3717088280846664
630,-0.2069322296947632
631,0.221958395705352
632,0.2111878026166666
633,-0.1341035692180683
634,0.3033886974854751
635,-0.2009480626545683
636,-0.2531122475334517
637,0.2310882794333453
638,-0.0553805219382069
639,0.2361232573691932
640,-0.0772240527182749
641,0.1747353273717768
642,0.0462320850670236
643,0.0385119001771635
644,-0.0488055484202408
645,-0.0102759081333865
646,0.1231590290963252
647,0.261540272595593
648,0.1757568016349439
649,0.1454007448599544
650,0.3236245954692628
651,0.0424245638224447
652,0.1694107681719483
653,0.1321772232208946
654,0.1502971893317054
655,0.2660453851418972
656,0.0473634354278514
657,0.094637223974752
658,-0.0368169147425409
659,-0.0052598358931153
660,-0.1474926253687321
661,0.1577784790154533
662,-0.1211099994734294
663,-0.1529374538550743
664,0.1999999999999976
665,0.147151566113097
666,-0.0157687253613672
667,-0.0420676237051125
668,0.2465379773394874
669,0.0681448865125669
670,0.0157232704402521
671,-0.104931794333692
672,0.0052463144640991
673,-0.2313719303780965
674,0.0105157999894895
675,0.2871118672905255
676,-0.2344915796205639
677,0.1463427613548709
678,0.2944765745211475
679,-0.0477757723749885
680,-0.1009617939316636
681,-0.1010638297872328
682,0.2599607406228495
683,-0.1822510152960181
684,-0.1421652118373425
685,0.0585137507314291
686,0.1911335280063632
687,0.0371510455365636
688,-0.608714224690296
689,-0.1322764052897724
690,-0.7230330120092652
691,-0.2862389284942758
692,0.1805978597805913
693,0.0242535302360609
694,0.1829137077684546
695,-0.0591591434789462
696,-0.0700818789054229
697,-0.0538967338579251
698,-0.0107805088400074
699,0.1560734083203229
700,0.224672135430262
701,0.0
702,-0.5146788509006827
703,-0.0236387991489966
704,0.7790071489776853
705,0.0991408487373137
706,0.2233998337489497
707,0.0986142108268011
708,0.1088759850684404
709,-0.3668531286587662
710,0.2620925887481811
711,0.0985119510551136
712,-0.1713929573075789
713,0.2848412657310121
714,0.0051786639047078
715,0.0569328709694185
716,0.020698576972829
717,0.0723925745901992
718,0.1291055567031605
719,0.0258144457638553
720,0.1289058471692276
721,0.1647276845464806
722,-0.1546710661992075
723,0.0
724,-0.0928888430178588
725,-0.8730018285849052
726,0.1472493815525974
727,-0.4271911736696059
728,-0.0223642172523818
729,0.3889674681753869
730,-0.2540620384047308
731,-0.5286291280589132
732,-0.0118807175953488
733,-0.1070409134157985
734,0.4145445931541022
735,-0.0118455342335999
736,0.3364618381441433
737,0.0530973451327453
738,0.1119688844363237
739,0.1999647121096297
740,-0.2062706270627029
741,-0.0235793444942351
742,0.0648011782032481
743,0.1632088926791274
744,-0.098610620511003
745,0.023543260741608
746,-0.0648448464838114
747,-0.0824638962569897
748,0.0353544281421261
749,0.1353418853713015
750,0.0131856540084418
751,0.0316355583676063
752,0.2629364745477492
753,0.183717390163243
754,-0.2367673366305317
755,0.1995379122033162
756,-0.0972379175317349
757,0.1469546277586801
758,-0.1024482504991032
759,-0.0473061760841016
760,-0.3216620966040991
761,0.0316288877174498
762,0.047420833552876
763,0.0105368526421211
764,-0.1160398755208602
765,0.0737890686765331
766,-0.0237235416611685
767,0.0026358795930177
768,0.2524057422306304
769,-0.1369069559264867
770,0.0946919880056851
771,0.0630881657115843
772,-0.0262936474547809
773,0.0473061760841016
774,0.2725795460502229
775,0.2672709313810981
776,0.0928774598014724
777,0.4737419839389873
778,-0.0404577505490655
779,-0.1447010476355848
780,0.3518283539047094
781,-0.1097061031237356
782,-0.3534592652682727
783,-0.1846025240621913
784,-0.4677475796104003
785,0.4008132442637221
786,0.1623847358348321
787,0.2516414543140614
788,0.0305347396277252
789,0.0994858166271902
790,0.1096491228070162
791,-0.3590872234449233
792,-0.0811500115928508
793,0.0695088044485496
794,-0.0869615629891456
795,0.0231843737320999
796,-0.2498547356188302
797,-0.0814142823912458
798,0.0058149677269238
799,0.1799396331553298
800,-0.4640371229698405
801,0.0618333590972353
802,0.0309071240921044
803,-0.4605671703580968
804,-0.1165712509390579
805,-0.1738634004567051
806,0.2381692036864345
807,-0.1036591686534615
808,-0.1349387585634165
809,-0.1611477881166514
810,-0.1353391286242209
811,0.0416254747905635
812,-0.1093863944160891
813,0.1819788904487197
814,-0.04161248374513
815,-0.1302083333333333
816,0.0572588621102564
817,0.2751245847175938
818,0.0259484145518767
819,0.1502746398590486
820,0.0103626943005234
821,0.1758560049653477
822,-0.319107536645484
823,-0.1064824433824974
824,-0.0935842778413262
825,0.0727348295926778
826,-0.1613155018993611
827,-0.3393901420217091
828,-0.0156666144446191
829,-0.3563754520203379
830,0.0392906723943676
831,0.0706732279342578
832,0.2871013206660661
833,0.0156576200417542
834,0.3225470814691523
835,0.0085831774923116
836,0.1109379059495879
837,0.1920440949422931
838,0.2858722335216173
839,-0.1258737637860499
840,-0.0518054188468084
841,-0.0725802270724323
842,-0.0492751368033397
843,-0.1323360004819714
844,-0.1535540586231081
845,-0.0911126151923837
846,-0.2296091426185867
847,-0.1724515564811566
848,-0.0706719326236467
849,-0.2753881661770906
850,-0.3783783783783722
851,0.865418106797422
852,0.1043841336116873
853,-0.4895104895104876
854,0.3858107383988848
855,0.6494889267461663
856,-0.0814653750843913
857,-0.2441382257116898
858,-0.0160790684182929
859,-0.0854897348160937
860,-0.0990072516122139
861,-0.0401541920976489
862,0.0962772785622629
863,-0.0856531049250517
864,0.3414425949637144
865,-0.2299342281161472
866,0.0587858058999645
867,-0.1337828436881254
868,0.0214006741212305
869,0.0588172387979968
870,-0.2519431787724464
871,0.1124437781109335
872,-0.021422450728359
873,-0.1528682918979787
874,-0.2338709677419367
875,-0.6817576564580565
876,0.2072924417986533
877,-0.0851154378125314
878,-0.1598465473145689
879,0.1064509261230512
880,-0.181294657139812
881,-0.1976812523374496
882,0.1120717259045832
883,0.2130152305889901
884,-0.0639454332303125
885,0.0106564364876439
886,0.0248765892118633
887,0.1294355482257833
888,-0.2774073086156363
889,0.079957356076762
890,-0.1815657374773061
891,0.1013603627634023
892,0.1651043885811686
893,0.0691894193411014
894,-0.0159693388693562
895,-0.0505951588421842
896,0.0665282878279844
897,-0.0026612023312108
898,-0.002661273153074
899,0.2918855808523119
900,-0.1734195175784395
901,0.1574059499449139
902,-0.0157430730478595
