,ZM.US
0,-0.5350239678366975
1,0.1451731995635855
2,-0.2352813718813912
3,0.2728866717704339
4,-0.1140384763965164
5,0.1003396109910431
6,-0.6963874898961487
7,0.3161026403867552
8,-0.0325505696349742
9,-0.2096924510717649
10,-0.1213026033404828
11,-0.4938580314443734
12,0.2587604439456241
13,-0.4022223961186221
14,0.2108386693737168
15,0.1185536455245984
16,0.4997827031725379
17,0.3387628196204084
18,-0.0448791358445135
19,0.0649551500154767
20,-0.0619003404518689
21,-0.3181865601573879
22,0.0154598370197919
23,0.4123554529974131
24,-0.2475670984937616
25,0.7042732716385387
26,0.36103530688001
27,-0.4033356024506474
28,-0.6095472912814293
29,0.0342325071888342
30,-0.8092485549133043
31,-0.9668989547038248
32,-0.974562854026662
33,-0.676537262680655
34,0.4445999164964685
35,-0.2619148635270951
36,-1.090103291754514
37,-0.990266976843252
38,0.3788205681409716
39,-0.1331868601926941
40,-0.3323940609082008
41,0.0315640377988389
42,2.4511106022441083
43,-0.5241257193448492
44,1.9667407304541105
45,-0.4428636189280743
46,0.4927304903015427
47,0.1870259411907389
48,1.2720123097965363
49,-0.7892197408326314
50,0.422570221227926
51,0.1442732815190679
52,0.9754823645078072
53,-0.4164995526486356
54,-0.0740992312204789
55,-0.1050842219131432
56,-0.3442500930405699
57,0.4569029389972888
58,0.003087086716263
59,0.3046903853256214
60,-0.0523479599692119
61,-0.3197256846300064
62,0.0324254215304855
63,0.2157031924072441
64,-0.3540780827212931
65,-0.3242019048800967
66,-0.4581437387022284
67,0.0778549406745352
68,-0.1653253478071088
69,0.1837033346825767
70,-0.1153366583541161
71,-0.2437347665770981
72,0.306848802978151
73,0.1725960940415495
74,-0.6227117689395154
75,0.1167542323409198
76,0.500980178610323
77,-0.5218406743787202
78,-0.1901210193411509
79,-0.1024777659846915
80,0.0380486876861221
81,0.3249156714376951
82,-0.0711600919607524
83,0.2475337628772184
84,-0.1312192454893226
85,0.3921141487855296
86,0.0834361169556766
87,-0.1744312813431274
88,0.4089609496579912
89,0.0217100264138662
90,-0.2503265562705259
91,-0.3092457155332355
92,-0.0363993739307559
93,-0.1421593642924995
94,0.0036449790413879
95,0.1424975840926656
96,0.2246150493899041
97,-0.1564034481504407
98,-0.011131344775577
99,-0.0762313881102393
100,-0.8869325274292059
101,-0.0328601472134669
102,1.2300801661744247
103,-0.1951156059965603
104,-0.5230296492432303
105,-0.7675077409579159
106,-0.506538652540961
107,-0.8849687575567771
108,0.1820990803029602
109,0.5168736836868397
110,-0.4286550344566177
111,-0.2029304085543191
112,0.2712490638262537
113,0.4226052369903803
114,0.1456278546369225
115,0.0562336674274803
116,-0.5086774386594952
117,0.3016341277470333
118,-0.4093722958130927
119,0.109711094118834
120,0.0730872728480683
121,-0.3969048095523974
122,0.1232552716612827
123,0.4708066708663558
124,1.0303527481542205
125,-0.8024256425064942
126,0.3610939275798062
127,-0.0575779821796112
128,0.1222036919891755
129,-0.3640208635265121
130,0.2766777944054409
131,0.5011024253357386
132,-0.3822937625754645
133,0.0258628121497835
134,1.0013939859463403
135,0.2100780695528769
136,-0.2347584833179166
137,-0.2395995265057067
138,0.2148915580349506
139,-0.2396576319543437
140,0.1424501424501424
141,-0.2324192764932673
142,-0.2795166232353113
143,-0.5586431307052143
144,-0.4454342984409694
145,0.4147823832704431
146,-0.2570463951271841
147,-0.3884443671363136
148,-0.282001337325921
149,0.1248548199767566
150,0.1738330180479592
151,-1.1585208171709382
152,-0.6336772800020825
153,-0.7843430389391363
154,-0.2324981643843966
155,-0.3006196440342829
156,0.4410259102722302
157,-0.0472751149047949
158,-0.2923822568749377
159,0.3464930701385955
160,-0.2394421786606941
161,0.0998869700076217
162,0.0210244146014517
163,-0.2819945182374007
164,-0.4420679249278704
165,-0.6179251564788901
166,0.1170555215621585
167,-0.3979700854700879
168,0.1945992056087271
169,0.033310682069526
170,0.2830038265306116
171,-0.0877682917098816
172,-0.1891920699211352
173,-0.3690826424177575
174,-0.4135782576001621
175,0.3011343246321559
176,0.5107109593294128
177,0.2848120859389385
178,-0.493101249086123
179,0.2962250690157834
180,0.1857642651475348
181,0.3855169010609425
182,-0.6206554121151936
183,0.3247857960345235
184,-0.4692647150227012
185,0.1706325815158413
186,0.0867921019187345
187,0.071180814757044
188,0.1732220160791441
189,0.1019367991845182
190,-0.0494483419352922
191,0.0710315009265034
192,-0.054074932406338
193,0.1111162553821978
194,-0.4791589132861977
195,-0.3079794680354671
196,-0.24011475614319
197,0.3542352868062849
198,0.64984178436367
199,0.2417541806534964
200,-0.4764705882352955
201,0.7299270072992701
202,-0.3545371971050952
203,0.0410040125355084
204,-0.0146464350577102
205,-0.1026302671319305
206,-0.1997943293668135
207,-0.1434403619110703
208,-0.1008777097078315
209,-0.2036419443378679
210,-0.1329865831313874
211,-0.0413907284768171
212,-0.1391479409065421
213,0.165518872107115
214,0.2829437943941868
215,0.1059914617988979
216,-0.2420092671841316
217,-0.0147588405454901
218,0.097284095804932
219,-0.0029194927749805
220,0.1071984384790255
221,0.0812680284923722
222,0.2085475106476662
223,0.1817808660978698
224,-0.0906793911274967
225,-0.0582329785003843
226,-0.2298017606695136
227,-0.1228845254791893
228,0.2587955515143069
229,0.2389186141603921
230,0.3783395509419039
231,0.4188651530174141
232,-0.0589430425045545
233,0.0155125656398549
234,-0.0909419422574101
235,-0.0308780363787647
236,-0.0358369073905019
237,0.0797024442082953
238,0.1315091248875235
239,-0.6548615557322084
240,0.1819446215185603
241,-0.431857335754519
242,0.2392177810808864
243,0.5462713802302908
244,0.1372454040089429
245,-0.2752463339038714
246,-0.3108815984033414
247,-0.1045407037510076
248,0.1009315869461819
249,0.4906374823947727
250,0.4748762406584543
251,-0.4671411152860356
252,-0.7900280898876347
253,-0.6004945249028744
254,0.6766238973536601
255,-0.1116421430273819
256,-0.6476782061965141
257,0.183990321605005
258,0.4016467516819015
259,0.0883594511631604
260,-0.1915567282321997
261,-0.2127900681179966
262,-0.2006005399813318
263,-0.1364428834929429
264,0.3951275985302243
265,-0.3561235571944455
266,0.0340853142792195
267,0.0996317409070226
268,-0.0580470938596172
269,-0.2606275303643799
270,0.0354125562806663
271,-0.0518810026952773
272,-0.0595087363889626
273,-0.3379322610971324
274,0.0812409555967384
275,-0.1029549888013962
276,0.0036123252537625
277,0.4495109321058688
278,0.329749103942658
279,-0.2965758964680466
280,-0.3422113991349417
281,0.1130287526122504
282,0.1858613060353098
283,0.0011508307559492
284,0.1544041078674303
285,-0.0467021123724656
286,0.1022806797179092
287,-0.1257658240356333
288,-0.2937148623324195
289,0.0252206809583834
290,-0.0762245140056328
291,0.104923857264666
292,0.4196915351506423
293,-0.1472754050073727
294,-0.2520796571716621
295,-0.3251562556450656
296,0.3241024163635627
297,0.093542003957543
298,0.1903188738868247
299,-0.1906817772980858
300,-0.2475247524752388
301,-0.3707525895348497
302,-0.7664458480973692
303,-0.4759877713710619
304,0.0734725444702234
305,-0.5482328239822797
306,0.110690358287222
307,0.2730653032767774
308,-0.3030303030303145
309,-0.5115389121012153
