,GFS.US
0,0.0778937529210113
1,0.2331364625427505
2,-0.3118178983473695
3,-0.0311915159076669
4,0.8351376430559729
5,-0.0154679040989805
6,0.3084040092521027
7,-0.046282011724778
8,-0.1081081081080975
9,0.0308784931295291
10,0.1387604070305325
11,0.2000307739652184
12,0.0615100722743445
13,0.3218884120171578
14,-0.01533036946189
15,-0.2612972640639436
16,0.1381427475057611
17,-0.1535739376265451
18,-0.2294256500650182
19,0.274738783036256
20,-0.1538935056940509
21,0.3221352968246568
22,0.3363400091729076
23,0.1069028711056924
24,-0.6765067650676472
25,-2.428015564202338
26,2.1773718371317887
27,0.6647045656658684
28,-1.722461538461547
29,1.185770750988144
30,-0.5195599022004943
31,-1.128110029361774
32,1.296522269676645
33,-1.423267326732676
34,0.262305199814846
35,-0.3250773993808173
36,0.6627608371392283
37,-0.4423534935732098
38,-0.4415141172820536
39,0.6473489519112234
40,1.6767091400652374
41,1.395098625224146
42,-0.0897397547113405
43,0.2061252483279292
44,0.537114811631256
45,0.3699156929448355
46,-1.405974868236722
47,-0.8357531760435544
48,-1.2790074289653182
49,-0.5312596242685539
50,-1.3472137170851344
51,0.3356728715288573
52,1.6063654105989988
53,0.7598331346841554
54,-0.2539208364451108
55,-2.182539682539693
56,0.5162465836623191
57,-0.2824536159392225
58,-0.7432121491026186
59,0.6931220961230837
60,0.537878787878794
61,-0.7941356139279108
62,-0.4142009112113334
63,-0.551871954604331
64,-0.5678769589584162
65,-2.521144674085849
66,0.3406480234492647
67,-0.3418124006359355
68,-0.6399999999999977
69,-0.9856196477621576
70,1.5117759388924297
71,-1.1753340846884623
72,0.1607458607940868
73,-0.056292722155213
74,-0.4442649434571867
75,-0.8920661106528629
76,-1.1334372484833677
77,0.4501345636293896
78,0.6822795192426542
79,0.7553433378808556
80,-0.426244481656266
81,-0.2899232214912563
82,-0.2603704270626129
83,0.0382526203044995
84,-0.1609195402298911
85,-0.4618937644341757
86,-0.6508600650860091
87,0.3551575046324953
88,0.0617283950617161
89,-0.433973961562308
90,-0.3421461897356125
91,0.8786804377986855
92,-0.3926253901879389
93,-0.211383374689813
94,-0.5928237129485331
95,-0.0780640124902375
96,-0.3132341425215281
97,0.6534930760852569
98,0.1087970158532909
99,-0.0933416303671472
100,2.396514161220032
101,2.284984388305421
102,-1.3229795800977673
103,0.7776271670114683
104,-2.0011643137825645
105,0.7941091539128087
106,-0.7125199941835235
107,-1.6330451488952775
108,0.1254612546125368
109,0.7762155828939677
110,-0.4206253492955281
111,-0.2048485741654937
112,0.0589145003313823
113,0.0441663599558353
114,1.0925325408116102
115,-1.2089013337263117
116,-1.5335904031267384
117,-0.0450598802395276
118,-0.481347773766536
119,-0.09786945720093
120,0.2028549962434123
121,0.6651183062768286
122,0.096033402922765
123,0.8721359940872185
124,0.2947678703021203
125,1.8269390466699909
126,1.7621145374449314
127,0.1140808344198179
128,-1.5137728513524678
129,0.6658975648395579
