,GOOGL.US
0,-0.1927291235972272
1,-0.4464785970416853
2,0.006302829970667
3,-0.0301225919439624
4,-0.1253759085369532
5,-0.0924954103321135
6,0.0764652030712296
7,0.4198407958113714
8,-0.3262454094362348
9,-0.1372040550640877
10,0.2715632031859759
11,0.0426759947529444
12,-0.4967271551208987
13,-0.0337593101847631
14,0.2272230146566993
15,0.2312951113747821
16,0.0494126948271999
17,-0.0497056293920588
18,-0.2049623506765651
19,0.2241715107119263
20,-0.1467146110003248
21,0.2028912890830372
22,0.1385677224417127
23,-0.0180619922818119
24,-0.0162143680450067
25,-0.0380830139179285
26,-0.0910589306575629
27,0.1367540647326108
28,-0.1093817812293774
29,-0.1149829291857092
30,-0.2537459848637762
31,0.0152259818987803
32,0.254650641218086
33,-0.0349781298359837
34,0.1643738977072259
35,-0.0677707653860841
36,0.1730097709998927
37,0.2463971880492168
38,-0.0246106247582821
39,0.5942405416854482
40,0.0439734697148149
41,0.0508641281438793
42,-0.2154413731923367
43,-0.3614975438517143
44,-0.2314519715911848
45,0.2923530608094341
46,-0.0192114274090518
47,0.1472644199490903
48,-0.1299425452943159
49,0.2085928999487
50,0.2132112197481949
51,-0.0726232766046064
52,-0.1448932187718431
53,-0.2073387757408023
54,-0.1380621603322336
55,-0.0458229567579831
56,-0.2104260134196233
57,-0.2347978350843613
58,0.0093796631848199
59,0.1951701072017233
60,-0.1986845321675725
61,-0.3165062274738785
62,0.2239033147363628
63,-0.0669027717675971
64,-0.3043705520485772
65,-0.2072962644367034
66,0.2020522883175615
67,-0.2289122637327141
68,0.1878542379835484
69,0.6783994886034487
70,-0.4289279609671382
71,0.1454391018834826
72,-0.1472582677291761
73,-0.0783047621342191
74,0.0104395449964553
75,-0.34387659926794
76,0.0750847471274643
77,0.1077802890763806
78,-0.2024972647757555
79,0.0697997054905998
80,-0.1430939226519491
81,0.1739116432234911
82,0.0273674890328746
83,-0.1656863891251546
84,0.1531559997504356
85,0.1456981857059026
86,-0.2457774626095888
87,-0.0177313538694671
88,0.4792594939500936
89,-0.098136496963214
90,-0.7248585899164187
91,-0.3765105788753206
92,0.2068309212227181
93,-0.333726421602796
94,-0.2011178539563597
95,0.1671034421836799
96,-0.1039033772282176
97,0.1291595064708625
98,0.443277026160668
99,-0.2166115347477977
100,-0.4321454250474659
101,-0.1087074882664261
102,0.0982752962087479
103,0.4694591682248083
104,-0.1908787697150482
105,-0.2299926652980056
106,-0.0730317392988222
107,0.5524152578121255
108,0.0930829134218951
109,0.2490456442820523
110,0.1655851976205159
111,-0.3894528974489593
112,-0.224723226908032
113,-0.2481033346707765
114,0.291692528108215
115,0.6432506215570694
116,0.1664460364429031
117,-0.4404338835905266
118,0.4808826641434603
119,0.361358183272358
120,0.0164777380911844
121,-0.4082725060827188
122,-0.1955153364960442
123,-0.1802373858252248
124,0.0493040628276142
125,-0.0048774295604533
126,0.1929664696394566
127,0.2837692722581593
128,-0.08404490084968
129,-0.1674164391369247
130,0.0440657334144954
131,0.1453756916284888
132,0.1534055051216228
133,-0.099132108112309
134,-0.3819456300639467
135,-0.1311650222439495
136,-0.1249321446212049
137,-0.0097819122660311
138,-0.160681131234353
139,-0.3742497886728674
140,0.2452409896773928
141,0.1907722560940097
142,0.5815256423665617
143,-0.4250462158982805
144,-0.190126072528539
145,0.097700113603244
146,-0.2335152869105805
147,0.0389748559510276
148,-0.3311503246329915
149,0.3301273318183493
150,0.1058572225281577
151,-0.07898173240287
152,0.0684040116321834
153,-0.1570915272464121
154,0.2203731781491839
155,-0.0914060745564794
156,0.6525740420547647
157,-0.0907175056872866
158,0.1324115630139722
159,0.0689458252954578
160,0.6660152365469473
161,0.4748921638489872
162,0.2092093330035502
163,0.6345684490792151
164,0.1399095584639955
165,0.2655813649014781
166,-0.0370660522820411
167,-0.1330005348546984
168,0.1175297385853758
169,0.0791807902064895
170,-0.16093330624378
171,0.1068182060950468
172,-0.1119281948548793
173,-0.1928592092058162
174,0.1554738565004877
175,-0.0767259776317042
176,0.0335340620451516
177,-0.2464031928703959
178,-0.2369534286731993
179,0.1133313162309204
180,0.0019693215508332
181,0.2845605378444021
182,-0.1473170068902842
183,0.0182325182325097
184,0.0014299809812516
185,0.0021449254638544
186,-0.214953605846738
187,-0.0738552437223186
188,-0.4154516326457128
189,0.1910835074428261
190,0.4440056615374464
191,-0.1698866595570411
192,0.3964774032582642
193,0.0902889039256202
194,-0.0405333113863679
195,0.1306877958969083
196,0.0907414934982111
197,0.0332471370521036
198,-0.2237932346491979
199,-0.0959386954247929
200,0.0789977164722425
201,-0.0988447519614355
202,-0.1759644522926055
203,0.0763098832636105
204,0.0953067402541177
205,0.1429203039370066
206,0.0178875428684194
207,0.1441259439017382
208,-0.0492981180443361
209,0.1087482867015245
210,-0.1026980840645436
211,-0.0793458285883551
212,0.139585103806161
213,0.0188814776808634
214,0.1626758334376154
215,-0.043816530246295
216,0.075057672991378
217,0.0476242136948142
218,-0.1725903658842058
219,0.0570677486220967
220,0.071596340860389
221,0.0240558802649823
222,0.0602872466740876
223,0.0124235108694764
224,-0.0190432074937605
225,-0.0213270577852926
226,-0.004780431121346
227,0.1336731471212486
228,-0.1069793945186792
229,0.1639606413715348
230,0.2187329478244723
231,0.0131858872119221
232,0.4193294317125124
233,-0.1808219178082125
234,0.2128791910590792
235,-0.0545654696097139
236,-0.059809393822722
237,0.1077224806427597
238,-0.1880928119327407
239,0.0134795111430625
240,0.0943752630513
241,0.2243728703030114
242,0.0462004598557386
243,0.0998221805600762
244,0.1778603189342673
245,0.1725619386834717
246,0.2262419294594784
247,-0.0298899409673717
248,-0.1243400004275223
249,0.1234748015329307
250,0.0039140335895291
251,-0.2164509882931097
252,-0.1210307968039255
253,0.13744319994866
254,-0.0993929357853774
255,0.0060667052080743
256,0.4253504610628522
257,-0.0928316865490132
258,-0.3630366570642248
259,-0.1816728658927557
260,0.3694818752538475
261,0.1348538490277344
262,-0.1314683122176317
263,-0.0481213084718584
264,0.2598420765631825
265,0.3263056092843305
266,-0.4433495622845851
267,-0.0221529564480712
268,0.0590396731066513
269,-0.1357422064915027
270,-0.2933455040510538
271,0.1577360783305574
272,-0.3286221704693261
273,0.4461923878878334
274,0.0641451780320294
275,-0.0470619350623098
276,-0.0260658805404613
277,-0.1082710515144216
278,-0.1027292450862562
279,0.0804422179458234
280,-0.1787331023071371
281,0.0581130044423211
282,0.149154918607383
283,-0.0120740489739161
284,0.1174864132020663
285,0.0489934947526319
286,0.0547960111612811
287,-0.0384924923311449
288,-0.2908649253527597
289,0.8869306180489559
290,-0.0740088654830418
291,-0.4934785672159003
292,-0.1018787486154963
293,-0.0538418513233058
294,-0.3619937988888412
295,-0.0179035358328798
296,-0.2529669219762656
297,0.4175113807211384
298,-0.1773766104274413
299,-0.2530593347853965
300,0.0491093662273008
301,0.0055789838992927
302,-0.3281352212538789
303,-0.2941798941798913
304,-0.1520827923884359
305,-0.3547004456356462
306,0.784036468775716
307,0.2678369404497001
308,-0.1763250073139311
309,0.1879002310962827
310,-0.5489350671336166
311,0.1363031212358111
312,0.0198075760016691
313,-0.4091752850702688
314,0.4632112280182561
315,-0.1082922223970428
316,-0.1683673374782342
317,0.3182882671403286
318,-0.374210114248169
319,0.0222584127525832
320,-0.0085331196343379
321,-0.1601593418231389
322,0.031204609366572
323,-0.0524066158706506
324,0.05200787547829
325,0.0137430495455467
326,0.133537596397449
327,0.1455663382472883
328,-0.1023344110580569
329,0.0618814174179542
330,-0.1439793975872359
331,-0.0761295018530933
332,-0.1591965780174893
333,0.0625422252951199
334,0.1698667042705223
335,0.0283803711707319
336,-0.0909740723893791
337,-0.016155148850197
338,0.0875695732838637
339,-0.3911832061851216
340,-0.0129180951756063
341,-0.1486762881855698
342,-0.1097794132763222
343,0.1039725362012396
344,0.1856584713903311
345,-0.1317733990147798
346,-0.0961514755553423
347,0.0131471910204752
348,0.0459940043529995
349,0.0451522863475867
350,-0.0410643889618922
351,-0.049712611802022
352,-0.1308205906673017
353,0.0468759637328017
354,0.0300080569577592
355,-0.0522330664100247
356,-0.0168654874537167
357,0.0102827763496143
358,-0.1210718565586788
359,-0.085317198628337
360,0.0218397293521924
361,-0.0173099511612122
362,0.1255454021569186
363,-0.009879958504184
364,0.2134180951299801
365,-0.5014232662677317
366,0.1523621834212831
367,0.1362281579905341
368,-0.0956501935777633
369,0.0
370,-0.167668495431892
371,-0.3726494747989347
372,-0.4289652554124851
373,-0.4628077751983481
374,0.1041493584417989
375,-0.2948179737701709
376,0.5926128315561665
377,0.0696959245847037
378,0.0333279702116858
379,0.0287227564654924
380,-0.0068939367825934
381,0.002297926121673
382,-0.0183867890920337
383,-0.1549415441532836
384,0.0863850413123396
385,-0.1497187015933603
386,-0.088181388539876
387,0.2259932489548567
388,-0.4267729267729325
389,-0.1402125118619346
390,-0.2198958333333394
391,0.1535139722676407
392,0.1250675198404356
393,-0.1423055157950641
394,0.0178890132337027
395,0.1146908126841291
396,-0.0704847646869128
397,-0.0867777366202063
398,0.0999960500520663
399,0.1061200755923947
400,-0.039128131980112
401,-0.0123960588594597
402,0.1597338046517953
403,0.0646814438888451
404,-0.0674219305906783
405,-0.0855433769286167
406,-0.0492324310849997
407,-0.029922326627122
408,-0.0078967930707741
409,0.0324079075294454
410,-0.0971101919953768
411,-0.0081105024768294
412,-0.0210085344571211
413,0.1684081998804028
414,0.1789211537996479
415,-0.1098911738507407
416,0.2173724023997913
417,-0.4644255827157836
418,0.0223185044661285
419,-0.4505304275572477
420,0.0123825581848713
421,-0.2364158574470955
422,0.1671163577509126
423,-0.0430289030312965
424,0.3059226925087832
425,-0.4011504692703563
426,0.1014663843819894
427,0.1612078412273198
428,0.124039303434195
429,-0.0036483479064696
430,-0.0099731454814318
431,0.9817428585192016
432,-0.4359449307764089
433,1.3361385855036985
434,0.0114551911107612
435,-0.0912474142584764
436,-0.0683628297430817
437,-0.514156111249941
438,0.0907358243277566
439,0.231441140841186
440,0.0620191919663922
441,0.213213289588568
442,-0.1035346034709574
443,0.0326621335584326
444,0.4539274222834027
445,0.0544416356124438
446,-0.0481343708964531
447,0.0071774173119336
448,-0.1437547037384717
449,-0.0215678562819453
450,-0.3667248163192682
451,0.0928682288883823
452,-0.1631030352455333
453,-0.1431321047650543
454,0.0881834215167664
455,0.0123229112665387
456,-0.0529315355034701
457,0.048656320647277
458,-0.167065712045182
459,0.2464800095111964
460,0.1492385442458358
461,-0.0559957918313894
462,-0.0966011265177561
463,-0.1473477406679826
464,-0.5840233721931696
465,-0.1285093479277852
466,-0.5235275786849491
467,0.4186484763339396
468,0.1627930556650913
469,-0.3277836176008474
470,-0.0407069439261862
471,0.0110235819857675
472,0.2602125680133071
473,0.137950450450453
474,-0.0698686019518137
475,0.1479697759073759
476,-0.0562939444603943
477,0.2918741124501046
478,-0.3452626361618894
479,-0.0617122181738271
480,0.3602354024640867
481,0.1922419446141465
482,0.0918330206904204
483,0.0083986562150106
484,0.1425735931341005
485,-0.0374745508647026
486,0.118435754189938
487,0.2457632313685323
488,0.1996662958843113
489,0.028708293692525
490,0.2407688618925837
491,-0.0293137908061328
492,-0.2216761925110795
493,0.1386056257381328
494,-0.2053705355502339
495,-0.0922888641447652
496,0.0785175879396954
497,0.0684471838157529
498,0.0257028219695699
499,0.0313676286072639
500,-0.1032191687015326
501,-0.1968036147602747
502,-0.2257616520519828
503,-0.4278514445881784
504,0.1307110377648837
505,0.2615771812080561
506,-0.087324511318597
507,0.2896803469466382
508,-0.1458899285642541
509,0.0021799169283982
510,-0.2240260831568674
511,0.0564368209945071
512,0.0832421473788799
513,-0.0896999586775495
514,-0.1911167738303303
515,0.1080345118468008
516,0.0261385044829987
517,0.1728068059295869
518,-0.2057227429699098
519,0.0640930828772841
520,-0.2263158935030501
521,-0.0405358643531532
522,0.054841626276545
523,-0.085744972496332
524,-0.0807168008235036
525,-0.0443124149028336
526,-0.0371471025260029
527,0.3523942077052968
528,0.0424272323630932
529,-0.3112767294663739
530,-0.2281621538507391
531,-0.4476552282493566
532,0.008220037961628
533,-0.0020127043492679
534,0.376724702705913
