,LRCX.US
0,-0.626114554610232
1,0.8482497546384908
2,-0.2545761229462103
3,0.0850466195919436
4,-0.3307277795991645
5,-0.6131658402120422
6,-0.1814982561901409
7,0.0615083746017705
8,0.113425123664896
9,0.2349612981808188
10,-0.1046239045955796
11,-0.1970489942619333
12,-0.1942728981409849
13,-0.2216136640653407
14,0.0466753688540736
15,0.3429517502365292
16,-0.2576789920483101
17,-0.0205553095945853
18,0.3325191080292963
19,0.1322022694722976
20,0.0306803967998064
21,-0.185211456313751
22,-0.0465215300063804
23,-0.2006810514422934
24,0.0513290269595735
25,-0.059566565637105
26,0.6232916064557761
27,-0.1429692267457153
28,-0.5363810058020202
29,-0.5658581300239804
30,-0.3254102999433924
31,-0.6425431180250277
32,-0.269488863506566
33,0.1265529472577086
34,0.1477236322215571
35,-0.0944186129371265
36,-0.0873689465801314
37,-0.1267562887186968
38,-0.4303157441772859
39,-0.0340782724109578
40,-0.3491720662346906
41,-0.0990901720565837
42,0.6177260519248067
43,0.2054855713392258
44,-0.08226184302293
45,-0.1127900315096156
46,-0.1645858222351075
47,-0.2259586437448909
48,0.0888880907915537
49,-0.0251463879009926
50,0.5509599594837292
51,-0.3681454097350564
52,-0.5186962917086045
53,0.1869996600006062
54,-0.0711413547788312
55,-0.0108270304548976
56,-0.3710373521284172
57,0.275575922714883
58,-0.1550579916888916
59,-0.1039968956150499
60,0.091495564791271
61,0.1409214092140872
62,-0.0619818703029328
63,-0.190958206545367
64,-0.1235767302685204
65,-0.1985826649015016
66,-0.417592042290963
67,-0.348421118714299
68,0.4048456428292352
69,0.1591834823727674
70,-0.1625685836212095
71,-0.1863626397719884
72,0.4505557894080393
73,-0.0795731136491279
74,0.0249578835714859
75,-0.4448398576512528
76,0.4217953743630034
77,-0.1601934886058426
78,-0.5813126925203481
79,0.2631081421729381
80,0.3876394795900794
81,0.0094154570419686
82,0.012552366905691
83,-0.5109684745067749
84,-0.3304104513626431
85,0.2553896657302487
86,0.2330341678475859
87,0.0802378817199211
88,0.0165168353743451
89,0.2032935118757882
90,-0.0974245352692538
91,0.2573851288383255
92,0.102992061876664
93,0.2607908051720843
94,0.0249797039905027
95,-0.0046839138784325
96,-0.0351416991402033
97,-0.3817631657338076
98,0.2938831658095067
99,0.2339327209494549
100,0.3105530893364062
101,1.145117242678226
102,-0.7113050075872533
103,0.5320553941360584
104,0.1036620992517609
105,-0.1283285210138073
106,-1.0160896751563293
107,0.2718682864693366
108,0.1708136423162286
109,0.3036925609513842
110,0.1539740416768889
111,-0.3907064959696435
112,0.2789730010875261
113,-0.174952103214544
114,-0.0382107657316119
115,0.1835140094973281
116,0.0982819558109172
117,0.4187722913902341
118,0.5623970654289555
119,0.0934893983022325
120,0.0
121,-0.3471114696887297
122,-0.2954459917199943
123,0.2917694739706098
124,0.6774259676848228
125,0.0232504068821169
126,-0.5407679840418943
127,-0.1170174590048835
128,-0.380579483163657
129,-0.2354788069073783
130,-0.2226453145756062
131,0.0794070021537964
132,0.0094317377976806
133,0.3477607030405607
134,-0.0180178768673976
135,0.1697062595801977
136,0.1265328438647107
137,0.1045535407758922
138,-0.028096903096913
139,-0.0640394858097821
140,0.1076577419958717
141,0.098978263749794
142,0.112879118141624
143,-0.1215900233826925
144,0.0296093129081105
145,-0.0140274314214513
146,-0.1310943254884874
147,-0.0609022908630926
148,-0.167370561551705
149,0.2294114893019379
150,0.1474491300501327
151,-0.9106058802523516
152,-0.7880628350766685
153,-1.507793947512648
154,0.837025352282773
