,PDD.US
0,2.352837504406064
1,0.977312390924948
2,-0.8625242034852928
3,0.7734119553978116
4,0.2042879553773695
5,0.6924009001211799
6,0.7390021666629369
7,1.087525492862006
8,0.859309182813813
9,0.0841750841750793
10,0.092506938020351
11,0.4769006978585507
12,-0.0169094823689369
13,0.367306088407015
14,0.2855874002232043
15,0.3122201956557872
16,0.0497182631753416
17,0.0496935564021766
18,0.0165617754223337
19,0.0165590329524722
20,-0.0828637719588948
21,-1.0381781647689292
22,0.4170411588441629
23,-0.8494072143277538
24,0.0252185608607825
25,-2.045587375803609
26,0.4846839860411012
27,-1.6822184255486938
28,-0.4687396844259642
29,0.4959763507965153
30,-1.0857294641078363
31,-0.5810846914239944
32,0.6173249253236023
33,0.9435513035473596
34,0.3570726593723302
35,0.9024801973769736
36,1.483945247537414
37,-0.9035755776429624
38,0.4785303658027456
39,1.22136920246178
40,-0.3118635437881931
41,-0.0764331210191111
42,-0.1978428744655065
43,0.3497837700330776
44,-0.3382043264628939
45,0.5047458810831322
46,-0.1303878769153619
47,-0.152744174200946
48,-0.2809347465202386
49,0.1339029522412854
50,-2.577584728810648
51,1.541837825671042
52,-1.4152827712149851
53,-0.7718770379520536
54,-0.7811521965920984
55,-0.4482738545729648
56,0.4116419294990605
57,0.144734556822787
58,0.2091373373697358
59,-0.3490057394631595
60,-0.4308003314117463
61,0.5154657089897956
62,0.1330479551107874
63,0.0578134936694191
64,-0.1592402791047834
65,-0.0840336134453676
66,0.0868558193398826
67,-0.2321532211259299
68,-0.1394862257352139
69,-0.0697917878329676
70,0.0639349026445879
71,-0.1979499167492186
72,-0.5858473434479545
73,-0.1143594405184421
74,0.2952871009238825
75,0.0301295570955047
76,1.0730253353204158
77,-0.9098428453267008
78,-0.2638721351025503
79,0.097913685320497
80,-0.1433096998038902
81,0.1431798273858354
82,-0.1887262300030209
83,0.0226329686910608
84,0.0603181783910006
85,-0.0679040289723882
86,-0.2117042189626502
87,0.2225491305495952
88,-0.1927437641723321
89,0.0717549756410732
90,0.2223227070615626
91,-0.166075337812334
92,0.2034051529305486
93,0.0150647785477416
94,-0.0678374915203161
95,0.0828438017773863
96,0.3826243529146905
97,-0.0976269149894829
98,-0.0075103266992045
99,0.1275127512751181
100,-2.3092712966130717
101,-0.8452647921338658
102,-0.207433016421776
103,-1.0039284155390709
104,0.7795582503248208
105,-1.3430477528089897
106,-0.1758705592683809
107,-0.4948745139625329
108,-0.4081632653061168
109,0.4065040650406449
110,-0.640341515474919
111,0.0710984713828637
112,0.4071517082669569
113,0.2123292268884352
114,0.3166050360979049
115,0.2809482001755991
116,-0.5650715168638535
117,0.2466091245376089
118,-0.3890362511052271
119,0.1588983050847517
120,-0.3010448025500296
121,0.6509500351864964
122,0.2807017543859589
123,0.0876424189307575
124,0.0700648099492139
125,1.9572117080051628
126,0.8103538739579169
127,-0.8288267105572517
128,-2.543701024713682
129,1.7238315265683293
130,-1.402613004955704
131,0.0750300120048019
132,-0.0180104460587147
133,0.3112095277993956
134,-0.2820789821149915
135,0.0659749295267709
136,-0.6420738556966522
137,0.7926821965387163
138,-0.0839077015283277
139,-0.4213664889355888
140,0.0935026764013611
141,-0.1055799674953327
142,0.2096360501925275
143,0.0366278371562259
144,0.5137395459976187
145,-0.0598326717469631
146,0.6178567185457974
147,-0.6607468532304779
148,0.5884975479268721
149,-0.5769460719837399
150,-1.1364044655459984
151,-0.9586734032905936
152,-2.184273232724373
153,0.4611938331795945
154,0.2300663905869942
155,-0.1843924925913738
156,0.1118273911327561
157,-0.7288629737609481
158,0.4813715792944399
159,0.0
160,-1.0326449033977425
161,0.2260037224142538
162,1.2017476861809255
163,-0.9747347480106072
164,-0.3059731275774963
165,-1.1845470453627611
166,-0.0875715729201912
167,0.2553248672982758
168,-0.3404685656497717
169,0.1043911637931042
170,0.7884538286783421
171,-0.6185289767379235
172,-0.0874772895498253
173,-0.1583824768323596
174,-0.1180836707152573
175,-0.1367989056087503
176,0.3303791494047907
177,0.8320765510426931
178,-0.4859949832775806
179,0.026121937202854
180,-0.2231602889878588
181,-0.2592262061000541
182,-0.2948454693834582
183,0.2468487394957977
184,0.1520792909958529
185,0.3501254180602089
186,0.0470096630974014
187,0.1356215116582438
188,-0.5718182772007152
189,-0.3157562361856617
190,0.0736222128733626
191,-0.123733052520724
192,-0.1160223062240364
193,0.3336660712409342
194,0.0026268092148443
195,0.0551325807298449
196,0.0314944097422719
197,-0.3423575265985343
198,0.0579038795599227
199,-0.105390736154286
200,1.17767062314541
