,CMCSA.US
0,0.0348462409617617
1,-0.2620316184819734
2,0.0698263070611838
3,0.1655629139072951
4,0.2086956521739086
5,0.0260801530035652
6,0.0608166811468229
7,-0.1392030624673713
8,0.1042934121328042
9,0.0955109837631322
10,0.0173626182828336
11,-0.0608061153578814
12,-0.1391788448155974
13,-0.0348068221371319
14,0.03479471120389
15,-0.0631923082948993
16,0.0022630342066333
17,-0.2530541012216459
18,0.0436109899694822
19,0.0174413534490241
20,0.1567261645624663
21,-0.1657073085644494
22,-0.0174459176552651
23,0.1741553465691421
24,-0.104602510460255
25,0.1040402288885074
26,0.2421726344923033
27,-0.1175918437327385
28,0.0482949627834559
29,-0.216844479139561
30,0.1645306546588134
31,0.043278802042757
32,-0.0519615484541459
33,0.2677491794783229
34,-0.1210653753026639
35,-0.3035822707953806
36,0.0780031201247956
37,0.0157714765048391
38,0.1486544951111797
39,-0.0519435546705809
40,0.1555882098712011
41,0.1381096245144554
42,0.1207000603500306
43,-0.1104762562358669
44,0.0414114399102767
45,-0.1295784381478848
46,0.0259089731410321
47,0.1293772641021144
48,-0.0051753583935689
49,0.005175090564085
50,-0.5002605523710307
51,0.0520833333333303
52,-0.3526979195631337
53,0.1434237995824629
54,0.2602811035918792
55,-0.1982057166701415
56,0.0417101147028219
57,-0.4504032680423241
58,0.0
59,0.1464281978872509
60,0.0
61,0.1670669311893041
62,0.0313152400835084
63,-0.1934842859384012
64,0.3325202743552886
65,0.0270946227594792
66,0.0208376745155347
67,0.0208333333333291
68,-0.0625390869293332
69,-0.0521430806131996
70,0.0814853253473498
71,-0.175574112734863
72,-0.0626697305201611
73,0.2396582265291278
74,-0.4080351537978662
75,-0.2287121745249744
76,0.0198764144355512
77,0.3308204768583401
78,-0.3165670066830807
79,-0.0527890198838661
80,-0.0616251430583618
81,0.2523766787791001
82,0.0549411971212948
83,-0.3346248679112323
84,-0.2648772735299286
85,0.158674188998583
86,-0.1058948111542574
87,0.0352858151023343
88,0.2902629958659498
89,-0.1762269803506942
90,-0.0264410364886313
91,0.061657711618081
92,-0.1234676779257435
93,0.1795869500149599
94,0.2949179320635589
95,0.0263250263250148
96,-0.2110446711220496
97,-0.2026610274032989
98,-0.0088121254846588
99,-0.2119392440833708
100,-0.2752130681818202
101,0.3979131665045564
102,0.0088417329796559
103,0.0706838664075035
104,0.2116028919061848
105,0.0440645104432864
106,0.0352391859748094
107,-0.1058294382220694
108,-0.0088198976891913
109,-0.0352920416446021
110,0.0705342973020616
111,0.0352547153181668
112,0.0352422907489041
113,-0.0977165373774553
114,-0.1317555634051638
115,0.0088300220750597
116,0.1794566236769873
117,-0.0384445816065583
118,0.0866896194466647
119,0.0718373096223336
120,0.0264038021475102
121,0.2694708014781414
122,0.2128405010072654
123,0.0612745098039156
124,0.2967359050445133
125,0.353448275862066
126,0.7613996064676196
127,-0.2528405972115448
128,-0.3314688925221682
129,0.034408602150543
130,-0.2241572549357747
131,0.0775327360441104
132,-0.0689655172413778
133,0.2922468626439775
134,0.1801801801801748
135,-0.0429184549356198
136,-0.3877638948729021
137,0.1668903341247742
138,0.0137622570101542
139,-0.189417115792636
140,-0.1899495942849337
141,0.1550000000000001
142,-0.0690131124913718
143,-0.2074688796680453
144,-0.0172920629431179
145,0.0518492913930195
146,-0.0518761888293293
147,-0.0692161273576728
148,0.0173010380622802
149,0.4135079255685768
150,0.0592183181997513
151,-0.0987947046038276
152,-0.3292766816205728
153,-0.0422429624811028
154,-0.1042285006382794
155,0.128680479825521
156,-0.0893034332208805
157,-0.0794438927507431
158,0.0397061743100973
159,0.1585728444004071
160,-0.0563250670347725
161,0.0364789849325926
162,-0.0694375557980291
163,0.1089972255251678
164,0.1057145232750049
165,-0.016632016632006
166,0.2305335458903878
167,-0.0824436536180283
168,0.0691494616220561
169,-0.069197311190201
170,-0.0395569620253085
171,0.0098882626322465
172,0.1086527064401416
173,-0.0691904714836346
174,0.0098833761613017
175,0.0378071833648318
176,0.0283473495228206
177,0.4515097356786793
178,0.2626888075804495
179,0.4017940571855659
180,-0.1684762261325277
181,-0.3380916604057095
182,-0.0657832910440817
183,0.3278381416260851
184,0.0561692566934919
185,-0.026031863750348
186,-0.1145589200337417
187,-0.1408186256102193
188,-0.2258185923974359
189,0.2159421650549281
190,0.0375410605349526
191,0.0469043151969954
192,-0.2633559066967655
193,-0.0753012048192755
194,0.0282299802390149
195,0.1034028952810673
196,0.0751455945895155
197,0.0469439489249942
198,0.0375410605349526
199,0.2340823970037453
200,0.5866620653955591
201,0.1722504521574393
202,-0.0258442453480368
203,-0.0172324659658762
204,0.3520219799089865
205,-0.085932800549965
206,0.2314814814814781
207,0.1369863013698601
208,-0.0342583076395957
209,-0.0428412304001468
210,0.0982668063630346
211,0.2435317223123586
212,0.1619778346121037
213,0.0851788756388488
214,0.0
215,0.1276052743513326
216,-0.0510681760149819
217,-0.0766609880749482
218,0.0766022640224608
219,0.1020321401241429
220,-0.0580219122048534
221,-0.0270615266785718
222,-0.0425676826153681
223,-0.1022669166524546
224,0.0
225,-0.2724795640327038
226,0.1360544217687045
227,-0.0255167134473089
228,-0.0851281178173102
229,0.2377919320594489
230,-0.1829242353341587
231,-0.0159977943466507
232,0.2070312500000062
233,-0.0594782904240015
234,0.0879504489208243
235,-0.037027600849255
236,-0.0254841997961273
237,-0.0594985125371807
238,0.2120441051738761
239,0.0254388196387697
240,0.0423800644176955
241,-0.0254345061466732
242,-0.1154361960378307
243,-0.011884550084886
244,0.118704425979312
245,0.0
246,0.0931808555696733
247,0.1522456229383463
248,-0.0761808024377885
249,0.0507614213197988
250,0.3570269393054184
251,-0.0730816077953627
252,-0.0843585580050475
253,-0.102668402212819
254,0.0650406504065026
255,0.3241491085899559
