,CPRT.US
0,-0.3960635777166612
1,0.5041987885462469
2,0.3771514777480705
3,-0.7182816492851858
4,0.4332278916242577
5,0.0824515597086742
6,-0.1444987270350096
7,0.1099731940339518
8,-0.1273183992292091
9,0.414639161126715
10,0.239299876931488
11,-0.0958116616479512
12,0.2408638327389126
13,-0.2483060707685941
14,-0.0308082018279642
15,0.2935253762927108
16,0.1261248977365709
17,-0.1946787800129762
18,-0.2671141399267249
19,-0.2230917078528203
20,-0.1925722145804684
21,0.2264461675701531
22,-0.116790327012907
23,0.1372118551042732
24,-0.0274499039253308
25,0.631028938906761
26,-0.0885026953093566
27,0.0190646726788688
28,0.008043518653326
29,-0.0754246156322936
30,-0.0724987916868079
31,0.1287208366854357
32,0.2567806130637196
33,-0.1849023233378921
34,0.1645330872025348
35,0.0601588192829091
36,0.1801513271147718
37,-0.0600865245954196
38,0.128020483277333
39,-0.0720634158059119
40,0.2157238734419911
41,-0.1841030977347232
42,-0.0240192153722987
43,-0.5150490906164498
44,-0.2986520300266402
45,-0.185993854116128
46,-0.0890327802509101
47,-0.0583910157202153
48,-0.0631280388978927
49,-0.2274204028590002
50,0.563389899955604
51,-0.2979452054794536
52,0.2050580997949496
53,-0.1129092961987343
54,0.119609049278936
55,-0.0547083361827344
56,-0.0273616526438142
57,0.0273541680913574
58,0.0191442519383691
59,0.2264820246947224
60,0.0954133442377062
61,0.0204415372035984
62,-0.0545404963185056
63,0.2108987005918785
64,0.0340043525571157
65,0.0591325861330806
66,-0.052363141788506
67,-0.1361933946203725
68,-0.1910350003411347
69,-0.1434818256354055
70,0.0751007032156654
71,-0.0546485415670554
72,-0.1916364382998923
73,-0.0547832637129442
74,-0.0753837719298339
75,0.4970664928292043
76,-0.3762473417307326
77,-0.2131147540983648
78,0.3308688370573107
79,0.2810590631364553
80,0.4218382412590217
81,-0.1950743721043606
82,0.0318519987129142
83,0.2357328145265924
84,-0.1949317738791381
85,0.121684108055481
86,-0.2358107009269735
87,-0.0976721471593721
88,-0.057007899666091
89,0.1220107369448442
90,0.0162654521795673
91,-0.0325414904002538
92,0.1948684637869396
93,-0.0406140849646634
94,0.2188361160641887
95,0.0809847748623327
