,TEAM.US
0,1.0694554064719843
1,-0.7995544771072912
2,-0.4114075730947326
3,-0.2201673271686527
4,-0.0200192184497162
5,-0.5353620738236059
6,-0.4406889302175157
7,-0.3224563467115601
8,0.0385176775867656
9,-0.2683144971135851
10,0.4169871665114777
11,0.3469560656795956
12,0.1007576978881186
13,0.173003419835046
14,-0.3350557080574893
15,-0.0666518551432982
16,-0.6402959590210656
17,-0.1119228342931471
18,0.1564468283961115
19,-0.3742263100470035
20,-0.0010197006159098
21,-0.1756966576775265
22,0.0653327888934244
23,0.0285749275421452
24,-0.2004253926701608
25,-0.0259594167784373
26,0.3406347016212453
27,-0.2420470262793801
28,-0.5738132498695974
29,-0.1393000174124992
30,0.1781601703385028
31,0.5015348696441683
32,-0.0605667315595874
33,0.0864491030905505
34,0.1704459643142291
35,-0.6755289108996946
36,0.4153147306943577
37,-0.0086531389261498
38,0.0756576814163167
39,0.0172901942985549
40,0.0842187095102328
41,-0.1362309438858245
42,-0.067079240057126
43,0.2223805514174125
44,-0.2380591685242545
45,-0.0151515151515136
46,-0.0238151940938348
47,0.0064946311049596
48,0.0043295666103783
49,-0.2256019849850388
50,0.4584269662921394
51,-0.2432870787529248
52,0.4976016497063635
53,0.1030004478280421
54,0.2946954813359513
55,0.3248920735235168
56,0.1155812402756127
57,-0.4891559268276334
58,-0.1902161750883869
59,0.5386396011395921
60,-0.0044517651248679
61,-0.3350008933357156
62,0.0133982403644326
63,-0.390064562410332
64,-0.1077199281867058
65,-0.0134668043273336
66,0.3266219239373556
67,-0.0089493466976956
68,-0.1164770181883303
69,-0.1098777889897991
70,0.1321270210955416
71,-0.1031205164992907
72,-0.6271148206632016
73,0.1306659457511003
74,-0.0947097821675046
75,-0.2931726907630481
76,-0.610125661642891
77,-0.2470836033700638
78,0.3068971087061827
79,0.3701319600901255
80,0.2408091186386235
81,-0.5163788930127485
82,-0.0645890521556582
83,0.2737520128824504
84,-0.3636363636363659
85,-0.0768266548057085
86,-0.2553916004540276
87,-0.1908939523171272
88,-0.0975728747408257
89,0.0731261425959808
90,0.0324899484222004
91,-0.2973523421588553
92,-0.249091428804775
93,0.0204131624071247
94,0.1671082127572841
95,-0.1265099575579506
96,-0.0816859990197633
97,0.0204173302298921
98,0.1732466420724421
99,0.1932544041661558
100,-0.5052031607582311
101,-0.2727745064080341
102,0.1254054054054019
103,1.0271774020971562
104,0.1986203361595811
105,0.3405487091075422
106,0.3584153376314891
107,-0.123157939440265
108,-0.2725375803772883
109,0.2972020549399179
110,-0.038226299694191
111,0.5449245976428809
112,0.1286729807834315
113,-0.4215387222504679
114,0.4050632911392438
115,-0.5259586019681071
116,0.797374345164213
117,-0.1875974874583673
118,0.3570109875707715
119,0.0168416631667347
120,-0.2906364517080147
121,-0.3177581150859086
122,0.1232327495252169
123,-0.0506692564286518
124,-0.6288506479711146
125,0.5467873259950862
126,0.0691958959675543
127,-0.2607593119781899
128,0.2553211797270195
129,-1.0050372369911449
130,-0.374975808012389
131,-0.4861921431349669
132,1.1130075242193311
133,0.1176527084133713
134,-0.2575768517849818
135,0.103405155829153
136,-0.0673789585138061
137,-0.3017064516907629
138,0.0144798127277559
139,0.2215319415348348
140,-0.4571843251088638
141,0.026601533215645
142,-1.0631537784729606
143,0.7663950329840823
144,-0.0776699029126197
145,0.7061432048779328
146,0.1323770097236958
147,1.1467999048298818
148,0.1425516749821729
149,1.178625093914359
150,-0.2555641019279035
151,0.4347933496380957
152,0.1110453064850431
153,-0.0839713509508599
154,-0.1285919184925025
155,-0.0593853615083904
156,0.4262448567275281
157,0.4653387040409007
158,0.0520858865630751
159,0.2823029073533119
160,-0.1566726642920932
161,-0.0183634493903306
162,-0.1987193640980354
163,-0.2262165285598406
164,0.0835319263936257
165,0.0368387445355946
166,-0.0491424640031423
167,0.1643566785232329
168,-0.0650490322422245
169,-0.0921353283703103
170,-0.374855113566298
171,0.2055005229803678
172,0.3128066732090368
173,0.1225189904435187
174,-0.4479669193659668
175,-0.3260519363361006
176,-0.0993317681054846
177,-0.1007231404958642
178,-0.2849002849002761
179,0.1693578622125047
180,0.7811698306824053
181,-0.233999331430488
182,-0.2784868879090235
183,-0.0154738878143139
184,0.3418320139816963
185,0.2691410555455903
186,0.0845156994314357
187,0.0563120712603735
188,0.1520669605775913
189,0.0498122461491429
190,-0.0946049603681934
191,-0.0575631595778759
192,-0.0268700258464104
193,0.1890117749227373
194,0.1721126509172995
195,-0.1749680715197962
196,-0.0127730233746356
197,-0.2522633270587668
198,0.1112816577129706
199,-0.3542821934688836
200,1.39435398763757
201,-0.5800068236096791
202,-0.0720789074355074
203,0.724978815554074
204,0.3172279160566232
205,0.355379320664368
206,-0.1461057206009015
207,0.2503736920777338
208,0.0336209794911931
209,-0.4239195678271292
210,0.5373134328358201
211,0.0708452962451984
212,-0.660586270314901
213,0.0637659414853773
214,0.4071874182823322
215,-0.2997489602457984
216,0.2653213751868596
217,-0.1197246333433291
218,0.235153596357005
219,-0.1607596829669533
220,-0.0149566257852305
221,-0.0823291669785085
222,-0.1418445031976026
223,0.0930397993185737
224,0.0299434816783474
225,0.1285119205884924
226,-0.6601837808903513
227,0.1291932106740286
228,0.1112495550017799
229,1.3737107746324315
230,-0.1362397820163498
231,0.0790444405410182
232,0.2977232924693549
233,-0.0920285726806643
234,-0.4025959740402561
235,0.0989010989010964
236,-0.0791835298257992
237,0.0835128126236199
