,CDNS.US
0,-0.3427654609101508
1,0.9553417806368808
2,0.1783834450933729
3,0.0864491030905587
4,0.1366906474820127
5,-0.1368777465600444
6,-0.0865239022279937
7,0.3459760080188911
8,-0.2243266599452651
9,0.4016640367235503
10,-0.1220825852782675
11,0.0645902109946917
12,0.0932100093209976
13,0.1932159725204023
14,-0.2007744156030411
15,-0.1723890245654425
16,-0.1042602912097862
17,0.0682618380398066
18,0.2365591397849552
19,0.0071679449501762
20,0.1395798289252507
21,-0.0393841747225254
22,-0.1111150937309589
23,0.2038918300185982
24,-0.200716845878137
25,-0.2538911579644439
26,0.2971604666519877
27,-0.0936381162214197
28,0.5641362690327534
29,-0.1977283466057861
30,0.2137341876129591
31,-0.2663006177076259
32,0.3801553440542572
33,-0.0054701602756911
34,0.0901762535865512
35,-0.2630209046823144
36,-0.1454206222905201
37,0.2627114005801643
38,-0.0766829161417619
39,-0.2140739927544112
40,0.2600531055815577
41,0.0519835841313263
42,0.0434831359271867
43,0.0166794268839646
44,0.0164033025315614
45,-0.2686403508771823
46,-0.1784978717561538
47,-0.1567743000165006
48,0.2879631407179912
49,0.2816824372367854
50,0.2822843316685873
51,0.2691498576908812
52,0.1729462631253867
53,0.2526030435586203
54,0.1599311066002281
55,0.0245987331652545
56,-0.1138987224873032
57,0.1383338456809064
58,0.1350770553201933
59,0.0030698388334584
60,0.0521600392734462
61,-0.0982800982800961
62,-0.1630418063801733
63,-0.2034462562806226
64,0.1477423127827761
65,-0.1201848998459125
66,-0.036993649423517
67,0.3440860215053777
68,-0.0860955660783385
69,-0.3022452504317845
70,-0.2287480680061852
71,0.3388786198398098
72,0.2519820539610328
73,-0.1230693495784979
74,-0.1972994635920791
75,0.0071730865791484
76,-0.0789662598707718
77,-0.3891611415393632
78,-0.791748383816375
79,0.304149467738443
80,0.1301800824473905
81,0.0722700007226959
82,0.1947489901904081
83,0.3163646821973153
84,0.0718494036499456
85,-0.1367004820490666
86,-0.0575912461305971
87,0.1376692559030569
88,-0.0154587287891679
89,0.0431220353600502
90,-0.1872119815668137
91,0.1007049345418031
92,0.0934243621990624
93,0.0502801321649139
94,-0.0574960471467676
95,0.2079896722369794
96,-0.0358731525326527
97,-0.064613396510879
98,-0.0215424386040507
99,-0.1078283372870226
100,-0.2058916693063074
101,0.2842703727100438
102,-0.5717916137229978
103,-0.3906561428685281
104,-0.6822925028094465
105,-0.1567713148691507
106,0.2125952667468917
107,0.0
108,0.7642703606400714
109,-0.3996483094876509
110,0.6195885296687593
111,-0.214933927718513
112,0.22239872915012
113,0.2060875079264354
114,-0.2503079184711333
115,-0.2549292969527927
116,-0.3076554259229703
117,-0.3850473287341601
118,-0.1043925158596285
119,1.017407201335348
120,0.3373842147915122
121,-0.2667990468625855
122,0.0793650793650748
123,0.0753400214124262
124,-0.3381873159863111
125,0.1626035541549721
126,-0.0588802373006989
127,0.2588757396449662
128,0.2287654047671775
129,-0.0516834022445312
130,-0.0886786875554275
131,-0.1406053430030324
132,-0.0037002775208106
133,-0.1370979694679133
134,0.1332149200710529
135,-0.3006346731989764
136,-0.3837555886736324
137,-0.2614867388868093
138,0.4018156112805954
139,0.1189149015236157
140,-0.3729951510630361
141,0.1564129301355426
142,0.2303633796537135
143,-0.1041434203674673
144,-0.3433604538329536
145,0.0671341190511736
146,0.1564756412634021
147,-0.0671486063496845
148,-0.0895121587348982
149,-0.1494098311668822
150,-0.0114626318202717
151,-0.2643374324790136
152,0.1463204705207261
153,-0.4698489565317639
154,0.0
155,-0.9544872541031398
156,0.1916932907348315
157,-0.0697552752426928
158,0.0639014755431539
159,0.0116171003717531
160,-0.1454249316502821
161,-0.0989868405729518
162,0.1569676181617242
163,0.388000926569386
164,-0.1391788448155933
165,-0.0348068221371401
166,0.0579777365491618
167,-0.2441008950366078
168,0.0813008130081221
169,0.1854857407836897
170,0.1331403762662748
171,0.0231494878175774
172,-0.2436618901200832
173,0.1621778163915442
174,0.1792321924144324
175,0.6601466992665056
176,0.0773647135469676
177,0.0813702754383777
178,0.0691169295820523
179,0.0974817221770839
180,-0.1708845308812708
181,-0.1466873115475567
182,-0.4009163802978194
183,-0.0327385824193747
184,0.3628950050968343
185,0.2399934917019213
186,0.0487884208814459
187,-0.1628929793125939
188,-0.0896714763185778
189,0.1668362156663261
190,-0.1018329938900203
191,-0.0570590153244157
192,-0.1060791513667969
193,-0.4755267688775914
194,-0.4447006505805748
195,0.2628336755646761
196,0.0246345869600929
197,0.1721452578080119
198,0.0737221494102256
199,-0.7343840250845785
200,-0.109552249355036
201,0.5867060146149379
202,0.189354092152332
203,0.0630782169890688
204,0.1259974800504037
205,-0.1823281907433515
206,0.1889829915307694
207,-0.0840630472854672
208,0.234126568123848
209,-0.2838519764507997
210,0.2098195551825311
211,-0.1260504201680521
212,0.1328764249248183
213,-0.0980049002450225
214,-0.0490264742961151
215,-0.049050522037694
216,-0.0701213098660643
217,0.161019322318671
218,-0.0315137084631926
219,-0.0315236427320402
220,0.1468942361499776
221,-0.0699986000279954
222,0.0209951711106254
223,-0.1928268414963203
224,0.2831771780170613
225,-0.9626274065685144
226,0.6509684159768562
227,0.0923361034164317
228,0.2722504704328009
229,-0.6974681502983463
230,-0.2911208151382819
231,0.1292198352447073
232,-0.8059920214931164
233,-0.4908778532275172
234,-0.3653980375251528
235,0.2758718952128979
236,-0.6029326962682231
237,-0.1485025987954845
238,0.1318282936475329
239,0.0987735616100011
240,-0.6878833084700798
241,-0.2575820523473222
242,0.5700594844679543
243,0.3786008230452624
244,-0.5378568473314073
245,0.0208479489589364
246,-0.4948453608247468
247,-0.3545951357890761
248,0.6753957073009015
249,-0.7682672233820473
250,0.2540220152413104
251,-0.0564812199943607
252,0.0141183114499578
253,-0.4111142614119535
254,-0.1704061346208528
255,0.2125549100184093
256,-0.4340710168647159
257,-0.1353854923756575
258,0.4363094604661126
259,0.024824455635149
260,-0.0212826333711699
261,-0.2845759817871411
262,-0.0035573263135395
263,-0.0249074864787906
264,0.0245456388802777
265,0.1140603347191224
266,0.1738081725312177
267,-0.1207472121599658
268,-0.1422576285653237
269,0.1704182347511248
270,-0.0213068181818189
271,0.212615166548535
272,-0.0993189557321129
273,0.2406227883934914
274,-0.2554278416347478
275,0.4958349861166204
276,-0.0760858777994512
277,-0.3818821810453723
278,-1.0672573499798654
279,0.067078078883836
280,-0.2016400053770744
281,0.1878438212800222
282,0.1674368762976358
