,ASML.US
0,-0.3003875968992307
1,0.6507759251415213
2,0.2087869860381703
3,-0.8917032825019502
4,0.1226202000645428
5,-0.0658710477371345
6,0.2435159058405146
7,0.3939938398357354
8,-0.0089843800136113
9,0.1384242703887467
10,-0.1488993004300214
11,-0.0835046248715284
12,0.2025692966486372
13,0.0448528186792796
14,-0.1193225558121713
15,-0.1451938273349859
16,0.0719027258837049
17,-0.042389210019273
18,-0.066196649035648
19,0.1020827448059733
20,-0.2652178391183367
21,0.0
22,0.4709153697806821
23,0.1784366645774417
24,0.0063951703673473
25,0.1020156893094465
26,0.1983604542981016
27,-0.0307289791833035
28,0.1411537787129493
29,0.332051730164294
30,-0.1312450783095634
31,0.165967854647088
32,-0.0658014809179183
33,0.0901945715583148
34,-0.2275750997829203
35,-0.2571190382168455
36,-0.061465513456561
37,0.1288411174695647
38,0.1710798833274177
39,0.1771039063182659
40,0.0829513206723462
41,0.1020568378081394
42,0.0697337912518919
43,-0.3744728507183205
44,-0.1186244608158222
45,0.0152571468609802
46,-0.1807493199964855
47,-0.3133416656397931
48,-0.0334577727689044
49,0.5011038301152914
50,-0.3632069722086712
51,-0.2627558814543274
52,-0.0856216745153292
53,0.2059842231343204
54,0.0137303960456507
55,-0.2140410958904074
56,-0.2467546400600815
57,-0.1488871834228745
58,-0.0076751861232565
59,0.1058208197900904
60,0.3803522600553036
61,0.0076373189955328
62,-0.0030550209268905
63,-0.6751041874913477
64,0.1504798464491391
65,-1.0488913714720152
66,-0.3409621672115919
67,0.2748148493176355
68,0.1844217834671203
69,0.2226689345910088
70,0.0189387351243881
71,-0.1133742976984567
72,-0.1951206500671939
73,0.0926823977813095
74,0.4089001357857194
75,0.0330825769889127
76,0.1421964321622488
77,0.5009110722069378
78,0.3205100353303266
79,-0.0505829366323712
80,-0.1606007180636549
81,0.340736103800023
82,0.2313631976381076
83,-0.4305060584461841
84,-0.0092667175148167
85,-0.7027593533752523
86,-0.0308763867446836
87,-0.0323229421060225
88,0.0818177903454916
89,0.3732410479350208
90,0.1064247705439098
91,0.0464053687442058
92,0.0299760191846412
93,-0.0957293288945347
94,0.0171426122483971
95,0.0856396568704447
96,0.129718325920853
97,-0.1041681530843788
98,-0.074257072272121
99,-0.1816881258941318
100,-0.1894978735080289
101,-0.3787096329959453
102,0.0842778761975213
103,-0.0671233348249606
104,0.3515872879757264
105,0.005144915108896
106,-0.1253498634888504
107,-0.722074732572913
108,-0.602891792667867
109,-0.1271777003484352
110,-0.6311360448807893
111,-0.6422471592914084
112,-0.4234810496659968
113,-0.0088602211511118
114,0.6575067555078118
115,-0.4056490384615312
116,-0.5759795207281535
117,0.7901234567901266
118,0.5472532098505586
119,-0.5502645502645511
120,0.0969077614307029
121,-0.5313966876273138
122,-0.2121220189755902
123,0.0124240138438898
124,-0.6727298717078202
125,0.0820113278146526
126,-0.3188070446072784
127,0.0012854957514353
128,0.0128533052274421
129,0.4593142272262067
130,-0.0435194429511343
131,0.3367776502104843
132,0.0726605223909199
133,0.0675159235668755
134,0.0420205518699197
135,-0.1555904146101984
136,0.0121141793281128
137,-0.0070139641650275
138,-0.0829610721123136
139,-0.0070202758330131
140,0.0414662464753603
141,-0.0849183698226883
142,-0.0070238171253513
143,0.0823024263265805
144,0.1408002038735862
145,0.0382116927779987
146,-0.1102985712190872
147,0.0305937091685533
148,0.0082851097458307
149,0.4416131570264737
150,-0.0243368216110939
151,-0.4121729497246705
152,-0.3679055545563058
153,-0.3527944603065359
154,-0.1660064758961869
155,0.4238952536824929
156,-0.2428140175876129
157,-0.0164090446654233
158,-0.3474337652928511
159,-0.4208246178267523
160,0.3123660699568097
161,-0.0849631688787313
162,0.0041242555718655
163,0.3288554187151619
164,-0.4841054788183118
165,0.0775948886430845
166,-0.0214670233495154
167,-0.2400145664012787
168,0.036402746752714
169,-0.1408450704225389
170,0.041407867494824
171,-0.3840782122904936
172,0.0149618472893983
173,0.1808768378082426
174,-0.1495712291431192
175,-0.4222972972973095
176,-0.7023731317773771
177,0.3514724281274862
178,0.3665900424225789
179,-0.3409546811769179
180,0.0887004662787805
181,0.0362678988797224
182,-0.1129609209004642
183,0.0235279882225552
184,-0.0396772024209763
185,0.1463892880645767
186,-0.0161188496514304
187,-0.1008444038078846
188,0.1510381354509998
189,0.1681544930462343
190,0.0335499430562086
191,-0.046916890080432
192,-0.0670690811535882
193,-0.1504607861576082
194,-0.1682074468800883
195,0.0853764293829355
196,0.0315860215053781
197,-0.0255441577822366
198,-0.1224929331000091
199,0.2336699613235938
200,-1.0320257135111968
201,0.0986517592897055
202,-0.4927736254337442
203,0.0806060017480969
204,-0.0427491595903906
205,-0.7005185402602454
206,-0.4461653366877705
207,0.8194027331098801
208,0.1977821011673228
209,0.186422246388076
210,1.4694627276901788
211,0.447627573858554
212,-0.0781577643066773
213,0.0799999999999922
214,0.4465682509884268
215,0.0748460445286559
216,-0.1024259782629243
217,-0.2986835096263697
218,0.265634486945958
219,-0.0031118151065675
