,MNST.US
0,-0.2066115702479469
1,0.3143631436314431
2,0.2918287937743147
3,0.1349236332235954
4,-0.2868586274085306
5,-0.3803107682277456
6,0.1919593957074761
7,-0.1297678838061495
8,-0.171326008919829
9,0.2712085050987198
10,-0.0434121988278774
11,-0.2393385552654469
12,0.3144995119835073
13,0.0975081256771434
14,-0.0216731686172475
15,-0.0650618087182848
16,-0.1629195177582336
17,0.065125366330188
18,0.1949951251218793
19,-0.1736299511665725
20,0.1192282679384342
21,-0.0108401084010895
22,-0.1574290212257706
23,-0.0706214689265512
24,0.1410437235542969
25,0.3967341306347733
26,0.3038119805101755
27,0.2116462647294386
28,0.1599086236436328
29,0.3505656855380351
30,-0.2487448653582879
31,0.1822323462414539
32,0.0682904620987961
33,0.577118931764179
34,0.1920036141856807
35,-0.191239207432315
36,0.0667194391043895
37,0.1580670655978168
38,0.1015113918339763
39,-0.0677200902934563
40,-0.0960289216516904
41,0.0733799954843054
42,-0.2489814395654129
43,0.0904568068747154
44,0.0226090888537147
45,0.1467434247657858
46,-0.0903852672014442
47,-0.1244343891402708
48,-0.1926782273603102
49,0.1697216564833576
50,-0.3864319450407894
51,-0.2582866982350354
52,0.0860215053763422
53,-0.1723395088323961
54,0.0376850605652722
55,0.1987964753922225
56,-0.4750593824228004
57,0.3121300182972684
58,-0.2265372168284722
59,0.1547762529929284
60,-0.2956681430269042
61,0.0485882416455236
62,-0.276093546990034
63,-0.0758478708419039
64,-0.2280625543006168
65,-0.1087192868014724
66,-0.0380662352493455
67,0.1357662647985228
68,-0.305044122453412
69,0.065323897659214
70,0.0217698922390445
71,0.3687235657737656
72,0.0325238508239387
73,-0.0108424590697071
74,-0.4684095860566523
75,0.2758261774655223
76,0.0883943427620567
77,0.1557470667635818
78,-0.1768254628666545
79,0.4967915545435768
80,0.1446878875568422
81,-0.1448975367418759
82,0.2374806401651933
83,0.1429033927698832
84,0.0632663575476475
85,-0.0412328625914772
86,0.0
87,0.1235457634098531
88,-0.1030609089972114
89,-0.1444937558055532
90,0.0
91,-0.1240053735661925
92,-0.0723888314374283
93,-0.176111053558481
94,0.1138245033112577
95,0.2065262288310645
96,0.072231967805173
97,0.2367716697549969
98,0.0514456219775667
99,0.0102880658436266
100,0.0575771533855333
101,0.2870593638764496
102,-0.1264658542193601
103,0.4121822761621243
104,-0.1836432480422665
105,0.034514390551531
106,0.3314285714285785
107,0.2337380993101856
108,0.3125710388724774
109,-0.056863414079378
110,-0.2451120104885178
111,-0.0285095221804147
112,0.5500425290615247
113,-0.0624148887880079
114,0.2151511720076975
115,0.0453876113326361
116,0.0112041647804456
117,-0.3065047110909252
118,0.316849609596018
119,-0.1643525077925874
120,-0.1362011236592592
121,-0.1306966700761553
122,0.1021798365122654
123,0.3338048090523357
124,-0.141643059490085
125,0.5135167040490947
126,0.6159441543966747
127,0.041046088894097
128,-0.1056586053063972
129,0.1874853527068157
130,-0.2938065577623692
131,0.1759737212576155
132,0.1347314158514546
133,-0.2407516147974143
134,0.0469538678248527
135,0.1055347091932497
136,-0.1526717557251855
137,0.7170757301929632
138,-0.274757395066058
139,0.3437226915234508
140,-0.0116529744217271
141,-0.0291409255157844
142,0.0233073068406899
143,-0.0597023279243746
144,-0.2916638404666554
145,0.1058411214953211
146,0.0817088829228521
147,-0.0467126007240526
148,0.1282948448798687
149,-0.0350017500875057
150,-0.2064095600217248
151,-0.174121231907712
152,-0.4481853957149065
153,0.0982854646718239
154,-1.0204644492249957
155,-0.2710176991150335
156,-0.1717546678486355
157,0.0609080841638899
158,-0.7587592055344706
159,-0.8098987626546669
160,0.5147717099373251
161,0.0771561797627197
162,0.2910023413981443
163,0.17807456872565
164,0.1611200622256905
165,0.072174106151452
166,0.0
167,-0.2169921548990234
168,-0.0835282325425867
169,-0.0111383381599522
170,0.2111815049460906
171,0.0721941467207172
172,0.0499555950266448
173,0.5849244012802132
174,-0.0110375275938246
175,0.3228157867333148
176,0.2441177998234035
177,-0.4015435961618743
178,-0.0156470035988114
179,-0.0417427602400125
180,-0.2668201318405458
181,0.3025245149175946
182,-0.1462599247806107
183,0.1668752607425913
184,-0.2457002457002451
185,-0.0575373993095434
186,0.0209183139838887
187,-0.0523231477605663
188,0.0575223552789756
189,-0.0575554625366184
190,0.0522957849597292
191,-0.0523231477605663
192,0.0418410041840921
193,0.0052298519951986
194,0.0313692685732222
195,0.0104553296042562
196,0.0887913924579629
197,0.0730688935281766
198,-0.0626697305201611
199,0.1980610862087062
200,0.2977589719479669
201,0.1512622574587899
202,0.0
203,0.2289758534554526
204,0.1351210892838535
205,0.0727046115496545
206,-0.166458593424882
207,0.0
208,0.1246882793017356
209,0.1348967521012863
210,0.0
211,-0.1038745195803558
212,-0.0259753753441648
213,0.0051948051948004
214,0.0830478563272067
215,0.0311332503113336
216,0.0
217,0.0829531314807116
218,0.0207339829981298
219,0.0518081027872877
220,0.0103605470368741
221,0.0621246634914084
222,0.0413992962119708
223,0.1033912324234846
224,0.1342281879194584
225,-0.1414871875491179
226,0.0261944677284068
227,0.1046682018003019
228,-0.010467915837962
229,0.0313938886563427
230,-0.0314037475138711
231,-0.1047888504663044
232,0.0104777870913567
233,-0.0629062696582116
234,0.0104832791697296
235,0.0837959568450804
236,0.1777498954412397
237,0.0731376031762545
238,-0.0261273971886831
239,0.0783208020050155
240,-0.1254705144291139
241,0.0940144155437202
242,0.0834985909612757
243,-0.0313217790770527
244,0.2083767451552436
245,-0.0312662845231903
246,0.0416710073965955
247,0.0208311634204876
248,0.0208268249505321
249,-0.0312500000000011
250,0.1454789615040235
251,-0.0111919418019083
252,0.2010499273986449
253,0.0334970969182683
254,0.2005794517494903
255,-0.1674294006027363
256,-0.1341231697775841
257,0.0223488657950564
258,0.0781598928092981
259,0.311665182546751
260,-0.2007584207004314
261,-0.100480071452499
262,0.15605841043362
263,0.1335856618056379
264,0.0278226030827507
265,-0.016696349065005
266,-0.284645867053647
267,0.3171247357293989
268,0.0
269,-0.0445285539352179
270,-0.1114454474534651
271,-0.2569832402234681
272,0.133898683329619
273,-0.3358710255262107
274,0.0783085356303919
275,-0.2555839537726458
276,-0.6261880800626054
277,-0.1680107526881784
278,0.0683895765778529
279,-0.3043673515212801
280,0.4582029503799852
281,-0.3589053387169217
282,0.0952434310045469
283,-0.06166610606571
284,-0.0897766805072363
285,-0.2305832067937667
286,0.073058334269976
287,-0.1125239113311514
288,-0.253821422528071
289,0.3596920137132663
290,-0.0900039376722712
291,0.1572591968548167
292,-0.0056167153448771
293,0.1346196993493432
294,-0.1066876298500745
295,0.106573928651558
296,-0.1348011682767968
297,0.2185731099030514
298,0.1175548589341578
299,0.0894854586129893
300,-0.1586089408447454
301,-0.0528976137298715
302,0.1174122343548297
303,-0.152869238005639
304,-0.1295184269398321
305,0.1176055509819996
306,-0.0823917137476546
307,-0.0824596536694465
308,0.1059072722993685
309,-0.0235404896421966
310,0.0352982703847524
311,0.0117647058823589
312,-0.0706380974805772
313,0.0
314,0.1821493624772326
315,-0.1530041781910144
316,-0.0294325406169127
317,0.0823432537348634
318,-0.0588512241054747
319,-0.0117716303707956
320,0.0353024240997895
321,0.0294100347038309
322,-0.0470782086741505
323,0.0411764705882312
324,0.0
325,-0.250239591097859
326,-0.3955527047252409
327,0.3515500159795443
328,-0.2991772625280491
329,-0.2248875562218975
330,-0.1716369877708609
331,0.4591564335291049
332,-0.1818570817287138
333,-0.1392608462774608
334,0.0214201563671524
335,0.0535217298223048
336,0.0214041095890368
337,0.0534816557920602
338,-0.0213972397560672
339,-0.3112255848894527
340,-0.1442300458483961
341,-0.0384904848940917
342,0.0
343,-0.507888480657012
