,CHTR.US
0,0.0304198648792093
1,-0.3827690035223179
2,-0.5440758564553757
3,-0.3985720225379536
4,-0.3712710998546633
5,-0.8724052837857441
6,-0.0537376730135222
7,-1.3759137790145584
8,0.2064385312743482
9,-0.1574640923004547
10,0.4366300366300393
11,-0.2408718385571169
12,0.0638489934609743
13,-0.0653594771241736
14,0.1759401803386748
15,0.0805742748315365
16,0.2695614695117982
17,0.2528491066483867
18,-0.1050389519446668
19,-0.1183086248448198
20,0.445678805900708
21,-0.0589253757402171
22,-0.3826549241262309
23,0.3695996973356756
24,-0.0553250345781459
25,0.6405143258247697
26,0.0191399770320282
27,-0.1357588922074432
28,0.5985267034990762
29,0.1656298292189973
30,-0.1985151069996426
31,0.6116328624417963
32,-0.4486935565702573
33,0.4624003787579815
34,-0.052106360133886
35,-0.0821744627054512
36,0.2757859900717043
37,0.3861791808605887
38,-0.3370768818813279
39,-0.1625015776852159
40,0.2847478958546284
41,-0.0393452943028013
42,-0.0425109820036814
43,0.1493522827317389
44,0.1726356759471278
45,-0.2012895109293871
46,-0.494650504922799
47,-0.5274445944872406
48,-0.122478844563227
49,0.0397500516750671
50,-0.5737016434491837
51,-0.9285251565536704
52,-0.4523032922537945
53,-0.0482260838812279
54,0.0963592271989832
55,0.1154814988180033
56,-0.2057353201202356
57,-0.2788613430478123
58,0.1022519584873136
59,0.5397310953978722
60,-0.2319645551738428
61,-0.4563706439180211
62,-0.3186980295725931
63,0.006470607266486
64,0.6716369946654772
65,0.4287725585562444
66,0.3189589180913498
67,-0.150135761060524
68,-0.1095272738901464
69,0.1604354905654346
70,0.2738243066832278
71,0.3980020613652566
72,0.3519638476640546
73,-0.3054917188366762
74,-0.2462662853511389
75,0.3096422058071052
76,-0.6444030688375649
77,0.0897133131918233
78,-0.4785513547908179
79,0.0622656757150652
80,0.109837757721717
81,-0.1378177095756756
82,-0.2084854923311931
83,-0.1636029900773994
84,-0.0199555656072599
85,0.1514326324039248
86,0.0677003132798949
87,-0.0278843728007909
88,-0.1729160293159266
89,0.1301823881826297
90,-0.0704543641825928
91,0.1082229525611731
92,-0.2863135466258403
93,-0.0779646560225927
94,-0.3034475383319718
95,0.1548256209708591
96,-0.1068904239541531
97,0.4138169625036609
98,0.1706903994952454
99,0.4067998412488334
100,0.0102088437755128
101,-0.1343536421519889
102,0.6384584131406317
103,0.3556866487377514
104,0.049135788195854
105,0.2867641760933798
106,0.3618246299194483
107,0.0186620729256381
108,-0.2395907530920269
109,0.0050361886124698
110,-0.1837983551849122
111,-0.119069955402896
112,-0.0917318540668979
113,0.2316808209355811
114,0.3758291933492323
115,-0.0819094971906551
116,-0.0891739899607353
117,-0.0007191502520615
118,-0.1202425010440269
119,-0.0807067606323872
120,-0.163120362618009
