,LULU.US
0,0.1881502190919147
1,0.3616006857020319
2,0.2002197338066673
3,-0.4899735403543208
4,-0.6836475519240233
5,0.622945532246577
6,0.5333511562625329
7,0.1388258536455086
8,-0.1202822623757052
9,-0.0909625983198758
10,0.058823529411772
11,-0.1311879200021442
12,-0.1662688728579486
13,0.1205335619006773
14,0.1417605049883728
15,0.0427773173274785
16,-0.0856278932862361
17,-0.0133811486377868
18,-0.2683411152256748
19,-0.0375818747986801
20,0.0978854070289792
21,-0.0657471017604134
22,-0.0187884155997512
23,0.2089192446765848
24,0.0428368718374255
25,-0.0023933178565423
26,0.6869176649553249
27,-0.1714285714285779
28,0.3594178143126547
29,-0.1734852715757361
30,-0.0677764565992925
31,0.1240551866255001
32,0.1287345960883908
33,0.0343838182637314
34,-0.0747517175096993
35,-0.0653020516717271
36,0.0189933523266818
37,0.3525041992949937
38,-0.0426025419516713
39,-0.0544662309368234
40,0.0023680409197584
41,-0.1517846555199912
42,0.1704666524611187
43,0.3585835948005336
44,-0.1441126441126473
45,0.0779018436769766
46,0.2049566528458359
47,0.0188430374976408
48,-0.1474282614079988
49,0.0035381530840868
50,0.3323463653393023
51,0.0498271150100299
52,-0.004529942922715
53,-0.2330790652621328
54,-0.5723331709693118
55,0.1944579484686395
56,0.0850030358226996
57,-0.1642036124794635
58,0.1063151180097706
59,-0.1795386768912345
60,-0.0045647509928291
61,0.2322615903087671
62,0.1000909918107322
63,-0.0546249089584871
64,-0.1215362177928953
65,0.1001669449081754
66,0.1182391462527244
67,-0.1001487056538448
68,-0.0637716368053384
69,-0.0607718018839223
70,0.1304888780990957
71,-0.202210633542628
72,0.0896220682950589
73,0.0425144245368923
74,0.1516070345664039
75,0.7936507936507955
76,0.008125457056952
77,-1.4313186813186758
78,0.6441751282891183
79,0.2070167792547371
80,-0.2265964126784744
81,-0.2092880103960175
82,-0.047899274668114
83,-0.0794389963293761
84,0.4499468244661933
85,-0.2487698195735287
86,0.1474040508816846
87,-0.0354987575434847
88,-0.1750690702191061
89,-0.4782453343594561
90,-0.0477098580666068
91,0.2149873778948533
92,-0.087883115456441
93,-0.0329670329670342
94,-0.2644336712207965
95,0.2527750302230902
96,0.0494315373208125
97,-0.1733102253032916
98,0.2305475504322854
99,0.3037268100475994
100,0.2926682842634412
101,0.5893469935843251
102,0.068337412869807
103,0.1005411846482232
104,0.2236929222033604
105,0.0190440812283366
106,-0.0087922539004823
107,0.5114084368223873
108,-0.1826709454455572
109,0.1208116570921256
110,-0.4035052975542121
111,-0.3552530246192847
112,-0.1231236086410256
113,0.0844982913948369
114,0.0881483872569756
115,0.0
116,-0.0186263674858242
117,-0.0434804213873868
118,-0.2305541817269095
119,-0.2582143213822027
120,0.0723534841945112
121,0.1569350338780379
122,0.0087178529173734
123,0.1802585778219706
124,0.131601817594922
125,-0.3497978119030551
126,0.3387232359194987
127,0.0271893615443591
128,-0.4855755498428981
129,0.1240340845664388
130,0.0805572080111016
131,0.0198255352894488
132,-0.2160685458835227
133,-0.0658573256955369
134,0.2318258454824958
135,0.1386550460532837
136,-0.0619379134355721
137,-0.0967165955758323
138,0.0495736664683691
139,-0.0322332696932869
140,0.0966063908843166
141,0.0074307086419214
142,-0.0892480848848485
143,0.0470809792843685
144,0.0470588235294112
145,-0.0446019277944363
146,-0.1762398848235068
147,0.2352591565340107
148,-0.0148606811145516
149,0.1730745456793148
150,-0.2344086021505322
151,-0.0043012602692549
152,0.2124600296156424
153,-0.0988163519580753
154,0.4576071848604697
155,-0.1198912415166247
156,-0.2532677985018458
157,-0.4116379310344881
158,-0.0344946533287394
159,-0.0280347631062507
160,0.1087857996833354
161,0.1924275977725782
162,-0.0430190789615169
163,-0.0968867071437896
164,-0.3337545769741656
165,-0.0897297297297341
166,0.0885701324231546
167,0.2564102564102559
168,0.07858503870043
169,0.2266282866471917
170,0.5341652066151019
171,-0.1390761067248598
172,0.0213917470639875
173,0.0320773277447451
174,-0.059913553301671
175,0.2267214710026049
176,-0.5402958484835276
177,-0.5240443896424074
178,-0.3151229568546585
179,0.3346150459361843
180,0.2780704835499322
181,0.0906565287322714
182,-0.1493673851921248
183,-0.1231599319688041
184,-0.1644833460612119
185,0.3271877312798142
186,0.1818819403857307
187,0.304447260703001
188,0.0771447701668033
189,0.1743628490889607
190,-0.3323905880980803
191,-0.0437547400968537
192,-0.0145870408728918
193,0.2560744943983691
194,0.1539891917020249
195,-0.1717162897639721
196,-0.2049653647030183
197,-0.4768211920529849
198,-0.352878903722869
199,0.2054231717337682
200,-2.420914309426644
201,-0.8720524626761545
202,-0.1729650400964427
203,1.830063117453341
204,0.3299314494760523
205,0.2098259979529202
206,0.0511508951406572
207,0.7765314926660968
208,-0.7448186528497417
209,-0.7694421544380355
210,-0.3273942861081396
211,-0.3041930243008729
212,-1.009078212290518
213,-0.7563764291996402
214,0.5666911533214414
215,-0.7240632101897386
216,-1.1877704036066312
217,0.4000213060615821
218,0.7401924500369976
219,0.2426160337552735
220,1.1212516297262138
221,-0.6914055662524148
222,0.3523337752040911
223,0.2088700132284223
224,-0.7293639105126531
225,0.2010050251256296
226,0.9218810227418748
227,-0.2059997425003174
228,-0.586007057985561
229,0.2905381412015292
230,-0.3043745750089038
231,-0.2109156986176835
232,-0.3582128435586892
233,0.058582308142943
234,-0.2119956948566508
235,-0.1208202716823421
236,0.3384535277271425
237,-0.1303441084462908
238,-0.003258708899531
239,-0.344979808053891
240,0.1110548578334422
241,-0.0539233308277929
242,0.3143783290710283
243,0.0927613591980292
244,-0.0293016441478208
245,-0.0749380946174773
246,0.1886178861788566
247,-0.1530795036315758
248,-0.1010693792383755
249,-0.2221931773624385
250,-0.2711926381863569
251,0.3310353205575895
252,-0.718830294873353
253,0.617115063079487
254,-0.130890052356023
255,0.1519664458087654
256,-0.0608235508788968
257,0.0334417657252344
258,0.0212765957446787
259,-0.2681945629647675
260,-0.186253854844131
261,-0.0366535324841945
262,0.04884750419784
263,0.045773573390289
264,-0.2876729097808782
265,0.0575626353043065
266,-0.352424800491091
267,0.3075228347179496
268,-0.1348183781961907
269,-0.0812634161300172
270,-0.018402649981598
271,-0.3786829223238256
272,-0.0748689792862475
273,-0.2647431342868702
274,-0.1794943211710407
275,0.6130124106807195
276,0.0375939849624003
277,0.2649602559616063
278,-0.2367738621700495
279,0.0413243838909947
280,0.3916677061244979
281,-0.1799415190063297
282,0.301490008471615
283,-0.1872238448288774
284,0.0249569492625278
285,-0.0936762299688994
286,-0.0112424113723276
287,-0.0497411709421466
288,0.0497164414020424
289,0.0973393900065
290,0.0673434265333055
291,0.1282865647847118
292,-0.3236286392602814
293,0.0973685524541976
294,0.0024965672200701
295,-0.0524554128990449
296,0.0474371457818385
297,0.0499089162278954
298,-0.0824175824175926
299,0.1072773993962544
300,-0.5059807346247457
301,-0.5088961065490136
