,IDXX.US
0,0.5961914931482444
1,0.7017207990633885
2,0.0213489597903525
3,-0.2849717981277594
4,0.0206672571597263
5,-0.2204435501768
6,-0.5264958281898305
7,0.228517161045238
8,0.0014838556505209
9,-0.2275465131843086
10,-0.0089241890143152
11,0.1440665379474103
12,-0.0222832949565441
13,-0.2965015793551477
14,-0.0059601859577964
15,-0.2689296599533787
16,0.1700325149897065
17,-0.1000313531106873
18,0.0723583603744752
19,0.0797543268585692
20,-0.2810458493414849
21,0.1984304598215679
22,0.0357941834451915
23,-0.1508611032278287
24,-0.2365588178048002
25,-0.1435424422588908
26,1.14616328249446
27,-0.0073242634537497
28,0.0036619976196982
29,0.2666131005642768
30,0.7071494623850841
31,-0.104368028896339
32,-0.1772856207724032
33,0.1887477313974525
34,0.0625742502425935
35,-0.3357597816196592
36,0.1861859134462517
37,0.0608139999273928
38,-0.0090775403496792
39,0.0879746778040819
40,-0.0499074443758806
41,0.2335644837138497
42,0.0524791892870208
43,-0.0742498053206266
44,-0.2647385661265523
45,0.099405021041939
46,-0.0526325341657677
47,0.0380986937590777
48,-0.0935198888657036
49,-0.1555026098975873
50,0.3088095561286904
51,0.5702331545028166
52,0.3580614251853338
53,-0.6624869913952778
54,0.2523419697864806
55,-0.2945607827868174
56,-0.059285859475578
57,-0.2632428117729095
58,-0.1360521079573399
59,0.3153237153949198
60,-0.2481263064869796
61,-0.04505691623664
62,0.1705847407281669
63,-0.0033948364537507
64,0.2581879438927931
65,0.4458115624473254
66,-0.0910992644577845
67,0.0851221629457317
68,-0.12235460897155
69,-0.2520937314947989
70,0.0050754550991551
71,0.0033835222466556
72,-0.2017256869692079
73,0.1066820198462416
74,0.281994562739581
75,0.0259652981427286
76,-0.3362471895751645
77,-0.6014106764309083
78,0.160082504059779
79,0.1022557778358798
80,0.1144261413815619
81,0.2237427877431743
82,-0.1803917956276029
83,-0.0214981112373677
84,-0.0399410102003181
85,-0.1045703389309318
86,-0.0623196768609306
87,0.1498041023277287
88,-0.0276637927059897
89,0.1289312520145557
90,0.1310309814385992
91,0.0880938524213724
92,0.1819210248727227
93,0.1023213194868599
94,-0.0626537691590593
95,0.0137513751375186
96,0.1784488675360267
97,0.0990400731372813
98,0.2477467207757657
99,-0.3431551976573939
100,-0.2871477197567266
101,-0.117901673234708
102,0.3765084473049126
103,0.1654538737088932
104,0.6844070067962217
105,-0.0031908104658735
106,-0.0031909122818184
107,-0.1389976194660581
108,0.0103838012700274
109,0.3018140697915144
110,-0.0509919528324516
111,-0.2411986454539631
112,0.0909656724278339
113,-0.0926473172212259
114,0.1228462029355427
115,0.2260354652828742
116,0.0985942370078246
117,-0.0525051311832812
118,-0.1593600101990406
119,0.0111539564677092
120,0.0253130720431541
121,-0.0074718173881357
122,-0.0586618716962928
123,0.2351294722905925
124,-0.1341645964711084
125,-0.43147109241079
126,-0.96766580127449
127,0.4912418044818458
128,-0.1843101115664394
129,-0.1295769117502637
130,0.5971780410218274
131,-0.3348345408263128
132,0.1798209608693983
133,-0.1722990171124242
134,0.478298095887998
135,0.4452850685755247
136,-0.0834854191744774
137,0.2614201893844083
138,0.3684982250347434
139,-0.3834682573498117
140,-0.0426257459505594
141,-0.0659195781147062
142,-0.0271507253122306
143,0.073640556567574
144,0.1547927711775991
145,0.0850829205654787
146,-0.2480910112794968
147,-0.0688290775604297
148,-0.1992032646715802
149,-0.4371925989538623
150,-0.4549700623444002
151,-0.0988610384528285
152,-0.0845151715039512
153,-0.0639425754419261
154,-0.0887732771790756
155,-0.4885638711685116
156,0.0020745381559529
157,-0.1495901852217419
158,-0.1472095212829557
159,0.2040117112066195
160,-0.0402371185653023
161,0.1159236858212877
162,0.0694602832320878
163,-0.0290366068650924
164,0.0445720564303031
165,0.1535684959167395
166,-0.2254885689390511
167,0.1818189348475336
168,-0.4969719672847669
169,0.6492298149488238
170,-0.0817373850244657
171,0.0568734101296666
172,0.272249149221419
173,-0.3643213479889974
174,0.1137209494665477
175,-0.2641011129975549
176,-0.6469986855557105
177,0.0467139645557701
178,0.1166486833279968
179,-0.3798163123422046
180,-0.4550600620469656
181,0.5875904406928278
182,-0.0358236889626489
183,0.2166649644727839
184,-0.4160867335726367
185,-0.0285774999816717
186,-0.2556511390433665
187,-0.0919131163693583
188,0.092562663453909
189,-0.2075941166943902
190,-0.2146793457812986
191,0.0552991314349755
192,0.1883987577456871
193,-0.0427023206502479
194,-0.1888351233329359
195,0.2589758681577385
196,-0.1193299842366651
197,-0.0073665910363253
198,-0.1091445427728627
199,-0.2217294900221729
200,0.6253899618381452
201,0.0101561139806235
202,-0.1962523077817707
203,-0.2083151239693427
204,0.2122339806954185
205,0.3693136559155456
206,0.1265648843920184
207,0.2438549279617827
208,0.0302923208966579
209,0.0014424706637515
210,-0.0613426092980896
211,-0.0158794318050602
212,-0.0592220248154846
213,0.1183039256705163
214,0.1803760895471954
215,-0.0262892538173443
216,-0.0677497008922819
217,0.0547463658497926
218,-0.0432395036105083
219,-0.091607458434016
220,-0.1300061391787912
221,0.2133317958068797
222,0.0828136476891457
223,0.103589669807915
224,-0.1931642905536777
225,0.2152408190945029
226,0.4783074372405042
227,-0.1616529751495323
228,-0.364306784660771
229,0.0486488877095279
230,0.0324220764866131
231,-0.0227595815774762
232,0.5051625014666324
233,0.0175963399612887
234,0.1888035126234853
235,0.1519823466658819
236,0.1604051652972835
237,-0.2426981410790816
238,-0.1244728209934428
239,-0.0652076754562779
240,0.0314949095436946
241,0.1126686371484565
242,0.1548620850864976
243,-0.0760278378852537
244,0.0211955767024041
245,-0.0702139330773476
246,-0.1457597820195427
247,-0.0835703603788596
248,0.1376281112738001
249,-0.130477488968053
250,0.3104191147669479
251,-0.202131208666136
252,0.3539247436201593
253,0.3352367959462097
254,0.3050498377601058
255,-0.7911795233339137
256,0.031324027486839
257,-0.2381979378157867
258,0.0360561833019498
259,0.049018646693202
260,-0.0304008002275103
261,-0.1758487896887847
262,0.0530212281287509
263,0.1078896779002617
264,-0.3933177728745369
265,-0.1228014827667765
266,-0.1065887647546525
267,-0.4660201875979183
268,0.0188355655130763
269,0.0515234084716355
270,0.4370215452608268
271,-0.0434250523074435
272,-0.3665035560750486
273,0.2135020262923872
274,0.0395217863847423
275,0.6801034872732321
276,-0.0030985173594406
277,-0.0154949873715888
278,0.2180030303967297
279,0.3359220907297928
280,-0.153557676726367
281,-0.1313522326016276
282,-0.13849772523289
283,-0.0665851128075788
284,-0.2499301437486438
285,-0.0380473184405265
286,0.0364810531381488
287,0.2222721323409916
288,0.0441251606310622
289,-0.1162538363766004
290,-0.0282188917728001
291,-0.0400186133085038
292,0.0480612703678928
293,0.1408843200396284
294,0.0417833764063349
295,0.0324876237623642
296,-0.0619195046439593
297,-0.003870118812644
298,-0.0092891479529131
299,-0.1372029207943802
300,0.2037078567690872
301,-1.0004152667144983
302,-0.4665098991124787
303,-0.2357055961070576
304,-0.268740351077836
305,0.1522446571640756
306,-0.3140361762038814
307,-0.9520413964558726
308,0.0077082430023536
309,0.2906208718626243
310,-0.4405052542193026
311,-0.3359668486890542
312,-0.8652512744389442
313,0.2386913866508233
314,0.7570630209038276
315,-0.0754731586484472
316,-0.5174291938997759
317,0.7375941301409417
318,0.2500201753434724
319,-0.547688672850853
320,-0.0949833294564645
321,-0.4048267808485872
