,EBAY.US
0,-0.7295466388744167
1,0.6985769728331197
2,-0.608073635218293
3,-0.2341276743781508
4,-0.366620111731845
5,0.304586197893999
6,-0.4985132062270361
7,0.2616887648290275
8,0.6585788561525174
9,0.1902784985296651
10,0.550490280405987
11,0.1374334306820104
12,-0.0859697386520018
13,-0.0171969045571762
14,-0.0344056425253673
15,0.1545860529027762
16,-0.7179309748291656
17,0.0777873811581706
18,-0.2078641953923515
19,0.6368330464716085
20,0.4199160167966362
21,-0.1802884615384561
22,0.0
23,0.1885175664095962
24,-0.4648760330578566
25,0.1753770606804654
26,0.8002783576896204
27,1.0841507485802833
28,-0.0774993541720515
29,-0.45847750865052
30,-0.0865800865800816
31,0.1728608470181528
32,-0.2425922717033453
33,-0.2780191138140812
34,0.3079971867973573
35,0.2371036032143783
36,-0.0605222203008882
37,-0.4167390171904755
38,0.0347161951050095
39,0.0347041471455893
40,-0.2435206122803976
41,0.1129354530449096
42,-0.0085143205659055
43,-0.4016057250623318
44,0.2004004526856538
45,0.1304121022430807
46,0.2687938957773366
47,0.0433350667360003
48,-0.0346800762961609
49,0.0346680533887953
50,-0.7234581298607318
51,-0.0361859960195332
52,-1.153001464128848
53,0.3101623791278994
54,0.3092033466715071
55,0.3534209333937477
56,0.2260397830018083
57,-0.6369426751592253
58,0.7406069364161788
59,0.3061408247794016
60,-0.908595311648192
61,0.1089126883281943
62,0.5775130842808035
63,-0.2170374389582156
64,0.1084010840108442
65,-0.4172714078374528
66,-0.0907935355002672
67,0.4159132007233217
68,-0.0814405936114281
69,0.0271394970146563
70,0.3605552550928353
71,-0.2530272908006516
72,-0.3263825929283766
73,0.054367524465388
74,0.3251445086705197
75,-0.6576886940181674
76,0.2109539807797453
77,-0.3449627597020758
78,0.1331036642655823
79,0.374414976599056
80,-0.0156030581993928
81,0.1557875058420226
82,0.3415618692749556
83,0.1704897706137623
84,0.0619578686493281
85,0.1855287569573354
86,-0.0464037122969855
87,-0.0772444624698848
88,0.0153227054635533
89,0.1438880053660594
90,0.4491114701130829
91,0.3156402988920326
92,-0.1087056655919016
93,-0.0537675704739174
94,-0.0845633456334449
95,0.0537840952746778
96,0.0076828518746088
97,-0.0845828527489313
98,0.0537964955425708
99,-0.2774352651048194
100,0.3779527559055149
101,0.172928784782266
102,0.2117813161816581
103,-0.196479094624332
104,-0.204756654591267
105,-0.300157977883104
106,0.1041568033330216
107,0.2188804031178692
108,0.0078727759407895
109,-0.1577038322031247
110,-0.0157728706624574
111,0.1417546070247337
112,-0.031510950055149
113,0.0551137705692523
114,0.0549261172900813
115,-0.0628346456692959
116,0.0629524708844808
117,0.1257466205595697
118,0.0392803833765506
119,-0.0392958189248753
120,0.1726031696218412
121,0.328432905849235
122,-0.1723327588908028
123,0.0156641604010105
124,-0.0156666144446265
125,0.1988704160369103
126,-0.535828534868832
127,0.2552648372686608
128,0.0797066794197308
129,-0.1916626736942939
130,0.0718218817333041
131,0.1195600191295962
132,-0.3198464736926207
133,-0.1200864622528265
134,0.3430668581458487
135,-0.4971135343168734
136,-0.1445318773084893
137,-0.138621312946467
138,-0.2156325543916209
139,0.112685125563426
140,0.2248634757468689
141,-0.0642880102860802
142,0.0642467073562466
143,-0.3384367445608394
144,0.0966028014812466
145,0.0160978750804861
146,0.1767636188333592
147,-0.0723647181796166
148,0.0080398777938502
149,-0.3388189738625377
150,0.0083619031691655
