,VRTX.US
0,-0.5768195452098341
1,0.5583031662672712
2,-0.5382407217551686
3,-0.3394712478140237
4,0.2897658794266359
5,-0.0230840258541171
6,0.0845698470054545
7,-0.0179422771312844
8,-0.0461585803672189
9,0.1433985455290388
10,-0.0666222518321096
11,0.1126183772715632
12,-0.0409689148358601
13,0.2452107279693434
14,-0.0511116790186528
15,-0.0554869426694549
16,0.2695465905033813
17,0.2188295165394436
18,0.0965987086277887
19,0.1877600730741929
20,0.0583238240142051
21,-0.0177538804910342
22,-0.0913891145410125
23,0.0507459656957243
24,0.4294881511798264
25,0.0363116907054979
26,0.0368510755907745
27,-0.1291453346247872
28,-0.0600424866358156
29,0.1175928273445957
30,0.1266055890612797
31,-0.0829378426945615
32,0.1127603267748266
33,-0.055260067693585
34,0.1172899130674741
35,-0.0975146202869003
36,0.0238434982738715
37,-0.1013684744044596
38,0.0368476808990891
39,0.064441887226691
40,0.2342027920646541
41,0.1879268460374921
42,-0.0940517973068997
43,-0.1815507652709519
44,0.1468630960576406
45,0.1283402850987767
46,0.1373186249828404
47,-0.1145632847585006
48,0.0984274498134472
49,0.0754803293687063
50,0.8271164450210817
51,-0.2229136673942273
52,0.2224178675686899
53,-0.2461910070605728
54,-0.2608047690014913
55,0.4035437636254022
56,0.4456142781279598
57,0.2969613259668424
58,-0.4904228740631083
59,-0.1861049372272444
60,-0.1153185762680303
61,0.1089349866728405
62,0.0579105860551308
63,0.1895866087117343
64,-0.1157353826211749
65,0.2078906033447367
66,0.2258584927402538
67,-0.154652263231992
68,-0.0346356331393816
69,-0.2082465639316899
70,0.1340234772160052
71,0.1292347456844831
72,-0.0092319054652927
73,-0.046180844185829
74,0.1337453304432138
75,-0.3466119898457371
76,0.4084014002333738
77,0.1189753551050161
78,0.1236783393151593
79,0.016972577164608
80,-0.1140887464802474
81,-0.1409888667412086
82,0.1940899606967857
83,0.0824202462910828
84,0.2176962894876963
85,-0.0387165464840596
86,-0.0629539951573827
87,-0.1746385951295302
88,0.004850836769352
89,-0.106832418783081
90,0.0249051734307908
91,-0.1075524883359319
92,-0.0778210116731501
93,0.1360015543034783
94,0.0436956838374537
95,0.014563106796117
96,-0.2408700518235588
97,-0.0170341169027091
98,0.2035077153223393
99,0.685446915247693
100,0.4549862012381552
101,-0.0198940641086176
102,-0.1183105492577139
103,-0.068463799890385
104,0.2435629784272835
105,0.1092353525322735
106,-0.2246844340714213
107,0.3725830441249345
108,-0.0893211591901441
109,0.2968533544429024
110,-0.3350790538360403
111,-0.0919208983404562
112,0.0943162074956553
113,0.0545743203016539
114,-0.1216998236594414
115,-0.166683252064886
116,-0.0796733393088321
117,0.1541291701884364
118,0.0248533651456463
119,0.0794675672990943
120,0.1363985814547557
121,-0.1166948058397128
122,-0.2114901346072418
123,0.3100506002579621
124,0.7337371349780769
125,-0.5604503799449573
126,0.3546991346347273
127,-0.2395541770683583
128,-0.7853003964623297
129,-0.4134129536058807
130,-0.0382936355977723
131,0.0278189674314
132,-0.015060240963862
133,0.0153131539992859
134,0.1121704991587206
135,-0.1122964626614256
136,0.2063010977255946
137,0.072636501394443
138,-0.2309634958291845
139,0.2519083969465672
140,0.4180919802356461
141,-0.1751446847395669
142,0.2355086226544118
143,-0.2258883248730929
144,-0.0507872016251875
145,0.0050784622416286
146,0.02538586515029
147,0.0203045685279147
148,-0.2238502238502226
149,-0.0610873549175343
150,-0.0374411638853194
151,0.0267365381530308
152,0.1495007742004384
153,-0.0801538954793233
154,-0.2947639208960732
155,0.0937006398415029
156,0.0347909864582915
157,0.085566073052033
158,0.0320769847634334
159,0.1867662753468486
160,0.0639931740614358
161,0.0799275323706384
162,0.2126867655660157
163,-0.1491027211246611
164,-0.1012793176972269
165,-0.0159940288958794
166,-0.1200992820731774
167,0.0720076808192825
168,0.0586385201769889
169,0.0985221674876859
170,-0.0346278834372157
171,-0.2349548779836587
172,0.0373652183196291
173,0.1917954182205568
174,0.3186404673393641
175,0.1458102914614512
176,-0.3834959938097533
177,-0.3934245476870629
178,-0.0877831004991153
179,-0.4965468568835939
180,-0.1919288852972349
181,0.0050505050505004
182,0.1613553852359788
183,0.1309296001611538
184,-0.0151095441954173
185,0.1533780895627358
186,-0.0477963372912049
187,-0.1208946201893918
188,-0.1766160367361471
189,-0.2073220064724902
190,-0.0607164541590794
191,0.1968894596220123
192,-0.1314152803761883
193,0.0808366594250475
194,-0.1517988159692412
195,-0.0607564173965898
196,-0.1851429151132317
197,0.0126794137038987
198,-0.3971688986200932
199,0.3602232369355697
200,0.7996085904104568
201,-1.3889614119367115
202,0.3278859165192024
203,-0.2138423825170795
204,-0.1776477349913806
205,-0.1072259853021858
206,0.1592772468536251
207,0.0834855204800399
208,-0.0783289817232405
209,-0.1411912356847828
210,0.2243556297610387
211,-0.2407954828357344
212,0.0341933965963362
213,-0.138743455497375
214,0.0732447420738654
215,0.1097465377580391
216,0.0365688015881272
217,0.0
218,0.0261137515015466
219,0.1251890876845282
220,-0.0897994131712751
221,0.0480091843656966
222,0.1823106573601387
223,0.0832726137191613
224,0.0624154790388039
225,0.7223183391003406
226,0.5805203182111471
227,-0.1205493606578555
228,-0.5106235665757959
229,0.4608890420399695
230,-0.3804911795226545
231,-0.0908815510451412
232,0.0259594167784373
233,-0.2254889206886005
234,-0.0737719145981669
235,-0.3134250391781294
236,-0.3933222620400339
237,-0.1531929793845994
238,-0.1666009031522624
239,0.5016576513697459
240,-0.1704173039108651
241,0.0218435998252561
242,0.3352636391344024
243,-0.0283094880337961
244,-0.0065333856004121
245,0.3926332458404742
246,0.2617914322803936
247,0.0086102494852268
248,-0.5043920681857685
249,-0.3885275243375452
250,0.1131904618170813
251,0.4307753957122747
252,0.1350607773498125
253,-0.037530963044506
254,-0.1628991028018731
255,-0.4683251082686969
256,0.0905614811833258
257,0.3059637859256727
258,-0.3877139979859065
259,-0.0982838134119569
260,0.1735849056603768
261,0.4507888805409495
262,-0.1354198013842964
263,-0.0903614457831359
264,0.005019828321881
265,-0.3223044770106334
266,-0.3765954757993199
267,0.2093422114608658
268,-0.1060445387062606
269,-0.08086117147622
270,0.085841244193086
271,0.5823293172690747
272,0.2553702869160379
273,-0.4526935264825741
274,-0.2420208743004032
275,-0.1904941087933026
276,0.7492647402082154
277,-0.1074866809982326
278,0.6223295560096617
279,-0.5369566232432207
280,0.3350551444925305
281,0.704664648938385
282,-0.0069316081330805
283,-0.1295576531556548
284,-0.3319328706390304
285,0.1552795031055937
286,0.7977928497528384
287,0.1033532384014673
288,0.0505027317386775
289,-0.0735125201010781
290,0.27509686121996
291,-0.3727005150846282
292,-0.0782436599622531
293,0.0288957764313447
294,-0.3376246240215347
295,0.0223863374105785
296,0.078406051102291
297,0.1565665868484082
298,0.13795640577578
299,-0.3414544112218572
300,-0.1123054708807848
301,0.1281845858035468
302,-0.466838377334179
303,0.0321853878339093
304,0.0911088482769794
305,-0.0911919321961248
306,0.0821660977213789
307,-0.1762731885419659
308,0.0777938730618497
309,-0.0644226123369174
310,0.0590192080695274
311,0.0402241827786956
312,-0.1692274631997561
313,0.0
314,0.2304764967572529
315,0.1498528231201504
316,0.1656336824107727
317,-0.1712695354313815
318,0.1229486288555031
319,0.048087198119258
320,0.0640751815463501
321,0.1546089459934915
322,-0.1174272751534555
323,-0.0053378883313712
324,-0.090826521344241
325,0.296133808609812
326,0.254355495993219
327,-0.4643622575149744
328,-0.0769949953252963
329,0.1482701812191004
