,WDAY.US
0,-0.0567214974475414
1,-0.0212750868732722
2,0.0035457220862996
3,-1.1403980634749684
4,-1.260076984530477
5,0.4424018912256083
6,0.0709176300578063
7,-0.8121790435954467
8,-0.0619533527696851
9,-0.069289960249443
10,0.417635095874504
11,0.1993403646116528
12,-0.2579941860465248
13,-0.1346286795473582
14,0.1852255393331847
15,0.1088376142794991
16,0.3650822338695069
17,-0.1085579880586048
18,-0.4069323838244393
19,-0.5626804048375974
20,0.065724613867896
21,-0.116980442332295
22,0.0803594257953649
23,0.0365136743710602
24,0.1167073926839028
25,0.7500725208238375
26,-0.3284550141360352
27,-0.1499000666222575
28,-0.2965128419294249
29,0.6431535269709591
30,0.0829187396351528
31,-0.2514599222760197
32,0.4077324281811464
33,0.4245496888009567
34,0.2774523706763602
35,-0.4106649056915285
36,0.0
37,0.0082538896454996
38,-0.4518696625487121
39,-0.1744186046511575
40,-0.37097244800134
41,-0.3052094656743832
42,0.1294417303436478
43,0.0542525665637239
44,-0.1713975168262182
45,0.2689124679493785
46,-0.2172686819729591
47,-0.1108461956749131
48,-0.2078179451089022
49,0.0317619945526985
50,0.4632348143798515
51,0.2494793474487975
52,-1.2031263721787917
53,-0.2332643809691479
54,-0.0440315265730237
55,0.4471134879235444
56,0.0131486676016835
57,0.1444264519235032
58,-0.2588854760860041
59,-0.2198768689533861
60,0.418208491165065
61,0.1661311124226829
62,0.0240395122164335
63,-0.5250554713416345
64,0.0812187198173686
65,-0.2552816901408505
66,-0.4198895027624259
67,0.536334461687255
68,0.4289778945064521
69,0.1965923984272682
70,0.187502725330313
71,0.0392293609972866
72,-0.2928961748633825
73,-0.0131164742917108
74,-0.0043723492632551
75,0.5320771342393308
76,0.0592728073295098
77,-0.2223429172748666
78,0.0237561935790572
79,-0.037345102699037
80,-0.5976775956284153
81,-0.0341646737273736
82,0.648314721156792
83,-0.1717073834174854
84,-0.1754146939609807
85,0.0782792185691982
86,0.4573635532066343
87,0.2062343633781719
88,0.2999966292513712
89,0.1632144840234749
90,-0.0488199050536957
91,0.2351281448389334
92,0.0335784560625978
93,0.057050808779118
94,-0.2658232107406105
95,-0.2969862643852706
96,-0.2758083893128471
97,-0.0135384407100981
98,0.018611891306557
99,-0.1016225737610553
100,0.3449911596015279
101,-0.4940411700975022
102,0.5987766003273828
103,-0.6765547749154193
104,-0.9102844638949728
105,0.7643533397029406
106,-0.4800139640425878
107,-0.0436566838382931
108,-0.5663608025639865
109,-1.4249454513069495
110,0.7096275008290122
111,-0.1549872689029216
112,0.0862755508362187
113,0.506228815424562
114,-0.1366481530459198
115,0.7177242888402566
116,0.0524888461202014
117,-0.3886095681384025
118,-0.6163294159229522
119,0.2402097979152379
120,0.0924723133490424
121,0.6279263116439865
122,-0.1697621707817126
123,0.2131391330971459
124,-0.2675203929479805
125,-0.1640224142587142
126,-0.0151926940022673
127,0.3046112420060685
128,0.4148654360477946
129,0.2615338325755618
130,0.4559219940763435
131,-0.3841785260907444
132,0.4820638984008927
133,0.0896831196439187
134,-0.0232565865975591
135,0.046491548500643
136,0.0464699439041346
137,-0.5574098798397726
