,TMUS.US
0,0.3027881744396311
1,0.3227699530516474
2,-0.0503271263210889
3,0.1256597134958579
4,0.2673573397944633
5,0.0501043841336135
6,-0.3435562259091642
7,-0.3278688524590168
8,-0.0336388865528603
9,-0.0589027263547569
10,0.1512350865400711
11,-0.2949355355186604
12,-0.0505859539667838
13,0.1010696538364394
14,-0.0421300977418243
15,0.3944607637431799
16,-0.0167883824393605
17,0.0083934866543605
18,-0.151311365164767
19,-0.0252249222231454
20,-0.0673117374842343
21,-0.0252482747012297
22,-0.3293084522502629
23,0.3366153328284031
24,-0.1601483479433561
25,0.3666422238517318
26,-0.2740641711229923
27,-0.3017096882333145
28,-0.2587974321917248
29,-0.0100840336134362
30,0.1543831386763255
31,0.0234875683655984
32,-0.0100671140939505
33,-0.2388240438628879
34,0.1846629062583785
35,0.0536912751677936
36,0.0737710415129861
37,-0.0134147159433967
38,-0.2083613388896372
39,0.0470272085992564
40,-0.0874125874125843
41,-0.1414046192175664
42,0.107620905360864
43,0.0605001344447455
44,-0.3101820633850165
45,0.134680134680127
46,-0.0404203718674227
47,0.0605938194304203
48,-0.0538901987201162
49,-0.087648327939587
50,0.8325695080965284
51,0.3197807217907841
52,0.1216730038022787
53,-0.3280689707789783
54,0.3573057625057008
55,0.2653726590340392
56,-0.3423615337796626
57,0.5598426388258504
58,-0.280707078370385
59,-0.0075872534142571
60,-0.2815186791447953
61,-0.1829407729247725
62,0.0989948218093172
63,-0.1907377737087053
64,-0.2102526855002146
65,0.2250362346479639
66,0.197944423296529
67,-0.2595221738798591
68,0.190461679110163
69,0.1825095057034289
70,0.1897533206831119
71,-0.1139817629179374
72,0.3105825316263894
73,-0.0113640668207025
74,-0.0386527617777361
75,0.635806558463074
76,-0.5537282984304145
77,0.2118820108018242
78,0.3353898389300659
79,-0.2033026304870885
80,0.2070221927790659
81,-0.0331345261762808
82,0.1075713694662767
83,0.2954423012983517
84,-0.1306071871127671
85,0.2266639192252262
86,0.2056343820686818
87,0.2174983585029551
88,0.1229608984342909
89,0.351249795785008
90,0.2769631801889894
91,0.0325732899022736
92,0.0732362275205496
93,-0.130367473315405
94,-0.0407564395174414
95,0.3371379828587612
96,-0.0365704997968319
