,FAST.US
0,0.2696456086286605
1,-0.1156961048978061
2,0.2116605734077341
3,-0.2507716049382628
4,0.0192864030858206
5,0.1924927815206956
6,0.0
7,-0.0770564438451286
8,0.057758952637661
9,-0.0065464431633937
10,0.1219230769230797
11,-0.0769822940723617
12,-0.2121504339440683
13,0.0
14,-0.0289379762708605
15,-0.0289463527595533
16,-0.0096497153334026
17,-0.0675936655079115
18,-0.0096571704490633
19,-0.1450676982591793
20,0.0773096250483168
21,0.0386398763523879
22,0.2216867469879556
23,-0.7281553398058253
24,0.5215375700212539
25,0.40930633347696
26,-0.1078283372870482
27,-0.2594594594594539
28,0.2157497303128401
29,0.2689618074233458
30,-0.0109748460831608
31,-0.0967151319332374
32,-0.0107712193020151
33,-0.1294219154443535
34,0.1400107700592304
35,-0.0646621403168316
36,0.2687016337059329
37,0.096639106625136
38,0.4489577765900606
39,-0.5049419853889116
40,-0.161411815344874
41,0.0107596298687227
42,0.1557716065961175
43,-0.026864388566507
44,-0.2369668246445485
45,-0.2158894645941309
46,-0.0215936082919412
47,0.1509271237602421
48,0.2151462994836366
49,-0.2372223420314846
50,0.0292968750000011
51,-0.1564945226917163
52,-0.0979048364989174
53,-0.215855572998429
54,-0.0589043785588084
55,0.2372133019660662
56,-0.4152242328874798
57,-0.2365930599369175
58,0.5490196078431395
59,-0.4629173643258139
60,0.1867872591427425
61,0.2353864260494261
62,-0.1768520337983814
63,-0.0196540880503105
64,0.6250000000000006
65,0.3115264797507722
66,0.0194666147556901
67,0.4650261577213757
68,0.1161215405457756
69,0.0193498452012345
70,-0.1744524132583762
71,0.0217049215909614
72,0.2875362318840606
73,0.0675871391329469
74,0.413461538461545
75,0.1212856276531277
76,-0.3651856360316489
77,0.5548269948552378
78,-0.5681241757126938
79,0.2731687575880314
80,0.362903225806451
81,0.0403063280935026
82,0.1006643849406165
83,-0.0805964134595993
84,-0.1816713766653278
85,-0.0403877221324636
86,0.3421211511370389
87,0.0649607922401001
88,0.0858032753943605
89,0.0
90,0.0100462125778632
91,0.1704944338581762
92,0.130208333333343
93,0.0200280392549529
94,-0.0801763880537164
95,0.01002104419281
96,-0.0401002506265726
97,0.1901140684410623
98,0.2893345305796729
99,-0.1098681582101472
100,-0.2405773857257366
101,0.2200440088017592
102,0.3984857541342812
103,-0.0099631363953281
104,-0.0897487036298398
105,-0.0199481348493876
106,0.3577817531305898
107,0.1785714285714212
108,0.1584786053882692
109,0.1779711291279482
110,-0.2975009916699694
111,-0.1788197893900326
112,0.0593726357677535
113,0.4548329709428744
114,-0.0593354430379769
115,0.0395413206801028
116,0.0790201501382835
117,0.2069985214391404
118,0.1279779484150378
119,-0.177514792899401
120,0.1280409731113911
121,-0.088722397476344
122,0.1181567546278107
123,0.1278395122430873
124,-0.2662196805363794
125,0.5003691247641698
126,-0.0903119868637105
127,-0.1644736842105286
128,-0.0987816924596561
129,0.1151126459463908
130,0.0082216558414789
131,-0.0738850191130151
132,-0.0989952231922228
133,0.1233857037097898
134,-0.2225886232481418
135,0.2056766762649115
136,-0.1895812726673293
137,-0.0329815303430013
138,0.1646361540994425
139,0.0082311301341599
140,-0.0248641937496962
141,0.2874969214350225
142,-0.0082101806239779
143,0.131190554280089
144,0.0819269211863088
145,0.0982157472581474
146,-0.1147164863979027
147,-0.0738007380073828
148,0.0655576497582547
149,-0.1395043492532428
150,0.1292824822236483
151,0.1398601398601502
152,-0.1832291442121165
153,-0.1943844492440678
154,-0.3685237372642415
155,0.2702410550210787
156,0.3554502369668228
157,0.1505700150570021
158,0.0644883920894263
159,-0.0430107526881787
160,-0.1507645918587126
161,-0.172599784250266
162,-0.0215796288303798
163,-0.1296456352636177
164,-0.1514823631248653
165,0.0
166,0.2159360829194588
167,-0.0095020904599097
168,-0.0531535619368628
169,-0.131977498918217
170,-0.1408298125880137
171,0.27009507346586
172,0.2371200689803824
173,-0.086299892125133
174,0.1292824822236483
175,-0.5205791442980321
176,-0.1955990220048858
177,-0.5243322955923322
178,0.2533300645583086
179,-0.2539734556775375
180,0.1717510427741831
181,-0.1392301392301406
182,0.5376344086021594
183,-0.1795332136445233
184,0.3577817531305884
185,-0.2445386371046602
186,-0.1142484086828795
187,0.2442201237381937
188,-0.310305405846815
189,-0.0408463360836509
190,0.1386849404470563
191,0.0163132137030962
192,-0.0163158753467091
193,0.065220935920429
194,-0.1142670584394389
195,0.1141366378607537
196,-0.0489396411093003
197,0.2441008950366243
198,0.0975451146155018
199,0.1298912161065195
200,0.020169160702659
201,-0.2391304347826074
202,0.9683572372755174
203,0.3437030680111481
204,0.0857449088960324
205,-0.0428908428050525
206,0.0
207,-0.0858553337626081
208,-0.1935483870967815
209,0.0859475719810897
210,-0.0752607246532557
211,-0.0645508337816054
212,0.6732207736695827
213,0.0747463961559075
214,-0.3213711837172055
215,0.2457790126095362
216,-0.0962669804257176
217,-0.1070778455937405
218,-0.1823642995065454
219,-0.0644053241734674
220,0.1286449399656995
221,-0.0965768859319706
222,0.1820908311910901
223,-0.246966605819826
224,-0.226000860955654
225,-0.0489955903968614
226,0.4195940671350573
227,-0.2543533555077334
228,-0.1960399921584031
229,0.0391926317852305
230,0.1111833193701612
231,0.0453922911367692
232,0.2342377513175823
233,0.1364522417154001
234,-0.1757469244288153
235,-0.2152641878669264
236,-0.1273635740178403
237,0.4195121951219578
238,0.029259728859847
239,0.3630582409167378
240,-0.5408891060087964
241,-0.1271766777538597
242,0.0782013685239475
243,0.0390854016025075
244,-0.17619420516837
245,-0.0685669507297415
246,0.1857645678529504
247,-0.5307646943188581
248,0.0330144556152154
249,-0.3684418145956569
250,0.4223138872520061
251,-0.4736530491414937
252,-0.3167689566422564
253,-0.1189296333002877
254,0.3161430547322596
255,0.3491030237874477
256,0.2997644287396856
257,-0.384274312740172
258,-0.1282557221783696
259,-0.3167062549485284
260,0.1186239620403225
261,0.5309734513274398
262,0.0
263,0.127663753314343
264,0.0294521892794042
265,0.078477535805374
266,-0.0785391714117399
267,-0.1770259638080178
268,0.0196656833824936
269,-0.3651435902496837
270,0.3246114499311413
271,0.0
272,-0.0787556605631012
273,-0.1704021016259153
274,-0.0663114268798102
275,-0.0383950854290574
276,-0.3854307188282961
277,0.1347190146266364
278,0.2733079474266101
279,0.2443040398238444
280,0.1147446930579504
281,0.0382336073408585
282,0.1050319870142265
283,0.0095474508306195
284,-0.0382043935052455
285,-0.1913875598086151
286,-0.0766136755410824
287,0.0
288,-0.326671790930057
289,0.0672107537206023
290,-0.2985362095531608
291,-0.0385356454720676
292,0.1250841912826033
293,0.0865218227263883
294,0.0960430272762279
295,-0.2291061011532311
296,-0.2335005789270595
297,0.1926040061633309
298,-0.1350048216007719
299,-0.2126014688828748
300,0.0386174937246495
301,-0.0966370313103926
302,-0.0193311424705299
303,0.0676132521974378
304,-0.0289855072463779
305,0.0675871391329469
306,0.0482532329666197
307,0.0482299604514296
308,-0.0675675675675747
309,-0.0193087468623247
310,0.0578927055191067
311,-0.0386100386100446
312,-0.1256402822073987
313,0.0096637031310447
314,0.077249903437619
315,0.0386100386100309
316,0.1253253639255853
317,-0.0578759525417211
318,-0.0868893608804821
319,-0.0386324125941588
320,0.0386174937246495
321,0.192715359414148
322,-0.0385579332947814
323,-0.1254705144291047
324,-0.028963120293494
325,-0.4573411133890652
326,0.0078845698967161
327,0.0236481160334235
328,-0.4115877790090201
329,-0.1585539876327912
330,-0.2084564688236823
331,0.0019065776930365
332,-0.2229299363057333
333,-0.271435414338168
334,-0.0079840319361318
335,-0.0239578342117881
336,-0.3204614645088974
337,0.0640512409928042
338,-0.0160153747597775
339,-0.0961846745751766
340,-0.0641642605068962
341,-0.0802697062128821
342,0.168282714961141
343,0.0720691864189535
344,0.1758593125499591
345,0.1038089914557292
346,0.1674107142857093
347,0.2528666168355077
348,0.160368370911399
349,0.0634719136782073
350,-1.1759851454507948
351,-0.7273482959268526
352,-0.2708897687018034
353,-0.0425269337246968
354,0.1257547366229467
355,-0.04165798791919
356,-0.0208333333333291
357,0.1767703025891668
358,0.4142073107590261
359,-0.1867413632119438
360,0.0518457071754429
361,-0.3224799750338107
362,-0.1980404419428786
363,0.1664932362122753
364,0.3938640132670084
365,0.0310848616723667
366,0.2789832610043356
367,0.0825934338220094
368,-0.1136950904392758
369,0.3604531410916522
370,-0.2684840974803706
371,0.0412881915772007
372,-0.0826446280991718
373,-0.207039337474123
374,-0.269877517126833
375,0.3771551724137946
376,-0.1078748651564226
377,0.4296455424275008
378,0.0983635875883031
379,0.0268192383336323
380,0.0982406001607568
381,-0.0714987934578588
382,0.1160507052312046
383,-0.0178571428571393
384,-0.1430615164520713
385,0.0893335715561857
386,0.0624944201410654
387,-0.0625335000893401
388,0.0926423416556799
389,-0.1464068644976841
390,0.0536001429337165
391,-0.4486719310839914
392,0.0538116591928271
393,-0.2517532817838528
394,-0.0539762504498041
395,-0.1802451333814012
396,0.1350013500135052
397,0.1437943740451124
398,-0.144001440014397
399,-0.1532359834144598
400,0.4436119873817062
401,0.0984833563127915
402,0.3139609541742677
403,-0.098073899371071
404,-0.1180637544273952
405,0.3529411764705877
406,-0.0883132175448958
407,0.0
408,0.0686409099823567
409,-0.1178087571176168
410,0.4690248192300215
411,0.4087193460490479
412,-0.1754728017157407
413,0.3303536727555415
414,0.1745877788554729
415,0.0387822377351233
416,0.0678228853793171
417,-0.0290754022097178
418,0.2127659574468073
419,0.0676524596501335
420,-0.0580214679431411
421,0.1544848894467477
422,0.1060956790123588
423,-0.2126425671757327
424,-0.2130956993413394
425,-0.0370507595405763
426,0.1572181633219289
427,-0.0277520814061065
428,0.2032861830018828
429,0.0367294204503503
430,-0.0001845702926661
431,0.0001845699520048
432,-0.2590673575129544
433,0.0185013876040666
434,-0.1111316910538899
435,0.0
436,0.0462834397852422
437,-0.0833796553640943
438,-0.0092652645232937
439,-0.0278035217794264
440,-0.0092686996014506
441,0.0648388291959922
442,0.0370370370370428
443,-0.0463177396943002
444,0.0277829227634757
445,0.0555349870418384
446,-0.1854599406528216
447,-0.1206944573391604
448,0.1575824990730457
449,-0.0742115027829297
450,-0.1182499014584059
451,-0.2370604504148648
452,0.0789577575996825
453,-0.2969708968521057
454,0.2370136282836352
455,-0.2375767174816958
456,-0.5774591796097156
457,-0.3095975232198165
458,0.1893939393939371
459,-0.1997602876548028
460,-0.2904938395272025
461,0.3394229809324183
462,-0.0099840255591105
463,0.0798084596967261
464,-0.0598921940506968
465,-0.159968006398731
466,0.0199920031987307
467,0.0099950024987415
468,-0.039996000399952
469,0.169694549810343
470,-0.1699830016998317
471,0.2294493216280823
472,-0.1098571856586432
473,0.0361399354273277
474,-0.3066292809933947
475,0.12690355329948
476,-0.7856751324684812
477,0.1823819077147573
478,-0.0182415176942685
479,0.1275277828384046
480,-0.0364497904137108
481,-0.2558012059199718
482,0.0365296803653025
483,-0.0182681768359481
484,0.3277494537509099
485,-0.1641437169432854
486,-0.1461187214611841
487,-0.2013177159590033
488,-0.0915918666422369
489,-0.2019089574155773
490,-0.1378549765646461
491,-0.101195952161913
492,-0.0184026499815936
493,-0.2398081534772229
494,0.0921489126428255
495,-0.0368731563421755
496,0.1288897072362369
497,0.0644033489741403
498,-0.3693785206390169
499,-0.249953712275514
500,0.089410499910412
501,-0.0537827178200092
502,0.3928571428571408
503,-0.0536001429337165
504,-0.0536288880943888
505,0.0
506,-0.0715563506261165
507,-0.0089453439484666
508,0.0268288320514996
509,-0.0984692507385188
510,0.0447387258410982
511,-0.1343965594480832
512,-0.04481893151667
513,0.0179243592041548
514,0.1253132832080205
515,0.0894294401716994
516,-0.0268360318454127
517,-0.1433306458837327
518,0.178842886524191
519,-0.0268336314847952
520,0.0715051841258476
521,0.2940914357009164
522,0.0089110675458965
523,-0.1517179830432857
524,0.1158851845248793
525,-0.0415454923140756
526,-0.522029651284193
527,-0.5564304461942269
528,-0.0104997900042052
529,0.1258389261745014
530,0.1047559187094011
531,0.0209467951403542
532,-0.3995793901156779
533,-0.0210349179638157
534,0.2517834662190463
535,-0.1470897247320722
536,0.2410648778953881
537,0.0314333612741001
538,0.1778056688630914
539,-0.241140700356473
540,0.0419199329281138
541,0.0628403854210329
542,-0.2730518798571782
543,-0.0403439320204701
544,0.0298287994958414
545,0.0105019953791274
546,-0.0840866092074819
547,-0.2845999789185158
548,0.1788720538720556
549,-0.1053296819043696
550,0.2493765586035025
551,0.1189231067208967
552,0.1933114247051891
553,-0.1161215405457618
554,0.0676917126003222
555,0.0096693096112987
556,-0.0580495356037173
557,0.0386847195357894
558,0.0676524596501335
559,-0.0096655712352649
560,0.1929384526336126
561,-0.0386025863732793
562,0.0740620732751556
563,0.0609097918273024
564,0.0770416024653296
565,0.0442793061625168
566,0.1096153846153887
567,-0.115517905275322
568,-0.019256691700362
569,-0.0096292729898941
570,-0.0481695568400743
571,0.1010538472643318
572,0.1086350439347031
573,-0.0173076923076929
574,0.0960614793467764
