,XEL.US
0,0.0
1,0.2020785219399546
2,-0.2024877061035588
3,-0.0434090580234425
4,-0.2902336380786575
5,-0.16716331128715
6,-0.1528606784102547
7,-0.0145602795573542
8,-0.1144289847889701
9,0.143377001455606
10,0.0654593061313574
11,0.1234926630829489
12,-0.101803374054673
13,0.0363451333866271
14,0.0363319284987729
15,-0.2695810564663056
16,0.10917030567686
17,0.0
18,0.1163128816516404
19,0.0290697674418546
20,0.0072669137417479
21,0.0871269875843869
22,0.1652676901665787
23,-0.2528885982123281
24,-0.0290761067093264
25,0.3382533825338454
26,0.4591368227731821
27,-0.461254612546121
28,0.0153727901614003
29,-0.2465711203575228
30,0.0769941484447138
31,-0.046217840086275
32,0.0
33,0.1230958609016745
34,-0.1232475735633928
35,0.3224815724815847
36,-0.0460900291903535
37,0.1150924576076157
38,-0.2384248577141995
39,0.3372681281618869
40,-0.1227935533384471
41,-0.0307078151389685
42,-0.138376383763821
43,-0.1848428835489903
44,-0.0385237691655839
45,-0.4022588380908036
46,-0.2870442203258375
47,-0.1709667391980096
48,-0.6964551216840132
49,-0.2431754000627567
50,0.3747109941800311
51,0.2941176470588158
52,0.0476720165263008
53,-0.2788622420524215
54,0.0557413600891807
55,-0.3676470588235244
56,-0.0799872020476792
57,0.5013927576601748
58,-0.2153453501355959
59,-0.4808462894694617
60,-0.0641539695268631
61,0.2878618263233643
62,-0.2404616864379586
63,0.2239283429302632
64,0.0319795330988103
65,0.0319693094629206
66,-0.2082332212077567
67,0.1918465227817705
68,-0.0591876889606946
69,-0.0928668641421821
70,-0.0881410256410251
71,0.1600000000000022
72,-0.1843391840987448
73,0.0240384615384624
74,0.0640614990390761
75,-0.4151493080844815
76,0.3628447024673439
77,-0.1599069632213976
78,-0.0290824487421989
79,-0.1602097290999118
80,-0.1604668125455863
81,0.1020110754882066
82,0.0873616773442083
83,0.2324230098779729
84,-0.1381918684995255
85,0.0072727272727206
86,0.0871966283970386
87,0.0726110949753081
88,-0.1454333915066816
89,0.1887066337639649
90,-0.1017146178436608
91,0.1306051371353989
92,0.0797505981294958
93,0.0144980065240897
94,-0.0217517401392119
95,-0.1161440185830405
96,0.1594433975938533
97,0.2169511136823917
98,0.1300014444604989
99,0.0144425187752612
100,0.0296252407050958
101,0.1774360490906259
102,0.2507374631268462
103,0.2574475910261083
104,0.1982087799148511
105,0.1466060694912686
106,0.2850668810759555
107,0.1095210280373873
108,0.0729607471180463
109,0.0729075532225097
110,0.0874125874125907
111,-0.1312910284463944
112,-0.2339523322123067
113,0.1751569113998022
114,0.1530277636085255
115,-0.3216609401272006
116,-0.0878027365186248
117,-0.0512445095168324
118,-0.0292911540714645
119,0.1608422283959635
120,-0.2198124267291994
121,0.0805329819166949
122,0.0
123,0.2264426588750929
124,-0.1609599063505991
125,0.2823179791976192
126,-0.4327712281748873
127,0.163885578069129
128,-0.0298062593144712
129,0.1190830604346717
130,0.0148831671379534
131,0.3263610740246238
132,-0.1783325902808594
133,-0.0892458723784058
134,0.0965896426183189
135,0.0371360665478185
136,-0.1934811727935637
137,0.0446295745313911
138,0.0594707106750018
139,-0.1041821699657797
140,-0.0148853825543181
141,-0.134148159189154
142,-0.089362838485992
143,0.0296793437732926
144,-0.1194564730476307
145,-0.4141314485004647
146,-0.125806935895506
147,-0.1352976548406545
148,0.0
149,-0.0451195668521599
150,-0.2849002849002844
151,0.3784295175023683
152,0.455187568670537
153,0.1723597618301464
154,0.1095633119424014
155,0.1250586212286983
156,-0.0312744331508929
157,0.1405371642723351
158,0.1559089491736737
159,0.0467508181393192
160,0.0778573653067535
161,0.0482482762914287
162,0.0140056022408968
163,-0.0155642023346383
164,0.0
165,-0.0311380974622388
166,0.0622374358176319
167,-0.3748243011088472
168,0.0624317153113657
169,0.0312061163988301
170,-0.0468310958476446
171,0.0312109862671598
172,0.2024606759071725
173,0.0311380974622609
174,0.1709667391980096
175,0.3185174460692035
176,0.2743286168062546
177,-0.2750832488779672
178,0.0723379629629794
179,0.0024594302512808
180,-0.0647103956454477
181,0.2642217730291755
182,-0.1880514971792415
183,-0.2174543345897237
184,-0.0870574579222319
185,-0.0435476847147643
186,0.0580298853909854
187,0.0
188,-0.0290233638078801
189,0.0145095763203788
190,0.0580046403712181
191,0.0289939112786463
192,0.0144948543267008
193,-0.0501773610188578
194,0.0066705336426861
195,0.050728313645932
196,0.0507025930754694
197,-0.0362292587493742
198,-0.036242389098277
199,0.0724322758221022
200,0.3352891869237145
201,-0.2661437176075049
202,0.4878728742681828
203,0.1113895850737932
204,0.0556637907041556
205,-0.3351019268360721
206,0.1115760111575987
207,0.111451657843408
208,0.1391207568169092
209,-0.041753653444678
210,-0.0975202006129746
