,AMD.US
0,0.3849422387465183
1,0.3967729136357587
2,-0.1987808110257165
3,0.2247785270395368
4,0.099068753715082
5,0.3357030015797728
6,-0.2124038575706633
7,-0.2433379620445833
8,-0.4053926652210649
9,0.2322315691859215
10,0.1323013825494401
11,0.1255285412262329
12,-0.1853322742917666
13,0.1586042823156097
14,0.2636435539151105
15,-0.1518252029836885
16,-0.1923290599421284
17,0.126032102516676
18,0.0962148878350913
19,0.2686516084873333
20,0.2021650975555064
21,-0.0932220103872127
22,-0.1827012117292334
23,-0.0874093605801087
24,0.2104986186028296
25,0.3319290182561025
26,-0.2559836170485125
27,0.3698036215251291
28,0.2797558494404868
29,0.0063576832602141
30,-0.0190766882869141
31,-0.2166709151159848
32,0.235234280628142
33,0.0825816287638136
34,0.2409375907001398
35,-0.190603174603168
36,0.3353793583496811
37,0.2209874984215142
38,-0.2595429511932624
39,0.2339264016005955
40,-0.1267231566965991
41,-0.1076153700069554
42,-0.0443318556048088
43,-0.2029442785324647
44,0.0379345343821337
45,0.0317077810894865
46,-0.7732617586912117
47,0.0127795527156614
48,0.3819223424570301
49,0.657645124573158
50,0.7187728937729007
51,-0.9708737864077644
52,0.2950124458375525
53,1.17529154518951
54,-0.3941311142230278
55,0.0648080438756936
56,-0.1671894771346029
57,0.0572840409956106
58,-0.0549349935909194
59,-0.293847566574833
60,0.3022060768963751
61,0.0314832356346343
62,-0.1966987620357643
63,-0.1285465062895974
64,-0.0045911574307841
65,-0.0505282498851693
66,-0.2160837377422789
67,0.3803540310006386
68,-0.1009915534337122
69,-0.1811022680552701
70,0.1441036002938952
71,-0.0597344116160434
72,-0.327309607228475
73,0.504540867810303
74,0.1831334126911351
75,0.2672884440400357
76,0.2836562508151893
77,-0.2673565701938963
78,0.1702900607367786
79,-1.0381980250034586
80,-0.1262202825313085
81,0.0114836931557247
82,0.2965456439849326
83,0.0222073664352878
84,-0.3888761204320928
85,-0.2862687791858044
86,-0.0191343438418662
87,0.1668584579977102
88,-0.1613646841862616
89,-0.1558441558441617
90,0.2877697841726618
91,-0.1627969718840841
92,-0.1082640812557729
93,-0.0345225325914619
94,-0.2199722286507764
95,-0.1332483633624875
96,-0.459783494354569
97,-0.5736361507843536
98,0.0351082504388544
99,-0.0702658390912311
100,-0.142670312685774
101,0.2134300788113445
102,-0.0473590504451073
103,0.1896692457419194
104,0.0117270788912601
105,0.0
106,-0.0236966824644502
