,ENPH.US
0,2.166727873668743
1,-1.959560659011474
2,-0.0405806149523943
3,1.3336207958605346
4,0.411017728973675
5,0.5490818131901688
6,-0.0488311054141391
7,0.0488072722835605
8,-0.293703726366022
9,0.3931129056833654
10,0.6689671873108235
11,0.2234974327997611
12,-0.4910738674646854
13,-0.0583072671505382
14,-0.1315463784607055
15,-0.1328782264227902
16,0.265415508890212
17,-0.2908570384357803
18,0.0121810098057191
19,-0.2870754947471285
20,-0.110064815947173
21,0.0733227422705637
22,-0.3371957574642774
23,-0.083510304410723
24,0.0589317471024756
25,0.2499715941370178
26,-2.685464268351958
27,-0.107066381156308
28,-0.9035552936554748
29,-2.852640510727707
30,1.4062624492072349
31,0.7590732980153346
32,0.3113545895242943
33,0.0236415934433989
34,-0.5945538864005708
35,-0.2224605728359759
36,-0.2668684776547389
37,-0.5204996796925093
38,0.5534541110889966
39,-0.3355838759937691
40,-0.6008480196129673
41,0.2385630087005328
42,0.0961345884237969
43,-0.3396233998512887
44,0.0060284543043108
45,0.4361570165259507
46,0.4421958409688525
47,-0.6495589414595047
48,-0.1385236192808812
49,0.5728771607649017
50,-0.3728068873385676
51,0.7980916480150723
52,-1.077573376198132
53,0.0089293686936421
54,0.6887378066804564
55,-0.0059122620314646
56,-0.4096170970614412
57,0.6481901987036301
58,0.5052520391995716
59,-0.1469205453690644
60,-0.0941176470588215
61,0.0693048762064378
62,0.358519299478708
63,0.1286926001754892
64,0.0058493214787197
65,0.939498694529071
66,-0.2913761041376043
67,-0.0319720970789169
68,0.1596053395240892
69,-0.1569493692960589
70,-0.0174418604651169
71,0.0871333139703779
72,-0.0406787540678714
73,0.0522739153162426
74,0.0754497968659453
75,-0.3531073446327757
76,-0.5422153369481044
77,-0.3043056005179663
78,-0.1361514522821444
79,-0.8104575163398752
80,0.2152220700450091
81,-1.2146016238695645
82,0.0692634981364753
83,0.318976644544545
84,-0.7419846316905004
85,-0.5372509295500041
86,1.1499012508229125
87,-0.7232980481296907
88,0.1098195065408115
89,-0.1899278513068045
90,0.0472273812682439
91,0.0861554775001626
92,1.152964297412394
93,-0.7025761124121764
94,-0.2115492678412201
95,0.0198288112627655
96,-0.3548686654284934
97,-0.3060545575515499
98,-0.2735339248782608
99,0.0666711114074423
100,-0.0862179077787654
101,-0.6556955515556764
102,-1.203630995791421
103,0.4405078049096326
104,0.271300303597969
105,-0.3825703540396857
106,-0.8831032903774412
107,0.8496562459462979
108,0.0194539913105512
109,-0.2209657503087043
110,0.581508044194615
111,-0.1229137016431606
112,-0.2204356846473051
113,0.1100964963409024
114,-0.2922837100545522
115,-0.8515655705489397
116,0.0850841023627171
117,-0.5627406456708393
118,0.7827152238306936
119,0.0563895052865145
120,-0.7363576594345855
121,-0.4424486561447451
122,0.6690718268284565
123,-0.5142744115513953
124,0.0461315407934767
125,-1.0204081632653024
126,-0.3391565879567422
127,1.2387031536370976
128,1.2358779102428177
129,-0.0912135145941717
130,0.5257597414703895
131,0.0807252856433156
132,0.1178440736835562
133,-0.6241028521500344
134,0.1682242990654269
135,0.366254888571608
136,-0.074548052432133
137,0.2602391721915779
138,-0.6297543334580314
139,0.1307677937605131
140,0.4833612195575393
141,1.2060732215011625
142,0.2199144777031064
143,-0.2921153365452933
144,-0.0509991418413663
145,0.1957665483910568
146,-0.1531768886710373
147,-0.6413023370537217
148,0.1969351960120755
149,-0.856557631431938
150,1.3309759547383264
151,1.41120035698349
152,0.0
153,-1.1224547351796543
154,-0.6300374616869028
155,0.6821128586729689
156,0.2137593519716621
157,-0.3896543934944645
158,1.1499385955118755
159,-0.2911208151382722
160,0.5318112209383178
161,0.0250528894332568
162,0.1389892700283538
163,0.1665094077815302
164,-0.0111018595614664
165,0.4905047559076023
166,-0.2702852395458319
167,0.256884788553421
168,-0.1854106707991916
169,0.0221336874723284
170,-0.466977985323551
171,-0.3290757989848867
172,-0.1424302510682243
173,0.3312364304403489
174,0.0500778989539302
175,0.1397833358294649
176,1.2472885032537966
177,0.0295712173484486
178,-0.2965892239248612
179,0.1234263144902493
180,0.953545232273833
181,-0.4173827645470142
