,MRVL.US
0,0.0947610667388755
1,-0.2306648575305314
2,-0.3950415474731048
3,-0.0545181954477198
4,0.5152542372881294
5,0.3647662793839449
6,-0.3116953516736546
7,0.5257481801024543
8,0.2822960075278851
9,0.5200664893439092
10,-0.2263771612384313
11,-0.1610954490535703
12,0.2544188537761274
13,-0.0535905680600298
14,-0.0938715301059506
15,0.0937834941050474
16,0.0803212851405652
17,0.1203369434416411
18,-0.1338867318248875
19,0.1870907390084198
20,-0.1874414245548273
21,0.3202989456826492
22,0.0133440085401533
23,-0.073445950457358
24,0.2065565031982957
25,2.0359186007541923
26,1.069557152793882
27,-0.5595709955700676
28,0.7061002430836896
29,-0.7346082089552185
30,-0.0233263354327154
31,0.5913043478260929
32,0.1158077591198544
33,-0.1043357291908059
34,0.1157943492357507
35,-0.2321262766945251
36,0.046403712296991
37,0.1042994553250706
38,0.6104584197189438
39,0.2756719503790594
40,0.5483207676490792
41,0.3868912152935699
42,0.1590547602817548
43,-0.3877737226277248
44,0.90415913200723
45,0.1354401805868965
46,0.1577642551273389
47,-0.1354096140825889
48,-0.6130790190735766
49,-0.4332953249714885
50,0.2553673208808867
51,0.0407894736842089
52,0.2215475506687537
53,0.4492729946087217
54,0.2119334854907117
55,0.0814464896562911
56,-0.0815128790348828
57,-0.3271180896303612
58,-0.2623811085601897
59,-0.3786008230452624
60,0.119035092334406
61,0.1110198719001458
62,-0.1150937191713256
63,0.1067586433440054
64,0.0984494216096517
65,0.0819739322895272
66,0.0163920990082863
67,0.1881544502617717
68,-0.213149696671578
69,-0.0163988192850198
70,-0.0328083989501247
71,-0.0328191663931787
72,-0.4450304928300577
73,0.0164798945286717
74,-0.189878642780487
75,-0.1419782300047267
76,-0.1580028440511951
77,-0.2455056624693136
78,-0.3098188751191615
79,-0.238891543239367
80,-0.0876703594484732
81,0.1988545975182946
82,-0.3351955307262583
83,0.4291163382072522
84,0.4115226337448528
85,0.126462219411948
86,0.0947567909033516
87,-0.1581777918380282
88,-0.0949968334388889
89,0.1422924901185824
90,0.2287246628283037
91,0.4319145594471471
92,0.1254901960784286
93,0.2127229952149057
94,-0.1896024464831787
95,-0.0706214689265563
96,-0.0471031559114478
97,0.1097867001254709
98,-0.2121807465618829
99,-0.0235811979248554
100,0.0361467558286571
101,0.5571531272465893
102,0.0808117087186885
103,0.0807464561277491
104,-0.224799928064023
105,0.1526306338660457
106,0.0
107,0.179243592041587
108,0.0179211469534014
109,0.1431639226914914
110,-0.1523433999462332
111,0.0089605734766943
112,0.0333222259247032
113,0.1866852636661092
114,-0.0590445517981772
115,-0.0985045222530665
116,0.0089541547277982
117,0.1787629603146126
118,0.1338927073105469
119,0.2883742456877353
120,0.1297777777777785
121,-0.0220493050912548
122,-0.2452762923351142
123,0.1601708489054926
