,ALGN.US
0,-0.4093854143758494
1,-0.3344765440388442
2,0.2726272491832653
3,-0.3465085862789332
4,0.0492343214152259
5,-0.098565699136688
6,-0.3359080600883297
7,0.2746201654522746
8,-0.1319575692564558
9,0.0536056158264292
10,-0.1405930470347726
11,0.33798128364952
12,0.1373812754409869
13,0.3245875033811129
14,0.0371784905532881
15,-0.3361381014844038
16,0.0461671440435143
17,-0.0814180307013855
18,-0.1426848533233541
19,-0.0475842496133926
20,-0.2026428717389723
21,-0.0408858603066455
22,-0.494769820752938
23,0.0393606461991337
24,0.1930073274463243
25,0.9964275369315376
26,1.2424551600507254
27,-0.8122813088783832
28,0.4340671919780677
29,-0.1605920585923178
30,-0.0978774037539063
31,0.7107604946740637
32,-0.0724623863007943
33,-0.1546982429335266
34,0.5054535780792704
35,0.1243084748014333
36,-0.7967479674796678
37,0.0936472746731918
38,0.1888484062339067
39,0.1181289892350204
40,-0.3575662549237073
41,-0.6059673354750548
42,-0.6817609575642726
43,-1.006820713920291
44,1.2416198149114226
45,-0.2984206956690393
46,0.0271217962378387
47,-0.7108819806363105
48,-0.4362752782567713
49,-0.0274412952291321
50,0.8720145425748326
51,0.2540280956869016
52,0.3194287861706069
53,-0.2044219699822451
54,0.0573486980053495
55,0.2101347545000053
56,0.0402223850980573
57,0.2122801384280664
58,-0.1286035794663
59,0.0366028943069181
60,-0.1681198300916708
61,-0.0223613595706618
62,-0.111035495540672
63,-0.244156403719797
64,-0.2966477454321264
65,0.1590989784407589
66,0.0148290613653488
67,0.2009112761453744
68,0.1236226820747005
69,-0.0582619997310862
70,-0.1966842095809508
71,-0.1430023294090267
72,0.0404559838895322
73,0.1718667965016324
74,-0.448497196329076
75,-0.2630680848643454
76,-0.3596300947596731
77,0.027820777127032
78,-0.2115993623424647
79,0.8526472464384576
80,-0.1789289822349068
81,0.1771943751417554
82,-0.1220585313236273
83,-0.0823863636363694
84,0.2931720650927032
85,-0.0184151627617071
86,-0.0751336102408651
87,0.483889171040018
88,0.0493520777224753
89,-0.3843023461552117
90,-0.0587768744865985
91,-0.0382550050298221
92,0.0722072773608935
93,-0.0141602945341134
94,0.1399906672888486
95,-0.0113136569982097
96,0.2201306673063549
97,0.1873239436619776
98,-0.0732931160850174
99,0.1955350486024148
100,0.7748868778280569
101,1.311658118576716
102,-0.0166555009676808
103,-0.7669660772216761
104,0.0243719535058109
105,-0.2010031371517547
106,-0.2995817160945155
107,1.1244914079615975
108,1.0587628105876334
109,-0.2753820905713073
110,0.5678710578548954
111,0.1229831678261273
112,-0.3906609910258545
113,0.205961860276946
114,0.0900271918865306
115,0.2382785292716133
116,0.2395362870046893
117,-0.3062983749678953
118,0.4291688733860552
119,-0.5712081695625048
120,0.0385554555969527
121,-0.4092543091529013
122,0.1049685094471541
123,-0.7383496586524225
124,-0.4584591300458314
125,0.8163192715372979
126,0.3491360212671736
127,0.4885189234947589
128,0.0555227511082613
129,-0.0652597603026649
130,-0.1218489249922837
131,0.0008829554284091
132,0.0723499620604001
133,-0.0565001677348818
134,0.3974464942053692
135,0.1475055753595504
136,0.0052677787532875
137,0.098235273479975
138,0.1121429823024531
139,-0.1351043110557604
140,-0.1141793142214687
141,0.0982731994946053
142,0.0596302921884173
143,-0.2452596323742683
144,0.1115169821924047
145,0.376156901166977
146,-0.3335264275808961
147,-0.0122893258426854
148,-0.007022965095877
149,-0.1529831718510771
150,-0.217345579471369
151,-0.0842046172198474
152,0.3175624632774818
153,0.0377574850718065
154,-0.4452747499719172
155,0.6731822335698255
156,0.3482794577685082
157,0.1457725947521802
158,-0.3608699892714213
159,0.3595724003887156
160,-0.3147456966185715
161,-0.2121364372243596
162,-0.6404854205292355
163,-0.2576992944953798
164,-0.2060197270944214
165,0.1929468762323256
166,-0.3767450079519298
167,0.0233202363117228
168,-0.1656355734246866
169,0.2386803378244698
170,0.1241289812960348
171,0.0986415647370401
172,-0.0549876630243195
173,-0.1440210101238272
174,0.131141068306158
175,-0.1132195822037829
176,-0.6613374426145309
177,-1.1774641482467965
178,-0.594683788331779
179,0.2558419971971346
180,-0.7304541947768308
181,-0.0550195031821041
182,-0.437959816568238
183,0.3763290660794339
184,-0.0073956595695658
185,-0.1530776004674732
186,0.459579906281755
187,-0.2126279667348181
