,ADBE.US
0,0.2096311678038173
1,-0.1465607732070967
2,0.2537759193796131
3,0.1163020142703818
4,0.2511514388064422
5,-0.039380931752843
6,-0.2190429205722769
7,-0.0592358574390386
8,-0.1139810869676059
9,0.1513105952944857
10,0.0279804839084571
11,0.2024773045036581
12,-0.0985590664485226
13,-0.2034447341392173
14,0.0493554182378141
15,0.2353636318873504
16,-0.0403924968474229
17,0.1318404533737413
18,0.0245910508247838
19,0.0393302065819078
20,0.0422621036699294
21,0.0962255999371605
22,-0.0412565568456486
23,-0.0167018715920773
24,0.1128557409224707
25,-0.6444943384645219
26,-0.2623609244173813
27,0.0647385372327475
28,-0.4307402230096514
29,0.2626288826924331
30,-0.2504310505248714
31,-0.0161085825747574
32,0.4562959127536223
33,0.3466791363658315
34,-0.1016883494205371
35,-0.1681487469684662
36,-0.1043934256419357
37,0.3282840503960328
38,0.0886467668106614
39,-0.1011433930647951
40,0.0897690088173253
41,-0.1549861965418763
42,0.0677605149799255
43,-0.1065943117399231
44,0.1556112781894316
45,-0.0072570110790303
46,-0.0677780108767687
47,0.116056029271914
48,-0.0048359017344723
49,0.1496885512401535
50,0.3287601947271927
51,-0.3531850097284528
52,-0.1334152178056363
53,-0.0656918838737025
54,-0.0996966675858495
55,0.4455800988300911
56,0.0633125105520755
57,0.2148001516236445
58,-0.0758693361433116
59,-0.007376729579637
60,-0.0200265615447794
61,-0.1055141705531052
62,-0.1204310162687498
63,-0.2584307744450151
64,-0.0063552589767975
65,0.0839036978586293
66,-0.1221522877063552
67,0.155520995334373
68,0.0623810530767517
69,-0.0698309245191154
70,0.2553927983452192
71,0.0042211903756941
72,0.1159481395593994
73,0.023184251570197
74,-0.4211907634347053
75,0.0097661972381216
76,0.6732112370014021
77,-0.3817091220690263
78,0.0797836112786721
79,0.0019459038723469
80,0.4060116861597549
81,-0.1007613163455299
82,0.0512661418544272
83,-0.0620852896666893
84,-0.1904984060337268
85,0.0505148630270042
86,0.1106410016804606
87,-0.0301097813109592
88,-0.0106783675688392
89,-0.0310739949504696
90,0.0213588085668265
91,0.0499740426089458
92,-0.0266922912662911
93,-0.1399661748410854
94,0.0213791494985644
95,0.0310872775316639
96,0.0776578395589211
97,-0.2120663826144539
98,0.2058052616250743
99,0.1260422726391489
100,-0.5657960864419709
101,0.6442987613356312
102,-0.1640171057934596
103,0.0639460827784194
104,-0.7554097082331684
105,0.2560197037949316
106,-0.4623148298876822
107,-0.3258180155314761
108,-0.2825182613252823
109,-0.5765302760756408
110,0.1890732124360813
111,-0.1234608546783433
112,-0.0032923978533536
113,-0.1112420379541465
114,0.29740632111668
115,0.2828346778712502
116,-0.0395357985837816
117,0.8145149490318474
118,-0.3786086133459618
119,-0.338955297199924
120,0.9568602011028182
121,1.694753120864754
122,0.051788289472625
123,-0.5842188777227456
124,1.0608943862987716
125,0.2907336385005619
126,-0.686147298489647
127,-0.4661688636742895
128,0.5641280902605
129,-0.2000426436219333
130,-0.0566408483651306
131,-0.0426443667831552
132,0.1288070802343349
133,0.0643620886535871
134,-0.2883824555193468
135,0.0780209720372836
136,0.0270399567360682
137,0.0498950125777029
138,-0.0499199201281296
139,0.1505726954589399
140,0.3775966233551246
141,0.0361947900185134
142,-0.0548393104732707
143,0.1260747354497265
144,-0.1034468490089791
145,-0.3383778621992476
146,0.0415015251810598
147,-0.216503916140143
148,0.2129302026375009
149,0.0591065577170403
150,0.2262995584940071
151,0.0682869292609475
152,0.2437298181978978
153,0.2162782485875746
154,-0.0044140366365
155,0.116835306306896
156,0.2419017878741281
157,0.0
158,0.2566352270234611
159,0.1533070521244076
160,0.1814485276435704
161,0.0568070091109683
162,-0.1049845803897592
163,-0.3643946877400874
164,-0.2199978000219997
165,-0.1454096807596609
166,0.0902487343165364
