,PEP.US
0,0.4777983054086768
1,0.3934259788057647
2,-0.2353390153924466
3,-0.1146204788588938
4,0.1208420784837484
5,-0.012721837033256
6,-0.0572810590631386
7,0.1303035118385406
8,0.085736059951746
9,-0.038119440914868
10,0.0317561130517516
11,-0.0864513012192148
12,0.0673357896074161
13,0.0127032520325268
14,0.1141987057480058
15,0.025371051630085
16,-0.0761711311413003
17,-0.0444529116657097
18,-0.0127024452207114
19,-0.1017229321635174
20,-0.2741297972714384
21,0.1018978474079713
22,-0.0254809529876547
23,-0.2106607085860096
24,-0.159846547314578
25,0.0155245754028662
26,-0.2771031820163106
27,-0.2747424289728365
28,-0.0531034267328947
29,-0.1815052417462006
30,-0.0031294986543127
31,0.1189045775136415
32,-0.0470338055477344
33,0.1405283867341344
34,0.1745744747178582
35,0.1742702433559477
36,-0.0996822627873631
37,-0.1497473014288267
38,-0.0718054384814767
39,0.146517862709636
40,0.0809867929230151
41,0.0964680255173493
42,0.1056918151014874
43,0.0714463220676
44,-0.0497265042267606
45,0.0780097089790612
46,-0.0096900428597912
47,-0.0683739433117936
48,-0.1057805985937324
49,-0.0435756972111688
50,-0.051662899580247
51,0.0516362228103094
52,0.0726252010737605
53,-0.2473813526445082
54,-0.0064662140316785
55,0.0581620783249343
56,-0.1618227717004337
57,0.0194149624644066
58,0.0129416332341023
59,0.0258765687669947
60,0.0323352518916012
61,-0.1165425704111407
62,-0.0194275352933565
63,-0.1426718547341108
64,-0.0194590387234878
65,0.012971009793119
66,0.0259352914478324
67,0.1489058655962826
68,-0.0129500129500195
69,-0.0158015122824285
70,0.0073173779956582
71,-0.0853558633061787
72,0.0581662726301109
73,-0.0032387614976003
74,-0.175199532801234
75,-0.2760781972839696
76,-0.3481711654374627
77,0.2278499925295135
78,0.2012972489375842
79,-0.1343784994400947
80,-0.164660382353056
81,0.0300515810719882
82,-0.0822983689959701
83,0.1344889420203278
84,0.0746602956547665
85,0.1416536196227523
86,-0.2916105877074819
87,0.0224265530387987
88,0.0149488003587576
89,-0.1122418437593577
90,-0.029940119760473
91,0.0074844697253344
92,0.0299289188178017
93,-0.0449135414327436
94,0.6100736552339805
95,-0.1788775434150772
96,-0.1268656716417817
97,-0.0074632435256294
98,-0.1045946955547364
99,-0.1721299206705506
100,0.1351873310158413
101,-0.0096571704490679
102,0.2246350884247811
103,0.0547637390857662
104,0.3391131870241226
105,-0.0384049158292276
106,-0.2116741500962053
107,-0.0449207469678452
108,0.1409804549823767
109,-0.0448775484036553
110,-0.0064114893889792
111,-0.1219668763641017
112,-0.006419721384086
113,0.0449178644763816
114,0.0929576561848961
115,0.0864719446579495
116,0.0448172098085621
117,0.0703774792066626
118,0.0441263933388257
119,0.1239755727882187
120,0.0554739865943276
121,0.0382872822410837
122,-0.1213902376693059
123,0.0127762872109248
124,0.1275998468801946
125,0.4307986870897124
126,0.3543199781956813
127,-0.7551833035836841
128,-0.3237137543907974
129,0.2610427972796561
130,0.0068690754224614
131,0.0206029805645224
132,-0.123770886337074
133,-0.3173070290404966
134,-0.0897542115437693
135,-0.0276243093922596
136,-0.2006781537609995
137,-0.1732982115624567
138,0.0831140047097967
139,0.0
140,0.0207741846132547
141,-0.1734184239733629
142,-0.2503477051460259
143,-0.03478260869566
144,-0.0139149794754123
145,0.1458941225510684
146,-0.1008379985395947
147,-0.1636946224574987
148,0.069608798552133
149,0.208391219783281
150,0.0184558597354667
151,0.0307503075030645
152,0.079886929269339
153,0.0184320471860414
154,0.0552655818237662
155,-0.049149106100623
156,-0.0122887864823411
157,0.0920810313075541
158,0.2266184847185671
159,0.0856740713542539
160,0.0917094644167312
161,-0.1101726037458727
162,0.018358729575914
163,-0.1041411418769832
164,0.0244977951984272
165,0.0061240737338421
166,0.0122466474802585
167,-0.0244992956452453
168,-0.0061251990689815
169,0.1510028017166314
170,0.2215780801855146
171,-0.0855066267635832
172,0.024424497771277
173,0.2254173266723383
174,0.1034629663441153
175,0.2439628045115432
176,-0.0884705216221954
177,-0.234108967082849
178,-0.0567859170925699
179,0.0661827452432476
180,0.1181096783335635
181,0.444381745080076
182,-0.1200564971751524
183,-0.0120070912468275
184,-0.0374478909065196
185,0.1974472886256266
186,0.098626276858039
187,0.0492888325588097
188,-0.1622117215600664
189,0.1478873239436675
190,-0.0949492229600962
191,0.0103608683394451
