,AVGO.US
0,-0.0021007520692388
1,-1.1388263289848206
2,-0.5490397145848128
3,0.4508623806384391
4,-0.0512374002381387
5,-0.0562480705975062
6,-0.1263877013617824
7,0.0421682896166721
8,-0.333511491181187
9,-0.1177226027397284
10,0.1015662586197728
11,0.0715796671011259
12,-0.0876817792985389
13,-0.2035786992392683
14,-0.0407323243150533
15,0.196841970131374
16,-0.0503055796380168
17,-0.0353334189900988
18,0.0203393459294482
19,-0.1329174304059351
20,-0.2309940263870361
21,-0.0112823763908234
22,-0.0618226389127743
23,0.2188559412951083
24,-0.2236462947830245
25,-0.5641193834043914
26,0.0415264239192196
27,0.1855840443534218
28,0.108806031946655
29,-0.1549609323846478
30,-0.076447589716712
31,-0.2562081198265578
32,0.1093708985913028
33,0.2520100804032101
34,0.0381687714017778
35,0.0544971007542398
36,0.0751494821220406
37,0.029397674317331
38,-0.3441532191982968
39,0.1080455755882491
40,-0.0414892455508238
41,0.1330251221214265
42,0.1198187537150644
43,0.1131127211017572
44,-0.0348227305373513
45,-0.0936737539212283
46,0.0391968990897623
47,0.1283138687718786
48,-0.0413384970192763
49,0.230094642702093
50,-0.1448435689455482
51,0.0045520192343603
52,0.0967401864522316
53,-0.1221077031334026
54,0.0062084807847463
55,0.2127044440773231
56,-0.165480721495948
57,-0.1802847255320481
58,0.1345142999048123
59,0.2127000516262205
60,0.1216896295685123
61,-0.208751007585307
62,0.1362257218931298
63,-0.0165149356949658
64,0.0722006766234767
65,0.012375727073966
66,-0.0371409706173668
67,0.1709889033330818
68,-0.1031197806049807
69,-0.266705259675823
70,0.0175705146093618
71,0.0113678640816846
72,-0.0910256940709168
73,0.1858429008011847
74,-0.0992145514675405
75,0.251101370968647
76,0.0414593698175792
77,-0.0403551251008893
78,0.1879699248120244
79,-0.0738998992274065
80,-0.3054875446438629
81,0.3201827056558163
82,-0.1698954274019441
83,0.2254570680511095
84,-0.0918335349191473
85,0.0783330722230976
86,0.1776119569709936
87,0.0614003751004682
88,0.1337852301106008
89,-0.3580379520229195
90,0.025772088827803
91,-0.1221189382909671
92,-0.1615327664729702
93,-0.0302965697550445
94,0.0291659655617242
95,0.1400246443374034
96,-0.2256677407403238
97,-0.0349963566052364
98,0.1513465989629007
99,0.0058310345600956
100,-0.1157171057109774
101,-0.4741821497777365
102,-0.148401826484013
103,-0.2127805614661282
104,-1.573320938879847
105,-0.0558061665814093
106,-0.0558373272532709
107,-0.516826079839101
108,-0.4262614638499742
109,-0.7131368560480731
110,0.489573035823575
111,-0.5835769836290752
112,0.4737449270226432
113,0.3391804626042104
114,0.2457255697483428
115,-0.0231958762886573
116,0.1543303380412204
117,-0.193303409237406
118,-0.0997161023908428
119,-0.3342828221003223
120,0.1586499477042658
121,-0.2237847897011857
122,-0.0648217989817031
123,0.3172067012852665
124,-0.1270438771909101
125,0.3920989944558073
126,-0.2536086396009867
127,0.1203191624097591
128,-0.3399451428087344
129,0.1944805572290782
130,0.190944383492272
131,0.0274209538273314
132,0.0105454085291288
133,0.3781989326385703
134,-0.1399189942664816
135,0.0672841388155994
136,-0.0220824833329866
137,-0.1136961785451143
138,0.0545023347621813
139,0.0822119428090873
140,0.132289020011338
141,0.1363026337862727
142,-0.0314643508904363
143,0.092210323364838
144,-0.0262029787546248
145,0.0345759728421373
146,0.0282814316689287
147,-0.0324818206584441
148,0.104670392932655
149,0.2963828765836688
150,-0.1058823529411804
151,0.4295197188598292
152,0.0955743236653745
153,-0.1505119457258469
154,-0.1074564405420778
155,0.1093899556580005
156,0.0780746784299248
157,-0.1289893876912902
158,0.0956732271165167
159,0.057058958061284
160,-0.0649066625009776
161,0.027329871549601
162,-0.0012298593450882
163,-0.1297327938388173
164,-0.0391090948199981
165,-0.0880729635573626
166,0.0479278539080772
167,0.0068463675130129
168,-0.0332648468838696
169,-0.0332759160663983
170,0.0528220678861355
171,0.0078248792034313
172,-0.1488940697059324
173,-0.0784267592102492
174,-0.1020588408470848
175,-0.0869899455807098
176,0.0525709201932973
177,0.0868686868686882
178,-0.900974356883692
179,-0.1531143457934385
180,0.2382892057026509
181,0.0081459758879155
182,-0.208154769193102
183,-0.1829798108867839
184,0.1948661443029677
185,-0.0043260114908588
186,0.0655002243158318
187,0.1047679714349894
188,-0.0579482684820882
189,0.274412553866161
190,0.1116728594343285
191,-0.1077279564209871
192,0.0832673287434692
193,0.0791428223548006
194,0.1519664458087654
195,0.046581335061572
196,0.0344178324863879
197,0.0283360657396697
