,FTNT.US
0,-0.5152768706001944
1,0.6990487172095697
2,0.5090700509070109
3,0.2788502788502894
4,0.0643086816720078
5,-0.0142928607160593
6,0.2566113051535998
7,-0.2143010215015236
8,-0.1072654462242603
9,0.2781145261356246
10,0.142419710887999
11,-0.0249296627372745
12,-0.1319449397332588
13,0.1424399971511919
14,-0.2355796687606967
15,-0.3294656925941899
16,0.2785515320334165
17,-0.0071428571428506
18,-0.632547441058076
19,-0.2522158968076632
20,-0.0072066878062981
21,-0.2094316458438593
22,-0.0433494689690067
23,0.2090843547224167
24,-0.4635665652614706
25,0.8348818859440256
26,0.6312838170191836
27,0.009836710603965
28,-0.1650368253811757
29,0.017239680819622
30,0.2652780506975791
31,0.0491014435824385
32,-0.4265391158559181
33,0.100985221674883
34,0.0541578455024438
35,0.0639637866561678
36,-0.0443022397243433
37,0.0098439730275049
38,0.0196840706658237
39,-0.0763339981778341
40,-0.1158662853762023
41,0.3855504530831741
42,0.0515438613715665
43,0.1323659182272682
44,0.2250048914106867
45,0.1977104640093734
46,0.3720636155829068
47,-0.1851581152853013
48,-0.043872477332555
49,0.286783648471299
50,-0.1516356638871092
51,-0.4995970991136217
52,-0.1614205004035512
53,-0.1066511537715674
54,0.245019021213486
55,-0.1760136935424018
56,0.0806750891459735
57,0.3585209003215463
58,0.1188296881523603
59,0.2818254603682932
60,0.0927881231202471
61,0.3348321056155983
62,-0.2525575447570216
63,-0.0383778943328657
64,-0.0928326771023465
65,0.0224028675670464
66,0.1533840352783339
67,0.0303480441484266
68,-0.0719286467823991
69,0.0159815892092346
70,-0.0559668676143759
71,-0.1746011405138771
72,-0.2505138746145852
73,-0.0578443344687983
74,-0.1738346639196563
75,-0.5090402670060142
76,0.0983496449817616
77,-0.0287935502447462
78,0.2393718881654538
79,0.1243186382327583
80,0.212324355273527
81,-0.7426456450682638
82,0.2134446123222397
83,0.5177267738702961
84,-0.0716263967147386
85,0.1573301549463706
86,-0.1145530046298549
87,-0.1529709833165988
