,CRWD.US
212,0.1265593925149241
213,0.4650124891125076
214,0.0557559973668886
215,0.1555148511295452
216,0.3899542072123551
217,-0.2726359592480954
218,-0.2139018208617081
219,0.1435930572756725
220,-0.1096097175303697
221,-0.097125795891932
222,0.0503361737317032
223,0.129268555423898
224,0.4041198769758942
225,1.4940666253633983
226,-0.0524508868968213
227,-0.3660114704013148
228,-0.4882177551216663
229,0.0720841943389906
230,0.4972507518054514
231,-0.5988407051975858
232,0.0552884615384659
233,0.1248439450686598
234,-0.09612611746611
235,0.1511697660467895
236,0.3848360263887593
237,0.0501708196956254
238,-0.0860811554004001
239,0.2214544033447688
240,0.3357032457496202
241,0.0023777820049436
242,-0.1953590317815774
243,0.03334285986472
244,0.1664368253364374
245,0.0712792244820403
246,0.0996914312841243
247,-0.1616661119300097
248,-0.0856612573169023
249,0.3225653432000411
250,0.4453441295546483
251,0.8285578712997914
252,-0.2378164788526394
253,-0.4299099761161183
254,0.4047486605966546
255,0.0709453282135735
256,0.1916233232959336
257,0.0492503009740581
258,-0.091287519170379
259,0.2948630337725286
260,-0.051251378724005
261,-0.2917467027800406
262,-0.1722169362511858
263,0.3287117214252115
264,-0.1428570906757145
265,-0.0658284294016735
266,-0.4368575624082224
267,-0.5685965327462631
268,0.312870339700415
269,0.069878631849944
270,0.1523970401924317
271,0.0972191650157701
272,-0.0807754442649326
273,-0.0367295967090364
274,0.150364909964435
275,0.7182188173330142
276,0.6091467186979495
277,-0.5647284039243871
278,0.904592392773516
279,-0.4771364758994448
280,0.1517307006066437
281,0.1662510390689914
282,0.3879911992240143
283,-0.0402347817854813
284,0.1936977370435095
285,0.2450633865874971
286,-0.0967049555392995
287,0.1695354258400175
288,0.0541278358279248
289,0.3330675048083593
290,-0.444477532751531
291,0.1239117134924067
292,-0.1933232742361356
293,-0.1416564359240775
294,0.2308380835728125
295,-0.1737597321023236
296,-0.5083716738604545
297,-0.004743382980751
298,-0.4622349297116983
299,-0.4211130784323087
300,-0.0431845476381076
301,1.6438625849000903
302,-0.0583567047421651
303,-0.8004507344290529
304,-0.5535589497853692
305,-0.315457413249209
306,-0.35784297221228
307,-0.2306336254658986
308,0.1425887784894661
309,0.0032691243776174
310,-0.1410224124905571
311,-0.0781269689256287
312,0.1032225579053293
313,0.0
314,-0.350113765499055
315,-0.4502588569688375
316,0.3187452567670101
317,0.2246396930765507
318,-0.1820618504564114
319,-0.1443403393264244
320,-0.3710858072387097
321,0.8067769261799085
322,-0.3948567378758738
323,0.3156452561116928
324,0.2288289195448574
325,0.1770481881544733
326,-0.3873258537788097
327,0.3562653562653535
328,1.0935120746109703
329,-0.2191427179736898
330,0.3881610868510349
331,0.1937046004842642
332,-0.775950417256358
333,-0.0390567787921613
334,-0.2054693997358328
335,1.72596153846154
336,0.0816640245952767
337,0.1415105653227236
338,0.2321129456807778
339,-0.0093811144763983
340,-0.0480773835176838
341,0.1171828291282918
342,-0.3937480492665209
343,0.0743726308718397
344,0.1198121345729895
345,-0.0287631831256003
346,0.9174869710770276
347,-0.219736278383398
348,0.4596285064442754
349,0.0852192027270177
350,-1.3194062671797622
351,-1.0045431600201966
352,-1.1746680286006042
353,-2.0004167534903123
354,2.004877294240108
355,-1.0822539862738112
356,-0.5760847000207521
357,-0.8426759002857159
358,-0.9189774467860228
359,0.9417673834562774
360,0.818237861870983
361,0.314616041176324
362,0.0439503619441613
363,0.4273284250630614
364,0.4255100994565839
365,-1.1354798568984277
366,0.0673575129533655
367,0.1345337886784595
368,0.5864197530864274
369,-0.0154344806297273
370,-0.1700680272108908
371,-0.0541418516513211
372,-0.734988572615828
373,0.8957067847214975
374,1.4658889170682297
375,-0.6138465124711867
376,1.9080284552845648
377,-0.6649616368286504
378,-0.7420385447799638
379,0.693396105723711
380,-0.2771007055804962
381,-0.5702637147133146
382,-0.573012363364586
383,0.4001240694789087
384,-0.4335297629864271
385,0.4779620730636136
386,-0.1941445988972586
387,0.2968048314664681
388,0.5850053882075306
389,-0.4510425526431093
390,-0.5989421281891729
391,0.2173238124805896
392,0.2683455464960317
393,0.1071201384829312
394,-0.511813471502587
395,-0.6955821248124375
396,0.0173187271778788
397,-0.3349733068146061
398,-0.0418892030579183
399,-0.0838486531810065
400,0.3802421736562215
401,-0.3705350526159774
402,0.3139659439293845
403,-0.4862296785687782
404,0.0636147653023112
405,0.1734799674146508
406,-0.1074989806131224
407,-1.1586920653967208
408,-0.4066265060240904
409,-0.1583829851421735
410,-0.1624173748819667
411,0.3350399036289664
412,0.1991208626066159
413,0.3332584437953967
414,0.0336889387984184
415,-0.0861681402667321
416,-0.063730084348647
417,0.0374742364624405
418,-0.2291542327051826
419,-0.0751390768305355
420,0.3520862985991451
421,0.3657262277951789
422,0.1639344262295073
423,0.0632982090330327
424,0.2229074562544201
425,-0.864285189628571
426,2.055202851221654
427,0.9594812844385364
428,0.3078560837921564
429,-0.2611336714776903
430,0.800631122833452
431,0.5060918462980377
432,-0.1924973003427375
433,0.2108320839580156
434,0.3969840968366752
435,0.1301207671719113
436,-0.2850532809870919
437,-0.4648542048175842
438,0.2388982574480002
439,-0.1642190212546306
440,0.1382218577954859
441,-0.5938774067353331
442,0.1129916904027725
443,-0.7929905914520613
444,-0.7284068639166377
445,0.1503400548860507
446,-0.2344105054177573
447,-0.0119611501842044
448,0.0812219529696747
449,-0.1052354517611004
450,0.9031662133730132
451,0.7916507572864995
452,-0.0076370856881089
453,-0.0305576776165023
454,-0.7646515446987481
455,0.3528509332651484
456,-0.3335043612108803
457,-0.2056555269922908
458,0.2154730145700736
459,0.1792390024069353
460,-0.504400638221225
461,0.0617252198960982
462,0.0102864784241167
463,-0.3354319331200359
464,-0.1654088700506529
465,-0.0155094866359929
466,-0.0155636068064174
467,0.4734973240016421
468,-0.0901388137732019
469,-0.105702794678773
470,0.0154663092230763
471,0.1184346035015395
472,-0.2591145705610834
473,-0.0222560739459397
474,0.12120274382381
475,-0.3811480324731987
476,0.2034550941825474
477,0.8742746615087005
478,0.828259866533128
479,0.2020521721374138
480,0.2342755283931795
481,0.4714111922141153
482,-1.0811087769636798
483,0.0614470787034689
484,0.341906511532974
485,0.1930843117850667
486,0.5298781569014813
487,-0.0278720924339828
488,-0.3525791472293941
489,-0.0542919656032103
490,0.2005839786720884
491,0.3466423763979567
492,0.0354107648725177
493,-0.0860715913118403
494,-0.4270603411499766
495,0.3445148213833309
496,-0.3763796348100202
497,-0.2446845231813041
498,0.4365196202852989
499,-0.6900429360049186
500,-0.0602228244504547
501,-0.5411922577832504
502,0.1624981109263948
503,-0.3183747725894602
504,-0.2241215574548813
505,-0.2131790323194648
506,-0.0133254649635548
507,-0.2942519676620466
508,-0.005575289705048
509,0.0802045177045124
510,0.2246164388776913
511,-0.0647619047619108
512,0.0951474785918173
513,-0.1486507089495297
514,0.0076225322051916
515,-0.256008559092131
516,0.0286494642550358
517,-0.1511151918589229
518,-0.1225724901367423
519,-0.2669227076332187
520,-0.0288129081828615
521,0.1036189891391878
522,-0.2925214579885266
523,0.2112459671224502
524,-0.1307591723713683
525,-1.5141645885286774
526,0.776958479734742
527,-0.3924880763116017
528,0.1834862385321123
529,0.8408733280881234
530,0.4649796877294252
531,-0.4399872182484134
532,0.7948506862890534
533,0.1267382674557353
534,0.099751836893574
535,0.7677450507001465
536,0.2071989591866269
537,0.0409411651373975
538,0.0746017230591525
539,0.264016897081405
540,0.2107683464265174
541,0.1196115018420171
542,0.1290137614678947
543,-0.295740162721784
544,0.4079846237334522
545,0.3719923918212175
546,-0.5258126195028789
547,0.0382262996941955
548,0.0573065902578818
549,0.4279600570613436
550,-0.3643724696356298
551,0.9583383455631688
552,-0.5402136665994658
553,-1.1994614662804446
554,0.6706785808360071
555,-0.0222933808925371
556,-0.2641632122246629
557,-0.5968928863450563
558,0.1224989791751781
559,0.2443991853360465
560,-0.0774530186294883
561,0.3776803118908409
562,-0.3913894324853261
563,-0.4258106780216148
564,0.0257876489441341
565,0.0437788961171798
566,0.3181206411354464
567,-0.0959359882427324
568,0.3153868066577045
569,-0.0529315960912033
570,0.215333360419291
571,0.2936946790626053
572,-0.465996499938945
573,-0.2897959183673502
574,0.0367212044555075
575,-1.1264520671177785
576,0.0390976267740637
577,-0.1958710385082462
578,1.4085214213517885
579,-0.1148016394710361
580,0.385178337570295
581,-0.2393822393822411
582,0.0713775874375454
583,0.0404951984264793
584,0.3420708740102953
585,0.1688281789578688
586,0.0881732796626483
587,0.1110515432335006
588,-0.0747283910402549
589,0.0746725894156365
590,-0.3381234150464902
591,-0.3083326909735648
592,-0.0192745075363149
593,0.138584132116856
594,0.0153958662099305
595,0.2687036965951359
596,0.0632972091685127
597,0.0594256795613896
598,0.026830203142964
599,0.3171206969014025
600,0.2757109944479969
601,-0.7074664333802277
602,0.1139774324683539
603,0.0986829620070777
604,0.0663771359213922
605,-0.5511060259343986
606,-0.1910584638899503
607,-0.711949201462369
608,0.2073812358385359
609,0.2298938656653598
610,0.3322386007790439
611,0.1810661939885894
612,0.1693431768018849
613,-0.0266453503863549
614,0.030442558697074
615,-0.171494941108894
616,-0.2369325997248889
617,-0.1301171207120389
618,-0.1570678622063812
619,0.2103089629856051
620,0.1603420630678842
621,-0.080235357047331
622,0.0725412339645684
623,0.0724886498035167
624,0.406565848468726
625,-0.8459381177876896
626,0.2796625710618071
627,0.2218613480935867
