,NFLX.US
0,-0.2546219417690681
1,-0.2510067089265478
2,0.291771562416428
3,-0.1422146702743811
4,0.1871140197253387
5,-0.0830258302583109
6,0.2704841113584976
7,-0.1668002912093431
8,-0.1125554704726432
9,-0.0415336053015381
10,-0.103479498124445
11,-0.142487046632121
12,0.1939237233355006
13,-0.3912188971706185
14,0.1037229116502955
15,0.12763832109363
16,-0.1463505001852681
17,0.1165738393501462
18,-0.2095308733543474
19,0.0759667228697044
20,0.1295312818045431
21,0.0148013839294049
22,0.0887295044087506
23,-0.181484842311898
24,0.0888115899124869
25,-0.8037210861548707
26,-0.3161151466236204
27,0.0050441361916725
28,-0.2560722983243085
29,-0.4097594827440419
30,-0.2800767669354198
31,0.1116614687399562
32,-0.0871365421980166
33,0.2243367251917521
34,0.0321586946955171
35,0.0203066301147332
36,0.1453193646502027
37,-0.1294339590717954
38,-0.0059221658206375
39,-0.0203086921202282
40,-0.2851323828920485
41,-0.0475446580180816
42,0.5437903198567952
43,0.3148095149913308
44,0.1722587746939217
45,-0.1607527605709546
46,0.4240626204723308
47,0.0636526574984498
48,-0.2923141537169272
49,0.5081147938290735
50,0.2338530436224901
51,0.6394409835525224
52,-0.0445169906514289
53,0.2450493824094435
54,0.5138102562424258
55,-0.2181007198963679
56,0.058180983832245
57,-0.1091058244462614
58,0.5823152331707717
59,-0.1443678410261559
60,-0.2335123452747387
61,-0.0196515131665145
62,-0.13118194936376
63,-0.0095607985611951
64,0.1830577835979663
65,-0.0346658025051324
66,-0.0488703943380527
67,-0.0688558453694376
68,-0.0262212777387572
69,-0.2498972529550166
70,0.1059226354208547
71,-0.03860686709379
72,-0.0546051253863299
73,-0.2022268340086309
74,-0.0708740584463664
75,0.5495772482705638
76,0.1582809727085319
77,0.0536907603953888
78,0.4077228630356716
79,-0.2738361961662836
80,0.3929273084479266
81,-0.0133536818008272
82,0.2208009745698127
83,0.356063578961502
84,-0.4165888962956005
85,-0.0247656785795922
86,0.098964677222917
87,-0.048554318954294
88,0.1796134035314561
89,0.2672783106494234
90,-0.0777796748430118
91,0.024655767553009
92,-0.4391617865621071
93,0.1531877662811859
94,-0.2861175752489223
95,0.306159316941452
96,-0.2573781743308211
97,-0.4154302670623067
98,-0.0287246265798501
99,-0.0862482031624428
100,1.188011298388203
101,0.654790032188753
102,-0.3801307319169444
103,0.3278175423568285
104,0.2653369697368004
105,-0.0509575080134701
106,-0.364602237106945
107,-0.6208499335989391
108,0.2962809221799649
109,0.1239627070453309
110,-0.3783227690571942
111,-0.2696996367956124
112,0.2573889377520444
113,-0.1579017352569718
114,0.0946513674631856
115,0.0166027460941888
116,0.0199193267267573
117,0.7512479612514307
118,-0.3215300161343583
119,0.2019400962180452
120,0.0216193931398329
121,-0.0924336458470793
122,-0.1074042862572047
123,-0.335729029370088
124,-0.6869209581837925
125,-0.1178918169209485
126,-0.1970986319036115
127,-0.1605090475243633
128,-0.0258567535851374
129,-0.0676711183647423
130,-0.0836636720384087
131,-0.0308854151099366
132,-0.1446730389320182
133,0.3261928913817424
134,-0.0896241796560667
135,0.0477952881248041
136,0.057591772967505
137,0.3503050727749506
138,0.1133632890595612
139,0.1975542780378908
140,0.1361268939393935
141,0.07688213377491
142,-0.1599336571496273
143,0.1399925074432707
144,0.0049290706730108
145,0.0955326189725838
146,-0.4153645318248394
147,0.2505672289632117
148,-0.0039460963242189
149,-0.2591391042886537
150,0.2359452374016901
151,-0.366910786592406
152,0.0021926458657642
153,-0.1493225586859588
154,-0.0432050850188305
155,0.4098599766627857
156,-0.1883646470683632
157,0.5094393114427599
158,0.026889534883713
159,0.0726216412490922
160,0.1102631808025985
161,-0.1205641822698082
162,-0.3001296676719474
163,0.1433029511678846
164,-0.0851813562036833
165,-0.234981610134861
166,-0.2942252799531568
167,-0.1231111957907742
168,-0.1879506042318213
169,0.1875980126335496
170,0.0454132606721249
171,0.0190406444525808
172,-0.181213913120036
173,0.0769749574804963
174,-0.0073314857989053
175,-0.7602415395977236
176,-0.2534754886589389
177,0.1073721323200493
178,0.314511232544037
179,-0.444328280188198
180,0.7574185515667143
181,-0.4848042537663493
182,0.3100748337028762
183,0.0372297595650233
184,0.2224669504577362
185,-0.2950370832466835
186,-0.0077984870935164
187,-0.1814267608812582
188,-0.072971141650878
189,-0.0834651967518159
190,0.0017388280299062
191,-0.101825017623567
192,0.2439574940963975
193,-0.6580384685967939
194,0.4947826086956569
195,0.2895937017705029
196,0.0675839600734735
197,-0.1214518703587916
198,-0.1790276884570546
199,-0.3986769634657339
200,0.461178671655759
201,0.0617018491857302
202,0.8656163113994364
203,-0.6736457108735028
204,0.3625613565372686
205,-0.7002434001123402
206,-0.285403131923839
207,0.1630893242103298
208,0.1899095357039256
209,-0.1668369645643028
210,0.1684269610365387
211,-0.0889513108614274
212,-0.4795546685924554
213,0.005381199668846
214,0.2627233148175907
215,-0.0375459938424655
216,-0.1108834971527219
217,0.3054035824027571
218,0.5255898907816634
219,-0.4004491017964047
220,-0.2896840499616725
221,0.4983147378740432
222,-0.2077037508303497
223,-0.1959240302229145
224,-0.1840755836886527
225,0.4351567700975773
226,0.1977021180054817
227,-0.0364747554165048
